num_ssu,case,boundary,relative_time_s,ssu_id,timeline_schema,service_absolute_tolerance_gb,block_tolerance,scientific_ssd_service_source,ssd_outstanding_source,fragmented_service_is_diagnostic_only_not_scientific_output,maximum_abs_npu_queue_identity_residual_npu_id,stable_service_minus_busy_counter_gb,stable_service_minus_busy_counter_decimal_bytes,stable_service_minus_busy_counter_gb_scientific_gate_applicable,stable_service_minus_busy_counter_gb_within_declared_tolerance,fragmented_service_minus_stable_gb,fragmented_service_minus_stable_decimal_bytes,fragmented_service_minus_stable_gb_scientific_gate_applicable,fragmented_service_minus_stable_gb_within_declared_tolerance,physical_queue_minus_scheduler_gb,physical_queue_minus_scheduler_decimal_bytes,physical_queue_minus_scheduler_gb_scientific_gate_applicable,physical_queue_minus_scheduler_gb_within_declared_tolerance,enqueue_minus_service_minus_physical_queue_gb,enqueue_minus_service_minus_physical_queue_decimal_bytes,enqueue_minus_service_minus_physical_queue_gb_scientific_gate_applicable,enqueue_minus_service_minus_physical_queue_gb_within_declared_tolerance,counter_queue_minus_physical_queue_gb,counter_queue_minus_physical_queue_decimal_bytes,counter_queue_minus_physical_queue_gb_scientific_gate_applicable,counter_queue_minus_physical_queue_gb_within_declared_tolerance,fragmented_counter_queue_minus_physical_queue_gb,fragmented_counter_queue_minus_physical_queue_decimal_bytes,fragmented_counter_queue_minus_physical_queue_gb_scientific_gate_applicable,fragmented_counter_queue_minus_physical_queue_gb_within_declared_tolerance,maximum_abs_npu_queue_identity_residual_gb,maximum_abs_npu_queue_identity_residual_decimal_bytes,maximum_abs_npu_queue_identity_residual_gb_scientific_gate_applicable,maximum_abs_npu_queue_identity_residual_gb_within_declared_tolerance,physical_queue_block_minus_scheduler_blocks,physical_queue_block_minus_scheduler_blocks_within_declared_tolerance,counter_queue_block_minus_physical_blocks,counter_queue_block_minus_physical_blocks_within_declared_tolerance
3,adaptive_t0_i100ms,6,3.0,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,4,0.0,0.0,True,True,3.766444933717139e-10,0.3766444933717139,False,,-1.1934897514720433e-15,-1.1934897514720433e-06,True,True,3.1835645231126364e-14,3.1835645231126364e-05,True,True,-1.3877787807814457e-16,-1.3877787807814457e-07,True,True,2.5886709442701772e-11,0.025886709442701772,False,,1.3877787807814457e-16,1.3877787807814457e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,7,3.5,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,9,-1.1368683772161603e-13,-0.00011368683772161603,True,True,1.1948486644541845e-10,0.11948486644541845,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,-3.6387559632089506e-14,-3.6387559632089506e-05,True,True,-8.604228440844963e-16,-8.604228440844963e-07,True,True,2.983702451775372e-10,0.2983702451775372,False,,8.526165884426007e-16,8.526165884426007e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,7,3.5,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,2,0.0,0.0,True,True,6.067466529202648e-10,0.6067466529202648,False,,-1.1102230246251565e-15,-1.1102230246251565e-06,True,True,9.103828801926284e-15,9.103828801926284e-06,True,True,-1.5543122344752192e-15,-1.5543122344752192e-06,True,True,-6.0671623280939e-10,-0.60671623280939,False,,1.5612511283791264e-15,1.5612511283791264e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,7,3.5,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,17,1.1368683772161603e-13,0.00011368683772161603,True,True,4.5270098780747503e-10,0.45270098780747503,False,,-1.27675647831893e-15,-1.27675647831893e-06,True,True,3.186340080674199e-14,3.186340080674199e-05,True,True,-1.1102230246251565e-16,-1.1102230246251565e-07,True,True,6.623135373473588e-11,0.06623135373473588,False,,1.3877787807814457e-16,1.3877787807814457e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,8,4.0,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,11,-1.1368683772161603e-13,-0.00011368683772161603,True,True,9.15179043659009e-11,0.0915179043659009,False,,-1.1518563880486e-15,-1.1518563880486e-06,True,True,-3.6387559632089506e-14,-3.6387559632089506e-05,True,True,-8.604228440844963e-16,-8.604228440844963e-07,True,True,3.217471011840445e-10,0.3217471011840445,False,,8.534839501805891e-16,8.534839501805891e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,8,4.0,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,14,0.0,0.0,True,True,5.808260539197363e-10,0.5808260539197363,False,,-1.3322676295501878e-15,-1.3322676295501878e-06,True,True,9.103828801926284e-15,9.103828801926284e-06,True,True,-1.5543122344752192e-15,-1.5543122344752192e-06,True,True,-5.807867520246646e-10,-0.5807867520246646,False,,1.5681900222830336e-15,1.5681900222830336e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,8,4.0,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,11,2.2737367544323206e-13,0.00022737367544323206,True,True,4.282583176973276e-10,0.4282583176973276,False,,-1.2490009027033011e-15,-1.2490009027033011e-06,True,True,-3.1835645231126364e-14,-3.1835645231126364e-05,True,True,1.3877787807814457e-16,1.3877787807814457e-07,True,True,1.9462312317308772e-10,0.19462312317308772,False,,1.3877787807814457e-16,1.3877787807814457e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,9,4.5,0,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,3,-1.1368683772161603e-13,-0.00011368683772161603,True,True,6.411937647499144e-11,0.06411937647499144,False,,-1.1796119636642288e-15,-1.1796119636642288e-06,True,True,-3.6387559632089506e-14,-3.6387559632089506e-05,True,True,-8.604228440844963e-16,-8.604228440844963e-07,True,True,2.9957994418516876e-10,0.29957994418516876,False,,8.604228440844963e-16,8.604228440844963e-07,True,True,0,True,0,True
3,adaptive_t0_i100ms,9,4.5,1,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,11,0.0,0.0,True,True,5.521769708138891e-10,0.5521769708138891,False,,-1.3322676295501878e-15,-1.3322676295501878e-06,True,True,9.103828801926284e-15,9.103828801926284e-06,True,True,-1.5543122344752192e-15,-1.5543122344752192e-06,True,True,-5.521909596239993e-10,-0.5521909596239993,False,,1.5612511283791264e-15,1.5612511283791264e-06,True,True,0,True,0,True
3,adaptive_t0_i100ms,9,4.5,2,steady_timeline_boundary_v3,1e-08,0,stable completed-command cumulative plus immutable active-prefix,direct physical pending/active enumeration,True,12,2.2737367544323206e-13,0.00022737367544323206,True,True,4.0313352656085044e-10,0.40313352656085044,False,,-1.2212453270876722e-15,-1.2212453270876722e-06,True,True,-3.186340080674199e-14,-3.186340080674199e-05,True,True,1.1102230246251565e-16,1.1102230246251565e-07,True,True,1.435705998531489e-10,0.1435705998531489,False,,1.4224732503009818e-16,1.4224732503009818e-07,True,True,0,True,0,True
