num_ssu,case,boundary,relative_time_s,ssu_id,read_only_left_boundary_snapshot,estimated_next_arbitration_rate_is_not_historical_service,path_state_present,path_is_active_command,active_command_npu_id,active_command_request_id,active_command_layer,active_command_path_id,active_command_remaining_gb,active_command_start_time_ms,active_command_age_ms,active_command_physical_service_gbps,aggregate_ssd_outstanding_gb,pressure_reports_cumulative,pressure_cache_hits_cumulative,pressure_cache_time_ms,pressure_cache_age_ms,pressure_ttl_ms,path_id,group_id,cir_gbps,path_weight,virtual_finish,estimated_next_arbitration_rate_gbps,pending_blocks,pending_gb,active_remaining_gb,head_wait_age_ms,head_npu_id,head_request_id,head_layer
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,48,1,0.23207384915540233,1.0,0.6385459256313858,0.7178819689634715,128,0.02148437500000007,0.0,9.537836004175915,1,1985,0
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,49,1,0.23250920555332083,1.0,0.6384095700315533,0.7183173253613899,79,0.013259887695312556,0.0,61.114957102636254,9,1865,2
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,51,1,0.22178603701586388,1.0,0.6385201064572295,0.707594156823933,114,0.019134521484375035,0.0,47.8204604852981,25,1625,3
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,80,2,0.9018505577492464,1.0,0.6384907456595701,1.2662066476052982,77,0.012924194335937562,0.0,18.82353529973625,2,2530,6
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,81,2,0.2384871831031966,1.0,0.6384495746989081,0.6028432729592484,227,0.03810119628906254,0.0,23.03879025421702,10,2090,4
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,82,2,0.25093099700833316,1.0,0.6384614579769836,0.6152870868643849,49,0.008224487304687556,0.0,84.88478476033924,18,1810,8
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,83,2,0.44685062705585865,1.0,0.6385104455049867,0.8112067169119105,39,0.006546020507812569,0.0,45.527403707466874,26,2650,5
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,112,3,3.28913308248316,1.0,0.6385228924206307,3.6534891723392118,113,0.018966674804687562,0.0,4.123685324422695,3,2083,10
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,113,3,0.22293529708936055,1.0,0.6384125848468588,0.5872913869454124,300,0.05035400390625004,0.0,7.470673951454955,11,2123,15
5,adaptive_t0_i100ms,38,19.0,0,True,True,True,False,16,2000,13,18,8.575594794820063e-05,28863.427881711465,0.0020522682934824843,40.0,0.5403842178620107,0,0,,,0.0,114,3,0.8522432258492469,1.0,0.6384270704815557,1.2165993157052988,41,0.006881713867187566,0.0,12.519215475778765,19,1747,8
