num_ssu,evaluation,relative_time_s,selection_mode,attempt_index,npu_id,stage,accepted,rejection_reason,target_sum_gbps,npu_capacity_gbps,target_gbps_by_ssu,admission_remaining_before_gbps_by_ssu,admission_remaining_after_gbps_by_ssu,violating_ssu_ids,target_ssu0_gbps,admission_remaining_before_ssu0_gbps,admission_remaining_after_ssu0_gbps,target_ssu1_gbps,admission_remaining_before_ssu1_gbps,admission_remaining_after_ssu1_gbps,target_ssu2_gbps,admission_remaining_before_ssu2_gbps,admission_remaining_after_ssu2_gbps
3,158,2.7338442020852107,greedy_overload,23,23,pinned,True,,7.57332093060791,50.0,"[2.420492768017822,2.5838389057368163,2.5689892568532717]","[21.916810939148558,20.293185195104122,20.909526626428473]","[19.496318171130735,17.709346289367307,18.340537369575202]",,2.420492768017822,21.916810939148558,19.496318171130735,2.5838389057368163,20.293185195104122,17.709346289367307,2.5689892568532717,20.909526626428473,18.340537369575202
3,158,2.7338442020852107,greedy_overload,24,7,pinned,True,,11.098580625281981,50.0,"[3.845177539467773,3.670396742219238,3.583006343594971]","[19.496318171130735,17.709346289367307,18.340537369575202]","[15.651140631662962,14.03894954714807,14.757531025980231]",,3.845177539467773,19.496318171130735,15.651140631662962,3.670396742219238,17.709346289367307,14.03894954714807,3.583006343594971,18.340537369575202,14.757531025980231
3,158,2.7338442020852107,greedy_overload,25,20,greedy_candidate,True,,0.96830017659375,50.0,"[0.31247441923242186,0.3452039532626953,0.3106218040986328]","[15.651140631662962,14.03894954714807,14.757531025980231]","[15.33866621243054,13.693745593885374,14.446909221881599]",,0.31247441923242186,15.651140631662962,15.33866621243054,0.3452039532626953,14.03894954714807,13.693745593885374,0.3106218040986328,14.757531025980231,14.446909221881599
3,158,2.7338442020852107,greedy_overload,26,4,greedy_candidate,True,,3.7955481922617187,50.0,"[1.2365417831088867,1.2776353166865235,1.2813710924663086]","[15.33866621243054,13.693745593885374,14.446909221881599]","[14.102124429321654,12.41611027719885,13.16553812941529]",,1.2365417831088867,15.33866621243054,14.102124429321654,1.2776353166865235,13.693745593885374,12.41611027719885,1.2813710924663086,14.446909221881599,13.16553812941529
3,158,2.7338442020852107,greedy_overload,27,27,greedy_candidate,True,,12.493989483945555,50.0,"[3.663159220423828,4.317294795499511,4.513535468022217]","[14.102124429321654,12.41611027719885,13.16553812941529]","[10.438965208897827,8.09881548169934,8.652002661393073]",,3.663159220423828,14.102124429321654,10.438965208897827,4.317294795499511,12.41611027719885,8.09881548169934,4.513535468022217,13.16553812941529,8.652002661393073
3,158,2.7338442020852107,greedy_overload,28,11,greedy_candidate,True,,14.807481482006104,50.0,"[4.563949771851196,5.2159425964013675,5.02758911375354]","[10.438965208897827,8.09881548169934,8.652002661393073]","[5.87501543704663,2.8828728852979726,3.6244135476395334]",,4.563949771851196,10.438965208897827,5.87501543704663,5.2159425964013675,8.09881548169934,2.8828728852979726,5.02758911375354,8.652002661393073,3.6244135476395334
3,158,2.7338442020852107,greedy_overload,29,9,greedy_candidate,False,ssu_admission_capacity_exceeded,39.85723109459785,50.0,"[12.935093571267338,12.467560068691409,14.454577454639102]","[5.87501543704663,2.8828728852979726,3.6244135476395334]","[5.87501543704663,2.8828728852979726,3.6244135476395334]",0|1|2,12.935093571267338,5.87501543704663,5.87501543704663,12.467560068691409,2.8828728852979726,2.8828728852979726,14.454577454639102,3.6244135476395334,3.6244135476395334
3,158,2.7338442020852107,greedy_overload,30,2,greedy_candidate,False,ssu_admission_capacity_exceeded,46.01939381385224,50.0,"[14.390429335927736,15.949392513986576,15.67957196393793]","[5.87501543704663,2.8828728852979726,3.6244135476395334]","[5.87501543704663,2.8828728852979726,3.6244135476395334]",0|1|2,14.390429335927736,5.87501543704663,5.87501543704663,15.949392513986576,2.8828728852979726,2.8828728852979726,15.67957196393793,3.6244135476395334,3.6244135476395334
3,158,2.7338442020852107,greedy_overload,31,10,greedy_candidate,False,npu_target_exceeds_capacity,51.30451046594898,50.0,"[15.014867587516115,18.111405561796143,18.17823731663672]","[5.87501543704663,2.8828728852979726,3.6244135476395334]","[5.87501543704663,2.8828728852979726,3.6244135476395334]",,15.014867587516115,5.87501543704663,5.87501543704663,18.111405561796143,2.8828728852979726,2.8828728852979726,18.17823731663672,3.6244135476395334,3.6244135476395334
3,159,2.833844202085211,greedy_overload,0,1,pinned,True,,1.8887065150078124,50.0,"[0.6220739712128905,0.6276951215551757,0.638937422239746]","[38.0,38.0,38.0]","[37.37792602878711,37.37230487844482,37.36106257776025]",,0.6220739712128905,38.0,37.37792602878711,0.6276951215551757,38.0,37.37230487844482,0.638937422239746,38.0,37.36106257776025
3,159,2.833844202085211,greedy_overload,1,3,pinned,True,,1.888706515007812,50.0,"[0.6108316705283202,0.6258214047744138,0.652053439705078]","[37.37792602878711,37.37230487844482,37.36106257776025]","[36.76709435825879,36.74648347367041,36.70900913805517]",,0.6108316705283202,37.37792602878711,36.76709435825879,0.6258214047744138,37.37230487844482,36.74648347367041,0.652053439705078,37.36106257776025,36.70900913805517
3,159,2.833844202085211,greedy_overload,2,6,pinned,True,,0.9654508306523436,50.0,"[0.29335839734582514,0.3472798533131103,0.3248125799934082]","[36.76709435825879,36.74648347367041,36.70900913805517]","[36.47373596091296,36.3992036203573,36.38419655806177]",,0.29335839734582514,36.76709435825879,36.47373596091296,0.3472798533131103,36.74648347367041,36.3992036203573,0.3248125799934082,36.70900913805517,36.38419655806177
3,159,2.833844202085211,greedy_overload,3,12,pinned,True,,0.9165073182890624,50.0,"[0.2747400410148925,0.34899410615405274,0.2927731711201172]","[36.47373596091296,36.3992036203573,36.38419655806177]","[36.19899591989807,36.050209514203246,36.09142338694165]",,0.2747400410148925,36.47373596091296,36.19899591989807,0.34899410615405274,36.3992036203573,36.050209514203246,0.2927731711201172,36.38419655806177,36.09142338694165
3,159,2.833844202085211,greedy_overload,4,14,pinned,True,,1.9543525868496099,50.0,"[0.5835913974620363,0.7205441355556643,0.6502170538319093]","[36.19899591989807,36.050209514203246,36.09142338694165]","[35.61540452243603,35.32966537864758,35.44120633310974]",,0.5835913974620363,36.19899591989807,35.61540452243603,0.7205441355556643,36.050209514203246,35.32966537864758,0.6502170538319093,36.09142338694165,35.44120633310974
3,159,2.833844202085211,greedy_overload,5,15,pinned,True,,0.96830017659375,50.0,"[0.3112393424765625,0.3353233392158203,0.32173749490136716]","[35.61540452243603,35.32966537864758,35.44120633310974]","[35.30416517995947,34.994342039431764,35.11946883820837]",,0.3112393424765625,35.61540452243603,35.30416517995947,0.3353233392158203,35.32966537864758,34.994342039431764,0.32173749490136716,35.44120633310974,35.11946883820837
3,159,2.833844202085211,greedy_overload,6,18,pinned,True,,1.924714371937501,50.0,"[0.6151776948281253,0.6486774702890628,0.6608592068203129]","[35.30416517995947,34.994342039431764,35.11946883820837]","[34.68898748513134,34.3456645691427,34.45860963138806]",,0.6151776948281253,35.30416517995947,34.68898748513134,0.6486774702890628,34.994342039431764,34.3456645691427,0.6608592068203129,35.11946883820837,34.45860963138806
3,159,2.833844202085211,greedy_overload,7,21,pinned,True,,1.9493601261621092,50.0,"[0.6104575131928711,0.6604739901141358,0.6784286228551025]","[34.68898748513134,34.3456645691427,34.45860963138806]","[34.07852997193847,33.685190579028564,33.780181008532956]",,0.6104575131928711,34.68898748513134,34.07852997193847,0.6604739901141358,34.3456645691427,33.685190579028564,0.6784286228551025,34.45860963138806,33.780181008532956
3,159,2.833844202085211,greedy_overload,8,22,pinned,True,,0.872729480390625,50.0,"[0.2655509109741211,0.2899528865771484,0.3172256828393555]","[34.07852997193847,33.685190579028564,33.780181008532956]","[33.81297906096435,33.39523769245142,33.4629553256936]",,0.2655509109741211,34.07852997193847,33.81297906096435,0.2899528865771484,33.685190579028564,33.39523769245142,0.3172256828393555,33.780181008532956,33.4629553256936
3,159,2.833844202085211,greedy_overload,9,24,pinned,True,,0.96830017659375,50.0,"[0.3056814970751953,0.3482916451523438,0.3143270343662109]","[33.81297906096435,33.39523769245142,33.4629553256936]","[33.50729756388915,33.04694604729907,33.14862829132739]",,0.3056814970751953,33.81297906096435,33.50729756388915,0.3482916451523438,33.39523769245142,33.04694604729907,0.3143270343662109,33.4629553256936,33.14862829132739
3,159,2.833844202085211,greedy_overload,10,25,pinned,True,,0.9590201139492189,50.0,"[0.2934211249801026,0.3199056920804444,0.3456932968886719]","[33.50729756388915,33.04694604729907,33.14862829132739]","[33.213876438909054,32.72704035521863,32.80293499443872]",,0.2934211249801026,33.50729756388915,33.213876438909054,0.3199056920804444,33.04694604729907,32.72704035521863,0.3456932968886719,33.14862829132739,32.80293499443872
3,159,2.833844202085211,greedy_overload,11,26,pinned,True,,0.9654508306523437,50.0,"[0.2753845786900635,0.34599600912341305,0.34407024283886717]","[33.213876438909054,32.72704035521863,32.80293499443872]","[32.93849186021899,32.381044346095216,32.458864751599855]",,0.2753845786900635,33.213876438909054,32.93849186021899,0.34599600912341305,32.72704035521863,32.381044346095216,0.34407024283886717,32.80293499443872,32.458864751599855
3,159,2.833844202085211,greedy_overload,12,29,pinned,True,,0.9308161792617186,50.0,"[0.2965099925874023,0.3284129664733886,0.3058932202009277]","[32.93849186021899,32.381044346095216,32.458864751599855]","[32.641981867631586,32.05263137962183,32.152971531398926]",,0.2965099925874023,32.93849186021899,32.641981867631586,0.3284129664733886,32.381044346095216,32.05263137962183,0.3058932202009277,32.458864751599855,32.152971531398926
3,159,2.833844202085211,greedy_overload,13,30,pinned,True,,0.9590201139492189,50.0,"[0.32060265437255864,0.3317540510463868,0.3066634085302735]","[32.641981867631586,32.05263137962183,32.152971531398926]","[32.32137921325903,31.72087732857544,31.846308122868653]",,0.32060265437255864,32.641981867631586,32.32137921325903,0.3317540510463868,32.05263137962183,31.72087732857544,0.3066634085302735,32.152971531398926,31.846308122868653
3,159,2.833844202085211,greedy_overload,14,28,pinned,True,,0.9654508306523437,50.0,"[0.29207455315612796,0.35241523007189934,0.32096104742431636]","[32.32137921325903,31.72087732857544,31.846308122868653]","[32.0293046601029,31.368462098503542,31.525347075444337]",,0.29207455315612796,32.32137921325903,32.0293046601029,0.35241523007189934,31.72087732857544,31.368462098503542,0.32096104742431636,31.846308122868653,31.525347075444337
3,159,2.833844202085211,greedy_overload,15,17,pinned,True,,3.6862628851318355,50.0,"[1.2125864753723141,1.2513892425842283,1.2222871671752926]","[32.0293046601029,31.368462098503542,31.525347075444337]","[30.816718184730586,30.117072855919314,30.303059908269045]",,1.2125864753723141,32.0293046601029,30.816718184730586,1.2513892425842283,31.368462098503542,30.117072855919314,1.2222871671752926,31.525347075444337,30.303059908269045
3,159,2.833844202085211,greedy_overload,16,31,pinned,True,,3.7479989026669918,50.0,"[1.156477138885986,1.2788780039505614,1.3126437598304443]","[30.816718184730586,30.117072855919314,30.303059908269045]","[29.6602410458446,28.83819485196875,28.9904161484386]",,1.156477138885986,30.816718184730586,29.6602410458446,1.2788780039505614,30.117072855919314,28.83819485196875,1.3126437598304443,30.303059908269045,28.9904161484386
3,159,2.833844202085211,greedy_overload,17,13,pinned,True,,3.9203901378662116,50.0,"[1.2928422251129152,1.327318017782593,1.3002298949707032]","[29.6602410458446,28.83819485196875,28.9904161484386]","[28.367398820731687,27.51087683418616,27.6901862534679]",,1.2928422251129152,29.6602410458446,28.367398820731687,1.327318017782593,28.83819485196875,27.51087683418616,1.3002298949707032,28.9904161484386,27.6901862534679
3,159,2.833844202085211,greedy_overload,18,0,pinned,True,,7.828005293995606,50.0,"[2.5406683848933103,2.6976208719909667,2.589716037111328]","[28.367398820731687,27.51087683418616,27.6901862534679]","[25.82673043583838,24.813255962195193,25.100470216356573]",,2.5406683848933103,28.367398820731687,25.82673043583838,2.6976208719909667,27.51087683418616,24.813255962195193,2.589716037111328,27.6901862534679,25.100470216356573
3,159,2.833844202085211,greedy_overload,19,5,pinned,True,,3.863993014019532,50.0,"[1.212054412416504,1.3426768177646486,1.309261783838379]","[25.82673043583838,24.813255962195193,25.100470216356573]","[24.614676023421875,23.470579144430545,23.791208432518193]",,1.212054412416504,25.82673043583838,24.614676023421875,1.3426768177646486,24.813255962195193,23.470579144430545,1.309261783838379,25.100470216356573,23.791208432518193
3,159,2.833844202085211,greedy_overload,20,23,pinned,True,,7.57332093060791,50.0,"[2.420492768017822,2.5838389057368163,2.5689892568532717]","[24.614676023421875,23.470579144430545,23.791208432518193]","[22.194183255404052,20.88674023869373,21.22221917566492]",,2.420492768017822,24.614676023421875,22.194183255404052,2.5838389057368163,23.470579144430545,20.88674023869373,2.5689892568532717,23.791208432518193,21.22221917566492
3,159,2.833844202085211,greedy_overload,21,20,pinned,True,,0.96830017659375,50.0,"[0.31247441923242186,0.3452039532626954,0.3106218040986328]","[22.194183255404052,20.88674023869373,21.22221917566492]","[21.88170883617163,20.541536285431032,20.911597371566288]",,0.31247441923242186,22.194183255404052,21.88170883617163,0.3452039532626954,20.88674023869373,20.541536285431032,0.3106218040986328,21.22221917566492,20.911597371566288
3,159,2.833844202085211,greedy_overload,22,4,pinned,True,,3.795548192261719,50.0,"[1.2365417831088867,1.2776353166865235,1.2813710924663089]","[21.88170883617163,20.541536285431032,20.911597371566288]","[20.645167053062742,19.263900968744508,19.63022627909998]",,1.2365417831088867,21.88170883617163,20.645167053062742,1.2776353166865235,20.541536285431032,19.263900968744508,1.2813710924663089,20.911597371566288,19.63022627909998
3,159,2.833844202085211,greedy_overload,23,27,pinned,True,,12.493989483945555,50.0,"[3.663159220423828,4.317294795499511,4.513535468022217]","[20.645167053062742,19.263900968744508,19.63022627909998]","[16.982007832638914,14.946606173244998,15.116690811077763]",,3.663159220423828,20.645167053062742,16.982007832638914,4.317294795499511,19.263900968744508,14.946606173244998,4.513535468022217,19.63022627909998,15.116690811077763
3,159,2.833844202085211,greedy_overload,24,11,pinned,True,,14.8074814820061,50.0,"[4.563949771851195,5.215942596401367,5.02758911375354]","[16.982007832638914,14.946606173244998,15.116690811077763]","[12.418058060787718,9.730663576843632,10.089101697324224]",,4.563949771851195,16.982007832638914,12.418058060787718,5.215942596401367,14.946606173244998,9.730663576843632,5.02758911375354,15.116690811077763,10.089101697324224
3,159,2.833844202085211,greedy_overload,25,19,greedy_candidate,True,,0.9513819113906252,50.0,"[0.29273289581250006,0.3598175177695313,0.2988314978085938]","[12.418058060787718,9.730663576843632,10.089101697324224]","[12.125325164975218,9.3708460590741,9.79027019951563]",,0.29273289581250006,12.418058060787718,12.125325164975218,0.3598175177695313,9.730663576843632,9.3708460590741,0.2988314978085938,10.089101697324224,9.79027019951563
3,159,2.833844202085211,greedy_overload,26,7,greedy_candidate,True,,1.4577991525195315,50.0,"[0.4555622351623536,0.5770454978723146,0.4251914194848634]","[12.125325164975218,9.3708460590741,9.79027019951563]","[11.669762929812864,8.793800561201786,9.365078780030768]",,0.4555622351623536,12.125325164975218,11.669762929812864,0.5770454978723146,9.3708460590741,8.793800561201786,0.4251914194848634,9.79027019951563,9.365078780030768
3,159,2.833844202085211,greedy_overload,27,9,greedy_candidate,True,,22.085756610589964,50.0,"[6.170172212358032,8.246118003431762,7.66946639480017]","[11.669762929812864,8.793800561201786,9.365078780030768]","[5.499590717454832,0.547682557770024,1.6956123852305973]",,6.170172212358032,11.669762929812864,5.499590717454832,8.246118003431762,8.793800561201786,0.547682557770024,7.66946639480017,9.365078780030768,1.6956123852305973
