num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2,work_gb_ssu3,work_gb_ssu4
5,adaptive_t0_i100ms,12,25,812,1,0.0,3.7876044315653417,3.7876044315653417,5.5787874247744185,1.9964214383562648,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,2,3.7876044315653417,7.5520054569587955,7.5520054569587955,9.343188450167872,1.973218032184377,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,3,7.5520054569587955,11.324359582935358,11.324359582935358,13.115542576144435,1.9811711327674857,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,4,11.324359582935358,15.058508972580967,15.058508972580967,16.849691965790043,1.9429663964365318,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,5,15.058508972580967,18.801929163013483,18.801929163013483,20.59311215622256,1.9522371972234396,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,6,18.801929163013483,22.50250921672159,22.50250921672159,24.29369220993067,1.9093970604990318,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,7,22.50250921672159,26.229144739185358,26.229144739185358,28.020327732394435,1.9354525292546896,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,8,26.229144739185358,29.703571008716608,29.703571008716608,31.494754001925685,1.6832432763221732,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,9,29.703571008716608,33.143788708910506,33.143788708910506,34.93497170211958,1.6490347069848212,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,10,33.143788708910506,36.71116988566973,36.71116988566973,38.50235287887881,1.7761981835501501,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,11,36.71116988566973,40.28502569621378,40.28502569621378,42.076208689422856,1.7826728173349693,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,12,40.28502569621378,43.81108443645098,43.81108443645098,45.60226742966006,1.734875747028127,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,13,43.81108443645098,47.40256414836222,47.40256414836222,49.19374714157129,1.8002967187021568,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,14,47.40256414836222,50.93197982219317,50.93197982219317,52.72316281540225,1.738232680621877,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,25,812,15,50.93197982219317,54.54863653605753,54.54863653605753,56.339819529266606,1.8254737206552818,0.0360870361328125,0.03432464599609375,0.034912109375,0.0297088623046875,0.0367584228515625
5,adaptive_t0_i100ms,12,26,844,0,-1.7911829932090768,-0.7878598486749979,0.0,14.369102622125865,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,1,0.0,1.041668959918752,14.369102622125865,28.73820524425173,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,2,14.369102622125865,18.510312148395315,28.73820524425173,43.107307866377596,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,3,28.73820524425173,31.00649745112969,43.107307866377596,57.47641048850346,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,4,43.107307866377596,50.12423426753594,57.47641048850346,71.84551311062933,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,5,57.47641048850346,62.62881190425469,71.84551311062933,86.21461573275519,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,6,71.84551311062933,72.65897855317598,86.21461573275519,100.58371835488106,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,7,86.21461573275519,87.47012049800469,100.58371835488106,114.95282097700692,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,8,100.58371835488106,101.81261927730156,114.95282097700692,129.3219235991328,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,9,114.95282097700692,115.76268120649911,129.3219235991328,143.69102622125865,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,10,129.3219235991328,130.20206906716885,143.69102622125865,158.06012884338452,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,11,143.69102622125865,145.11524655740322,158.06012884338452,172.42923146551038,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,12,158.06012884338452,160.9641692868954,172.42923146551038,186.79833408763625,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,13,172.42923146551038,173.90934445779385,186.79833408763625,201.16743670976211,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,14,186.79833408763625,194.5377013913876,201.16743670976211,215.53653933188798,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,26,844,15,201.16743670976211,205.36381223123135,215.53653933188798,229.90564195401384,0.0,0.010742187500000002,0.006713867187500001,0.006713867187500001,0.008728027343750002,0.007385253906250001
5,adaptive_t0_i100ms,12,27,876,0,-14.369102622125865,21.754480702022192,21.754480702022192,25.281316946015068,21.754480702022192,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,1,21.754480702022192,58.55486522350657,58.55486522350657,62.08170146749944,33.2735482774915,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,2,58.55486522350657,76.23751292858469,76.23751292858469,79.76434917257757,14.15581146108525,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,3,76.23751292858469,81.14702830944407,81.14702830944407,84.67386455343694,1.3826791368665,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,4,81.14702830944407,85.92226634655344,85.92226634655344,89.44910259054632,1.2484017931165,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,5,85.92226634655344,90.88213573131907,90.88213573131907,94.40897197531194,1.43303314077275,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,6,90.88213573131907,96.07699046764719,96.07699046764719,99.60382671164007,1.66801849233525,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,7,96.07699046764719,101.05364452038157,101.05364452038157,104.58048076437444,1.4498178087415,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,8,101.05364452038157,105.7743323865925,105.7743323865925,109.30116863058538,1.1938516222180624,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,9,105.7743323865925,110.82651744518625,110.82651744518625,114.35335368917913,1.525348814600875,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,10,110.82651744518625,115.81995616588938,115.81995616588938,119.34679240988226,1.46660247671025,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,11,115.81995616588938,120.8133948865925,120.8133948865925,124.34023113058538,1.46660247671025,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,12,120.8133948865925,125.32847057018625,125.32847057018625,128.85530681417913,0.9882394396008749,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,13,125.32847057018625,130.48975597057688,130.48975597057688,134.01659221456976,1.63444915639775,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,14,130.48975597057688,135.61327586803782,135.61327586803782,139.1401121120307,1.5966836534680624,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,27,876,15,135.61327586803782,140.80393443737375,140.80393443737375,144.33077068136663,1.6638223253430624,0.04145812988281251,0.03541564941406251,0.03507995605468751,0.03894042968750001,0.04229736328125001
5,adaptive_t0_i100ms,12,28,908,0,-3.526836243992875,3.4933511339368124,3.4933511339368124,6.0395088368568395,3.4933511339368124,0.0572357177734375,0.0550537109375,0.050689697265625,0.05027008056640625,0.0552215576171875
5,adaptive_t0_i100ms,12,28,908,1,3.4933511339368124,10.614246519679,10.614246519679,13.160404222599027,4.57473768282216,0.0572357177734375,0.0550537109375,0.050689697265625,0.05027008056640625,0.0552215576171875
5,adaptive_t0_i100ms,12,28,908,2,10.614246519679,17.592472227686812,17.592472227686812,20.13862993060684,4.432068005087785,0.0572357177734375,0.0550537109375,0.050689697265625,0.05027008056640625,0.0552215576171875
