num_ssu,case,case_label,npu_id,compute_ms,io_barrier_ms,other_ms,measurement_ms,compute_fraction,io_barrier_fraction,other_fraction,idle_fraction,delta_vs_baseline_compute_ms,delta_vs_baseline_io_barrier_ms,delta_vs_baseline_other_ms,includes_carry_in,full_window_idle_root_cause_evidence
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,5,42053.14657082152,21946.85342917848,0.0,64000.0,0.6570804151690862,0.3429195848309138,0.0,0.3429195848309138,1479.6731954562565,-1479.6731954562565,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,6,34862.08305795105,29137.91694204895,0.0,64000.0,0.5447200477804852,0.45527995221951484,0.0,0.45527995221951484,-758.1714595454832,758.1714595454796,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,7,37435.75042648554,26564.249573514462,0.0,64000.0,0.5849336004138366,0.4150663995861635,0.0,0.4150663995861635,1234.1436197651929,-1234.1436197651929,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,8,38446.134197096675,25553.865802903325,0.0,64000.0,0.6007208468296356,0.39927915317036444,0.0,0.39927915317036444,2355.1896433636066,-2355.1896433636066,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,9,38851.414616130656,25148.58538386935,0.0,64000.0,0.6070533533770415,0.3929466466229586,0.0,0.3929466466229586,2096.030870054121,-2096.0308700541173,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,10,35498.567402714325,28501.432597285682,0.0,64000.0,0.5546651156674113,0.4453348843325888,0.0,0.4453348843325888,907.813859232745,-907.8138592327414,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,11,34349.51306032907,29650.486939670933,0.0,64000.0,0.5367111415676417,0.46328885843235834,0.0,0.46328885843235834,301.10688380558713,-301.10688380558713,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,12,43436.03270716669,20563.96729283331,0.0,64000.0,0.6786880110494795,0.32131198895052043,0.0,0.32131198895052043,9387.093692779046,-9387.09369277905,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,13,40986.79476763621,23013.205232363794,0.0,64000.0,0.6404186682443158,0.3595813317556843,0.0,0.3595813317556843,-652.9609375761793,652.9609375761829,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,14,35628.900475425144,28371.099524574856,0.0,64000.0,0.5567015699285178,0.4432984300714821,0.0,0.4432984300714821,-3939.1605110005257,3939.1605110005257,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,15,36722.20814519058,27277.79185480942,0.0,64000.0,0.5737845022686029,0.4262154977313972,0.0,0.4262154977313972,4184.460479254027,-4184.460479254027,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,16,36068.258273610874,27931.74172638913,0.0,64000.0,0.5635665355251699,0.43643346447483017,0.0,0.43643346447483017,-3747.4507622819,3747.4507622819037,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,17,36131.551696788454,27868.448303211546,0.0,64000.0,0.5645554952623196,0.4354445047376804,0.0,0.4354445047376804,1772.4179935318534,-1772.4179935318534,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,18,33360.80510321281,30639.194896787194,0.0,64000.0,0.5212625797377002,0.47873742026229993,0.0,0.47873742026229993,-3847.1742850412193,3847.1742850412265,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,19,34602.09173301382,29397.908266986182,0.0,64000.0,0.5406576833283409,0.4593423166716591,0.0,0.4593423166716591,-4192.658143930712,4192.658143930708,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,20,39256.78801827066,24743.21198172935,0.0,64000.0,0.613387312785479,0.3866126872145211,0.0,0.3866126872145211,13.639920952904504,-13.639920952897228,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,21,36732.11390257212,27267.886097427887,0.0,64000.0,0.5739392797276894,0.42606072027231073,0.0,0.42606072027231073,1307.2494984466175,-1307.2494984466139,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,22,35999.648387757254,28000.35161224275,0.0,64000.0,0.5624945060587071,0.43750549394129296,0.0,0.43750549394129296,-1247.1865539323699,1247.1865539323735,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,23,37963.575579908604,26036.424420091396,0.0,64000.0,0.593180868436072,0.40681913156392807,0.0,0.40681913156392807,1136.2242386541693,-1136.224238654173,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,24,39882.85051335552,24117.14948664448,0.0,64000.0,0.62316953927118,0.37683046072882004,0.0,0.37683046072882004,631.1422835129051,-631.1422835129015,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,25,41739.09642432995,22260.90357567005,0.0,64000.0,0.6521733816301555,0.3478266183698445,0.0,0.3478266183698445,-2382.7532688177816,2382.7532688177853,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,26,33373.06588580482,30626.93411419518,0.0,64000.0,0.5214541544657003,0.4785458455342997,0.0,0.4785458455342997,1012.4490874308904,-1012.4490874308904,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,27,38746.281057361004,25253.718942638996,0.0,64000.0,0.6054106415212657,0.39458935847873433,0.0,0.39458935847873433,518.1943984168829,-518.1943984168865,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,28,34013.27624565751,29986.723754342496,0.0,64000.0,0.5314574413383986,0.4685425586616015,0.0,0.4685425586616015,265.4918698877809,-265.4918698877773,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,29,36302.560771309814,27697.439228690186,0.0,64000.0,0.5672275120517158,0.43277248794828416,0.0,0.43277248794828416,-9034.17341923852,9034.173419238512,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,30,38507.45174216723,25492.548257832772,0.0,64000.0,0.6016789334713629,0.3983210665286371,0.0,0.3983210665286371,879.35787794114,-879.3578779411437,0.0,True,True
3,layer_once_ttl_5ms,Layer once: TTL 5 ms,31,39119.84336675355,24880.15663324645,0.0,64000.0,0.6112475526055242,0.3887524473944758,0.0,0.3887524473944758,257.3738699880414,-257.37386998804504,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",0,35510.97960273769,28489.020397262306,7.275957614183426e-12,64000.0,0.5548590562927763,0.4451409437072235,1.1368683772161603e-16,0.4451409437072236,-3031.9986344866265,3031.9986344866193,7.275957614183426e-12,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",1,33955.71106643589,30044.28893356411,0.0,64000.0,0.5305579854130608,0.4694420145869392,0.0,0.4694420145869392,-707.2656595992012,707.2656595991939,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",2,35551.60701741871,28448.392982581285,0.0,64000.0,0.5554938596471674,0.4445061403528326,0.0,0.4445061403528326,1850.491770753746,-1850.4917707537497,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",3,38819.490239017054,25180.509760982946,0.0,64000.0,0.6065545349846415,0.39344546501535854,0.0,0.39344546501535854,2333.423004424527,-2333.4230044245305,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",4,38135.19566324334,25864.804336756653,0.0,64000.0,0.5958624322381773,0.4041375677618227,0.0,0.4041375677618227,-59.32309589427314,59.3230958942695,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",5,39357.379175095884,24642.620824904112,0.0,64000.0,0.6149590496108732,0.3850409503891267,0.0,0.3850409503891267,-1216.0942002693773,1216.0942002693737,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",6,41500.774654938476,22499.22534506152,0.0,64000.0,0.6484496039834137,0.3515503960165863,0.0,0.3515503960165863,5880.520137441941,-5880.5201374419485,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",7,35732.75418139436,28267.245818605636,0.0,64000.0,0.5583242840842869,0.44167571591571303,0.0,0.44167571591571303,-468.85262532598426,468.8526253259806,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",8,38542.78312066893,25457.216879331067,0.0,64000.0,0.602230986260452,0.3977690137395479,0.0,0.3977690137395479,2451.8385669358613,-2451.838566935865,0.0,True,True
