num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2
3,baseline,27,33,1083,3,86.44909594370984,126.05671618296765,126.05671618296765,143.18062248463684,22.483713937588618,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,4,126.05671618296765,165.3831932337489,165.3831932337489,182.5070995354181,22.202570749112056,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,5,165.3831932337489,212.2417900355067,212.2417900355067,229.3656963371759,29.734690500088618,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,6,212.2417900355067,250.67448351695202,250.67448351695202,267.7983898186212,21.308787179776118,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,7,250.67448351695202,295.61962817027234,295.61962817027234,312.74353447194153,27.821238351651118,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,8,295.61962817027234,336.7126915247645,336.7126915247645,353.8365978264337,23.969157052822993,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,9,336.7126915247645,377.65888903453015,377.65888903453015,394.78279533619934,23.82229120809643,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,10,377.65888903453015,414.78237841441296,414.78237841441296,431.90628471608215,19.999583078213618,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,11,414.78237841441296,448.82168505503796,448.82168505503796,465.94559135670715,16.915400338955806,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,12,448.82168505503796,487.96982500865124,487.96982500865124,505.09373131032044,22.024233651944087,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,13,487.96982500865124,525.3241035731044,525.3241035731044,542.4480098747736,20.23037226278393,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,14,525.3241035731044,567.3067543299403,567.3067543299403,584.4306606316095,24.858744455166743,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,33,1083,15,567.3067543299403,608.3116981775966,608.3116981775966,625.4356044792657,23.881037545987056,0.0837554931640625,0.0840911865234375,0.08929443359375
3,baseline,27,34,1115,0,-17.123906301669194,20.958407235928462,20.958407235928462,55.05918889063469,20.958407235928462,0.075531005859375,0.092315673828125,0.088623046875
