num_ssu,case,npu_id,sequence,request_id,layer,io_start_relative_to_admission_ms,io_ready_relative_to_admission_ms,compute_start_relative_to_admission_ms,compute_end_relative_to_admission_ms,io_barrier_wait_ms,work_gb_ssu0,work_gb_ssu1,work_gb_ssu2
3,adaptive_t0_i100ms,11,42,1355,7,275.079909493852,326.84172742598093,326.84172742598093,329.38788512890096,49.21566022920888,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,8,326.84172742598093,406.49756543867625,406.49756543867625,409.0437231415963,77.10968030977529,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,9,406.49756543867625,483.814040353227,483.814040353227,486.36019805614706,74.77031721163075,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,10,483.814040353227,519.7269355558637,519.7269355558637,522.2730932587838,33.36673749971669,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,11,519.7269355558637,537.2816001676802,537.2816001676802,539.8277578706002,15.00850690889638,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,12,537.2816001676802,554.8299705290083,554.8299705290083,557.3761282319283,15.002212658408098,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,13,554.8299705290083,572.1139823698286,572.1139823698286,574.6601400727486,14.737854137900285,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,14,572.1139823698286,588.9825736784223,588.9825736784223,591.5287313813424,14.322433605673723,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,42,1355,15,588.9825736784223,605.8217918180708,605.8217918180708,608.3679495209908,14.29306043672841,0.0908050537109375,0.0854339599609375,0.09223175048828125
3,adaptive_t0_i100ms,11,43,1387,0,-2.546157702920027,24.12887586641591,24.12887586641591,42.123525157450786,24.12887586641591,0.0401153564453125,0.048004150390625,0.0394439697265625
3,adaptive_t0_i100ms,11,43,1387,1,24.12887586641591,57.54714979219716,57.54714979219716,75.54179908323204,15.423624634746375,0.0401153564453125,0.048004150390625,0.0394439697265625
3,adaptive_t0_i100ms,11,43,1387,2,57.54714979219716,90.78918470430654,90.78918470430654,108.78383399534141,15.2473856210745,0.0401153564453125,0.048004150390625,0.0394439697265625
3,adaptive_t0_i100ms,11,43,1387,3,90.78918470430654,121.92474378633779,121.92474378633779,139.91939307737266,13.140909790996375,0.0401153564453125,0.048004150390625,0.0394439697265625
3,adaptive_t0_i100ms,11,43,1387,4,121.92474378633779,154.39048780489247,154.39048780489247,172.38513709592735,14.471094727519812,0.0401153564453125,0.048004150390625,0.0394439697265625
3,adaptive_t0_i100ms,11,43,1387,5,154.39048780489247,186.82685865450185,186.82685865450185,204.82150794553672,14.4417215585745,0.0401153564453125,0.048004150390625,0.0394439697265625
