scenario,seed,policy,window,U_percent,slo_percent,slo_count,slo_passed,arrival_slo_percent,timely_completions_per_second,total_completions_per_second,all_npus_active,all_disks_overload_percent,SSU0_mean_demand_GiB_s,SSU0_overload_percent,SSU0_actual_GiB_s,SSU1_mean_demand_GiB_s,SSU1_overload_percent,SSU1_actual_GiB_s,SSU2_mean_demand_GiB_s,SSU2_overload_percent,SSU2_actual_GiB_s,LL_slo_percent,LL_slo_count,LL_slo_passed,LL_active_U_percent,LS_slo_percent,LS_slo_count,LS_slo_passed,LS_active_U_percent,SL_slo_percent,SL_slo_count,SL_slo_passed,SL_active_U_percent,SS_slo_percent,SS_slo_count,SS_slo_passed,SS_active_U_percent,makespan_ms,manifest_sha256,result_sha256
semi,19,static,long_2_6s,99.3295349875024,100.0,335,335,0.0,83.75,83.75,True,19.355976256401288,33.91383458328116,19.355976256401288,33.41233025433119,33.92162744900029,19.355976256401288,33.420302971616344,33.921145796321206,19.355976256401288,33.41992531658705,100.0,142,142,99.18544902706735,100.0,32,32,99.53685524805341,100.0,125,125,99.7225220298326,100.0,36,36,99.9279639710564,11340.14980949263,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,76d287697e1c4445323498521e94bbe253d58503bd975d531f0bf9070c402991
semi,19,static,full_population,97.05178054648063,96.97916666666667,960,931,1.9791666666666667,82.09768086314672,84.65496630356698,False,19.808556475814136,34.20611332702322,19.808556475814136,,34.20783419820939,19.808556475814136,,34.20557102463826,19.808556475814136,,98.4375,384,378,98.50420529107268,93.75,96,90,91.06805935832551,97.13541666666667,384,373,98.10819860866056,93.75,96,90,93.07986339862178,11340.14980949263,07b556cb9d3d1c7a2a745a39dc8208d6899379b5dbb947cd79cef4f1c131ba9b,76d287697e1c4445323498521e94bbe253d58503bd975d531f0bf9070c402991
semi,43,baseline,warm_2_4s,99.21139593688847,96.83544303797468,158,153,0.0,76.5,79.0,True,22.841404687918317,33.20850175064889,22.841404687918317,31.388709565426872,33.20274367553454,22.841404687918317,31.38451139843468,33.20259371536746,22.841404687918317,31.383250548337017,100.0,74,74,99.91222822690982,85.71428571428571,14,12,76.8309058543374,100.0,60,60,99.68644345920501,70.0,10,7,62.292905253425,11441.021481568712,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,384dc7a37d550b00301532f855402cc4669a588371314d1b22c5fd321becbfc5
semi,43,baseline,long_2_6s,99.02254499171059,94.46153846153847,325,307,0.0,77.25,81.25,True,26.50999442807114,34.72943022756613,26.790637744401092,32.25516341051409,34.736731067488854,26.50999442807114,32.26120489098283,34.73355897735484,26.790637744401092,32.2586442291176,100.0,143,143,99.89951948859948,87.5,32,28,79.9690938362403,100.0,122,122,99.65880301363656,50.0,28,14,54.76468762762077,11441.021481568712,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,384dc7a37d550b00301532f855402cc4669a588371314d1b22c5fd321becbfc5
semi,43,baseline,full_population,96.19610735353582,91.97916666666667,960,883,2.1875,77.17842339711517,83.90859168882284,False,30.00150729970328,36.88709254406836,30.099625572370478,,36.8873095533316,30.00150729970328,,36.88427715424489,30.099625572370478,,100.0,384,384,99.64529270395236,77.08333333333333,96,74,70.3835676527573,97.91666666666667,384,376,98.51949767443841,51.041666666666664,96,49,46.622168531620574,11441.021481568712,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,384dc7a37d550b00301532f855402cc4669a588371314d1b22c5fd321becbfc5
semi,43,mild,warm_2_4s,99.56907826178814,97.46835443037975,158,154,0.0,77.0,79.0,True,10.733614678595153,32.38932566153021,10.733614678595153,31.607157345422184,32.384343510137334,10.733614678595153,31.602877255090142,32.38233861474587,10.733614678595153,31.600443478234666,100.0,74,74,99.89005590741506,73.33333333333333,15,11,82.89004007988476,100.0,61,61,99.82155078062324,100.0,8,8,97.86856823387839,11348.66547158898,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,4cc2b86d62a184623a90e492ca6ff11a353f2e5baaf963ef8f9a8fbf38f3574f
semi,43,mild,long_2_6s,99.43727716797065,98.79518072289157,332,328,0.0,82.0,83.0,True,17.05978285633779,33.745225860136756,17.05978285633779,32.62852763315024,33.75209722132879,17.05978285633779,32.63545130868735,33.748340635703045,17.05978285633779,32.63184260507406,100.0,143,143,99.68560493640945,87.5,32,28,83.84038130495837,100.0,130,130,99.90498845025121,100.0,27,27,96.97639380844683,11348.66547158898,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,4cc2b86d62a184623a90e492ca6ff11a353f2e5baaf963ef8f9a8fbf38f3574f
semi,43,mild,full_population,96.97895610989366,97.39583333333333,960,935,2.5,82.38854183698889,84.59144402514369,False,22.548890511767404,34.86880615549871,22.548890511767404,,34.870293609309954,22.553255675789497,,34.86827739122291,22.553255675789497,,98.4375,384,378,98.41294204625689,87.5,96,84,80.33731172026403,98.4375,384,378,98.85641068464652,98.95833333333333,96,95,96.14626554621807,11348.66547158898,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,4cc2b86d62a184623a90e492ca6ff11a353f2e5baaf963ef8f9a8fbf38f3574f
semi,43,aggressive,warm_2_4s,99.59846892497244,97.46835443037975,158,154,0.0,77.0,79.0,True,12.178369733703471,32.23495254923177,12.178369733703471,31.254356028267722,32.23106564024199,12.178369733703471,31.250243784615378,32.22845116181671,12.178369733703471,31.247642161080215,100.0,74,74,99.95971805519386,71.42857142857143,14,10,80.07005384242767,100.0,62,62,99.87503320721345,100.0,8,8,98.15996435522615,11374.318555492053,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,cc3b8aae1ea2e91254604fabdbc47d47e935d11837a4296465ecee43add032b9
semi,43,aggressive,long_2_6s,99.52180199342328,98.79154078549848,331,327,0.0,81.75,82.75,True,18.43738898318469,33.52765259281429,18.43738898318469,32.46617661594933,33.53503283022129,18.43738898318469,32.473016368146595,33.5312457141113,18.43738898318469,32.469575511212994,100.0,142,142,99.78887535821553,87.09677419354838,31,27,84.1690885061584,100.0,131,131,99.90635625624006,100.0,27,27,95.65997581759264,11374.318555492053,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,cc3b8aae1ea2e91254604fabdbc47d47e935d11837a4296465ecee43add032b9
semi,43,aggressive,full_population,96.76023449718498,96.5625,960,927,2.1875,81.49938789540944,84.40066060366026,False,22.46782723562716,34.684432291086765,22.46782723562716,,34.68600758871377,22.46782723562716,,34.683722530362886,22.46782723562716,,97.91666666666667,384,376,98.41222069702155,86.45833333333333,96,83,82.60753227431928,98.17708333333333,384,377,98.71780729946032,94.79166666666667,96,91,91.20712500213341,11374.318555492053,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,cc3b8aae1ea2e91254604fabdbc47d47e935d11837a4296465ecee43add032b9
semi,43,static,warm_2_4s,99.44252679096155,100.0,159,159,0.0,79.5,79.5,True,12.724108341313128,31.953570380567236,12.724108341313128,31.74638372741736,31.949350920542322,12.724108341313128,31.74210363708533,31.947376019873722,12.724108341313128,31.73966986022985,100.0,75,75,99.39286215731852,100.0,14,14,96.76261219439313,100.0,62,62,99.73334788113878,100.0,8,8,100.0,11382.773280188243,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,a8746776533e0738a1a835147d905aca9538bab57d6b1dc6eec9dac8eed8539b
semi,43,static,long_2_6s,99.45084682708176,100.0,333,333,0.0,83.25,83.25,True,18.994141252464114,33.10009912141642,18.994141252464114,32.67025242967613,33.10723497126602,18.994141252464114,32.67713414354332,33.103799405913726,18.994141252464114,32.67356740159995,100.0,145,145,99.36866617809967,100.0,31,31,98.24187995250607,100.0,129,129,99.75165589623275,100.0,28,28,99.9833231964184,11382.773280188243,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,a8746776533e0738a1a835147d905aca9538bab57d6b1dc6eec9dac8eed8539b
semi,43,static,full_population,96.688364389253,97.70833333333333,960,938,2.8125,82.40522559055027,84.33797075365486,False,22.257343196623562,34.152032840697224,22.257343196623562,,34.15354346928734,22.29777005980611,,34.151695446783556,22.257343196623562,,97.91666666666667,384,376,98.02794153052177,93.75,96,90,92.55509576803408,98.17708333333333,384,377,98.32475751489763,98.95833333333333,96,95,98.57102614524506,11382.773280188243,a427f2114c8969f54e4c6a15ba23fd4738561a75afcddb1892799836a04b3129,a8746776533e0738a1a835147d905aca9538bab57d6b1dc6eec9dac8eed8539b
full,43,baseline,warm_2_4s,59.49004214281458,41.39784946236559,186,77,0.0,36.0,93.0,True,100.0,135.0696056090991,100.0,40.0,135.1090264781886,100.0,40.0,135.05867664740637,100.0,40.0,93.33333333333333,60,56,91.32881238814545,0.0,50,0,21.03892652513789,50.0,42,21,68.31049674201459,0.0,34,0,10.401637961580382,13536.92468298519,a599c1ed8effea4d9b96cc0ca774cb22fb59c034e2c074658c2411354d5311ac,151a80aa16ead2e443daf089a8a724fca6f5401e82598f0acdb197c568eef740
full,43,baseline,long_2_6s,65.111185258541,42.52577319587629,388,165,0.0,39.0,97.0,True,100.0,118.46016091081009,100.0,40.0,118.48337246246318,100.0,40.0,118.44801650516395,100.0,40.0,95.2,125,119,93.37948835864138,0.0,95,0,23.22697240155614,44.23076923076923,104,46,68.78998261362733,0.0,64,0,11.617422989293427,13536.92468298519,a599c1ed8effea4d9b96cc0ca774cb22fb59c034e2c074658c2411354d5311ac,151a80aa16ead2e443daf089a8a724fca6f5401e82598f0acdb197c568eef740
