profile_id,total_length_k,miss_tokens,miss_fraction,cached_tokens,category,layer_compute_ms,layer_read_gib,layer_read_mib,nominal_B_gib_s,source_ttft_78_layers_ms,exact_176kib_blocks,chosen_diverse_catalog
L80_M2048,80,2048,0.025,79872,SL,30.475232543852318,0.104736328125,107.25,3.436768791650391,2377.068138420481,True,True
L80_M4096,80,4096,0.05,77824,SL,60.80510334800196,0.10205078125,104.5,1.6783259238281252,4742.798061144153,True,True
L96_M64,96,64,0.0006510416666666666,98240,LS,1.4556386842956937,0.12882232666015625,131.9140625,88.49883425740815,113.5398173750641,False,False
L96_M128,96,128,0.0013020833333333333,98176,LS,2.520203244593126,0.1287384033203125,131.828125,51.082548043103024,196.57585307826383,True,False
L96_M256,96,256,0.0026041666666666665,98048,LS,4.681834187647281,0.128570556640625,131.65625,27.461578408703613,365.183066636488,True,False
L96_M512,96,512,0.005208333333333333,97792,LL,9.070841799535495,0.12823486328125,131.3125,14.137041094445799,707.5256603637688,True,False
L96_M1024,96,1024,0.010416666666666666,97280,LL,17.994649291033316,0.1275634765625,130.625,7.088967086791992,1403.5826447005984,True,False
L96_M2048,96,2048,0.020833333333333332,96256,LL,35.843938102938495,0.126220703125,129.25,3.521396079931641,2795.8271720292028,True,False
L96_M4096,96,4096,0.041666666666666664,94208,LL,71.5425212903747,0.12353515625,126.5,1.7267375264648437,5580.316660649225,True,False
L112_M64,112,64,0.0005580357142857143,114624,LS,1.623410848883137,0.15030670166015625,153.9140625,92.58697621958314,126.62604621288467,False,False
L112_M128,112,128,0.0011160714285714285,114560,LS,2.8557475535748824,0.1502227783203125,153.828125,52.60366173902893,222.7483091788408,True,False
L112_M256,112,256,0.002232142857142857,114432,LS,5.352922975902714,0.150054931640625,153.65625,28.03233528973389,417.5279921204117,True,False
L112_M512,112,512,0.004464285714285714,114176,LL,10.413018725881523,0.14971923828125,153.3125,14.378082112646483,812.2154606187587,True,False
L112_M1024,112,1024,0.008928571428571428,113664,LL,20.679003603055826,0.1490478515625,152.625,7.207690197436523,1612.9622810383544,True,False
L112_M2048,112,2048,0.017857142857142856,112640,LL,41.21264753509627,0.147705078125,151.25,3.583974506835938,3214.5865077375097,True,False
L112_M4096,112,4096,0.03571428571428571,110592,LL,82.27992809787469,0.14501953125,148.5,1.7625140736328122,6417.834391634225,True,False
L128_M64,128,64,0.00048828125,131008,LS,1.7911829932095533,0.17179107666015625,175.9140625,95.90928303329315,139.71227347034514,False,False
L128_M128,128,128,0.0009765625,130944,LS,3.1912918804865735,0.1717071533203125,175.828125,53.80490401715698,248.92076667795274,True,False
L128_M256,128,256,0.001953125,130816,LS,6.024011548589168,0.171539306640625,175.65625,28.475925926934814,469.87290078995505,True,True
L128_M512,128,512,0.00390625,130560,LL,11.755196923775936,0.17120361328125,175.3125,14.564078712707518,916.9053600545228,True,False
L128_M1024,128,1024,0.0078125,130048,LL,23.363359736359623,0.1705322265625,174.625,7.299131138964844,1822.3420594360507,True,True
L128_M2048,128,2048,0.015625,129024,LL,46.58135868432481,0.169189453125,173.25,3.6321279134765616,3633.3459773773347,True,True
L128_M4096,128,4096,0.03125,126976,LL,93.01732520235409,0.16650390625,170.5,1.7900311139648435,7255.351365783618,True,True
L144_M64,144,64,0.00043402777777777775,147392,LS,1.95895514742287,0.19327545166015625,197.9140625,98.66252012682496,152.79850149898385,False,False
L144_M128,144,128,0.0008680555555555555,147328,LS,3.5268362439928436,0.19319152832031253,197.82812500000003,54.777572576376336,275.0932270314418,True,False
L144_M256,144,256,0.001736111111111111,147200,LS,6.695100114121732,0.193023681640625,197.65625,28.8305892892456,522.217808901495,True,False
L144_M512,144,512,0.003472222222222222,146944,LL,13.097374286339464,0.19268798828125,197.3125,14.711955546862793,1021.5951943344782,True,False
L144_M1024,144,1024,0.006944444444444444,146432,LL,26.047713806224994,0.1920166015625,196.625,7.371725710400391,2031.7216768855494,True,False
L144_M2048,144,2048,0.013888888888888888,145408,LL,51.95006680103239,0.19067382812500003,195.25000000000003,3.6703288343261726,4052.1052104805262,True,False
L144_M4096,144,4096,0.027777777777777776,143360,LL,103.75479256356199,0.18798828125,192.5,1.8118515454101565,8092.873819957836,True,False
L160_M64,160,64,0.000390625,163776,LS,2.1267273113337923,0.21475982666015625,219.9140625,100.98136489603272,165.8847302840358,False,False
L160_M128,160,128,0.00078125,163712,LS,3.8623805178090707,0.21467590332031253,219.82812500000003,55.58124123981629,301.2656803891075,True,False
L160_M256,160,256,0.0015625,163584,LS,7.366188833782921,0.214508056640625,219.65625,29.120629606567384,574.5627290350678,True,True
L160_M512,160,512,0.003125,163328,LL,14.439550284018445,0.21417236328125,219.3125,14.832343048681642,1126.2849221534389,True,False
L160_M1024,160,1024,0.00625,162816,LL,28.732067426025328,0.21350097656250003,218.62500000000003,7.430755796191407,2241.1012592299758,True,True
L160_M2048,160,2048,0.0125,161792,LL,57.31877271428324,0.21215820312500003,217.25000000000003,3.7013737921875007,4470.864271714094,True,True
L160_M4096,160,4096,0.025,159744,LL,114.4921718038388,0.20947265625,214.5,1.8295805988281253,8930.389400699427,True,True
L176_M64,176,64,0.0003551136363636364,180160,LS,2.2944994726375185,0.23624420166015628,241.91406250000003,102.96110523337558,178.97095886572646,False,False
L176_M128,176,128,0.0007102272727272727,180096,LS,4.197924834778913,0.23616027832031253,241.82812500000003,56.256433265258806,327.43813711275527,True,False
L176_M256,176,256,0.0014204545454545455,179968,LS,8.037277445758114,0.235992431640625,241.65625,29.362235313299564,626.9076407691329,True,False
L176_M512,176,512,0.002840909090909091,179712,LL,15.781728493623882,0.23565673828125,241.3125,14.932251456262208,1230.9748225026628,True,False
L176_M1024,176,1024,0.005681818181818182,179200,LL,31.416419055018245,0.2349853515625,240.625,7.479698789062499,2450.480686291423,True,False
L176_M2048,176,2048,0.011363636363636364,178176,LL,62.68748809016086,0.233642578125,239.25,3.7271006582519526,4889.624071032547,True,False
L176_M4096,176,4096,0.022727272727272728,176128,LL,125.22954889386118,0.23095703125000003,236.50000000000003,1.844269449902344,9767.904813721172,True,False
L192_M64,192,64,0.0003255208333333333,196544,LS,2.462271627538277,0.25772857666015625,263.9140625,104.67105813091278,192.05718694798563,False,False
L192_M128,192,128,0.0006510416666666666,196480,LS,4.533469108194381,0.2576446533203125,263.828125,56.83167728100585,353.61059043916174,True,False
L192_M256,192,256,0.0013020833333333333,196352,LS,8.708365857991268,0.257476806640625,263.65625,29.56660421017456,679.2525369233189,True,False
L192_M512,192,512,0.0026041666666666665,196096,LL,17.12390630166978,0.25714111328125,263.3125,15.0164984993042,1335.6646915302429,True,False
L192_M1024,192,1024,0.005208333333333333,195584,LL,34.100781654707006,0.2564697265625,262.625,7.520933952758791,2659.8609690671465,True,False
L192_M2048,192,2048,0.010416666666666666,194560,LL,68.05618615283375,0.255126953125,261.25,3.748769473388672,5308.382519921032,True,False
L192_M4096,192,4096,0.020833333333333332,192512,LL,135.967080955643,0.25244140625,258.5,1.8566362127929688,10605.432314540154,True,False
L200_M64,200,64,0.0003125,204736,LS,2.546157702920765,0.26847076416015625,274.9140625,105.44153013467559,198.6003008278197,False,False
L200_M128,200,128,0.000625,204672,LS,4.701241393630131,0.2683868408203125,274.828125,57.08850457752686,366.69682870315023,True,False
L200_M256,200,256,0.00125,204544,LS,9.043910535256627,0.268218994140625,274.65625,29.65741347119751,705.425021750017,True,True
L200_M512,200,512,0.0025,204288,LL,17.794995171132317,0.26788330078125,274.3125,15.053856334606934,1388.0096233483205,True,False
L200_M1024,200,1024,0.005,203776,LL,35.44295093756352,0.26721191406250006,273.62500000000006,7.539211803588867,2764.5501731299546,True,True
L200_M2048,200,2048,0.01,202752,LL,70.74053784115809,0.26586914062500006,272.25000000000006,3.7583703593261726,5517.761951610331,True,True
L200_M4096,200,4096,0.02,200704,LL,141.33578827944143,0.26318359375,269.5,1.8621157242187503,11024.191485796431,True,True
