scenario,seed,policy,window,profile,count,passed,percent
semi,19,aggressive,warm_2_4s,64:256,4,4,100.0
semi,19,aggressive,warm_2_4s,64:4096,10,10,100.0
semi,19,aggressive,warm_2_4s,80:1024,4,4,100.0
semi,19,aggressive,warm_2_4s,80:2048,6,6,100.0
semi,19,aggressive,warm_2_4s,80:256,7,7,100.0
semi,19,aggressive,warm_2_4s,80:4096,14,14,100.0
semi,19,aggressive,long_2_6s,128:1024,13,13,100.0
semi,19,aggressive,long_2_6s,128:2048,7,7,100.0
semi,19,aggressive,long_2_6s,128:256,10,9,90.0
semi,19,aggressive,long_2_6s,128:4096,25,25,100.0
semi,19,aggressive,long_2_6s,160:1024,12,12,100.0
semi,19,aggressive,long_2_6s,160:2048,17,17,100.0
semi,19,aggressive,long_2_6s,160:256,12,12,100.0
semi,19,aggressive,long_2_6s,160:4096,21,21,100.0
semi,19,aggressive,long_2_6s,200:1024,10,10,100.0
semi,19,aggressive,long_2_6s,200:2048,13,13,100.0
semi,19,aggressive,long_2_6s,200:256,9,9,100.0
semi,19,aggressive,long_2_6s,200:4096,24,24,100.0
semi,19,aggressive,long_2_6s,32:1024,12,12,100.0
semi,19,aggressive,long_2_6s,32:2048,15,15,100.0
semi,19,aggressive,long_2_6s,32:256,11,11,100.0
semi,19,aggressive,long_2_6s,32:4096,15,15,100.0
semi,19,aggressive,long_2_6s,64:1024,8,8,100.0
semi,19,aggressive,long_2_6s,64:2048,12,12,100.0
semi,19,aggressive,long_2_6s,64:256,10,10,100.0
semi,19,aggressive,long_2_6s,64:4096,21,21,100.0
semi,19,aggressive,long_2_6s,80:1024,10,10,100.0
semi,19,aggressive,long_2_6s,80:2048,8,8,100.0
semi,19,aggressive,long_2_6s,80:256,13,13,100.0
semi,19,aggressive,long_2_6s,80:4096,24,24,100.0
semi,19,aggressive,full_population,128:1024,32,31,96.875
semi,19,aggressive,full_population,128:2048,32,31,96.875
semi,19,aggressive,full_population,128:256,32,28,87.5
semi,19,aggressive,full_population,128:4096,64,64,100.0
semi,19,aggressive,full_population,160:1024,32,31,96.875
semi,19,aggressive,full_population,160:2048,32,32,100.0
semi,19,aggressive,full_population,160:256,32,32,100.0
semi,19,aggressive,full_population,160:4096,64,64,100.0
semi,19,aggressive,full_population,200:1024,32,29,90.625
semi,19,aggressive,full_population,200:2048,32,32,100.0
semi,19,aggressive,full_population,200:256,32,28,87.5
semi,19,aggressive,full_population,200:4096,64,64,100.0
semi,19,aggressive,full_population,32:1024,32,31,96.875
semi,19,aggressive,full_population,32:2048,32,30,93.75
semi,19,aggressive,full_population,32:256,32,30,93.75
semi,19,aggressive,full_population,32:4096,64,64,100.0
semi,19,aggressive,full_population,64:1024,32,32,100.0
semi,19,aggressive,full_population,64:2048,32,32,100.0
