scenario,policy,seed,window,profile,count,passed,percent
semi,once,19,full_population,64:4096,64,64,100.0
semi,once,19,full_population,80:1024,32,31,96.875
semi,once,19,full_population,80:2048,32,32,100.0
semi,once,19,full_population,80:256,32,30,93.75
semi,once,19,full_population,80:4096,64,64,100.0
semi,once,43,warm_2_4s,128:1024,1,1,100.0
semi,once,43,warm_2_4s,128:2048,5,5,100.0
semi,once,43,warm_2_4s,128:256,4,4,100.0
semi,once,43,warm_2_4s,128:4096,18,18,100.0
semi,once,43,warm_2_4s,160:1024,5,5,100.0
semi,once,43,warm_2_4s,160:2048,7,7,100.0
semi,once,43,warm_2_4s,160:256,6,6,100.0
semi,once,43,warm_2_4s,160:4096,18,18,100.0
semi,once,43,warm_2_4s,200:1024,5,5,100.0
semi,once,43,warm_2_4s,200:2048,8,8,100.0
semi,once,43,warm_2_4s,200:256,5,5,100.0
semi,once,43,warm_2_4s,200:4096,6,6,100.0
semi,once,43,warm_2_4s,32:1024,4,4,100.0
semi,once,43,warm_2_4s,32:2048,2,2,100.0
semi,once,43,warm_2_4s,32:256,2,2,100.0
semi,once,43,warm_2_4s,32:4096,12,12,100.0
semi,once,43,warm_2_4s,64:1024,6,6,100.0
semi,once,43,warm_2_4s,64:2048,4,4,100.0
semi,once,43,warm_2_4s,64:256,3,3,100.0
semi,once,43,warm_2_4s,64:4096,9,9,100.0
semi,once,43,warm_2_4s,80:1024,6,6,100.0
semi,once,43,warm_2_4s,80:2048,7,7,100.0
semi,once,43,warm_2_4s,80:256,3,3,100.0
semi,once,43,warm_2_4s,80:4096,8,8,100.0
semi,once,43,long_2_6s,128:1024,8,7,87.5
semi,once,43,long_2_6s,128:2048,15,15,100.0
semi,once,43,long_2_6s,128:256,10,10,100.0
semi,once,43,long_2_6s,128:4096,22,22,100.0
semi,once,43,long_2_6s,160:1024,8,8,100.0
semi,once,43,long_2_6s,160:2048,15,15,100.0
semi,once,43,long_2_6s,160:256,10,10,100.0
semi,once,43,long_2_6s,160:4096,38,38,100.0
semi,once,43,long_2_6s,200:1024,10,10,100.0
semi,once,43,long_2_6s,200:2048,15,15,100.0
semi,once,43,long_2_6s,200:256,12,12,100.0
semi,once,43,long_2_6s,200:4096,14,14,100.0
semi,once,43,long_2_6s,32:1024,10,10,100.0
semi,once,43,long_2_6s,32:2048,8,8,100.0
semi,once,43,long_2_6s,32:256,9,9,100.0
semi,once,43,long_2_6s,32:4096,26,26,100.0
semi,once,43,long_2_6s,64:1024,14,14,100.0
semi,once,43,long_2_6s,64:2048,8,8,100.0
semi,once,43,long_2_6s,64:256,12,12,100.0
semi,once,43,long_2_6s,64:4096,19,19,100.0
semi,once,43,long_2_6s,80:1024,9,9,100.0
semi,once,43,long_2_6s,80:2048,13,13,100.0
semi,once,43,long_2_6s,80:256,7,7,100.0
semi,once,43,long_2_6s,80:4096,18,18,100.0
semi,once,43,full_population,128:1024,32,25,78.125
semi,once,43,full_population,128:2048,32,32,100.0
semi,once,43,full_population,128:256,32,27,84.375
semi,once,43,full_population,128:4096,64,64,100.0
semi,once,43,full_population,160:1024,32,29,90.625
semi,once,43,full_population,160:2048,32,32,100.0
semi,once,43,full_population,160:256,32,31,96.875
semi,once,43,full_population,160:4096,64,64,100.0
semi,once,43,full_population,200:1024,32,32,100.0
semi,once,43,full_population,200:2048,32,32,100.0
semi,once,43,full_population,200:256,32,31,96.875
semi,once,43,full_population,200:4096,64,64,100.0
semi,once,43,full_population,32:1024,32,30,93.75
semi,once,43,full_population,32:2048,32,30,93.75
semi,once,43,full_population,32:256,32,31,96.875
semi,once,43,full_population,32:4096,64,64,100.0
semi,once,43,full_population,64:1024,32,31,96.875
semi,once,43,full_population,64:2048,32,32,100.0
semi,once,43,full_population,64:256,32,32,100.0
semi,once,43,full_population,64:4096,64,64,100.0
semi,once,43,full_population,80:1024,32,29,90.625
semi,once,43,full_population,80:2048,32,32,100.0
semi,once,43,full_population,80:256,32,32,100.0
semi,once,43,full_population,80:4096,64,64,100.0
full,once,7,warm_2_4s,128:1024,7,0,0.0
full,once,7,warm_2_4s,128:2048,6,0,0.0
full,once,7,warm_2_4s,128:256,16,12,75.0
full,once,7,warm_2_4s,128:4096,4,4,100.0
full,once,7,warm_2_4s,160:1024,14,0,0.0
full,once,7,warm_2_4s,160:2048,6,1,16.666666666666668
full,once,7,warm_2_4s,160:256,13,9,69.23076923076923
full,once,7,warm_2_4s,160:4096,3,3,100.0
full,once,7,warm_2_4s,200:1024,12,0,0.0
full,once,7,warm_2_4s,200:2048,3,1,33.333333333333336
full,once,7,warm_2_4s,200:256,15,12,80.0
full,once,7,warm_2_4s,200:4096,5,5,100.0
full,once,7,warm_2_4s,32:1024,14,13,92.85714285714286
full,once,7,warm_2_4s,32:2048,8,8,100.0
full,once,7,warm_2_4s,32:256,12,12,100.0
full,once,7,warm_2_4s,32:4096,5,5,100.0
full,once,7,warm_2_4s,64:1024,15,15,100.0
full,once,7,warm_2_4s,64:2048,2,2,100.0
full,once,7,warm_2_4s,64:256,11,10,90.9090909090909
full,once,7,warm_2_4s,64:4096,3,3,100.0
full,once,7,warm_2_4s,80:1024,9,9,100.0
full,once,7,warm_2_4s,80:2048,6,6,100.0
full,once,7,warm_2_4s,80:256,18,18,100.0
full,once,7,warm_2_4s,80:4096,3,3,100.0
full,once,7,long_2_6s,128:1024,23,0,0.0
full,once,7,long_2_6s,128:2048,10,2,20.0
full,once,7,long_2_6s,128:256,31,24,77.41935483870968
full,once,7,long_2_6s,128:4096,10,10,100.0
full,once,7,long_2_6s,160:1024,28,0,0.0
full,once,7,long_2_6s,160:2048,12,3,25.0
full,once,7,long_2_6s,160:256,27,21,77.77777777777777
full,once,7,long_2_6s,160:4096,8,8,100.0
full,once,7,long_2_6s,200:1024,22,0,0.0
full,once,7,long_2_6s,200:2048,8,6,75.0
full,once,7,long_2_6s,200:256,25,20,80.0
full,once,7,long_2_6s,200:4096,8,8,100.0
full,once,7,long_2_6s,32:1024,25,24,96.0
full,once,7,long_2_6s,32:2048,14,14,100.0
full,once,7,long_2_6s,32:256,25,25,100.0
full,once,7,long_2_6s,32:4096,11,11,100.0
full,once,7,long_2_6s,64:1024,22,22,100.0
full,once,7,long_2_6s,64:2048,9,9,100.0
full,once,7,long_2_6s,64:256,24,23,95.83333333333333
full,once,7,long_2_6s,64:4096,7,7,100.0
full,once,7,long_2_6s,80:1024,19,19,100.0
full,once,7,long_2_6s,80:2048,9,9,100.0
full,once,7,long_2_6s,80:256,29,29,100.0
full,once,7,long_2_6s,80:4096,10,10,100.0
full,once,7,full_population,128:1024,64,1,1.5625
full,once,7,full_population,128:2048,32,5,15.625
full,once,7,full_population,128:256,96,61,63.541666666666664
full,once,7,full_population,128:4096,32,32,100.0
full,once,7,full_population,160:1024,64,0,0.0
full,once,7,full_population,160:2048,32,8,25.0
full,once,7,full_population,160:256,96,63,65.625
full,once,7,full_population,160:4096,32,32,100.0
full,once,7,full_population,200:1024,64,0,0.0
full,once,7,full_population,200:2048,32,20,62.5
full,once,7,full_population,200:256,96,74,77.08333333333333
full,once,7,full_population,200:4096,32,32,100.0
