policy,request_id,npu_id,role,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,slo_1_pass,slo_1p5_pass_recomputed,plot_ratio
static_aggressive,3000017,3,A,3468.620988575327,3526.157539123552,57.53655054822502,48.19209238871334,1.193900237494153,True,False,False,True,1.193900237494153
static_aggressive,3000018,3,B,3526.157539123552,3816.5003111102446,290.3427719866927,228.74273596704626,1.2692983266079358,True,False,False,True,1.2692983266079358
static_aggressive,3000019,3,A,3816.5003111102446,3870.1004039051404,53.60009279489577,48.19209238871334,1.112217588781204,True,False,False,True,1.112217588781204
static_aggressive,3000020,3,B,3870.1004039051404,4098.843139872188,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
static_aggressive,4000011,4,B,2038.465201915215,2387.7141735786136,349.2489716633986,228.74273596704626,1.5268199455029385,False,False,False,False,1.5268199455029385
static_aggressive,4000012,4,A,2387.7141735786136,2439.152083174065,51.4379095954514,48.19209238871334,1.067351655548748,True,False,False,True,1.067351655548748
static_aggressive,4000013,4,B,2439.152083174065,2667.8948191411123,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,4000014,4,B,2667.8948191411123,2903.7528428560295,235.85802371491718,228.74273596704626,1.0311060708345117,True,False,False,True,1.0311060708345117
static_aggressive,4000015,4,B,2903.7528428560295,3149.4166441462403,245.6638012902108,228.74273596704626,1.0739742193413402,True,False,False,True,1.0739742193413402
static_aggressive,4000016,4,A,3149.4166441462403,3198.420298372823,49.00365422658251,48.19209238871334,1.0168401452944433,True,False,False,True,1.0168401452944433
static_aggressive,4000017,4,B,3198.420298372823,3427.16303433987,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,4000018,4,A,3427.16303433987,3491.392495593279,64.22946125340877,48.19209238871334,1.3327800904625466,True,False,False,True,1.3327800904625466
static_aggressive,4000019,4,B,3491.392495593279,3731.0582189264383,239.66572333315935,228.74273596704626,1.0477522808317143,True,False,False,True,1.0477522808317143
static_aggressive,4000020,4,B,3731.0582189264383,4033.27084220412,302.2126232776818,228.74273596704626,1.3211900347350045,True,True,False,True,1.3211900347350045
static_aggressive,5000012,5,A,2276.9601616534705,2325.1522540421824,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
static_aggressive,5000013,5,B,2325.1522540421824,2556.4170192639617,231.26476522177927,228.74273596704626,1.0110256146236545,True,False,False,True,1.0110256146236545
static_aggressive,5000014,5,B,2556.4170192639617,2837.8010059064723,281.38398664251054,228.74273596704626,1.2301329939633494,True,False,False,True,1.2301329939633494
static_aggressive,5000015,5,B,2837.8010059064723,3107.995919655242,270.1949137487695,228.74273596704626,1.1812174607708419,True,False,False,True,1.1812174607708419
static_aggressive,5000016,5,B,3107.995919655242,3336.738655622289,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,5000017,5,B,3336.738655622289,3576.933324314559,240.19466869226972,228.74273596704626,1.0500646837015768,True,False,False,True,1.0500646837015768
static_aggressive,5000018,5,B,3576.933324314559,3889.3543624286044,312.4210381140456,228.74273596704626,1.365818402028095,True,False,False,True,1.365818402028095
static_aggressive,5000019,5,B,3889.3543624286044,4118.097098395651,228.74273596704688,228.74273596704626,1.0000000000000027,True,True,True,True,1.0
static_aggressive,6000009,6,B,2304.625390632963,2533.3681266000103,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,6000010,6,B,2533.3681266000103,2799.007481952584,265.6393553525736,228.74273596704626,1.161301818960681,True,False,False,True,1.161301818960681
static_aggressive,6000011,6,B,2799.007481952584,3027.7502179196313,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,6000012,6,B,3027.7502179196313,3262.933546522529,235.18332860289775,228.74273596704626,1.0281564903410938,True,False,False,True,1.0281564903410938
static_aggressive,6000013,6,B,3262.933546522529,3500.659276675336,237.72573015280705,228.74273596704626,1.0392711670068286,True,False,False,True,1.0392711670068286
static_aggressive,6000014,6,B,3500.659276675336,3729.4020126423834,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,6000015,6,B,3729.4020126423834,4064.4402307332043,335.0382180908209,228.74273596704626,1.4646944598017229,True,True,False,True,1.4646944598017229
static_aggressive,7000009,7,B,2015.0839993236311,2344.5605720087265,329.47657268509533,228.74273596704626,1.4403804837438041,True,False,False,True,1.4403804837438041
static_aggressive,7000010,7,A,2344.5605720087265,2392.7612740876093,48.20070207888284,48.19209238871334,1.0001786535869839,True,False,False,True,1.0001786535869839
static_aggressive,7000011,7,B,2392.7612740876093,2635.506955066058,242.7456809784485,228.74273596704626,1.0612170041256286,True,False,False,True,1.0612170041256286
static_aggressive,7000012,7,B,2635.506955066058,2875.0507005183513,239.54374545229348,228.74273596704626,1.0472190272604034,True,False,False,True,1.0472190272604034
static_aggressive,7000013,7,B,2875.0507005183513,3111.730708278289,236.68000775993778,228.74273596704626,1.0346995578213027,True,False,False,True,1.0346995578213027
static_aggressive,7000014,7,B,3111.730708278289,3348.2421018070468,236.5113935287577,228.74273596704626,1.0339624230202031,True,False,False,True,1.0339624230202031
static_aggressive,7000015,7,B,3348.2421018070468,3610.0704550518635,261.82835324481675,228.74273596704626,1.1446411713923759,True,False,False,True,1.1446411713923759
static_aggressive,7000016,7,A,3610.0704550518635,3667.874528050648,57.804072998784704,48.19209238871334,1.1994514065200146,True,False,False,True,1.1994514065200146
static_aggressive,7000017,7,B,3667.874528050648,3957.3156032563033,289.4410752056551,228.74273596704626,1.265356357577857,True,False,False,True,1.265356357577857
static_aggressive,7000018,7,A,3957.3156032563033,4011.517680723599,54.20207746729557,48.19209238871334,1.1247089466484708,True,True,False,True,1.1247089466484708
static_aggressive,8000009,8,A,2330.226365563414,2378.418457952126,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
static_aggressive,8000010,8,A,2378.418457952126,2431.2567811469607,52.83832319483463,48.19209238871334,1.096410646971814,True,False,False,True,1.096410646971814
