case,candidate,strategy,input_family,constructed_profile,constructed_long_profile,order,seed,num_ssu,window_start_s,window_end_s,U_percent,all_32_active,long_short_mixed_cards,long_short_mixed_pass,all_profile_mixed_cards,short_conditional_U_percent,short_window_card_time_share_percent,short_complete_internal_cycles,short_mean_stall_ms_including_zeros,short_duration_weighted_internal_U_percent,ideal_load_ratio,per_ssu_peak_demand_GiB_s,any_ssu_over_nominal_percent,nominal_within_disk_capacity,actual_ssd_mean_busy_percent,actual_ssd_total_GiB_s,actual_npu_receive_total_GiB_s,slo_1p5_percent,slo_2_percent,slo_cohort_requests,count_ratio,profile_keys,per_card_profile_counts,completed_requests,analysis_sha256,input_fingerprint
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,2.0,4.0,99.78917886811216,True,31,False,31,99.36937260491209,33.20594632219862,577,0.22100102317862472,99.30145687406751,0.9977421532851677,"[46.51701232470703, 46.52235496669922, 46.511669682714846]",45.48322307738777,False,93.46752578138727,112.16103093766472,112.152806349102,100.0,100.0,192,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,2.0,20.0,97.5463281958531,True,32,True,32,93.70168971438254,37.533895481438925,5634,2.2499834567096255,93.31682838424499,0.9977421532851677,"[56.3048215640625, 56.299478922070314, 56.299478922070314]",58.347893784667946,False,96.89765071875803,116.27718086250965,116.27317163455875,100.0,100.0,1702,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,4.0,6.0,99.32301111208623,True,31,False,31,98.1636059271763,35.965660996748475,619,0.5253074620553939,98.35541932345265,0.9977421532851677,"[46.500984398730466, 46.52235496669922, 46.527697608691405]",54.41511419511276,False,98.63663878523032,118.36396654227636,118.34301634395888,100.0,100.0,193,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,6.0,8.0,97.28375627096023,True,32,True,32,93.01812146588063,37.07441054666574,603,2.6000001041193537,92.35663197835174,0.9977421532851677,"[52.39290345351562, 52.387560811523436, 52.39290345351562]",57.9594623001095,False,96.00387273827988,115.20464728593586,115.22088831862575,100.0,100.0,187,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,8.0,10.0,99.21578671370517,True,32,True,32,97.82135461689775,35.5890292490925,612,0.7536236100905519,97.6573745396119,0.9977421532851677,"[48.48098534296875, 48.475642700976564, 48.48098534296875]",50.61506801157743,False,97.143229883381,116.57187586005719,116.56249053489253,100.0,100.0,191,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,10.0,12.0,95.91196942689304,True,31,False,31,90.51848518052059,41.86087478687322,669,3.529740551070911,89.89948941211875,0.9977421532851677,"[50.4289304352539, 50.41824515126953, 50.44495836123047]",88.4432372135807,False,99.94541993635204,119.93450392362246,119.92026773108387,100.0,100.0,187,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,12.0,14.0,99.52273227783299,True,31,False,31,98.64569488457798,33.48498626475306,578,0.47227340612355095,98.51899413342505,0.9977421532851677,"[48.459614775, 48.475642700976564, 48.48632798496094]",40.6704787414732,False,94.89181972639823,113.87018367167789,113.92152033563248,100.0,100.0,194,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,14.0,16.0,94.7155594797167,True,32,True,32,87.61704556225735,40.852588596383754,630,4.76464959189376,86.83109767046525,0.9977421532851677,"[56.3048215640625, 56.299478922070314, 56.299478922070314]",62.5584366644498,False,95.54408261341487,114.65289913609783,114.61838910145198,100.0,100.0,182,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,16.0,18.0,95.34100621622558,True,31,False,31,88.88432633266518,40.20809895147421,626,4.151118037617763,88.32891345046991,0.9977421532851677,"[54.34619118779297, 54.34619118779297, 54.351533829785154]",55.178612314052224,False,98.21828675576216,117.8619441069146,117.88930358860266,100.0,100.0,186,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
runs/adapt_f1_03_ssu3_h22000_seed7/baseline,adapt_f1_03,baseline,raw,False,False,random,7,3,18.0,20.0,96.8139533971459,True,32,True,32,92.18573913654116,39.56346361876092,641,2.8246107244489163,91.75080088817096,0.9977421532851677,"[50.4289304352539, 50.43961571923828, 50.4342730772461]",69.80741154426813,False,98.22798024861648,117.87357629833976,117.82986240767859,100.0,100.0,190,"[10, 11]","176:1024,64:4096","{'H': 40, 'L': 44}",2688,bae17cc451221c458df2672e47d0b14eb783b2cd0f49810f611ab8ba2fa2bf2a,3a9b06a59a2b83a7520e24f88fd1530d149263df1f8a5f6a58cb5159439c6e26
