npu_id,request_id,role,start_ms,end_ms,demand_GiB_s
6,6000028,S,2091.1660925277843,2133.1178158806556,4.86515323299645
6,6000029,S,2133.1178158806556,2175.934119007697,4.766912311285086
6,6000030,S,2175.934119007697,2219.6161308679852,4.672439610904071
6,6000031,S,2219.6161308679852,2264.041077344618,4.594300695609442
6,6000032,S,2264.041077344618,2307.5581052634057,4.690153998588584
6,6000033,S,2307.5581052634057,2351.694034162652,4.624385791583278
6,6000034,L,2351.694034162652,2839.26569326675,4.649100619588757
6,6000035,L,2839.26569326675,3295.962711849899,4.666072600875801
6,6000036,S,3295.962711849899,3339.067459114792,4.735013553048671
6,6000037,S,3339.067459114792,3381.2249323949304,4.841408808913565
6,6000038,S,3381.2249323949304,3424.948196640589,4.668031219106881
6,6000039,S,3424.948196640589,3467.2703159425014,4.822574244073157
6,6000040,S,3467.2703159425014,3511.6126731684612,4.602857747501736
6,6000041,S,3511.6126731684612,3556.8227282460552,4.5145170062212845
6,6000042,S,3556.8227282460552,3601.2063788173523,4.598575373428021
6,6000043,S,3601.2063788173523,3645.7965345153,4.577278533911631
6,6000044,S,3645.7965345153,3690.3453840679226,4.581522633012269
6,6000045,S,3690.3453840679226,3734.1511607643165,4.659238527251201
6,6000046,S,3734.1511607643165,3778.7826251675883,4.573042028283319
6,6000047,S,3778.7826251675883,3822.9598346121797,4.620064623049276
6,6000048,L,3822.9598346121797,4000.0,4.643470488695106
7,7000023,L,2000.0,2328.6417487330464,4.666072600875801
7,7000024,S,2328.6417487330464,2370.963868034959,4.822574244073157
7,7000025,S,2370.963868034959,2415.9258942407496,4.539420923021172
7,7000026,S,2415.9258942407496,2458.453878669835,4.7992296188015455
7,7000027,L,2458.453878669835,2949.156558283664,4.657571266269888
7,7000028,S,2949.156558283664,2993.2099337722075,4.633051616057709
7,7000029,S,2993.2099337722075,3037.63488024884,4.594300695609442
7,7000030,S,3037.63488024884,3081.399399439867,4.663630865201944
7,7000031,S,3081.399399439867,3126.48542856157,4.526935870734147
7,7000032,S,3126.48542856157,3168.560594190808,4.850879597207548
7,7000033,S,3168.560594190808,3212.0776221095957,4.690153998588584
7,7000034,S,3212.0776221095957,3257.2049906565962,4.522788921038468
7,7000035,S,3257.2049906565962,3302.1256876770794,4.543597406935284
7,7000036,S,3302.1256876770794,3344.8596012332864,4.776102760435301
7,7000037,S,3344.8596012332864,3388.0880058143675,4.721468776789347
7,7000038,S,3388.0880058143675,3432.7607814829616,4.568813095790714
7,7000039,S,3432.7607814829616,3475.371129882901,4.789952914355568
7,7000040,S,3475.371129882901,3518.228631635354,4.762329910849643
7,7000041,S,3518.228631635354,3562.3232825492496,4.628714782175057
7,7000042,L,3562.3232825492496,4000.0,4.635050620576338
