policy,role,ratio,cdf_percent,count
fifo,all,1.2189695105374065,76.27551020408163,392
fifo,all,1.2200654307729761,76.53061224489795,392
fifo,all,1.2209340392462658,76.78571428571429,392
fifo,all,1.2244852297693916,77.04081632653062,392
fifo,all,1.224625666801629,77.29591836734694,392
fifo,all,1.2247167942078838,77.55102040816327,392
fifo,all,1.2266584124744564,77.8061224489796,392
fifo,all,1.228796376925988,78.06122448979592,392
fifo,all,1.2302093355978014,78.31632653061224,392
fifo,all,1.2303311430084913,78.57142857142857,392
fifo,all,1.2320857498821427,78.8265306122449,392
fifo,all,1.2326895620172527,79.08163265306122,392
fifo,all,1.2372412265085744,79.33673469387755,392
fifo,all,1.2376119239778052,79.59183673469387,392
fifo,all,1.2381976212854102,79.84693877551021,392
fifo,all,1.2385255730188738,80.10204081632654,392
fifo,all,1.2394436392679946,80.35714285714286,392
fifo,all,1.2402922743384166,80.61224489795919,392
fifo,all,1.2409762620005245,80.86734693877551,392
fifo,all,1.241231009375391,81.12244897959184,392
fifo,all,1.2412343750466173,81.37755102040816,392
fifo,all,1.2432123817849043,81.63265306122449,392
fifo,all,1.2442140763944478,81.88775510204081,392
fifo,all,1.2471231457719765,82.14285714285714,392
fifo,all,1.2484657871316411,82.39795918367346,392
fifo,all,1.248512181045517,82.65306122448979,392
fifo,all,1.2487489001290553,82.90816326530613,392
fifo,all,1.2489096965190916,83.16326530612245,392
fifo,all,1.250564802614561,83.41836734693878,392
fifo,all,1.2515457419910956,83.6734693877551,392
fifo,all,1.2521957330622764,83.92857142857143,392
fifo,all,1.2532739084824411,84.18367346938776,392
fifo,all,1.2552576254037888,84.43877551020408,392
fifo,all,1.257498478408496,84.6938775510204,392
fifo,all,1.257532950160726,84.94897959183673,392
fifo,all,1.2576280884147144,85.20408163265306,392
fifo,all,1.2601373182022795,85.45918367346938,392
fifo,all,1.2639665756895575,85.71428571428571,392
fifo,all,1.265122883029687,85.96938775510205,392
fifo,all,1.2665892098167422,86.22448979591837,392
fifo,all,1.2671216329029271,86.4795918367347,392
fifo,all,1.2679977262214457,86.73469387755102,392
fifo,all,1.2681251537485738,86.98979591836735,392
fifo,all,1.2718478781405431,87.24489795918367,392
fifo,all,1.2721662640055698,87.5,392
fifo,all,1.2759818880131104,87.75510204081633,392
fifo,all,1.2768112994572696,88.01020408163265,392
fifo,all,1.279800771089771,88.26530612244898,392
fifo,all,1.2806624218757277,88.5204081632653,392
fifo,all,1.2819959248642927,88.77551020408163,392
fifo,all,1.2841402995167097,89.03061224489795,392
fifo,all,1.284618538040617,89.28571428571429,392
fifo,all,1.2876815498598293,89.54081632653062,392
fifo,all,1.2923963743393512,89.79591836734694,392
fifo,all,1.292745961839368,90.05102040816327,392
fifo,all,1.2970020930838926,90.3061224489796,392
fifo,all,1.3027008930774822,90.56122448979592,392
fifo,all,1.3034862145780581,90.81632653061224,392
fifo,all,1.3057553059133427,91.07142857142857,392
fifo,all,1.306775913013899,91.3265306122449,392
fifo,all,1.3092248671741717,91.58163265306122,392
fifo,all,1.3117414950927493,91.83673469387755,392
fifo,all,1.313434387133766,92.09183673469387,392
fifo,all,1.3189077329138938,92.34693877551021,392
fifo,all,1.3230978958280266,92.60204081632654,392
fifo,all,1.3258730418384148,92.85714285714286,392
fifo,all,1.3261071860241744,93.11224489795919,392
fifo,all,1.326977511576,93.36734693877551,392
fifo,all,1.3272604252899387,93.62244897959184,392
fifo,all,1.3311639364715222,93.87755102040816,392
fifo,all,1.3332208543344908,94.13265306122449,392
fifo,all,1.3339093111791158,94.38775510204081,392
fifo,all,1.337985236568454,94.64285714285714,392
fifo,all,1.3446990546412363,94.89795918367346,392
fifo,all,1.349717585913745,95.15306122448979,392
fifo,all,1.3727097230056995,95.40816326530613,392
fifo,all,1.3870122272398793,95.66326530612245,392
fifo,all,1.38874417324424,95.91836734693878,392
fifo,all,1.3888889456085662,96.1734693877551,392
fifo,all,1.39514617841808,96.42857142857143,392
fifo,all,1.413599764341533,96.68367346938776,392
fifo,all,1.415877497222233,96.93877551020408,392
fifo,all,1.4288775877588722,97.1938775510204,392
fifo,all,1.430306535913272,97.44897959183673,392
fifo,all,1.4310078107391653,97.70408163265306,392
fifo,all,1.4384265540153578,97.95918367346938,392
fifo,all,1.4433044414381777,98.21428571428571,392
fifo,all,1.4644444475168987,98.46938775510205,392
fifo,all,1.4850245987810755,98.72448979591837,392
fifo,all,1.508365879764377,98.9795918367347,392
fifo,all,1.5171539894756063,99.23469387755102,392
fifo,all,1.5358247947114667,99.48979591836735,392
fifo,all,1.5884901579251973,99.74489795918367,392
fifo,all,1.6046341496256478,100.0,392
once,all,1.0,80.86734693877551,392
once,all,1.0014735662225556,81.12244897959184,392
once,all,1.001576069820773,81.37755102040816,392
once,all,1.0023702704298463,81.63265306122449,392
once,all,1.003902743397132,81.88775510204081,392
once,all,1.0039216663782384,82.14285714285714,392
once,all,1.003970743706161,82.39795918367346,392
once,all,1.0040380746543167,82.65306122448979,392
once,all,1.0045001771889934,82.90816326530613,392
once,all,1.0046284007201165,83.16326530612245,392
once,all,1.0054381464481574,83.41836734693878,392
once,all,1.0060685514711585,83.6734693877551,392
once,all,1.0073977967020495,83.92857142857143,392
once,all,1.0075075153664605,84.18367346938776,392
once,all,1.0076241170898856,84.43877551020408,392
once,all,1.0077403001813299,84.6938775510204,392
once,all,1.008020402162871,84.94897959183673,392
once,all,1.0080243200202208,85.20408163265306,392
once,all,1.0083999775978074,85.45918367346938,392
once,all,1.0085675114668182,85.71428571428571,392
once,all,1.0088354580645549,85.96938775510205,392
once,all,1.0088448538088222,86.22448979591837,392
once,all,1.0093148664699574,86.4795918367347,392
once,all,1.0097017817251777,86.73469387755102,392
once,all,1.0102572412518007,86.98979591836735,392
once,all,1.0111153940046365,87.24489795918367,392
once,all,1.0120519825329006,87.5,392
once,all,1.0130737128367735,87.75510204081633,392
once,all,1.0142352885415904,88.01020408163265,392
once,all,1.0143481474996003,88.26530612244898,392
once,all,1.0145503450550604,88.5204081632653,392
once,all,1.015906884384805,88.77551020408163,392
once,all,1.0162061984516353,89.03061224489795,392
once,all,1.0162949853617866,89.28571428571429,392
once,all,1.0176201463944998,89.54081632653062,392
once,all,1.0177266048174,89.79591836734694,392
once,all,1.0178151409025689,90.05102040816327,392
once,all,1.0180154053447972,90.3061224489796,392
once,all,1.0180949405983906,90.56122448979592,392
once,all,1.0185371063445752,90.81632653061224,392
once,all,1.018919034837697,91.07142857142857,392
once,all,1.019039557790203,91.3265306122449,392
once,all,1.0202925698353786,91.58163265306122,392
once,all,1.020400521672174,91.83673469387755,392
once,all,1.021385666519537,92.09183673469387,392
once,all,1.0217942562270605,92.34693877551021,392
once,all,1.0226163604199983,92.60204081632654,392
once,all,1.0226930094188702,92.85714285714286,392
once,all,1.0233559290182783,93.11224489795919,392
once,all,1.0272860147178602,93.36734693877551,392
once,all,1.0278109608238453,93.62244897959184,392
once,all,1.028560003936309,93.87755102040816,392
once,all,1.0293166196285022,94.13265306122449,392
once,all,1.029939034218169,94.38775510204081,392
once,all,1.0317787684118442,94.64285714285714,392
once,all,1.0320671810872872,94.89795918367346,392
once,all,1.0325714713395628,95.15306122448979,392
once,all,1.0342334560199808,95.40816326530613,392
once,all,1.0411737417696971,95.66326530612245,392
once,all,1.0453372849970668,95.91836734693878,392
once,all,1.0497821219184476,96.1734693877551,392
once,all,1.0598750368286736,96.42857142857143,392
once,all,1.0634038090662707,96.68367346938776,392
once,all,1.0669145872514643,96.93877551020408,392
once,all,1.0954839708138897,97.1938775510204,392
once,all,1.1154786667238008,97.44897959183673,392
once,all,1.1549291065672675,97.70408163265306,392
once,all,1.1934653737783383,97.95918367346938,392
once,all,1.2068556100645609,98.21428571428571,392
once,all,1.209782442373468,98.46938775510205,392
once,all,1.2252526571834517,98.72448979591837,392
once,all,1.2613190476427234,98.9795918367347,392
once,all,1.4246384791689723,99.23469387755102,392
once,all,1.4373698734827578,99.48979591836735,392
once,all,1.4485323169634514,99.74489795918367,392
once,all,1.4569060002542105,100.0,392
fifo,S,1.0,17.261904761904763,336
fifo,S,1.0002944468862243,17.55952380952381,336
fifo,S,1.000933937740696,17.857142857142858,336
fifo,S,1.0015936661453064,18.154761904761905,336
fifo,S,1.001909803388949,18.452380952380953,336
fifo,S,1.002665585636814,18.75,336
fifo,S,1.0029927980870226,19.047619047619047,336
fifo,S,1.0035037074818691,19.345238095238095,336
fifo,S,1.0037250991410924,19.642857142857142,336
fifo,S,1.004775286750049,19.94047619047619,336
fifo,S,1.004936231591521,20.238095238095237,336
fifo,S,1.0050078540150038,20.535714285714285,336
fifo,S,1.0073393700575968,20.833333333333332,336
fifo,S,1.007384061671379,21.13095238095238,336
fifo,S,1.0081612702583926,21.428571428571427,336
fifo,S,1.0081786832606436,21.726190476190474,336
fifo,S,1.008877402342595,22.023809523809526,336
fifo,S,1.0110149834116817,22.321428571428573,336
fifo,S,1.0120454782435557,22.61904761904762,336
fifo,S,1.012295912195142,22.916666666666668,336
fifo,S,1.0126916504206531,23.214285714285715,336
fifo,S,1.0128655309037229,23.511904761904763,336
fifo,S,1.0130514791384515,23.80952380952381,336
fifo,S,1.01319843763278,24.107142857142858,336
fifo,S,1.0133540316173275,24.404761904761905,336
fifo,S,1.014115547474751,24.702380952380953,336
fifo,S,1.0142713173000821,25.0,336
fifo,S,1.016243033788026,25.297619047619047,336
fifo,S,1.0178633166799915,25.595238095238095,336
fifo,S,1.0179150505397339,25.892857142857142,336
fifo,S,1.0192986035669287,26.19047619047619,336
fifo,S,1.019862534443982,26.488095238095237,336
fifo,S,1.0200689788632074,26.785714285714285,336
fifo,S,1.0205028985173252,27.083333333333332,336
fifo,S,1.0210973022110104,27.38095238095238,336
fifo,S,1.0212139658880885,27.678571428571427,336
fifo,S,1.0214122727337434,27.976190476190474,336
fifo,S,1.0215363565478945,28.273809523809526,336
fifo,S,1.023233987431034,28.571428571428573,336
fifo,S,1.0250717131887535,28.86904761904762,336
fifo,S,1.02649085094643,29.166666666666668,336
fifo,S,1.0266692824480503,29.464285714285715,336
fifo,S,1.026711272095764,29.761904761904763,336
fifo,S,1.0290506669222805,30.05952380952381,336
fifo,S,1.0302973629972085,30.357142857142858,336
fifo,S,1.0322756554289245,30.654761904761905,336
fifo,S,1.0346558359533922,30.952380952380953,336
fifo,S,1.036359293435823,31.25,336
fifo,S,1.0388658779269215,31.547619047619047,336
fifo,S,1.040226886372795,31.845238095238095,336
fifo,S,1.0406229881500257,32.142857142857146,336
fifo,S,1.0406360809440103,32.44047619047619,336
fifo,S,1.0414714344481708,32.73809523809524,336
fifo,S,1.0435301188486732,33.035714285714285,336
fifo,S,1.0453528246143442,33.333333333333336,336
fifo,S,1.0454797607254276,33.63095238095238,336
fifo,S,1.0464656599306634,33.92857142857143,336
fifo,S,1.0467370970822611,34.226190476190474,336
fifo,S,1.0473352161205338,34.523809523809526,336
fifo,S,1.0482232152563886,34.82142857142857,336
fifo,S,1.048450275663107,35.11904761904762,336
fifo,S,1.0517764554981555,35.416666666666664,336
fifo,S,1.052112212857254,35.714285714285715,336
fifo,S,1.0544296753213775,36.01190476190476,336
fifo,S,1.0555040001599574,36.30952380952381,336
fifo,S,1.0564045290171102,36.607142857142854,336
fifo,S,1.0568648120084083,36.904761904761905,336
fifo,S,1.0580797502087609,37.20238095238095,336
fifo,S,1.0582347566985282,37.5,336
fifo,S,1.0592547485869497,37.79761904761905,336
fifo,S,1.0623417075877297,38.095238095238095,336
fifo,S,1.0623860508690548,38.392857142857146,336
fifo,S,1.0628218076778428,38.69047619047619,336
fifo,S,1.0641248027031716,38.98809523809524,336
fifo,S,1.0659848149114317,39.285714285714285,336
fifo,S,1.0668706840350797,39.583333333333336,336
fifo,S,1.0674374193671916,39.88095238095238,336
fifo,S,1.0677070042000887,40.17857142857143,336
fifo,S,1.0700160873759925,40.476190476190474,336
fifo,S,1.070550331770243,40.773809523809526,336
fifo,S,1.070827323098444,41.07142857142857,336
fifo,S,1.0708357310350318,41.36904761904762,336
fifo,S,1.07166371538596,41.666666666666664,336
fifo,S,1.0719122909582735,41.964285714285715,336
fifo,S,1.07538827063356,42.26190476190476,336
fifo,S,1.077229082146246,42.55952380952381,336
fifo,S,1.077630512952198,42.857142857142854,336
fifo,S,1.0776399799228094,43.154761904761905,336
fifo,S,1.0776499169593756,43.45238095238095,336
fifo,S,1.0778323880852663,43.75,336
fifo,S,1.0791973294541837,44.04761904761905,336
fifo,S,1.0795343471498873,44.345238095238095,336
fifo,S,1.080127794626235,44.642857142857146,336
fifo,S,1.0801371923106444,44.94047619047619,336
fifo,S,1.0810338408199758,45.23809523809524,336
fifo,S,1.0833294706861998,45.535714285714285,336
fifo,S,1.086298299353895,45.833333333333336,336
fifo,S,1.0863542976014362,46.13095238095238,336
fifo,S,1.0877938292868128,46.42857142857143,336
