start_ms,end_ms,fleet_current_gib_s,ssu0_current_gib_s,fleet_continuing_gib_s,ssu0_continuing_gib_s,fleet_boundary_gib_s,ssu0_boundary_gib_s,fleet_total_prefetch_gib_s,ssu0_total_prefetch_gib_s,max_npu_total_link_gib_s,max_npu_continuing_link_gib_s,max_npu_boundary_link_gib_s,boundary_overdue_layers,continuing_overdue_layers,cold_initial_layers
5486.653159465287,5492.639012000648,30.541912583508157,30.541912583508157,30.541912583508477,30.541912583508477,0.0,0.0,30.54191258350857,30.54191258350857,4.229524723064182,4.229524723064182,0.0,0.0,0.0,0.0
5492.639012000648,5498.624864536009,30.541912583508157,30.541912583508157,30.541912583508477,30.541912583508477,0.0,0.0,30.54191258350857,30.54191258350857,4.229524723064182,4.229524723064182,0.0,0.0,0.0,0.0
5498.624864536009,5499.783386394312,30.541912583508157,30.541912583508157,30.548922724448968,30.548922724448968,0.0,0.0,30.54892272444906,30.54892272444906,4.236534864004674,4.236534864004674,0.0,0.0,0.0,0.0
5499.783386394312,5501.041959787295,30.541912583508157,30.541912583508157,30.548922724448968,30.548922724448968,0.0,0.0,30.54892272444906,30.54892272444906,4.236534864004674,4.236534864004674,0.0,0.0,0.0,0.0
5501.041959787295,5504.61071707137,30.541912583508157,30.541912583508157,30.548922724448968,30.548922724448968,0.0,0.0,30.54892272444906,30.54892272444906,4.236534864004674,4.236534864004674,0.0,0.0,0.0,0.0
5504.61071707137,5510.437238145523,30.664774582144204,30.664774582144204,30.664774582144283,30.664774582144283,0.0,0.0,30.664774582144375,30.664774582144375,4.352386721699989,4.352386721699989,0.0,0.0,0.0,0.0
5510.437238145523,5513.714241191676,30.664774582144204,30.664774582144204,26.312387860444293,26.312387860444293,0.0,0.0,26.312387860444385,26.312387860444385,3.767642487580893,3.767642487580893,0.0,0.0,1.0,0.0
5513.714241191676,5514.2690531487615,30.664774582144204,30.664774582144204,30.664774582144283,30.664774582144283,0.0,0.0,30.664774582144375,30.664774582144375,4.352386721699989,4.352386721699989,0.0,0.0,0.0,0.0
5514.2690531487615,5517.368430733716,30.664774582144204,30.664774582144204,30.664774582144283,30.664774582144283,0.0,0.0,30.664774582144375,30.664774582144375,4.352386721699989,4.352386721699989,0.0,0.0,0.0,0.0
5517.368430733716,5519.540762265829,30.664774582144204,30.664774582144204,26.911945850479,26.911945850479,0.3574413468731696,0.3574413468731696,27.269387197352263,27.269387197352263,4.352386721699989,4.352386721699989,0.3574413468731696,0.0,0.0,0.0
5519.540762265829,5525.367283339981,30.664774582144204,30.664774582144204,26.911945850479,26.911945850479,0.3574413468731696,0.3574413468731696,27.269387197352263,27.269387197352263,4.352386721699989,4.352386721699989,0.3574413468731696,0.0,0.0,0.0
