configuration,policy,npu_id,request_id,input_order_1based,role,qos_category,total_tokens,total_length_k,nql_tokens,hit_prefix_tokens,per_layer_read_gib,per_layer_read_mib,per_layer_compute_ms,bandwidth_demand_gib_s,n_layers,num_ssu,arrival_ms,admission_ms,completion_ms,ttft_admission_ms,ttft_arrival_ms,ideal_compute_ms,slo_1p5_ms,ttft_over_ideal,slo_1p5_passed,admitted_in_warm,active_in_warm,computed_in_warm,full_stall_ms,full_active_utilization_percent,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_active_utilization_percent,compute_method,compute_extrapolated,compute_scale,input_fingerprint
sensitivity20k_076_seed7,fifo,0,34,35,S,SL,20480,20.0,1159,19321,0.02533566951751709,25.9437255859375,5.916145021082777,4.282462554117738,8,1,0.0,4916.995158183583,4975.656984706531,58.661826522948104,4975.656984706531,47.32916016866511,70.99374025299767,1.2394436392679946,True,False,False,False,11.332666354282992,80.68136124290346,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,35,36,S,SL,20480,20.0,1171,19309,0.025319933891296387,25.9276123046875,5.975894319035997,4.237011657090496,8,1,0.0,4975.656984706531,5032.5022499745255,56.845265267994364,5032.5022499745255,47.80715455229074,71.71073182843611,1.1890535172056282,True,False,False,False,9.038110715703624,84.10050393274818,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,36,37,S,SL,20480,20.0,1177,19303,0.025312066078186035,25.9195556640625,6.005768968012607,4.214625339902502,8,1,0.0,5032.5022499745255,5088.6685263814525,56.166276406926954,5088.6685263814525,48.046151744099916,72.06922761614987,1.1690067647056497,True,False,False,False,8.120124662827038,85.5427043017835,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,37,38,S,SL,20480,20.0,1153,19327,0.02534353733062744,25.9517822265625,5.886270372106166,4.305534018743905,8,1,0.0,5088.6685263814525,5146.001926694639,57.33340031318676,5146.001926694639,47.09016297684866,70.63524446527299,1.2175239304517607,True,False,False,False,10.243237336338098,82.13390923897089,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,38,39,L,LL,204800,200.0,2044,202756,0.26587438583374023,272.25537109375,70.6026566423159,3.7657844403887153,8,1,0.0,5146.001926694639,5712.849929714243,566.8480030196042,5712.849929714243,564.8212531385288,847.2318797077933,1.0035883031486748,True,False,False,False,2.026749881075375,99.64245267333062,0.0,0.0,0.0,,bilinear_interpolation_length_nql,False,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,39,40,S,SL,20480,20.0,1175,19305,0.025314688682556152,25.9222412109375,5.9958107516870705,4.222062658570942,8,1,0.0,5712.849929714243,5763.808855364186,50.9589256499421,5763.808855364186,47.96648601349443,71.94972902024165,1.0623860508690548,True,False,False,False,2.9924396364476706,94.1277419053063,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,40,41,S,SL,20480,20.0,1166,19314,0.02532649040222168,25.934326171875,5.950998778222155,4.255838615679887,8,1,0.0,5763.808855364186,5817.805511252459,53.99665588827338,5817.805511252459,47.60799022577703,71.41198533866554,1.1341931392650397,True,False,False,False,6.388665662496351,88.16840495508575,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,41,42,S,SL,20480,20.0,1174,19306,0.02531599998474121,25.923583984375,5.990831643524301,4.225790589876809,8,1,0.0,5817.805511252459,5876.226640182206,58.42112892974728,5876.226640182206,47.92665314819169,71.88997972228753,1.2189695105374065,True,False,False,False,10.494475781555593,82.03650635684319,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,42,43,S,SL,20480,20.0,1130,19350,0.02537369728088379,25.982666015625,5.771750884362495,4.396187186392466,8,1,0.0,5876.226640182206,5922.400647257106,46.174007074900146,5922.400647257106,46.174007074900146,69.26101061235022,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076_seed7,fifo,0,43,44,S,SL,20480,20.0,1165,19315,0.02532780170440674,25.9356689453125,5.946019670059386,4.259622925894858,8,1,0.0,5922.400647257106,5969.968804617581,47.56815736047429,5969.968804617581,47.56815736047429,71.35223604071143,1.0,True,False,False,False,0.0,100.0,0.0,0.0,0.0,,bilinear_length_extrapolation_nql_interpolation,True,1.0,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
