case,label,block,start_s,end_s,duration_ms,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_busy_ssu_ms,ssd_served_gb,npu_link_busy_npu_ms,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,request_weighted_slo_alpha2_pct,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_blocks_delta,ssd_outstanding_gb_start,ssd_outstanding_gb_end,ssd_outstanding_gb_delta,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_blocks_delta,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end,npu_link_outstanding_gb_delta,active_remaining_compute_inventory_supported,active_remaining_compute_ms
baseline,Baseline,10,5.0,5.5,500.0,75.98756265079251,96.25233008076539,9.62220770235641,12158.010024126803,1925.0466016153077,77.00186406461239,1539.5532323770258,76.97766161885129,29,12221.724688516395,77.0819091796875,158.55503345183158,6.306958399424111,23.604465010392975,-63.714664389592144,58.620689655172406,10811,11396,585,1.8141143910311817,1.9123708708524658,0.09825647982128427,186,330,144,0.03090215443835535,0.0551707724034727,0.024268617965117346,False,
baseline,Baseline,11,5.5,6.0,500.0,81.18625904922477,95.15014829302126,9.516260812557086,12989.801447875963,1903.0029658604253,76.12011863441683,1522.6017300091335,76.13008650045666,32,13737.234909167251,76.79052734375,178.89231112677504,5.589955173038898,20.147489673735954,-747.433461291288,62.5,11396,5410,-5986,1.9123708708524658,0.9075018702245156,-1.0048690006279504,330,270,-60,0.0551707724034727,0.04506413034523715,-0.010106642058235549,False,
baseline,Baseline,12,6.0,6.5,500.0,73.2354948089734,96.66829119062095,9.668502096474036,11717.67916943573,1933.365823812419,77.33463295249669,1546.960335435846,77.3480167717923,26,6077.0548359122395,72.657470703125,83.63977960012947,11.956033418319194,34.84596228756409,5640.624333523491,30.76923076923077,5410,8487,3077,0.9075018702245156,1.4241033537629133,0.5166014835383975,270,191,-79,0.04506413034523715,0.03190148452959108,-0.013162645815646067,False,
baseline,Baseline,13,6.5,7.0,500.0,67.56644218570129,93.97019195556634,9.40096025266621,10810.63074971223,1879.4038391113263,75.1761535644531,1504.1536404265935,75.20768202132967,32,13480.51900443743,77.0550537109375,174.94659149817647,5.71603019776709,30.703463578982305,-2669.8882547251997,53.125,8487,8940,453,1.4241033537629133,1.5000783903841524,0.07597503662123944,191,4,-187,0.03190148452959108,0.0003974417155419343,-0.03150404281404915,False,
baseline,Baseline,14,7.0,7.5,500.0,74.30389479391663,94.18515360496839,9.402572058678198,11888.62316702686,1883.703072099368,75.34812288397472,1504.4115293885116,75.22057646942557,29,16059.179794997151,79.44384765625,202.1450404125,4.946943036343537,16.50879951929753,-4170.556627970291,68.96551724137932,8940,4785,-4155,1.5000783903841524,0.8024376841438076,-0.6976407062403451,4,762,758,0.0003974417155419343,0.12753825744621428,0.12714081573067235,False,
baseline,Baseline,15,7.5,8.0,500.0,90.45804028971534,94.36526906348854,9.452050215110264,14473.286446354481,1887.3053812697708,75.49221525079088,1512.328034417642,75.6164017208821,33,16188.654494699394,73.1260986328125,221.37998330783867,4.517120224954827,23.825758588616942,-1715.3680483449134,69.6969696969697,4785,4290,-495,0.8024376841438076,0.719539449954465,-0.0828982341893425,762,23,-739,0.12753825744621428,0.0034537362711504482,-0.12408452117506384,False,
baseline,Baseline,16,8.0,8.5,500.0,89.19149366657243,96.64619631343156,9.662386630599896,14270.638986651767,1932.9239262686315,77.31695705074526,1545.9818608959831,77.29909304479915,26,10857.642050973333,67.7442626953125,160.27397183148642,6.239316269340411,30.33418260838852,3412.996935678435,61.53846153846154,4290,3266,-1024,0.719539449954465,0.5479376238185809,-0.171601826135884,23,131,108,0.0034537362711504482,0.02167483942121331,0.018221103150062864,False,
baseline,Baseline,17,8.5,9.0,500.0,79.94519992493915,96.58540730900495,9.661192771026684,12791.231987990279,1931.708146180099,77.26832584720398,1545.7908433642697,77.28954216821352,33,10070.396834731913,82.5147705078125,122.04356593076203,8.193795325247395,28.14237951617279,2720.8351532583656,45.45454545454545,3266,6448,3182,0.5479376238185809,1.0820028288607153,0.5340652050421342,131,4,-127,0.02167483942121331,0.00043558868819825976,-0.021239250733015053,False,
baseline,Baseline,18,9.0,9.5,500.0,69.03130042370982,96.02581024169922,9.600277281808985,11045.008067793688,1920.5162048339844,76.82064819335938,1536.0443650894379,76.80221825447188,32,12745.622412944695,76.7193603515625,166.13306412538554,6.0192713910656,26.806217459190563,-1700.614345151007,56.25,6448,8651,2203,1.0820028288607153,1.4516088469271213,0.36960601806640625,4,113,109,0.00043558868819825976,0.018705310290535425,0.01826972160233717,False,
baseline,Baseline,19,9.5,10.0,500.0,81.9360927482218,92.75773048400879,9.278081559133398,13109.774839715476,1855.1546096801758,74.20618438720703,1484.4930494613436,74.22465247306718,33,16238.523515008394,80.1649169921875,202.5639659377546,4.936712190495361,19.395128873106387,-3128.748675292918,69.6969696969697,8651,12790,4139,1.4516088469271213,2.1463338835482153,0.694725036621094,113,4,-109,0.018705310290535425,0.00024485382491715445,-0.018460456465618273,False,
