case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
adaptive_t0_i100ms,Adaptive 100 ms,8.0,2.5,10.5,76.67963716924253,95.18886860807073,9.518619530071026,196299.87115326087,478,196038.61226470236,1210.0872802734375,162.0036963122234,6.17269866529921,26.320275729339624,261.2588885585137
adaptive_t0_i100ms,Adaptive 100 ms,8.0,3.0,11.0,76.68357116992985,95.24103921148259,9.524757369398227,196309.94219502044,473,195476.13405861752,1207.701171875,161.85803128362764,6.178253819531984,26.579604884929356,833.8081364029204
adaptive_t0_i100ms,Adaptive 100 ms,8.0,3.5,11.5,76.08436559188709,95.1223527003256,9.5119113485757,194775.97591523096,475,194896.81580883026,1218.5830078125,159.93725052730957,6.252452112956938,26.464938371501848,-120.83989359930274
adaptive_t0_i100ms,Adaptive 100 ms,8.0,4.0,12.0,76.6555132463165,95.10164820330287,9.510191006884956,196238.11391057025,476,196933.5549411688,1208.41552734375,162.96840820479497,6.136158602858449,26.346064869868826,-695.4410305985657
adaptive_t0_i100ms,Adaptive 100 ms,8.0,4.5,12.5,76.41774263579981,95.09164074527091,9.509518549463605,195629.42114764752,481,190421.8666200002,1202.4710693359375,158.35879255303857,6.314774089131005,26.482344300075592,5207.554527647328
adaptive_t0_i100ms,Adaptive 100 ms,8.0,5.0,13.0,76.97183760016941,95.15779557674024,9.51578075865873,197047.9042564337,483,193909.0760530873,1206.393310546875,160.73454184289668,6.221438083777964,26.354144541753744,3138.8282033464056
adaptive_t0_i100ms,Adaptive 100 ms,8.0,5.5,13.5,76.821329371968,95.05318429215863,9.505182878325357,196662.6031922381,488,196630.1603409998,1207.80859375,162.79910687711134,6.1425398405585145,26.27105550643059,32.442851238301955
adaptive_t0_i100ms,Adaptive 100 ms,8.0,6.0,14.0,76.51753088235026,95.20969762046899,9.520450703989454,195884.87905881664,490,197663.66564082267,1209.7086181640625,163.39774940250547,6.120035334982811,26.63292522939647,-1778.7865820060251
adaptive_t0_i100ms,Adaptive 100 ms,8.0,6.5,14.5,76.69403785095972,95.29371382603965,9.52920883054675,196336.73689845687,496,203499.75095134898,1235.4361572265625,164.71895351370216,6.070946777334977,26.867630776805548,-7163.014052892104
adaptive_t0_i100ms,Adaptive 100 ms,8.0,7.0,15.0,77.13204057849681,95.1347870180317,9.513853844048343,197458.02388095186,479,198507.3885832895,1207.96435546875,164.33215738908024,6.085236242790599,26.865672872004858,-1049.3647023376252
adaptive_t0_i100ms,Adaptive 100 ms,8.0,7.5,15.5,78.2815091467091,95.14999539744375,9.51500017895579,200400.66341557528,482,197761.16899877426,1222.8194580078125,161.7255660299697,6.183314268411266,26.55130701968959,2639.494416801026
adaptive_t0_i100ms,Adaptive 100 ms,8.0,8.0,16.0,77.29178972694325,95.09669876378992,9.509655751446713,197866.9817009747,472,193758.60102301702,1207.0311279296875,160.52494135371126,6.229561534593768,26.295735637648107,4108.38067795767
adaptive_t0_i100ms,Adaptive 100 ms,8.0,8.5,16.5,75.9756822233793,95.47184154757387,9.54716692644865,194497.746491851,476,198962.92196313493,1235.65234375,161.01852836641368,6.210465405101706,26.611908495715944,-4465.175471283932
adaptive_t0_i100ms,Adaptive 100 ms,8.0,9.0,17.0,74.5671632178712,95.40672098738142,9.540424515412385,190891.93783775027,474,195047.28926555108,1225.9749755859375,159.09565296985852,6.28552685967765,27.082563199443133,-4155.351427800808
adaptive_t0_i100ms,Adaptive 100 ms,8.0,9.5,17.5,74.67572674493331,95.48438012599945,9.54885474773407,191169.8604670293,476,191168.84657901915,1222.431396484375,156.38411049389524,6.394511544950323,27.576677343057607,1.0138880101440009
adaptive_t0_i100ms,Adaptive 100 ms,8.0,10.0,18.0,75.27391183723077,95.45309086955427,9.545312375897614,192701.2143033108,468,188725.34828915147,1202.3206787109375,156.96756417056093,6.370742932045503,27.251627588299435,3975.8660141593136
adaptive_t0_i100ms,Adaptive 100 ms,8.0,10.5,18.5,74.6974228909666,95.46115040779114,9.546356560075658,191225.4026008745,471,186630.7301925098,1236.0618896484375,150.98817604156665,6.623035168824761,28.307681292872864,4594.672408364713
adaptive_t0_i100ms,Adaptive 100 ms,8.0,11.0,19.0,73.70702561263681,95.52011966705322,9.552091406817436,188689.98556835024,473,183850.66937737627,1230.074462890625,149.46304059132703,6.690617265938504,28.477687217481996,4839.316190973972
adaptive_t0_i100ms,Adaptive 100 ms,8.0,11.5,19.5,72.66717721509902,95.53129251205726,9.553048218891995,186027.97367065347,468,183163.88830029356,1216.050537109375,150.62193774913754,6.639139125042401,28.86026346139717,2864.085370359913
adaptive_t0_i100ms,Adaptive 100 ms,8.0,12.0,20.0,71.26256463487307,95.51240223960214,9.551333193984817,182432.16546527506,471,182704.38759408257,1227.2962646484375,148.86738667490263,6.7173880212178725,28.73257090033345,-272.22212880750885
