prefix_s,dimension,group,matched_request_count,baseline_mean_stall_ms,adaptive_mean_stall_ms,adaptive_minus_baseline_mean_stall_ms,adaptive_minus_baseline_median_stall_ms,adaptive_minus_baseline_p99_stall_ms,baseline_admitted_request_count,adaptive_admitted_request_count
8.0,overall,all,410,120.2431398974827,119.52019196100305,-0.7229479364796352,-0.57565526106373,338.87810714379594,471,468
8.0,raw_demand_bin,gt_10_le_20,53,103.90063077569305,96.38792570871426,-7.51270506697877,-1.9585933323251083,176.8503866113954,471,468
8.0,raw_demand_bin,gt_20_le_40,75,201.23656645174353,48.83375050856549,-152.40281594317807,-147.62535095214844,21.872226715088065,471,468
8.0,raw_demand_bin,gt_40_le_50,10,231.1161114269202,29.505407465199493,-201.61070396172073,-184.0433695693846,-106.55791695968641,471,468
8.0,raw_demand_bin,gt_50_le_80,50,244.78281948226248,66.42036165861961,-178.36245782364287,-194.1493034362793,3.4978184585190597,471,468
8.0,raw_demand_bin,gt_80,45,249.66464412745864,207.91832567994547,-41.7463184475132,-70.67184448242188,390.16132107851155,471,468
8.0,raw_demand_bin,le_10,177,16.46892863761267,154.01011604591224,137.54118740829955,139.1514885045981,339.9240101010705,471,468
16.0,category,LL,352,28.82605128903675,174.2875371158468,145.46148582681005,143.8002912041702,367.87134845575076,950,940
16.0,category,LS,251,221.07688667384642,121.31823408103796,-99.75865259280846,-114.51969146728516,274.1558364503362,950,940
16.0,category,SL,156,63.95677692896435,66.11530142605498,2.1585244970906268,12.168666156490872,185.40357593763179,950,940
16.0,category,SS,121,236.6820281466321,46.152661878298424,-190.52936626833366,-193.5230255126953,-18.74763488769545,950,940
16.0,overall,all,880,118.46914910856512,122.38471469188327,3.915565583318153,1.891640870025185,344.92728034043813,950,940
16.0,raw_demand_bin,gt_10_le_20,116,104.9609194763748,103.5096837851345,-1.4512356912403077,-0.7761523402004968,174.68477066493423,950,940
16.0,raw_demand_bin,gt_20_le_40,142,200.55584069679557,55.61263601840475,-144.9432046783908,-146.2834282710037,15.884904861450211,950,940
16.0,raw_demand_bin,gt_40_le_50,20,232.16177883162499,36.64927385274522,-195.51250497887978,-180.44876419014145,-108.72509664025972,950,940
16.0,raw_demand_bin,gt_50_le_80,113,236.07903188685813,68.08723927193398,-167.99179261492415,-170.01180185546764,0.4945385808855345,950,940
16.0,raw_demand_bin,gt_80,97,250.82194228954117,203.21145373420327,-47.61048855533791,-72.2094325339185,388.00852368442537,950,940
16.0,raw_demand_bin,le_10,392,20.276940294387497,152.18386930654856,131.90692901216107,127.42688852550964,363.02475219188034,950,940
32.0,category,LL,693,29.60882349556578,178.53476487461876,148.92594137905294,137.1169129995542,516.1026511328299,1911,1892
32.0,category,LS,540,230.51586818635747,131.40479743434742,-99.11107075201006,-121.08734291577638,465.385110855105,1911,1892
32.0,category,SL,359,75.28911983809022,64.17119969257723,-11.117920145512969,2.4555079735073377,200.24558254465614,1911,1892
32.0,category,SS,247,239.3348780017454,44.634273125539416,-194.700604876206,-193.02463068336147,33.74041366577087,1911,1892
32.0,overall,all,1839,125.68895725468496,124.38570354774434,-1.3032537069406083,-4.861259460449219,473.1039195863399,1911,1892
32.0,raw_demand_bin,gt_10_le_20,244,121.41458665725533,95.1070745008269,-26.307512156428416,-20.267804806877393,191.31574984706964,1911,1892
32.0,raw_demand_bin,gt_20_le_40,292,205.17917308375323,58.49436993002905,-146.68480315372418,-146.2834282710037,27.113347402122074,1911,1892
32.0,raw_demand_bin,gt_40_le_50,57,235.07074512978886,27.692008290618425,-207.37873683917044,-188.69733347167494,-55.65861976284856,1911,1892
32.0,raw_demand_bin,gt_50_le_80,238,244.8524734159345,70.25241409917687,-174.60005931675764,-172.1321325598292,10.357922821197029,1911,1892
32.0,raw_demand_bin,gt_80,200,260.04022000608916,233.02190514409003,-27.01831486199918,-61.91548526976658,501.7007279624903,1911,1892
32.0,raw_demand_bin,le_10,808,22.1813732177366,152.9157507048815,130.73437748714488,117.1399708307199,509.64975068970955,1911,1892
