case,label,prefix_s,blocks,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_served_gb,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,ssd_outstanding_blocks_end,ssd_outstanding_gb_end,npu_link_outstanding_blocks_end,npu_link_outstanding_gb_end,request_weighted_slo_alpha1p5_pct,request_weighted_slo_alpha2p0_pct
baseline,Baseline,18.5,37,77.56813416729227,95.34600929900928,9.53452253032786,459203.3542703702,2822.2418752506746,2822.218668977046,1097,452669.67638161447,2825.6827392578125,160.1983372346011,6.242262043803604,27.480898255798966,6533.677888755745,8235,1.3818408191189542,230,0.03817096286348057,48.04010938924339,54.512306289881494
baseline,Baseline,19.0,38,77.12531213892171,95.36120726884427,9.535868136301627,468921.897804644,2898.9807009728665,2898.903913435694,1127,460079.0799437505,2895.2196044921875,158.90990763874956,6.292873835615735,27.314769728896827,8842.817860893498,5207,0.8737737639193098,549,0.09175707062168187,47.55989352262644,54.392191659272406
baseline,Baseline,19.5,39,76.66363988131911,95.37368255273759,9.537366024675785,478381.1128594313,2975.6588956454134,2975.6581996988443,1160,470504.2843550119,2980.26416015625,157.87334916323127,6.3341913331176745,27.50049146546535,7876.82850441942,8287,1.3905330098296713,96,0.015540875830813908,47.1551724137931,53.879310344827594
baseline,Baseline,20.0,40,76.28052234377746,95.39131914089096,9.53907185643991,488195.3430001757,3052.522212508511,3052.5029940607715,1187,482544.4126097684,3055.161376953125,157.94400133815648,6.331357896011576,27.525205960700674,5650.930390407331,9302,1.561037252688841,205,0.03428716331782462,47.00926705981466,53.664700926705976
baseline,Baseline,20.5,41,75.96174455157846,95.38978930529808,9.538917321278955,498309.0442583547,3128.7850892137776,3128.764881379497,1215,494060.02693122486,3131.898193359375,157.75098564148414,6.339104608022352,27.60940466235322,4249.017327129841,7148,1.1991844121683994,210,0.034965457385263084,46.74897119341564,53.41563786008231
baseline,Baseline,21.0,42,75.7618807033082,95.34973767775567,9.534863689941183,509119.838326231,3203.751185972591,3203.7141998202374,1242,505364.5909789975,3199.2879638671875,157.96158291675954,6.330653197663678,27.57533172054075,3755.2473472334677,8240,1.3826619331401915,311,0.05184879887147238,46.61835748792271,53.22061191626409
baseline,Baseline,21.5,43,75.60556944728624,95.37626387084151,9.537602345611516,520166.31779732934,3280.9434771569486,3280.9352068903613,1275,514257.75350366073,3276.0556640625,156.97466900362465,6.370454585745355,27.653901032716636,5908.564293668605,6822,1.1446325285677472,140,0.02327794700923101,46.431372549019606,53.01960784313725
baseline,Baseline,22.0,44,75.6956848362192,95.36894872793621,9.536902987222096,532897.6212469832,3356.986995223355,3356.9898515021778,1313,534744.4924363773,3365.8321533203125,158.8743787799593,6.294281102335564,27.686363642808185,-1846.8711893941509,6321,1.0603811247591537,73,0.011991184314140854,46.686976389946686,53.313023610053314
baseline,Baseline,22.5,45,75.86049396858702,95.36058019914492,9.536098862512029,546195.5565738266,3432.9808871692176,3432.9955905043307,1343,548092.9437159523,3437.865234375,159.4282807352671,6.272412870465022,27.700790720653877,-1897.38714212575,4894,0.8210668156151977,2,0.00017918411449780502,46.68652271034996,53.53685778108712
baseline,Baseline,23.0,46,76.01393688580494,95.36315994219532,9.536182553480533,559462.5754795243,3509.364285872788,3509.315179680836,1374,559113.4073934597,3516.9532470703125,158.97663918598053,6.290232358165147,27.684796188307526,349.1680860646302,4296,0.7205431730794979,383,0.06392130643726264,46.57933042212518,53.42066957787481
baseline,Baseline,23.5,47,76.06835462067896,95.36529631065117,9.536568401846448,572034.0267475058,3585.7351412804846,3585.749719094265,1404,573078.526833177,3589.681884765625,159.64604809838016,6.263856900383533,27.75178693719347,-1044.5000856711995,8026,1.3467504484887491,4,0.0002925375396472895,46.438746438746435,53.41880341880342
baseline,Baseline,24.0,48,76.30196598401419,95.36086331111692,9.536092369012147,585999.0987572289,3661.85715114689,3661.8594697006642,1434,584713.507553444,3661.7847900390625,159.6799214262962,6.262528131701092,27.72653544055277,1285.5912037849193,8621,1.4466033750522207,76,0.012452026355097796,46.72245467224547,53.626220362622036
baseline,Baseline,24.5,49,76.38326019850177,95.36891809539709,9.536865251564953,598844.7599562539,3738.4615893395667,3738.4511786134617,1464,593867.4348538467,3732.115234375,159.1235526127314,6.284424798092338,27.814122647260877,4977.325102407252,4671,0.7834722502465619,150,0.02512848953411165,46.51639344262295,53.278688524590166
baseline,Baseline,25.0,50,76.4082831852232,95.36850115770562,9.53664043983466,611266.2654817856,3814.740046308225,3814.6561759338642,1501,610533.4565818387,3824.5880126953125,159.63378396711957,6.264338131619897,27.711961979273735,732.8088999469765,4656,0.7809247054171311,590,0.09872613983461935,46.63557628247835,53.564290473017984
baseline,Baseline,25.5,51,76.53469297688572,95.37497372320321,9.537469656090103,624523.0946913875,3891.2989279066915,3891.2876196847624,1531,619507.1819244557,3891.4339599609375,159.19766037367737,6.2814993490026545,27.807371953307975,5015.912766931811,8498,1.4258928994301852,158,0.02618131471754476,46.76681907250163,53.559764859568915
baseline,Baseline,26.0,52,76.6364235282604,95.39655883608458,9.539690841003921,637615.0437551264,3968.496847581119,3968.5113898576305,1560,633805.3880442396,3968.73876953125,159.69944731814604,6.261762434329813,27.623865043881267,3809.6557108868146,7192,1.206992390041999,4,0.0004702238806234184,46.98717948717949,53.84615384615385
baseline,Baseline,26.5,53,76.62944952424888,95.39954769624426,9.539983174621389,649817.7319656305,4044.9408223207565,4044.9528660394685,1589,646775.895189407,4042.06494140625,160.0112577519329,6.2495602750045895,27.649927889889284,3041.8367762234993,3932,0.6597614248184283,19,0.0029179922381476404,47.073631214600375,53.9332913782253
baseline,Baseline,27.0,54,76.75377451386686,95.38798029610348,9.538767509570357,663152.6117998097,4120.76074879167,4120.747564134395,1622,665402.1961207542,4132.7142333984375,161.0085185042124,6.210851508293566,27.648855767787488,-2249.584320944501,5944,0.9971606985334102,168,0.02792204574907691,47.16399506781751,54.00739827373613
baseline,Baseline,27.5,55,76.91136686421346,95.34768292081367,9.534700502975808,676820.0284050786,4195.2980485158005,4195.268221309356,1653,679752.1637632115,4198.683349609375,161.89650591927878,6.176785560144193,27.529406427101062,-2932.1353581328876,5807,0.9740516482308186,266,0.04445053973395582,47.428917120387176,54.264972776769504
baseline,Baseline,28.0,56,77.13371144704215,95.38452417243562,9.538425253439435,691118.0545654977,4273.226682925115,4273.214513540867,1682,688673.2697751527,4272.3626708984375,161.19260531558086,6.20375852876261,27.55086698683024,2444.784790345002,6368,1.0686945216311168,164,0.027273603632787472,47.4435196195006,54.34007134363853
baseline,Baseline,28.5,57,77.16498239924834,95.37099841459145,9.53698568409215,703744.6394811448,4348.91752770537,4348.865471946021,1710,696968.1617556276,4348.6617431640625,160.27187280115223,6.239397983704166,27.638710356916043,6776.477725517238,7306,1.2257501320011241,401,0.06694325023709428,47.368421052631575,54.15204678362573
baseline,Baseline,29.0,58,77.12095427426796,95.37509720949487,9.537470872074632,715682.4556652067,4425.4045105205605,4425.38648464263,1744,712652.0468891306,4438.1710205078125,160.57336312551323,6.227682976399662,27.6801443368906,3030.408776076045,6158,1.033055952063881,198,0.03282325382279281,47.30504587155963,54.071100917431195
baseline,Baseline,29.5,59,77.05213839518856,95.37298033371373,9.537317695598599,727372.1864505801,4501.604671751286,4501.613952322539,1768,725652.8018416333,4500.65966796875,161.2325426439402,6.202221856715129,27.615365937697963,1719.384608946857,3378,0.5667432931152898,35,0.005650068542676126,47.341628959276015,54.07239819004525
baseline,Baseline,30.0,60,77.10270633275005,95.37051124186198,9.537051602342748,740185.9807944004,4577.784539609374,4577.784769124519,1798,737919.2773350864,4577.4112548828125,161.20886593878444,6.2031327754624135,27.57977073427771,2266.7034593140706,9741,1.634533210906669,89,0.014650466270180795,47.38598442714127,54.06006674082313
baseline,Baseline,30.5,61,77.12664114239898,95.36773164479328,9.536742463502973,752756.017549814,4653.945304265911,4653.930322189452,1825,751651.7385532544,4658.5067138671875,161.35036068871142,6.197692993877288,27.508662339768915,1104.2789965595584,9774,1.6403258663817575,180,0.02994792623904134,47.342465753424655,53.97260273972603
baseline,Baseline,31.0,62,77.03533897448106,95.35503492775689,9.535514257690798,764190.5626268521,4729.60973241674,4729.6150718146355,1854,762131.7052680801,4733.9571533203125,160.99252286927324,6.2114685960416,27.62169766479612,2058.8573587719584,6037,1.0127629499268402,58,0.00955834744272942,47.249190938511326,53.82955771305286
baseline,Baseline,31.5,63,76.94414980850672,95.32820453024202,9.532749996157664,775597.0300697477,4804.541508324196,4804.505998063463,1879,767823.1369652115,4798.68017578125,160.00714964093348,6.249720729630304,27.707814820554724,7773.893104536226,6938,1.1640940370998614,301,0.05034138816554699,46.99308142629058,53.59233634912187
baseline,Baseline,32.0,64,76.73858589254444,95.32995004903788,9.532976716648637,785803.119539655,4880.893442510737,4880.884078924102,1911,781454.717130658,4885.2017822265625,159.9636518544151,6.251420172065791,27.685848908675432,4348.402408997063,6985,1.1718247675505733,144,0.024120573913391247,46.83411826268969,53.37519623233909
adaptive_t0_i100ms,Adaptive 100 ms,0.5,1,78.56238009485651,95.54724355169792,9.54517182419602,12569.980815177041,76.43779484135831,76.36137459356814,32,23611.89554725544,84.7947998046875,278.4592404444849,3.5911898574591032,31.16453800835753,-11041.9147320784,3965,0.6651168106962745,459,0.07688109021228294,65.625,71.875
adaptive_t0_i100ms,Adaptive 100 ms,1.0,2,87.87679678848167,92.24793033544147,9.224793951973595,28120.574972314138,147.59668853670632,147.59670323157752,59,32393.05547495809,144.125244140625,224.7562921270873,4.449263647019746,29.817152993542972,-4272.4805026439535,5319,0.892590913199822,4,0.0005719224177490364,71.1864406779661,79.66101694915254
adaptive_t0_i100ms,Adaptive 100 ms,1.5,3,87.92439890424122,93.38642808415365,9.337927707790982,42203.71147403579,224.1274274019687,224.11026498698357,85,44656.73464257048,216.96533203125,205.8242864170506,4.858513139570683,29.2408751885746,-2453.0231685346953,4724,0.7926839571171173,107,0.01771085060545453,64.70588235294117,83.52941176470588
adaptive_t0_i100ms,Adaptive 100 ms,2.0,4,83.42465400049281,93.74433600621335,9.37325555910526,53391.7785603154,299.9818752198827,299.9441778913683,111,55845.68073249565,297.6619873046875,187.61441875119877,5.330080740362129,29.971270672571958,-2453.9021721802565,5563,0.9334219912539291,229,0.0383282806933502,59.45945945945946,80.18018018018019
adaptive_t0_i100ms,Adaptive 100 ms,2.5,5,84.32914103617723,93.78235609561911,9.378235325749047,67463.3128289418,375.12942438247643,375.1294130299619,138,66548.11700910528,371.2943115234375,179.23279442675897,5.579336098610214,28.339407110138836,915.1958198365173,10307,1.7296975967266217,5,0.000569338388869215,60.14492753623188,82.6086956521739
adaptive_t0_i100ms,Adaptive 100 ms,3.0,6,82.54992534353774,93.8625672092928,9.384305149704206,79247.92832979622,450.5403226046055,450.4466471858019,171,81618.45822138895,457.0921630859375,178.56017847771312,5.6003528251670875,27.7371228894304,-2370.529891592727,3579,0.6004384737186801,562,0.09416281926760436,59.64912280701754,82.45614035087719
adaptive_t0_i100ms,Adaptive 100 ms,3.5,7,82.27596229574534,94.22123658920131,9.422127162281777,92149.07777123479,527.6389248995274,527.6391210877796,198,91813.97938183814,524.5343017578125,175.03903762661915,5.713011300559874,28.00144556885452,335.0983893966477,11333,1.9015935640507116,2,0.0001309949267133591,58.58585858585859,82.32323232323232
adaptive_t0_i100ms,Adaptive 100 ms,4.0,8,80.58516216990525,94.43016787103515,9.442514710418871,103149.00757747871,604.3530743746251,604.3209414668079,228,99916.31278703382,606.780517578125,164.66631655517725,6.072887405997904,29.38267285532327,3232.69479044489,4329,0.7265065889530553,196,0.032803413750026315,53.94736842105263,80.7017543859649
adaptive_t0_i100ms,Adaptive 100 ms,4.5,9,78.91382093659709,94.55145750914791,9.454515174382465,113635.90214869981,680.770494065865,680.7250925555377,255,117287.43571677025,687.0394287109375,170.7142717221217,5.857741065888967,28.562328800365172,-3651.5335680704447,4992,0.8376055744709477,275,0.04597257648511099,54.509803921568626,80.7843137254902
adaptive_t0_i100ms,Adaptive 100 ms,5.0,10,78.6535387855383,94.65366569941601,9.46536875459108,125845.66205686129,757.2293255953282,757.2295003672864,284,127882.92509232076,763.7843017578125,167.43329863942532,5.972527616227297,28.161150629792374,-2037.263035459473,8570,1.437856076257743,1,7.452724640751913e-06,54.929577464788736,80.63380281690141
adaptive_t0_i100ms,Adaptive 100 ms,5.5,11,78.86476362408737,94.72619253256205,9.472455411927372,138801.98397839378,833.5904942865461,833.576076249609,310,140724.6015457643,834.8438720703125,168.5639749583167,5.932465701804225,28.021393516814086,-1922.6175673705293,9982,1.6751142038875,91,0.014942800870631916,55.16129032258065,80.64516129032258
adaptive_t0_i100ms,Adaptive 100 ms,6.0,12,79.43430153676792,94.64001683405375,9.464001845548959,152513.8589505944,908.5441616069163,908.5441771727001,337,149858.74320935126,905.6953125,165.4626463680094,6.043660136898065,27.89496966122603,2655.1157412431494,9449,1.5855978844940575,4,0.0003712356896368315,55.48961424332344,80.71216617210682
adaptive_t0_i100ms,Adaptive 100 ms,6.5,13,78.9134901264512,94.6712326375747,9.467124449454584,164140.0594630185,984.5808194307772,984.5809427432769,364,158392.60626573194,966.92578125,163.81051093804615,6.104614375924903,27.717470803595354,5747.453197286552,6408,1.0752462129769298,5,0.00033357038628414036,54.94505494505495,80.4945054945055
adaptive_t0_i100ms,Adaptive 100 ms,7.0,14,78.64988287922588,94.68408732034872,9.467978758025435,176175.73764946597,1060.461777987906,1060.4136208988486,404,173894.8407563189,1060.25927734375,164.0116191126144,6.097129004704085,27.809929070783824,2280.896893147059,4373,0.7332662325081799,290,0.04845375465829528,54.207920792079214,79.70297029702971
adaptive_t0_i100ms,Adaptive 100 ms,7.5,15,77.65351391356181,94.7877954892672,9.478780356395108,186368.43339254835,1137.4535458712066,1137.4536427674127,434,187636.44293866353,1132.6629638671875,165.65955533500184,6.0364764228526955,27.851443625426562,-1268.0095461151795,7109,1.19292199422693,4,0.0004591688089942109,54.14746543778802,78.80184331797236
adaptive_t0_i100ms,Adaptive 100 ms,8.0,16,78.18647786723211,94.82628474499629,9.482627704561583,200157.3833401142,1213.7764447359527,1213.7763461838827,468,201657.6502741527,1219.8143310546875,165.3183153700068,6.048936548632572,27.77572777696902,-1500.2669340384891,7422,1.245465634363649,5,0.0005783231399629953,54.059829059829056,79.05982905982906
adaptive_t0_i100ms,Adaptive 100 ms,8.5,17,78.91926744077625,94.50273855985756,9.450274154524207,214660.4074389114,1285.2372444140626,1285.2372850152924,494,211283.844622101,1271.1861572265625,166.2099948311851,6.01648535646531,27.300204676851774,3376.562816810416,11076,1.858785524124691,6,0.0005312153629359421,55.66801619433198,79.75708502024291
adaptive_t0_i100ms,Adaptive 100 ms,9.0,18,79.28451460458821,94.62425487396612,9.462426331818596,228339.40206121403,1362.5892701851121,1362.5893917818782,524,225418.42659285053,1351.2906494140625,166.81712900965823,5.994588241247713,27.132485043298274,2920.9754683634965,8969,1.5049973629385969,4,0.00039893608191170964,55.916030534351144,79.77099236641222
adaptive_t0_i100ms,Adaptive 100 ms,9.5,19,79.17762317756906,94.67191036424244,9.46683112879487,240699.97445980995,1439.0130375364847,1438.9583315768205,555,238667.3338983177,1435.68798828125,166.23899889560334,6.015435647732644,27.06989081522673,2032.6405614922405,3346,0.5613783269954769,331,0.055241489772562415,56.21621621621622,80.18018018018019
adaptive_t0_i100ms,Adaptive 100 ms,10.0,20,78.81351880938915,94.78485577391729,9.478485809767223,252203.2601900453,1516.5576923826761,1516.5577295627559,587,251421.7734950972,1518.6968994140625,165.55098887217045,6.0404350756983165,27.05133934260793,781.4866949480784,8263,1.3866880804134458,5,0.0005059794229977253,56.04770017035775,79.89778534923339
adaptive_t0_i100ms,Adaptive 100 ms,10.5,21,78.5009476137508,94.85398467653464,9.485194719518171,263763.18398220267,1593.5469425657816,1593.5127128790532,616,262586.7292738077,1581.381591796875,166.04893508051939,6.022321067672528,26.772613603609578,1176.4547083949437,3871,0.6490934759212582,207,0.034444782266292724,55.35714285714286,80.1948051948052
adaptive_t0_i100ms,Adaptive 100 ms,11.0,22,78.2834859445502,94.86509230179448,9.486452218572587,275557.8705248167,1669.6256245115824,1669.615590468775,644,277094.5922800065,1664.7933349609375,166.4438380794624,6.008032568454635,26.88695826811209,-1536.7217551898211,4552,0.7636564642025083,63,0.010424614419390688,54.96894409937888,79.8136645962733
adaptive_t0_i100ms,Adaptive 100 ms,11.5,23,77.96876458871351,94.848099970853,9.484585726660157,286925.0536864657,1745.205039463695,1745.163773705469,673,286710.7951906685,1743.1173095703125,164.48164080324818,6.079705887638811,26.9169865514065,214.25849579722853,4576,0.7676994588674324,251,0.04175492753002023,54.38335809806835,79.64338781575037
adaptive_t0_i100ms,Adaptive 100 ms,12.0,24,77.96539622084609,94.87782142588028,9.48763224139626,299387.121488049,1821.6541713769018,1821.6253903480822,704,296849.86772820243,1815.196044921875,163.53598199966257,6.114862232594558,27.329511774248957,2537.253759846557,5623,0.943430216559068,176,0.029349405522408712,53.69318181818182,79.4034090909091
adaptive_t0_i100ms,Adaptive 100 ms,12.5,25,77.31633082408683,94.89717478026662,9.489717334434394,309265.32329634734,1897.9434956053324,1897.943466886879,736,307709.30233677005,1889.510498046875,162.85133247729456,6.14056995904178,27.2029911038444,1556.0209595772903,4483,0.7521818548275087,5,0.0006100249287569958,53.125,79.21195652173914
adaptive_t0_i100ms,Adaptive 100 ms,13.0,26,77.61864574838823,94.96389947007708,9.496391526325016,322893.56631329504,1975.249108977603,1975.2494374756038,767,321792.0011454075,1970.1776123046875,163.3314677497424,6.122518910637643,27.023231541757617,1101.5651678875438,7104,1.1918916637092527,3,0.00020431657503789988,53.19426336375489,79.00912646675359
adaptive_t0_i100ms,Adaptive 100 ms,13.5,27,77.65383962283144,94.91996542713781,9.491849466089143,335464.58717063186,2050.2712532261767,2050.2394846752545,798,337354.7618867635,2042.6524658203125,165.15524179062177,6.054909242709753,26.951011375125933,-1890.1747161316453,3367,0.5649347930654816,195,0.03233576682651039,53.88471177944862,79.19799498746866
adaptive_t0_i100ms,Adaptive 100 ms,14.0,28,77.76757544852924,94.96554871200533,9.496258336086385,348398.738009411,2127.228291148919,2127.16186728335,827,347522.4088501731,2115.4039306640625,164.28182051315358,6.087100793480267,27.147204520238745,876.3291592379101,2707,0.4543171584089628,401,0.0671522554106574,53.80894800483675,78.96009673518742
adaptive_t0_i100ms,Adaptive 100 ms,14.5,29,77.68896473307659,95.0146705346588,9.50137790109164,360476.79636147537,2204.3403564040846,2204.319673053261,860,361892.3572170801,2202.3619384765625,164.32011055703745,6.085682370892077,27.227330509074722,-1415.5608556047082,5659,0.9495211903531214,128,0.021300220851664307,53.372093023255815,78.83720930232559
adaptive_t0_i100ms,Adaptive 100 ms,15.0,30,77.84036698550372,94.9244604924463,9.492445470570987,373633.7615304179,2278.1870518187116,2278.1869129370366,883,372402.22933960735,2268.2236328125,164.18232486090648,6.090789619693773,27.297699490698744,1231.5321908105398,1533,0.25712265072594703,6,0.00080868912664461,53.680634201585505,78.70894677236693
adaptive_t0_i100ms,Adaptive 100 ms,15.5,31,77.9776404855088,94.97473737735832,9.49747445836191,386769.09680812364,2355.373486958487,2355.373665673754,916,385397.6119374367,2355.482421875,163.61727362442141,6.111824123750346,27.167310607997283,1371.4848706869525,7353,1.2338650011851913,4,0.0002818435224997059,53.38427947598253,78.82096069868996
adaptive_t0_i100ms,Adaptive 100 ms,16.0,32,77.73913379708767,94.96149175439311,9.496141728004147,398024.3650410889,2431.014188912464,2431.012282369062,940,395416.2512971686,2426.845458984375,162.9342527078954,6.1374449103269635,27.0325827878632,2608.1137439202867,5811,0.9746175149816612,13,0.00210704274577603,52.659574468085104,79.04255319148936
adaptive_t0_i100ms,Adaptive 100 ms,16.5,33,77.49207460809895,94.97260667511395,9.497252468184543,409158.1539307624,2507.2768162230086,2507.27465160072,970,410246.7665852348,2506.8385009765625,163.65105547302682,6.110562483752641,26.962442839510896,-1088.6126544724102,6253,1.0491636663509474,17,0.00263911724032539,52.57731958762887,79.0721649484536
adaptive_t0_i100ms,Adaptive 100 ms,17.0,34,77.06458454025078,94.99247422145567,9.499131359392143,419231.3398989643,2583.7952988235943,2583.7637297546635,998,420465.7158584006,2577.265625,163.1441135829376,6.129549991343266,27.108774668561463,-1234.375959436351,6947,1.165530614104943,192,0.03192491593345215,52.605210420841686,78.75751503006012
adaptive_t0_i100ms,Adaptive 100 ms,17.5,35,77.11961337979272,95.04332511247421,9.504327640309933,431869.8349268392,2661.213103149278,2661.2117392867813,1031,429836.1804773359,2658.119384765625,161.70687552291258,6.184028952178401,27.303867912459996,2033.654449503345,9125,1.530982819182979,12,0.0017696928975073664,51.988360814742975,78.66149369544132
adaptive_t0_i100ms,Adaptive 100 ms,18.0,36,77.24036015509654,95.08184914975595,9.508186505825174,444904.474493356,2738.3572555129713,2738.3577136776503,1055,440147.12178424763,2721.017578125,161.7582794476265,6.182063776981359,27.140187588090036,4757.3527091083815,3496,0.5867053334195288,2,0.0002273698994049226,52.22748815165876,78.86255924170617
adaptive_t0_i100ms,Adaptive 100 ms,18.5,37,76.85618016606034,95.1165428305915,9.511643083002491,454988.5865830772,2815.4496677855086,2815.446352568737,1087,449217.45946631656,2817.4434814453125,159.4415158368585,6.271892202926657,27.437762528764136,5771.1271167606465,5935,0.9958189397884479,24,0.0038202293009836213,51.14995400183992,78.47286108555657
adaptive_t0_i100ms,Adaptive 100 ms,19.0,38,76.3565552784814,95.14089329769288,9.514089771517785,464247.8560931669,2892.283156249864,2892.2832905414066,1117,460945.2616573819,2894.8677978515625,159.22843246916983,6.280285401877722,27.560561484810357,3302.594435785024,8119,1.3623197942806355,4,0.0003783503814721384,50.85049239033125,78.24529991047449
adaptive_t0_i100ms,Adaptive 100 ms,19.5,39,75.79375438415373,95.1283840903214,9.512672902960398,472953.02735711925,2968.005583618028,2967.953945723644,1141,469874.68349096086,2959.1678466796875,158.78608711505848,6.297780984270913,27.714053680131858,3078.343866158393,6606,1.108123627288448,312,0.05190639568281959,50.394390885188436,78.17703768624014
adaptive_t0_i100ms,Adaptive 100 ms,20.0,40,75.28426358645687,95.13165375136903,9.513112622431683,481819.286953324,3044.2129200438094,3044.1960391781386,1175,479554.25532228395,3042.4923095703125,157.61888824297827,6.34441729127314,27.89192951755602,2265.0316310400376,3619,0.6068571477962608,103,0.017156996364248823,49.70212765957447,77.7872340425532
adaptive_t0_i100ms,Adaptive 100 ms,20.5,41,74.95870030063064,95.11231698198601,9.511228652547732,491729.07397213695,3119.6839970091414,3119.682998035656,1206,486183.8051894609,3109.8673095703125,156.33586799452112,6.3964847787524075,27.83872946449571,5545.268782676023,7317,1.2278135686946983,11,0.0014505802531877296,49.25373134328358,77.86069651741293
adaptive_t0_i100ms,Adaptive 100 ms,21.0,42,74.89246318231243,95.108527742465,9.51083984915495,503277.3525851395,3195.646532146825,3195.6421893160627,1239,505454.2221734447,3190.3343505859375,158.4329937332784,6.3118166010515315,27.77108324556856,-2176.869588305184,4320,0.7245298348201388,30,0.004715049358130445,49.717514124293785,77.8046811945117
adaptive_t0_i100ms,Adaptive 100 ms,21.5,43,75.44845799260526,94.81540105998452,9.481539980582445,519085.3909891242,3261.649796463468,3261.6497533203615,1261,515101.74252723006,3241.5665283203125,158.90518921237168,6.29306069208056,27.638863550874298,3983.648461894132,3443,0.5776726837040109,6,0.0005919019931773411,50.43616177636796,78.1126090404441
