request_id,npu_id,role,profile,C_ms,V_per_ssu_GiB,B_per_ssu_GiB_s,original_request_id,matches_raw_data,layer,compute_start_ms,compute_end_ms,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,barrier_budget_end_ms,full_io_stall_ms,warm_io_stall_ms,warm_compute_ms,warm_queue_ms,kind
12000142,12,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100093481,False,7,9880.728129835934,9882.643050710294,9878.772716017575,9880.728129835934,,9880.687636891935,0.04049294399919745,0.04049294399919745,1.9149208743601775,0.0,internal_L1_to_L7
13000142,13,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100103804,False,5,9877.413157912106,9879.328078786466,9875.45009234267,9877.413157912106,,9877.36501321703,0.04814469507618924,0.04814469507618924,1.9149208743601775,0.0,internal_L1_to_L7
13000142,13,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100103804,False,6,9879.355983229489,9881.270904103849,9877.413157912106,9879.355983229489,,9879.328078786466,0.02790444302263495,0.02790444302263495,1.9149208743601775,0.0,internal_L1_to_L7
13000142,13,A,10.25:256,1.9149208743596717,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[2.191300459655103,2.454256514813715,2.366604496427511]",100103804,False,7,9881.332377882809,9883.24729875717,9879.355983229489,9881.332377882809,,9881.270904103849,0.06147377896013495,0.06147377896013495,1.9149208743601775,0.0,internal_L1_to_L7
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,0,9879.427318068356,9881.342238942716,9877.476100416989,9879.427318068356,,9879.391021291349,0.03629677700700995,0.03629677700700995,1.9149208743601775,0.0,cross_request_L0
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,1,9881.407908888668,9883.322829763028,9879.427318068356,9881.407908888668,,9881.342238942716,0.06566994595232245,0.06566994595232245,1.9149208743601775,0.0,internal_L1_to_L7
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,2,9883.510188551754,9885.425109426114,9881.407908888668,9883.510188551754,,9883.322829763028,0.18735878872575995,0.18735878872575995,1.9149208743601775,0.0,internal_L1_to_L7
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,3,9885.604075880856,9887.518996755216,9883.510188551754,9885.604075880856,,9885.425109426114,0.17896645474138495,0.17896645474138495,1.9149208743601775,0.0,internal_L1_to_L7
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,4,9887.718944044918,9889.633864919278,9885.604075880856,9887.718944044918,,9887.518996755216,0.19994728970232245,0.19994728970232245,1.9149208743601775,0.0,internal_L1_to_L7
10000143,10,A,10.25:256,1.9149208743596717,"[0.0040283203125,0.00469970703125,0.00469970703125]","[2.1036484412688985,2.454256514813715,2.454256514813715]",100078784,False,5,9889.817027541012,9891.731948415372,9887.718944044918,9889.817027541012,,9889.633864919278,0.18316262173357245,0.18316262173357245,1.9149208743601775,0.0,internal_L1_to_L7
