label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,seq_len_k,nql,compute_ms,active_ms,fleet_time_compute_share,fleet_time_active_share,profile_active_compute_fraction,all_active
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,64,512,7209.839689518993,7296.106908972508,0.22530749029746852,0.22800334090539087,0.9881762670791697,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,1024,3691.894234528701,3736.1137071644594,0.1153716948290219,0.11675355334888936,0.9881643129461071,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,2048,15774.422809116779,15850.267958160248,0.4929507127848993,0.49532087369250777,0.9952148979913982,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,32,128,1627.219255319976,1972.7989058686596,0.050850601728749244,0.061649965808395615,0.8248277361059674,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,48,256,2615.522898990588,2702.0235695580086,0.08173509059345588,0.08443823654868778,0.9679867076135201,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,64,512,7579.773486180713,8144.696172148502,0.23686792144314728,0.25452175537964067,0.9306391946332397,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,1024,2889.125587104496,2950.759294584261,0.0902851745970155,0.09221122795575816,0.9791125939710209,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,2048,16125.036834003924,16229.722057840567,0.5039074010626227,0.5071788143075178,0.9935497833257059,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,32,128,1301.9263033432044,1521.0575364348358,0.04068519697947514,0.04753304801358862,0.8559349479933238,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,48,256,3070.552489736689,3141.8298627195322,0.09595476530427154,0.09818218320998538,0.9773134204914755,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,64,512,7209.866684371141,7695.513386016457,0.22530833388659816,0.24048479331301428,0.9368922283303689,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,1024,3788.1427885953563,3857.6666967288993,0.11837946214360488,0.12055208427277811,0.9819777306856251,True
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,2048,15678.483405914023,15783.932518100273,0.4899526064348132,0.49324789119063356,0.9933192116688712,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,32,128,1675.0388886253522,1748.5575072927552,0.05234496526954226,0.0546424221028986,0.9579547035995231,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,48,256,2615.495411431686,2628.2945500004616,0.0817342316072402,0.08213420468751442,0.9951302495495516,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,64,512,7521.264341931756,7922.568215817973,0.23503951068536735,0.24758025674431167,0.9493467442684828,True
