seq_len_k,nql,source_bw_gib_s,source_C_us,layer_C_ms,request_8C_ms,source_ttft_78layer_ms,raw_layer_V_gib,physical_layer_V_gib,padding_gib_per_layer,blocks_per_layer,physical_V_over_C_gib_s,max_32_same_profile_ssu_demand_gib_s,underload33_eligible,category,role,post_admission_link_lower_bound_ms,slo_1_5_threshold_ms,link_alone_forced_slo_failure
112,2048,3.583974506835938,41212.64753509627,41.21264753509627,329.7011802807702,3214.5865077375097,0.147705078125,0.147705078125,0.0,880,3.583974506835938,19.157972818359376,True,LL,long,61.89135847259627,494.5517704211553,False
112,4096,1.7625140736328122,82279.92809787468,82.27992809787469,658.2394247829975,6417.834391634225,0.14501953125,0.14501953125,0.0,864,1.7625140736328122,9.400075059374998,True,LL,long,102.58266247287469,987.3591371744963,False
128,64,95.90928303329315,1791.1829932095534,1.7911829932095533,14.329463945676427,139.71227347034514,0.17179107666015625,0.171875,8.392333984375e-05,1024,95.956136615625,512.7656050397461,False,LS,long,25.853682993209553,21.49419591851464,True
128,128,53.80490401715698,3191.2918804865735,3.1912918804865735,25.53033504389259,248.92076667795274,0.1717071533203125,0.1717071533203125,0.0,1023,53.804904017156986,287.80101151699216,False,LS,long,27.230293345330324,38.29550256583888,False
128,256,28.475925926934814,6024.011548589167,6.024011548589168,48.19209238871334,469.87290078995505,0.171539306640625,0.171539306640625,0.0,1022,28.47592592693481,152.46601435634764,False,LS,long,30.03951447827667,72.28813858307001,False
128,512,14.564078712707518,11755.196923775935,11.755196923775936,94.04157539020748,916.9053600545228,0.17120361328125,0.17120361328125,0.0,1020,14.564078712707518,77.67508646777343,False,LL,long,35.723702783150934,141.06236308531123,False
128,1024,7.299131138964844,23363.359736359624,23.363359736359623,186.90687789087698,1822.3420594360507,0.1705322265625,0.1705322265625,0.0,1016,7.299131138964844,39.081962003906256,True,LL,long,47.23787145510963,280.36031683631546,False
128,2048,3.632127913476562,46581.35868432481,46.58135868432481,372.6508694745985,3633.3459773773347,0.169189453125,0.169189453125,0.0,1008,3.6321279134765616,19.371348871874996,True,LL,long,70.26788212182481,558.9763042118977,False
128,4096,1.7900311139648437,93017.32520235408,93.01732520235409,744.1386016188327,7255.351365783618,0.16650390625,0.16650390625,0.0,992,1.7900311139648435,9.585327900585936,True,LL,long,116.32787207735409,1116.207902428249,False
144,64,98.66252012682496,1958.95514742287,1.95895514742287,15.67164117938296,152.79850149898385,0.19327545166015625,0.193359375,8.392333984375e-05,1152,98.7053609953125,526.428591975,False,LS,long,29.02926764742287,23.50746176907444,True
144,128,54.777572576376336,3526.8362439928437,3.5268362439928436,28.21468995194275,275.0932270314418,0.19319152832031253,0.1931915283203125,-2.7755575615628914e-17,1151,54.777572576376336,292.40087394374996,False,LS,long,30.573650208836593,42.322034927914125,False
144,256,28.8305892892456,6695.100114121732,6.695100114121732,53.56080091297385,522.217808901495,0.193023681640625,0.193023681640625,0.0,1150,28.8305892892456,154.0305570375,False,LS,long,33.71841554380923,80.34120136946078,False
144,512,14.711955546862795,13097.374286339464,13.097374286339464,104.77899429071572,1021.5951943344782,0.19268798828125,0.19268798828125,0.0,1148,14.711955546862793,78.73715581875,False,LL,long,40.073692645714466,157.16849143607357,False
144,1024,7.371725710400391,26047.713806224994,26.047713806224994,208.38171044979995,2031.7216768855494,0.1920166015625,0.1920166015625,0.0,1144,7.371725710400391,39.38460449472656,True,LL,long,52.93003802497499,312.57256567469994,False
144,2048,3.6703288343261726,51950.06680103239,51.95006680103239,415.60053440825914,4052.1052104805262,0.19067382812500003,0.190673828125,-2.7755575615628914e-17,1136,3.670328834326172,19.64401347949219,True,LL,long,78.64440273853239,623.4008016123887,False
144,4096,1.8118515454101565,103754.79256356199,103.75479256356199,830.0383405084959,8092.873819957836,0.18798828125,0.18798828125,0.0,1120,1.8118515454101565,9.680463971191408,True,LL,long,130.07315193856198,1245.057510762744,False
160,64,100.98136489603272,2126.7273113337924,2.1267273113337923,17.01381849067034,165.8847302840358,0.21475982666015625,0.21484375,8.392333984375e-05,1280,101.02082615625,540.4614199359374,False,LS,long,32.204852311333795,25.520727736005508,True
160,128,55.58124123981629,3862.3805178090706,3.8623805178090707,30.899044142472565,301.2656803891075,0.21467590332031253,0.2146759033203125,-2.7755575615628914e-17,1279,55.581241239816286,297.59213448808595,False,LS,long,33.91700698265282,46.34856621370885,False
160,256,29.120629606567384,7366.188833782921,7.366188833782921,58.92951067026337,574.5627290350678,0.214508056640625,0.214508056640625,0.0,1278,29.120629606567384,155.31002456835938,False,LS,long,37.39731676347042,88.39426600539505,False
160,512,14.832343048681642,14439.550284018445,14.439550284018445,115.51640227214756,1126.2849221534389,0.21417236328125,0.21417236328125,0.0,1276,14.832343048681642,79.22981992148438,False,LL,long,44.423681143393445,173.27460340822134,False
160,1024,7.430755796191407,28732.06742602533,28.732067426025328,229.85653940820262,2241.1012592299758,0.21350097656250003,0.2135009765625,-2.7755575615628914e-17,1272,7.430755796191407,39.6306975796875,True,LL,long,58.622204144775324,344.78480911230395,False
160,2048,3.7013737921875007,57318.772714283245,57.31877271428324,458.55018171426593,4470.864271714094,0.21215820312500003,0.212158203125,-2.7755575615628914e-17,1264,3.7013737921875007,19.771895446875003,True,LL,long,87.02092115178324,687.825272571399,False
160,4096,1.8295805988281253,114492.1718038388,114.4921718038388,915.9373744307104,8930.389400699427,0.20947265625,0.20947265625,0.0,1248,1.8295805988281253,9.757763193750002,True,LL,long,143.8183436788388,1373.9060616460656,False
176,64,102.96110523337556,2294.4994726375185,2.2944994726375185,18.355995781100148,178.97095886572646,0.23624420166015628,0.236328125,8.392333984372224e-05,1408,102.99768111445313,550.1012514067382,False,LS,long,35.38043697263752,27.533993671650222,True
176,128,56.2564332652588,4197.9248347789135,4.197924834778913,33.583398678231305,327.43813711275527,0.23616027832031253,0.2361602783203125,-2.7755575615628914e-17,1407,56.2564332652588,300.6740427539063,False,LS,long,37.26036379962267,50.37509801734696,False
176,256,29.362235313299564,8037.277445758114,8.037277445758114,64.29821956606492,626.9076407691329,0.235992431640625,0.235992431640625,0.0,1406,29.36223531329956,157.04410352490234,False,LS,long,41.076217875445614,96.44732934909737,False
176,512,14.932251456262208,15781.728493623883,15.781728493623882,126.25382794899106,1230.9748225026628,0.23565673828125,0.23565673828125,0.0,1404,14.932251456262208,79.63867443339845,False,LL,long,48.77367185299888,189.3807419234866,False
176,1024,7.479698789062499,31416.419055018247,31.416419055018245,251.33135244014596,2450.480686291423,0.2349853515625,0.2349853515625,0.0,1400,7.4796987890625,40.00570323749999,False,LL,long,64.31436827376825,376.9970286602189,False
176,2048,3.7271006582519526,62687.48809016086,62.68748809016086,501.4999047212869,4889.624071032547,0.233642578125,0.233642578125,0.0,1392,3.7271006582519526,19.87787017734375,True,LL,long,95.39744902766085,752.2498570819304,False
176,4096,1.8442694499023438,125229.54889386118,125.22954889386118,1001.8363911508894,9767.904813721172,0.23095703125000003,0.23095703125,-2.7755575615628914e-17,1376,1.8442694499023435,9.864697057617187,True,LL,long,157.5635332688612,1502.754586726334,False
192,64,104.67105813091278,2462.2716275382772,2.462271627538277,19.698173020306218,192.05718694798563,0.25772857666015625,0.2578125,8.392333984375e-05,1536,104.70514183593751,558.427423125,False,LS,long,38.55602162753828,29.54725953045933,True
192,128,56.83167728100587,4533.469108194381,4.533469108194381,36.267752865555046,353.61059043916174,0.2576446533203125,0.2576446533203125,0.0,1535,56.83167728100587,303.2997396,False,LS,long,40.60372057303813,54.401629298332566,False
192,256,29.56660421017456,8708.365857991268,8.708365857991268,69.66692686393014,679.2525369233189,0.257476806640625,0.257476806640625,0.0,1534,29.566604210174557,157.894147125,False,LS,long,44.75511878767877,104.50039029589522,False
192,512,15.0164984993042,17123.90630166978,17.12390630166978,136.99125041335824,1335.6646915302429,0.25714111328125,0.25714111328125,0.0,1532,15.0164984993042,80.29709902500001,False,LL,long,53.12366216104478,205.48687562003738,False
192,1024,7.520933952758791,34100.781654707,34.100781654707006,272.80625323765605,2659.8609690671465,0.2564697265625,0.2564697265625,0.0,1528,7.52093395275879,40.16414990478516,False,LL,long,70.006543373457,409.2093798564841,False
192,2048,3.748769473388672,68056.18615283375,68.05618615283375,544.44948922267,5308.382519921032,0.255126953125,0.255126953125,0.0,1520,3.748769473388672,20.04605149980469,True,LL,long,103.77395959033375,816.674233834005,False
192,4096,1.8566362127929688,135967.080955643,135.967080955643,1087.736647645144,10605.432314540154,0.25244140625,0.25244140625,0.0,1504,1.8566362127929685,9.915227434277343,True,LL,long,171.308877830643,1631.604971467716,False
200,64,105.4415301346756,2546.157702920765,2.546157702920765,20.36926162336612,198.6003008278197,0.26847076416015625,0.2685546875,8.392333984375e-05,1600,105.47449091308593,563.2337814758789,False,LS,long,40.143813952920766,30.553892435049182,True
200,128,57.08850457752687,4701.241393630131,4.701241393630131,37.609931149041046,366.69682870315023,0.2683868408203125,0.2683868408203125,0.0,1599,57.08850457752687,305.04326648554695,False,LS,long,42.27539910847388,56.41489672356157,False
200,256,29.65741347119751,9043.910535256628,9.043910535256627,72.35128428205302,705.425021750017,0.268218994140625,0.268218994140625,0.0,1598,29.657413471197515,158.5687989348633,False,LS,long,46.59456971494413,108.52692642307952,False
200,512,15.053856334606934,17794.995171132316,17.794995171132317,142.35996136905854,1388.0096233483205,0.26788330078125,0.26788330078125,0.0,1596,15.053856334606932,80.2872337845703,False,LL,long,55.298657280507314,213.53994205358782,False
200,1024,7.539211803588867,35442.950937563524,35.44295093756352,283.5436075005082,2764.5501731299546,0.26721191406250006,0.2672119140625,-5.551115123125783e-17,1592,7.5392118035888664,40.31015758300781,False,LL,long,72.85261890631352,425.3154112507623,False
200,2048,3.7583703593261726,70740.53784115809,70.74053784115809,565.9243027292647,5517.761951610331,0.26586914062500006,0.265869140625,-5.551115123125783e-17,1584,3.758370359326172,20.044641916406253,True,LL,long,107.96221752865809,848.8864540938971,False
200,4096,1.8621157242187503,141335.78827944142,141.33578827944143,1130.6863062355314,11024.191485796431,0.26318359375,0.26318359375,0.0,1568,1.86211572421875,9.9566187703125,True,LL,long,178.18149140444143,1696.0294593532972,False
