label,family,mode,seed,request_count,first_card_done_ms,makespan_ms,U_2_4,mixed_cards_2_4,U_4_to_first_drain,active_tail_duration_ms,tail_mixed_cards,worst_later_full_active_2s_U,all_run_stall_after4_ms,direct_raw,full_run_capacity_pass,qualifying_8s_or_more_windows,path,sha256
raw200_one_l19_fixed_seed7,raw200_one_l19,fixed,7,1531,5410.717538090707,7308.832499408865,84.44894607213139,0,84.52828818400735,1400,0,,6931.326893564706,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_one_l19_fixed_seed7/baseline/raw200_one_l19_fixed_seed7_b1b368fdec40_baseline_104671470b.json.gz,009d1efdd4ea9c274f1521ecb8b624ceb1d1ed95f09d073cc189f0c42ee46481
raw200_fast_l17_fixed_seed7,raw200_fast_l17,fixed,7,2810,5680.6888975563115,6438.234433922388,89.75275740560208,0,90.3857881858789,1650,0,,5076.303837855941,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/runs/raw200_fast_l17_fixed_seed7/baseline/raw200_fast_l17_fixed_seed7_878a704ea0f7_baseline_104671470b.json.gz,f849fe86326897fc6349c6dde97740d70a120adfcf08c800f0c58d584625e06f
raw176_extendedhot_ordered_seed101,raw176_extendedhot,ordered,101,1212,4413.9218532256755,7757.777862074371,89.48031816243261,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_ordered_seed101/baseline/raw176_extendedhot_ordered_seed101_267b0cf86439_baseline_104671470b.json.gz,8161da05a78aec8c6afb7ccc7c31b2330d2b3843f10013525fc33b78563d67e1
raw176_extendedhot_ordered_seed19,raw176_extendedhot,ordered,19,1212,4413.143310868201,7761.32332318277,89.48727826540633,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_ordered_seed19/baseline/raw176_extendedhot_ordered_seed19_bfab83c71400_baseline_104671470b.json.gz,2e4766548ea2cabec1eac445dd2d006fb71bf014f9854cdb5dc48c10298ca72e
raw176_extendedhot_ordered_seed43,raw176_extendedhot,ordered,43,1212,4412.781801273474,7778.88196434488,89.57182648331343,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_ordered_seed43/baseline/raw176_extendedhot_ordered_seed43_07a49cef6343_baseline_104671470b.json.gz,cb83f8414aeaba4b6c46bb9511051d8b2d20234a9ba40c39d1aca1a051b07f32
raw176_extendedhot_ordered_seed67,raw176_extendedhot,ordered,67,1212,4412.960757987342,7781.910418446442,89.51820982729784,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_ordered_seed67/baseline/raw176_extendedhot_ordered_seed67_c6b4ecd74a48_baseline_104671470b.json.gz,b209359ae1c27be72931e76c06eafb36d04a27c25183078308aaa873e7cf4647
raw176_extendedhot_ordered_seed7,raw176_extendedhot,ordered,7,1212,4412.965393387733,7748.594950611459,89.5726281606626,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_ordered_seed7/baseline/raw176_extendedhot_ordered_seed7_b98988393434_baseline_104671470b.json.gz,fb702c39fce07f4a9fa7bfe7fd8477dc42a12d926cd175646f0e035535053c95
raw176_extendedhot_random_seed101,raw176_extendedhot,random,101,1212,4369.2496260735925,6806.24871873232,99.97299668920694,32,99.99441026702645,350,19,,2.0262630355337024,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed101/baseline/raw176_extendedhot_random_seed101_49a1897270fa_baseline_104671470b.json.gz,8748c3af805622076c68854bba56e317435f9dc79d77b784f9227120ddde68fd
raw176_extendedhot_random_seed19,raw176_extendedhot,random,19,1212,4370.53449240661,6828.77023934392,99.99187002897723,32,100.0,350,21,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed19/baseline/raw176_extendedhot_random_seed19_6e8c89298161_baseline_104671470b.json.gz,8b8aa71773c8ee258f1c9e6ff8db77c96bf3e4b92ec6337b484de0314d390d17
raw176_extendedhot_random_seed43,raw176_extendedhot,random,43,1212,4370.786462426136,6821.390850835291,99.98423190281017,32,99.97690532913053,350,21,,5.688669474325252,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed43/baseline/raw176_extendedhot_random_seed43_478e0ea59ede_baseline_104671470b.json.gz,7d7297596446f9b6a99f7f37afbe9ae9c58464229caab17d1923c50581f7dddc
raw176_extendedhot_random_seed67,raw176_extendedhot,random,67,1212,4365.8809432122625,6766.48808912152,99.98623502864935,32,99.9926577541193,350,22,,6.291346571283611,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed67/baseline/raw176_extendedhot_random_seed67_18d492ca88ef_baseline_104671470b.json.gz,5bfa4beff71be16cdfa8471e71e2a88f7c23147b1bf7352e1c922d1481ce3a98
raw176_extendedhot_random_seed7,raw176_extendedhot,random,7,1212,4366.008152478046,6783.649458216346,99.98249996871098,32,99.89125128109555,350,22,,12.405129264598145,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed7/baseline/raw176_extendedhot_random_seed7_f606ad5ca420_baseline_104671470b.json.gz,806385ff9cbf5507964f900d44154478cbb35e482bf2013468b336151c6c1700
raw176_rebinding_ordered_seed7,raw176_rebinding,ordered,7,1212,4387.513076597466,7718.263352958085,91.61712299068415,32,99.72971000199843,350,0,,30.272479776177533,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_rebinding_ordered_seed7/baseline/raw176_rebinding_ordered_seed7_ecd3103bbed3_baseline_104671470b.json.gz,527c966dd230917da06b375fe36f1df1c7baa2e08f1e8bf3bf1a762e5bc24d13
raw176_rebinding_random_seed7,raw176_rebinding,random,7,1212,4243.792243255794,6904.810072894682,99.988605136975,32,99.93274282034116,200,18,,8.477293179769276,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_rebinding_random_seed7/baseline/raw176_rebinding_random_seed7_6de502f7ffb5_baseline_104671470b.json.gz,aef31509a4fe6e03e7446aa24a7dab66ff00f02e2896f269da61a8671ecb2d51
raw200_diversehot_ordered_seed7,raw200_diversehot,ordered,7,1172,4427.716311210744,8198.169911607018,91.2970921959285,32,100.0,400,0,,0.0,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw200_diversehot_ordered_seed7/baseline/raw200_diversehot_ordered_seed7_2548c7ad39d0_baseline_104671470b.json.gz,42cdef11ca6a4a7f141bb93b59ad660af05b8c95f47c52d67193d2941d4e279e
raw200_earlyguard_ordered_seed7,raw200_earlyguard,ordered,7,1172,4427.716311210744,8249.823612357643,90.42315491423906,32,99.6538031142201,400,0,,44.31320137982766,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw200_earlyguard_ordered_seed7/baseline/raw200_earlyguard_ordered_seed7_14571a3233b5_baseline_104671470b.json.gz,8620ae02f332aab07cc6b1705f46d6d61600a1395e1c2cdc767e597b0d8d0d60
raw200_earlyguard_random_seed7,raw200_earlyguard,random,7,1172,4203.254839875173,7260.770453097229,99.90042514744816,32,99.1917892287,200,12,,51.72548936319981,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw200_earlyguard_random_seed7/baseline/raw200_earlyguard_random_seed7_af199bef2812_baseline_104671470b.json.gz,86c4a6b96aa47baefa3fb2c6c4034257a6a0fbea33705c32e77cb6953215b824
raw200_rebinding_ordered_seed7,raw200_rebinding,ordered,7,1172,4236.7391579416235,8337.090939298023,88.8001341426094,32,99.59734030255437,200,0,,31.927234966324704,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw200_rebinding_ordered_seed7/baseline/raw200_rebinding_ordered_seed7_ae06fc9952e6_baseline_104671470b.json.gz,e6c1c1a0fe3a0a30de058d426852327c127f7348661e246dc4972e74a27f57ab
raw200_rebinding_random_seed7,raw200_rebinding,random,7,1172,4097.407167231952,7294.196555077019,99.94592835589735,32,100.0,50,1,,16.754624593737844,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw200_rebinding_random_seed7/baseline/raw200_rebinding_random_seed7_65c913087e4c_baseline_104671470b.json.gz,f1c74892b5a0ba3f262e673078a8f3968fb76898662283a876f4a67dd2f62989
raw_feasible_q2_seed7,raw_feasible_q2,random,7,1568,4957.114346328601,4961.950873849805,99.99973194132782,32,99.99427071847532,950,29,,1.7417015835035272,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_quartet_replacement/runs/raw_feasible_q2_seed7/baseline/raw_feasible_q2_seed7_23926100626d_baseline_104671470b.json.gz,9aa996864056f355181efa9752e1e4298f699abea5fd246cc904b4e76c5e7780
raw_feasible_q2_seed7__exact_cohort4_p1,raw_feasible_q2,ordered,7,1568,4960.12724109881,4994.533644775107,99.8155782851757,32,99.78328093305387,950,32,,65.8825963516224,True,True,0,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_quartet_replacement/runs/raw_feasible_q2_seed7__exact_cohort4_p1/baseline/raw_feasible_q2_seed7__exact_cohort4_p1_9ac5d0e18113_baseline_104671470b.json.gz,cc568bec8bd0d859d154b117c2b80353152959820c3a3d28231777ee501e351c
