label,order,npu,queue_requests,pure_C_ms,short_C_ms,long_C_ms,short_C_fraction,long_C_fraction,fast_short_nql1024_C_ms,fast_short_C_fraction,bridge_nql4096_C_ms,bridge_C_fraction,count_S32_nql1024,count_S48_nql1024,count_S64_nql1024,count_bridge32_nql4096,count_Long176_nql1024,cycle_repetitions,ordered_cycle_profile_indices,first24_actual_profiles,original_id_queue_sha256
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,20,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024",1a4296343349699bc4e5a0c5ac7fa7c7a379dd2cc68db686beb0a27c50f1d949
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,21,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",0738ab2a91befd55f4906d599dece573565ea764a5b69ef3fa4fe487a4b5ccd3
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,22,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",3db771120554fd6d6d64504dda0f12f19cd4e8a436e1471ad138eef30dd932b3
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,23,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",693555cf664ea9a5dfe1c2bd5fa0649c828bb4bb90ce083e09e2bd32f26d2dac
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,24,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",4b15a32daf684d2034b5841ffee6edb65ed74ac71f0b792f76ebc6c1a0e01a2c
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,25,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",fdfced52851e7b0cbca4ce240de5bff35a9c18be10d330463c3da9023f2130f1
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,26,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",4af78a1fdd9bd1e5f6b455aee3e82aa4671a25dea8ef1c7f559e8bc390b08d50
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,27,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",8958841c1d27ccd8b4f6137232ddf418d5e1ac35037ae865e445f832babeed82
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,28,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",3727877a5930e4994ad75219cb2e11d9ff4033049354f91577926f9263548ca2
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,29,925,63238.34014021441,53939.08009992901,9299.2600402854,0.8529490176423553,0.14705098235764466,53939.08009992901,0.8529490176423553,0.0,0.0,814,37,37,0,37,37,"[0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","32:1024,32:1024,48:1024,64:1024,176:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024,32:1024",3c2681af72304a4deaf305976e2543563a7c138519ef38d9d4ac68b3322b1a25
