npu_id,request_id,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
19,19,2,10.100651972747546,14.57324873046875,4.472596757721204,15.144961953307591,False,0.0,15.144961953307591,15.144961953307591,20.189271933867637,5.044309980560046,0.0
20,20,0,0.0,4.866914477539062,4.866914477539062,5.044309980560046,False,0.0,0.0,4.866914477539062,9.911224458099108,5.044309980560046,4.866914477539062
20,20,1,4.866914477539062,7.9428048828125,3.075890405273438,9.911224458099108,False,0.0,9.911224458099108,9.911224458099108,14.955534438659154,5.044309980560046,0.0
20,20,2,9.911224458099108,12.940939770507812,3.0297153124087046,14.955534438659154,False,0.0,14.955534438659154,14.955534438659154,19.9998444192192,5.044309980560046,0.0
21,21,0,0.0,4.964026318359375,4.964026318359375,5.044309980560046,False,0.0,0.0,4.964026318359375,10.00833629891942,5.044309980560046,4.964026318359375
21,21,1,4.964026318359375,8.687365673828124,3.723339355468749,10.00833629891942,False,0.0,10.00833629891942,10.00833629891942,15.052646279479466,5.044309980560046,0.0
21,21,2,10.00833629891942,13.717208686614732,3.708872387695312,15.052646279479466,False,0.0,15.052646279479466,15.052646279479466,20.096956260039512,5.044309980560046,0.0
22,22,0,0.0,4.640721459960938,4.640721459960938,5.044309980560046,False,0.0,0.0,4.640721459960938,9.685031440520984,5.044309980560046,4.640721459960938
22,22,1,4.640721459960938,5.920652392578125,1.2799309326171873,9.685031440520984,False,0.0,9.685031440520984,9.685031440520984,14.72934142108103,5.044309980560046,0.0
22,22,2,9.685031440520984,10.964862373138171,1.2798309326171875,14.72934142108103,False,0.0,14.72934142108103,14.72934142108103,19.773651401641075,5.044309980560046,0.0
23,23,0,0.0,5.068930493164062,5.068930493164062,5.044309980560046,True,0.024620512604016653,0.0,5.068930493164062,10.113240473724108,5.044309980560046,5.068930493164062
23,23,1,5.068930493164062,9.915503369140625,4.8465728759765625,10.113240473724108,False,0.0,10.113240473724108,10.113240473724108,15.157550454284154,5.044309980560046,0.0
23,23,2,10.113240473724108,14.896353588867187,4.783113115143079,15.157550454284154,False,0.0,15.157550454284154,15.157550454284154,20.2018604348442,5.044309980560046,0.0
24,24,0,0.0,4.825052807617188,4.825052807617188,5.044309980560046,False,0.0,0.0,4.825052807617188,9.869362788177234,5.044309980560046,4.825052807617188
24,24,1,4.825052807617188,7.114881518554688,2.2898287109375,9.869362788177234,False,0.0,9.869362788177234,9.869362788177234,14.91367276873728,5.044309980560046,0.0
24,24,2,9.869362788177234,12.154556098724107,2.285193310546873,14.91367276873728,False,0.0,14.91367276873728,14.91367276873728,19.957982749297326,5.044309980560046,0.0
25,25,0,0.0,4.707760131835937,4.707760131835937,5.044309980560046,False,0.0,0.0,4.707760131835937,9.752070112395984,5.044309980560046,4.707760131835937
25,25,1,4.707760131835937,6.183332446289063,1.4755723144531254,9.752070112395984,False,0.0,9.752070112395984,9.752070112395984,14.79638009295603,5.044309980560046,0.0
25,25,2,9.752070112395984,11.227642426849108,1.4755723144531245,14.79638009295603,False,0.0,14.79638009295603,14.79638009295603,19.840690073516075,5.044309980560046,0.0
