order,strategy,start_ms,end_ms,npu,U_percent,compute_ms,active_ms,computed_roles
random,once,2000.0,20000.0,0,99.23542197775537,17862.375955995965,18000.0,"A,B"
random,once,2000.0,20000.0,1,97.96911036710978,17634.43986607976,18000.0,"A,B"
random,once,2000.0,20000.0,2,98.77110173756564,17778.798312761817,18000.0,"A,B"
random,once,2000.0,20000.0,3,98.54042642010764,17737.276755619376,18000.0,"A,B"
random,once,2000.0,20000.0,4,98.88198639372904,17798.757550871225,18000.0,"A,B"
random,once,2000.0,20000.0,5,99.14969695127827,17846.94545123009,18000.0,"A,B"
random,once,2000.0,20000.0,6,99.17332239528898,17851.198031152016,18000.0,"A,B"
random,once,2000.0,20000.0,7,99.15055706138848,17847.100271049927,18000.0,"A,B"
random,once,2000.0,20000.0,8,98.36898565549134,17706.417417988443,18000.0,"A,B"
random,once,2000.0,20000.0,9,98.63761343565302,17754.770418417545,18000.0,"A,B"
random,once,2000.0,20000.0,10,98.81703532676012,17787.06635881682,18000.0,"A,B"
random,once,2000.0,20000.0,11,98.4374917232697,17718.748510188547,18000.0,"A,B"
random,once,2000.0,20000.0,12,98.81632828331972,17786.93909099755,18000.0,"A,B"
random,once,2000.0,20000.0,13,98.43938410041038,17719.08913807387,18000.0,"A,B"
random,once,2000.0,20000.0,14,99.5281538868692,17915.067699636456,18000.0,"A,B"
random,once,2000.0,20000.0,15,99.16256550273071,17849.261790491528,18000.0,"A,B"
random,once,2000.0,20000.0,16,98.72333243916457,17770.199839049623,18000.0,"A,B"
random,once,2000.0,20000.0,17,98.83887223080652,17790.997001545173,18000.0,"A,B"
random,once,2000.0,20000.0,18,99.10087978123775,17838.158360622794,18000.0,"A,B"
random,once,2000.0,20000.0,19,98.85077351490796,17793.139232683432,18000.0,"A,B"
random,once,2000.0,20000.0,20,99.06587532270386,17831.857558086693,18000.0,"A,B"
random,once,2000.0,20000.0,21,98.2051419792596,17676.925556266728,18000.0,"A,B"
random,once,2000.0,20000.0,22,98.69138058347441,17764.448505025393,18000.0,"A,B"
random,once,2000.0,20000.0,23,98.56777509773275,17742.199517591893,18000.0,"A,B"
random,once,2000.0,20000.0,24,99.01406739259276,17822.532130666696,18000.0,"A,B"
random,once,2000.0,20000.0,25,98.73353572521098,17772.036430537977,18000.0,"A,B"
random,once,2000.0,20000.0,26,99.2464038222376,17864.352688002768,18000.0,"A,B"
random,once,2000.0,20000.0,27,98.38726603050635,17709.70788549114,18000.0,"A,B"
random,once,2000.0,20000.0,28,98.21286739313595,17678.31613076447,18000.0,"A,B"
random,once,2000.0,20000.0,29,99.05633009004437,17830.139416207985,18000.0,"A,B"
random,once,2000.0,20000.0,30,98.42060724388912,17715.709303900043,18000.0,"A,B"
random,once,2000.0,20000.0,31,99.15561624644339,17848.01092435981,18000.0,"A,B"
ordered,once,2000.0,4000.0,0,91.83450048969979,1836.6900097939956,2000.0,"A,B"
ordered,once,2000.0,4000.0,1,98.67283173886514,1973.456634777303,2000.0,"A,B"
ordered,once,2000.0,4000.0,2,92.80561912743197,1856.1123825486393,2000.0,"A,B"
ordered,once,2000.0,4000.0,3,90.88119578679223,1817.6239157358445,2000.0,"A,B"
ordered,once,2000.0,4000.0,4,92.58120840595956,1851.6241681191912,2000.0,"A,B"
ordered,once,2000.0,4000.0,5,99.939368940614,1998.7873788122802,2000.0,"A,B"
ordered,once,2000.0,4000.0,6,89.4557778869899,1789.115557739798,2000.0,"A,B"
ordered,once,2000.0,4000.0,7,97.14387318181635,1942.877463636327,2000.0,"A,B"
ordered,once,2000.0,4000.0,8,95.07246774922127,1901.4493549844256,2000.0,"A,B"
ordered,once,2000.0,4000.0,9,96.80611170875322,1936.1222341750645,2000.0,"A,B"
ordered,once,2000.0,4000.0,10,88.69668671694917,1773.9337343389834,2000.0,"A,B"
ordered,once,2000.0,4000.0,11,94.27518358741528,1885.5036717483058,2000.0,"A,B"
ordered,once,2000.0,4000.0,12,83.50707718936128,1670.1415437872256,2000.0,"A,B"
ordered,once,2000.0,4000.0,13,90.98237309192515,1819.6474618385032,2000.0,"A,B"
ordered,once,2000.0,4000.0,14,100.0,2000.0,2000.0,"A,B"
ordered,once,2000.0,4000.0,15,88.04102562441986,1760.820512488397,2000.0,"A,B"
ordered,once,2000.0,4000.0,16,97.43527556610137,1948.7055113220272,2000.0,"A,B"
ordered,once,2000.0,4000.0,17,92.59316126064631,1851.8632252129264,2000.0,"A,B"
ordered,once,2000.0,4000.0,18,95.19526313465168,1903.9052626930338,2000.0,"A,B"
ordered,once,2000.0,4000.0,19,99.22820986735346,1984.564197347069,2000.0,"A,B"
ordered,once,2000.0,4000.0,20,90.58338658927842,1811.6677317855685,2000.0,"A,B"
ordered,once,2000.0,4000.0,21,99.2378293607002,1984.756587214004,2000.0,"A,B"
ordered,once,2000.0,4000.0,22,87.50182316592377,1750.0364633184754,2000.0,"A,B"
ordered,once,2000.0,4000.0,23,96.62764401584528,1932.5528803169054,2000.0,"A,B"
ordered,once,2000.0,4000.0,24,89.20369884649942,1784.0739769299885,2000.0,"A,B"
ordered,once,2000.0,4000.0,25,93.10501320903423,1862.1002641806845,2000.0,"A,B"
ordered,once,2000.0,4000.0,26,97.55898172055426,1951.1796344110853,2000.0,"A,B"
ordered,once,2000.0,4000.0,27,90.85103954247104,1817.0207908494208,2000.0,"A,B"
ordered,once,2000.0,4000.0,28,99.00086682898655,1980.017336579731,2000.0,"A,B"
ordered,once,2000.0,4000.0,29,93.67791447884697,1873.5582895769394,2000.0,"A,B"
ordered,once,2000.0,4000.0,30,88.3082418103666,1766.164836207332,2000.0,"A,B"
ordered,once,2000.0,4000.0,31,92.56923955513966,1851.3847911027933,2000.0,"A,B"
ordered,once,2000.0,20000.0,0,97.98762779081402,17637.773002346523,18000.0,"A,B"
ordered,once,2000.0,20000.0,1,98.18328393479251,17672.991108262653,18000.0,"A,B"
ordered,once,2000.0,20000.0,2,97.9384721830272,17628.924992944896,18000.0,"A,B"
ordered,once,2000.0,20000.0,3,97.54679962748584,17558.42393294745,18000.0,"A,B"
ordered,once,2000.0,20000.0,4,98.43518238946606,17718.332830103893,18000.0,"A,B"
ordered,once,2000.0,20000.0,5,98.1354598873187,17664.382779717365,18000.0,"A,B"
ordered,once,2000.0,20000.0,6,97.57033916467495,17562.66104964149,18000.0,"A,B"
ordered,once,2000.0,20000.0,7,98.55032214734176,17739.057986521515,18000.0,"A,B"
ordered,once,2000.0,20000.0,8,98.41697405260216,17715.05532946839,18000.0,"A,B"
ordered,once,2000.0,20000.0,9,98.33476297794572,17700.257336030227,18000.0,"A,B"
ordered,once,2000.0,20000.0,10,97.58534766382395,17565.362579488312,18000.0,"A,B"
ordered,once,2000.0,20000.0,11,98.07462000286202,17653.431600515163,18000.0,"A,B"
ordered,once,2000.0,20000.0,12,96.90027235063813,17442.049023114865,18000.0,"A,B"
ordered,once,2000.0,20000.0,13,97.80022247084881,17604.040044752786,18000.0,"A,B"
ordered,once,2000.0,20000.0,14,98.48645899721267,17727.56261949828,18000.0,"A,B"
ordered,once,2000.0,20000.0,15,97.59901091405489,17567.821964529878,18000.0,"A,B"
ordered,once,2000.0,20000.0,16,98.29596238835022,17693.27322990304,18000.0,"A,B"
ordered,once,2000.0,20000.0,17,97.71517098535155,17588.73077736328,18000.0,"A,B"
ordered,once,2000.0,20000.0,18,97.85523542029314,17613.942375652765,18000.0,"A,B"
ordered,once,2000.0,20000.0,19,99.11606343946201,17840.89141910316,18000.0,"A,B"
ordered,once,2000.0,20000.0,20,97.46727453349138,17544.10941602845,18000.0,"A,B"
ordered,once,2000.0,20000.0,21,98.17194919181976,17670.950854527557,18000.0,"A,B"
ordered,once,2000.0,20000.0,22,96.85733075353966,17434.31953563714,18000.0,"A,B"
ordered,once,2000.0,20000.0,23,97.90074169003458,17622.133504206224,18000.0,"A,B"
ordered,once,2000.0,20000.0,24,97.8578276229136,17614.40897212445,18000.0,"A,B"
ordered,once,2000.0,20000.0,25,97.09042804413524,17476.277047944342,18000.0,"A,B"
ordered,once,2000.0,20000.0,26,98.72787062726658,17771.016712907985,18000.0,"A,B"
ordered,once,2000.0,20000.0,27,97.51398198333337,17552.516757000005,18000.0,"A,B"
ordered,once,2000.0,20000.0,28,98.6627253654934,17759.29056578881,18000.0,"A,B"
ordered,once,2000.0,20000.0,29,97.96822329627153,17634.280193328876,18000.0,"A,B"
ordered,once,2000.0,20000.0,30,97.26312280572785,17507.362105031014,18000.0,"A,B"
ordered,once,2000.0,20000.0,31,98.05495262774392,17649.891472993906,18000.0,"A,B"
