label,mode,strategy,seed,start_ms,end_ms,width_ms,U_percent,stall_percent,idle_percent,processing_only_U_percent,compute_npu_ms,stall_npu_ms,idle_npu_ms,all_32_active,cards_with_exhaustion,warm_mixed_cards,mean_long_cards,mean_short_cards,min_card_role_compute_ms,first_card_done_ms,last_card_done_ms,admission_slo_count,admission_slo_passed
raw176_three_l20_fixed_seed7,fixed,once,7,1000,4000,3000,99.99779337174262,0.0022066282573990274,0.0,99.99779337174262,95997.8816368729,2.1183631271030663,0.0,True,0,0,20.0,12.00000000000004,0.0,5255.307850887601,5310.419209861222,694,694
raw176_three_l20_fixed_seed7,fixed,once,7,2000,4000,2000,99.99754659652835,0.0024534034716403143,0.0,99.99754659652835,63998.42982177815,1.570178221849801,0.0,True,0,0,20.0,12.0,0.0,5255.307850887601,5310.419209861222,465,465
raw176_three_l20_fixed_seed7,fixed,once,7,2000,4250,2250,99.99431133839943,0.005688661600573949,0.0,99.99431133839943,71995.90416364759,4.095836352413244,0.0,True,0,0,20.0,12.000000000000002,0.0,5255.307850887601,5310.419209861222,524,524
raw176_three_l20_fixed_seed7,fixed,once,7,2000,4500,2500,99.99488020455951,0.0051197954405165546,0.0,99.99488020455951,79995.9041636476,4.095836352413244,0.0,True,0,0,20.0,12.0,0.0,5255.307850887601,5310.419209861222,581,581
raw176_three_l20_fixed_seed7,fixed,once,7,2000,5000,3000,99.9957335037996,0.004266496200430462,0.0,99.9957335037996,95995.9041636476,4.095836352413244,0.0,True,0,0,20.0,12.000000000000002,0.0,5255.307850887601,5310.419209861222,697,697
raw176_three_l20_fixed_seed7,fixed,once,7,2000,6000,4000,82.2483819903987,0.0031998721503228465,17.748418137450972,99.99610965275333,105277.92894771034,4.095836352413244,22717.975215937244,False,32,0,16.549717636854936,9.770788559160751,0.0,5255.307850887601,5310.419209861222,749,749
raw176_three_l20_fixed_seed7,fixed,once,7,2000,8000,6000,54.832254660265804,0.002133248100215231,45.165612091633975,99.99610965275333,105277.92894771034,4.095836352413244,86717.97521593724,False,32,0,11.033145091236625,6.513859039440502,0.0,5255.307850887601,5310.419209861222,749,749
raw176_three_l20_fixed_seed7,fixed,once,7,2000,4350,2350,99.99455340910583,0.0054465908941665475,0.0,99.99455340910583,75195.90416364759,4.095836352413244,0.0,True,0,0,20.0,12.0,0.0,5255.307850887601,5310.419209861222,557,557
raw176_three_l20_fixed_seed19,fixed,baseline,19,0,4000,4000,90.69922459438368,9.300775405616317,0.0,90.69922459438368,116095.00748081111,11904.992519188887,0.0,True,0,0,19.999999999999996,12.000000000000007,0.0,5300.675170871964,6537.978379785323,791,720
raw176_three_l20_fixed_seed19,fixed,baseline,19,1000,4000,3000,91.14980759392725,8.850192406072738,0.0,91.14980759392725,87503.81529017017,8496.18470982983,0.0,True,0,0,19.999999999999996,12.000000000000005,0.0,5300.675170871964,6537.978379785323,589,544
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,4000,2000,91.05636162512047,8.943638374879528,0.0,91.05636162512047,58276.07144007711,5723.928559922899,0.0,True,0,0,19.999999999999996,11.999999999999995,0.0,5300.675170871964,6537.978379785323,396,365
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,4250,2250,91.05648006286658,8.943519937133416,0.0,91.05648006286658,65560.66564526394,6439.33435473606,0.0,True,0,0,19.999999999999996,11.999999999999993,0.0,5300.675170871964,6537.978379785323,444,411
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,4500,2500,91.04074471694317,8.959255283056839,0.0,91.04074471694317,72832.59577355454,7167.404226445471,0.0,True,0,0,19.999999999999996,11.999999999999996,0.0,5300.675170871964,6537.978379785323,493,453
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,5000,3000,91.13675496360194,8.86324503639804,0.0,91.13675496360194,87491.28476505786,8508.715234942118,0.0,True,0,0,19.999999999999996,11.999999999999991,0.0,5300.675170871964,6537.978379785323,590,544
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,6000,4000,81.78224349253166,7.291145380936999,10.926611126531338,91.81445157397764,104681.27167044053,9332.666087599358,13986.062241960113,False,20,0,16.503484439509965,11.999999999999993,0.0,5300.675170871964,6537.978379785323,748,699
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,8000,6000,57.67193883679859,4.860763587291332,37.46729757591009,92.2268454762659,110730.12256665328,9332.666087599358,71937.21134574736,False,32,0,11.00232295967331,9.008141816035453,0.0,5300.675170871964,6537.978379785323,817,768
raw176_three_l20_fixed_seed19,fixed,baseline,19,2000,4350,2350,91.00449041834595,8.995509581654046,0.0,91.00449041834595,68435.37679459616,6764.623205403843,0.0,True,0,0,19.999999999999996,11.999999999999995,0.0,5300.675170871964,6537.978379785323,475,441
raw176_three_l20_fixed_seed19,fixed,once,19,0,4000,4000,99.431692622166,0.5683073778340221,0.0,99.431692622166,127272.56655637248,727.4334436275483,0.0,True,0,0,20.000000000000004,12.000000000000172,0.0,5255.346255623941,5310.498937034074,935,935
raw176_three_l20_fixed_seed19,fixed,once,19,1000,4000,3000,99.9996009203316,0.00039907966840715405,0.0,99.9996009203316,95999.61688351833,0.38311648167086787,0.0,True,0,0,20.0,12.00000000000004,0.0,5255.346255623941,5310.498937034074,698,698
raw176_three_l20_fixed_seed19,fixed,once,19,2000,4000,2000,100.0,0.0,0.0,100.0,64000.0,0.0,0.0,True,0,0,20.0,12.000000000000002,0.0,5255.346255623941,5310.498937034074,464,464
raw176_three_l20_fixed_seed19,fixed,once,19,2000,4250,2250,100.0,0.0,0.0,100.0,72000.0,0.0,0.0,True,0,0,20.0,12.0,0.0,5255.346255623941,5310.498937034074,521,521
raw176_three_l20_fixed_seed19,fixed,once,19,2000,4500,2500,100.0,0.0,0.0,100.0,80000.0,0.0,0.0,True,0,0,20.0,12.0,0.0,5255.346255623941,5310.498937034074,578,578
raw176_three_l20_fixed_seed19,fixed,once,19,2000,5000,3000,100.0,0.0,0.0,100.0,96000.0,0.0,0.0,True,0,0,20.0,12.000000000000005,0.0,5255.346255623941,5310.498937034074,689,689
raw176_three_l20_fixed_seed19,fixed,once,19,2000,6000,4000,82.24725941485545,0.0,17.752740585144558,100.0,105276.49205101497,0.0,22723.507948985032,False,32,0,16.549021213325883,9.770101799427852,0.0,5255.346255623941,5310.498937034074,741,741
raw176_three_l20_fixed_seed19,fixed,once,19,2000,8000,6000,54.8315062765703,0.0,45.1684937234297,100.0,105276.49205101497,0.0,86723.50794898503,False,32,0,11.032680808883923,6.513401199618568,0.0,5255.346255623941,5310.498937034074,741,741
raw176_three_l20_fixed_seed19,fixed,once,19,2000,4350,2350,100.0,0.0,0.0,100.0,75200.0,0.0,0.0,True,0,0,20.0,12.0,0.0,5255.346255623941,5310.498937034074,556,556
raw176_three_l20_fixed_seed43,fixed,baseline,43,0,4000,4000,90.77066728945914,9.22933271054087,0.0,90.77066728945914,116186.4541305077,11813.545869492313,0.0,True,0,0,20.0,12.0,0.0,5300.135983030167,6527.791237346169,787,724
raw176_three_l20_fixed_seed43,fixed,baseline,43,1000,4000,3000,91.31543935114111,8.684560648858907,0.0,91.31543935114111,87662.82177709547,8337.178222904551,0.0,True,0,0,19.999999999999996,12.0,0.0,5300.135983030167,6527.791237346169,586,547
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,4000,2000,91.42073591419323,8.579264085806768,0.0,91.42073591419323,58509.27098508366,5490.729014916331,0.0,True,0,0,19.999999999999993,11.999999999999993,0.0,5300.135983030167,6527.791237346169,391,368
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,4250,2250,91.41404058020024,8.58595941979976,0.0,91.41404058020024,65818.10921774418,6181.890782255828,0.0,True,0,0,19.999999999999993,11.999999999999991,0.0,5300.135983030167,6527.791237346169,440,416
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,4500,2500,91.37300846565195,8.626991534348047,0.0,91.37300846565195,73098.40677252156,6901.593227478437,0.0,True,0,0,19.999999999999993,12.0,0.0,5300.135983030167,6527.791237346169,488,459
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,5000,3000,91.38357084272154,8.616429157278482,0.0,91.38357084272154,87728.22800901267,8271.771990987343,0.0,True,0,0,19.999999999999996,12.0,0.0,5300.135983030167,6527.791237346169,585,547
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,6000,4000,82.0090271666479,7.055952356559073,10.935020476793033,92.07774773616767,104971.55477330931,9031.619016395614,13996.826210295083,False,20,0,16.500793447426226,12.000000000000004,0.0,5300.135983030167,6527.791237346169,743,702
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,8000,6000,57.745768469772486,4.703968237706049,37.550263292521464,92.46759316257817,110871.87546196317,9031.619016395614,72096.50552164121,False,32,0,11.000528964950817,8.983386781442311,0.0,5300.135983030167,6527.791237346169,816,775
raw176_three_l20_fixed_seed43,fixed,baseline,43,2000,4350,2350,91.3643078277525,8.635692172247502,0.0,91.3643078277525,68705.95948646987,6494.040513530122,0.0,True,0,0,19.999999999999993,11.999999999999995,0.0,5300.135983030167,6527.791237346169,468,441
raw176_three_l20_fixed_seed43,fixed,once,43,0,4000,4000,99.44236928863012,0.5576307113698717,0.0,99.44236928863012,127286.23268944655,713.7673105534359,0.0,True,0,0,19.999999999999993,12.00000000000016,0.0,5254.926538924709,5310.381444358292,925,925
