label,group,seed,strategy,start_ms,end_ms,device_U_percent,occupied_percent,tail_idle_percent,exposed_stall_percent,occupied_compute_fraction_percent,all_32_active,compute_ms,occupied_ms,tail_idle_ms,l0_stall_ms,l1_7_stall_ms
raw176_three_l20_fixed_seed43,fixed,43,once,2000,4250,99.99227049920233,100.0,0.0,0.0077295007976665095,99.99227049920233,True,71994.43475942568,72000.0,0.0,0.24504534867492112,5.320195225644966
raw176_three_l20_fixed_seed43,fixed,43,once,2000,5000,99.99420287440176,100.0,0.0,0.005797125598249882,99.99420287440176,True,95994.43475942568,96000.0,0.0,0.24504534867492112,5.320195225644966
raw176_three_l20_fixed_seed43,fixed,43,once,2000,6000,82.23308891424739,82.23743675844607,17.76256324155392,0.004347844198687412,99.99471305968417,False,105258.35381023666,105263.91905081098,22736.080949189018,0.24504534867492112,5.320195225644966
raw176_three_l20_fixed_seed43,fixed,43,once,2000,8000,54.82205927616493,54.824957838964046,45.175042161035954,0.002898562799124941,99.99471305968417,False,105258.35381023666,105263.91905081098,86736.08094918902,0.24504534867492112,5.320195225644966
raw176_three_l20_fixed_seed67,fixed,67,once,2000,4000,99.99819945161126,100.0,0.0,0.0018005483887414187,99.99819945161126,True,63998.8476490312,64000.0,0.0,0.0,1.152350968794508
raw176_three_l20_fixed_seed67,fixed,67,once,1000,4000,99.9987996344075,100.0,0.0,0.001200365592494279,99.9987996344075,True,95998.8476490312,96000.0,0.0,0.0,1.152350968794508
raw176_three_l20_fixed_seed67,fixed,67,once,0,4000,99.44574759079586,100.0,0.0,0.5542524092041363,99.44574759079586,True,127290.5569162187,128000.0,0.0,708.2907328125,1.152350968794508
raw176_three_l20_fixed_seed67,fixed,67,once,2000,4250,99.99839951254334,100.0,0.0,0.0016004874566590388,99.99839951254334,True,71998.8476490312,72000.0,0.0,0.0,1.152350968794508
raw176_three_l20_fixed_seed67,fixed,67,once,2000,5000,99.99337500435733,100.0,0.0,0.006624995642665017,99.99337500435733,True,95993.64000418303,96000.0,0.0,0.0,6.359995816958417
raw176_three_l20_fixed_seed67,fixed,67,once,2000,6000,82.23230417203126,82.23727291876327,17.762727081236733,0.004968746731998763,99.99395803562587,False,105257.34934020002,105263.70933601698,22736.290663983018,0.0,6.359995816958417
raw176_three_l20_fixed_seed67,fixed,67,once,2000,8000,54.821536114687504,54.824848612508845,45.175151387491155,0.0033124978213325087,99.99395803562587,False,105257.34934020002,105263.70933601698,86736.29066398302,0.0,6.359995816958417
raw176_three_l20_fixed_seed101,fixed,101,once,2000,4000,99.99860926867187,100.0,0.0,0.0013907313281222855,99.99860926867187,True,63999.10993195,64000.0,0.0,0.0,0.8900680499982627
raw176_three_l20_fixed_seed101,fixed,101,once,1000,4000,99.99907284578126,100.0,0.0,0.0009271542187481904,99.99907284578126,True,95999.10993195,96000.0,0.0,0.0,0.8900680499982627
raw176_three_l20_fixed_seed101,fixed,101,once,0,4000,99.41176059829903,100.0,0.0,0.5882394017009802,99.41176059829903,True,127247.05356582275,128000.0,0.0,723.2721097412109,29.67432443604374
raw176_three_l20_fixed_seed101,fixed,101,once,2000,4250,99.99876379437501,100.0,0.0,0.001236205624997587,99.99876379437501,True,71999.10993195,72000.0,0.0,0.0,0.8900680499982627
raw176_three_l20_fixed_seed101,fixed,101,once,2000,5000,99.99857931917244,100.0,0.0,0.001420680827571156,99.99857931917244,True,95998.63614640554,96000.0,0.0,0.0,1.36385359446831
raw176_three_l20_fixed_seed101,fixed,101,once,2000,6000,82.26649607305836,82.26756158367904,17.73243841632096,0.0010655106206783672,99.9987048228972,False,105301.1149735147,105302.47882710917,22697.521172890833,0.0,1.36385359446831
raw176_three_l20_fixed_seed101,fixed,101,once,2000,8000,54.844330715372244,54.84504105578603,45.15495894421397,0.000710340413785578,99.9987048228972,False,105301.1149735147,105302.47882710917,86697.52117289083,0.0,1.36385359446831
raw176_extendedhot_ordered_seed7,ordered,7,baseline,2000,4000,89.5726281606626,100.0,0.0,10.4273718393374,89.5726281606626,True,57326.482022824064,64000.0,0.0,863.6736244724157,5809.844352703521
raw176_extendedhot_ordered_seed7,ordered,7,baseline,1000,4000,90.32217378841678,100.0,0.0,9.677826211583218,90.32217378841678,True,86709.28683688011,96000.0,0.0,1212.8599774896188,8077.853185630271
raw176_extendedhot_ordered_seed7,ordered,7,baseline,0,4000,90.02526348218063,100.0,0.0,9.974736517819373,90.02526348218063,True,115232.3372571912,128000.0,0.0,2127.304920459552,10640.357822349246
raw176_extendedhot_ordered_seed7,ordered,7,baseline,2000,4250,90.73122503170009,100.0,0.0,9.268774968299912,90.73122503170009,True,65326.482022824064,72000.0,0.0,863.6736244724157,5809.844352703521
raw176_extendedhot_ordered_seed7,ordered,7,baseline,2000,5000,84.28495641428681,91.23653764051176,8.763462359488255,6.951581226224933,92.38070469791893,False,80913.55815771534,87587.07613489128,8412.923865108725,863.6736244724157,5809.844352703521
raw176_extendedhot_ordered_seed7,ordered,7,baseline,2000,6000,72.5887173107151,77.80240323038382,22.197596769616194,5.2136859196687,93.29881121508515,False,92913.55815771534,99587.07613489128,28412.923865108725,863.6736244724157,5809.844352703521
raw176_extendedhot_ordered_seed7,ordered,7,baseline,2000,8000,57.6266684234482,61.102459036560674,38.897540963439326,3.4757906131124665,94.31153726393774,False,110643.20337302054,117316.72135019649,74683.27864980351,863.6736244724157,5809.844352703521
raw176_extendedhot_ordered_seed19,ordered,19,baseline,2000,4000,89.48727826540633,100.0,0.0,10.512721734593661,89.48727826540633,True,57271.858089860056,64000.0,0.0,863.8608117247122,5864.28109841523
raw176_extendedhot_ordered_seed19,ordered,19,baseline,1000,4000,90.1766966560528,100.0,0.0,9.823303343947188,90.1766966560528,True,86569.6287898107,96000.0,0.0,1220.6928591551405,8209.67835103416
