scenario,policy,latency_ratio,macro_cdf
semi,baseline,1.0104335636011874,0.7610852220279379
semi,baseline,1.0105746813269985,0.7630460063416634
semi,baseline,1.0109764107311403,0.7649186655176933
semi,baseline,1.0118664046906518,0.7667913246937234
semi,baseline,1.0120988403419051,0.7689010293350735
semi,baseline,1.0124287007642276,0.7710107339764237
semi,baseline,1.0128082831829042,0.7729715182901492
semi,baseline,1.0129503432792817,0.7748441774661791
semi,baseline,1.012984009192215,0.7769538821075294
semi,baseline,1.0132204849726876,0.7789146664212548
semi,baseline,1.0146526824460773,0.7808754507349803
semi,baseline,1.014865410543287,0.7829851553763305
semi,baseline,1.015055700463395,0.784945939690056
semi,baseline,1.0156311112267837,0.7870556443314062
semi,baseline,1.0157267061700066,0.7890164286451317
semi,baseline,1.0157366632225842,0.7908890878211617
semi,baseline,1.0164114145983016,0.7927617469971917
semi,baseline,1.018644875891414,0.7946344061732216
semi,baseline,1.0211177441380732,0.796595190486947
semi,baseline,1.0225399265776778,0.7987048951282972
semi,baseline,1.0232314336838677,0.8008145997696475
semi,baseline,1.024839490477246,0.802775384083373
semi,baseline,1.0252248200239569,0.804648043259403
semi,baseline,1.0274564297584619,0.8066088275731285
semi,baseline,1.0295477023123596,0.8087185322144786
semi,baseline,1.0296634228622956,0.8105911913905087
semi,baseline,1.0319800786388436,0.8124638505665387
semi,baseline,1.032047539363445,0.8144246348802642
semi,baseline,1.0323329563911219,0.8162972940562941
semi,baseline,1.0330099588107007,0.818169953232324
semi,baseline,1.0337916199772406,0.8202796578736743
semi,baseline,1.034053337115234,0.8223893625150245
semi,baseline,1.0341077506593748,0.82435014682875
semi,baseline,1.0341631604312616,0.8264598514701001
semi,baseline,1.0346244619227989,0.8285695561114504
semi,baseline,1.0376836579359594,0.8305303404251759
semi,baseline,1.0408962003234576,0.8326400450665261
semi,baseline,1.0418583860296657,0.8345127042425561
semi,baseline,1.0444025479365888,0.8366224088839064
semi,baseline,1.053724774380656,0.8384950680599363
semi,baseline,1.0540623016600352,0.8406047727012865
semi,baseline,1.0564019616468916,0.8424774318773164
semi,baseline,1.0603287945638953,0.8443500910533462
semi,baseline,1.0652469087604113,0.8463108753670717
semi,baseline,1.0668385812967693,0.848420580008422
semi,baseline,1.0675662458710742,0.8503813643221475
semi,baseline,1.0708714052002795,0.8522540234981776
semi,baseline,1.0811179110250655,0.8542148078119031
semi,baseline,1.0855979566812846,0.8561755921256285
semi,baseline,1.0890542055814896,0.8580482513016584
semi,baseline,1.0925257201775582,0.8601579559430087
semi,baseline,1.0953158680827604,0.8620306151190387
semi,baseline,1.0968119214008103,0.8639913994327642
semi,baseline,1.1046638125795347,0.8658640586087941
semi,baseline,1.1083086799492303,0.867736717784824
semi,baseline,1.1154216262996348,0.8696975020985495
semi,baseline,1.1183665497567323,0.8718072067398998
semi,baseline,1.1192778455804697,0.8739169113812499
semi,baseline,1.1327423528503024,0.8758776956949754
semi,baseline,1.1412284721749935,0.8778384800087009
semi,baseline,1.1423329198831145,0.8797111391847309
semi,baseline,1.143066943293019,0.8816719234984564
semi,baseline,1.1437206958582173,0.8836327078121818
semi,baseline,1.1586416879806982,0.8855934921259073
semi,baseline,1.159661005685878,0.8874661513019374
semi,baseline,1.1601935943434736,0.8894269356156629
semi,baseline,1.1605095090701412,0.8913877199293884
semi,baseline,1.1649117026382336,0.8933485042431139
semi,baseline,1.1657695904920338,0.8952211634191438
semi,baseline,1.1721914294671776,0.8971819477328693
semi,baseline,1.1821276408027774,0.8991427320465948
semi,baseline,1.1859232410808058,0.9010153912226246
semi,baseline,1.1864768529490843,0.9031250958639748
semi,baseline,1.1905966821347305,0.9050858801777003
semi,baseline,1.2133664597761553,0.9071955848190506
semi,baseline,1.2257442178899465,0.9090682439950806
semi,baseline,1.230675098819623,0.911029028308806
semi,baseline,1.23251494686071,0.912901687484836
semi,baseline,1.2422493739998448,0.9150113921261863
semi,baseline,1.2455086303892218,0.9168840513022163
semi,baseline,1.2717304634043618,0.9189937559435665
semi,baseline,1.277421418393811,0.9208664151195963
semi,baseline,1.2799818341828961,0.9229761197609466
semi,baseline,1.2999627516138477,0.9249369040746721
semi,baseline,1.3162734421893014,0.9268095632507021
semi,baseline,1.3279476585009764,0.9287703475644276
semi,baseline,1.3314888891762444,0.930731131878153
semi,baseline,1.3433173993505567,0.9326919161918785
semi,baseline,1.3458661437196937,0.9348016208332287
semi,baseline,1.3482441375042333,0.9367624051469542
semi,baseline,1.3493333290565523,0.9388721097883045
semi,baseline,1.3527207786728628,0.9409818144296547
semi,baseline,1.3634738594948745,0.9428544736056846
semi,baseline,1.3912465356366341,0.9448152579194101
semi,baseline,1.3935571600715797,0.9466879170954402
semi,baseline,1.4013230014347262,0.9487976217367903
semi,baseline,1.4047757609065012,0.9506702809128202
semi,baseline,1.420686555444974,0.9527799855541704
semi,baseline,1.4219229985112505,0.9546526447302005
semi,baseline,1.4221802986512984,0.9567623493715507
semi,baseline,1.4262867026682673,0.9586350085475805
semi,baseline,1.4603081811439802,0.960595792861306
semi,baseline,1.472309757547875,0.9627054975026562
semi,baseline,1.5,0.9627054975026562
semi,baseline,1.5071009852455857,0.9646662818163817
semi,baseline,1.5376325904564272,0.9666270661301072
semi,baseline,1.5424738007122079,0.9684997253061374
semi,baseline,1.548337685202457,0.9704605096198629
semi,baseline,1.5977169680764878,0.9723331687958927
semi,baseline,1.6795577006456386,0.9742939531096182
semi,baseline,1.7200653153275975,0.9761666122856482
semi,baseline,1.801152260863914,0.9780392714616782
semi,baseline,1.8738584826579194,0.9801489761030283
semi,baseline,1.8883061200445763,0.9822586807443785
semi,baseline,1.9748610878548964,0.9841313399204085
semi,baseline,1.975036476701747,0.9862410445617588
semi,baseline,2.0057196069670997,0.988350749203109
semi,baseline,2.032575428008273,0.9903115335168344
semi,baseline,2.194252834175392,0.9922723178305599
semi,baseline,2.3586556932162317,0.9941449770065898
semi,baseline,2.580796915166028,0.9960176361826197
semi,baseline,2.642343537060413,0.9978902953586498
semi,baseline,2.821354713926963,1.0
semi,once,0.9999999999999648,0.026307676063773627
semi,once,0.99999999999997,0.042576285503114764
semi,once,0.9999999999999932,0.06863266814486327
semi,once,0.9999999999999943,0.09749656847217823
semi,once,0.9999999999999952,0.12558547143913
semi,once,0.9999999999999961,0.12749023334389187
semi,once,0.9999999999999963,0.1418540808784711
semi,once,0.9999999999999966,0.1456636046879949
semi,once,0.9999999999999969,0.17119628339140536
semi,once,0.999999999999997,0.18365959244008023
semi,once,0.9999999999999978,0.22255833597297012
semi,once,0.999999999999998,0.2551082251082251
semi,once,0.9999999999999986,0.27635730123535
semi,once,0.9999999999999989,0.2863921444409249
semi,once,0.999999999999999,0.28855664660542707
semi,once,0.9999999999999994,0.3395312005068103
semi,once,1.0000000000000002,0.3438602048358146
semi,once,1.0000000000000004,0.3458927251610178
semi,once,1.0000000000000007,0.3664903389293633
semi,once,1.000000000000001,0.4999957765811424
semi,once,1.0000000000000013,0.5040608172315489
semi,once,1.0000000000000016,0.5364702776897898
semi,once,1.0000000000000022,0.5649509027557807
semi,once,1.0000000000000027,0.5690201668250449
semi,once,1.000000000000003,0.5968493295322563
semi,once,1.0000000000000033,0.6174427198817443
semi,once,1.0000000000000036,0.6196072220462464
semi,once,1.0000000000000047,0.6743997465948685
semi,once,1.00000000000001,0.7126596980255516
