case,window_kind,start_s,end_s,U_percent,all_npus_active,mixed_npus,strict_nominal_underload,disk0_mean_GiB_s,disk1_mean_GiB_s,disk2_mean_GiB_s,disk0_peak_GiB_s,disk1_peak_GiB_s,disk2_peak_GiB_s,disk0_overload_percent,disk1_overload_percent,disk2_overload_percent,internal_layer_stall_card_ms,layer_zero_stall_card_ms,SLO_1p5_percent,SLO_count
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,40.0,42.0,99.86775628597859,True,4,False,21.238413295318562,23.44623623297107,22.950632814886607,42.73207457980956,47.90668177696838,48.21996681804198,4.327936057202169,4.327936057202169,4.327936057202169,81.49942612658924,3.136550847120816,100.0,105
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,42.0,44.0,99.91921922566547,True,7,False,22.803055092982586,25.151229189737368,24.22848235132124,35.50628855280761,40.090785763540644,37.55817485559997,0.0,0.11069459598402318,0.0,42.586457798104675,9.113237775993184,100.0,111
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,44.0,46.0,84.86022203539996,True,23,False,73.3800674907044,80.21084123241818,78.592464602453,169.04880625951537,186.92954732853696,182.47041378396605,46.261596890257714,46.261596890257714,46.261596890257714,8591.127552685262,1098.3303446587597,55.14705882352941,136
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,46.0,48.0,94.40521806798942,True,20,False,37.524087197943466,41.40559774742524,40.46528991309346,161.77690003293455,176.0882134617004,173.07609397272947,18.34974037713946,18.34974037713946,18.34974037713946,3075.6087760825467,505.05166040422046,89.81481481481481,108
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,48.0,50.0,99.80889586657742,True,8,False,24.367038238967414,26.85207855474173,26.065710859782186,43.79086634617309,48.526513592459104,47.7472509246643,4.739209463724182,4.739209463724182,4.739209463724182,104.19228543540521,18.114359955048712,99.08256880733946,109
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,50.0,52.0,99.78710639566418,True,7,False,23.56519920268878,25.844125619260875,25.106781054754936,44.707955590969846,48.56196515982055,47.73042737440795,6.461409687389096,6.461409687389096,6.461409687389096,107.67930091908784,28.572605855828442,100.0,109
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,52.0,54.0,84.1702091647907,True,18,False,74.23416159627266,81.45485059708666,80.05482458400137,155.74619489331664,169.7281412482452,163.89555160913085,58.22223611871741,58.22223611871741,58.22223611871741,8905.925125600297,1225.1410089336496,54.54545454545455,143
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,54.0,56.0,99.81850059795084,True,8,False,24.85133262114966,27.33319015016049,26.675029296977154,43.94801313088988,47.740354489132685,48.04052866152648,4.372750831408848,6.276787582118414,4.372750831408848,102.85213480432867,13.307482507130771,100.0,111
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,56.0,58.0,99.78308923219583,True,7,False,23.62476985784192,26.107110243838235,25.273803696616525,43.14423453881835,49.156109259686275,47.43454923220825,6.225602490509118,6.225602490509118,6.225602490509118,122.39486869326356,16.42802270140237,100.0,109
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,58.0,60.0,89.52209621099001,True,18,False,60.50946216855459,66.01707076821785,64.8062752554722,128.06423947394714,140.49775087099914,136.53707026231382,54.246511601510065,54.246511601510065,54.246511601510065,5907.883756884483,797.974668081908,66.88741721854305,151
