request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
2,0,S,SL,short,fifo,20.0,1155,25.9490966796875,5.896228588431703,4.297817553406215,0.6335228681564331,True,627.0717110749908,681.0447695942729,53.97305851928206,681.0447695942729,70.75474306118045,True
5000002,5,S,SL,short,fifo,20.0,1135,25.9759521484375,5.796646425176338,4.376175276066939,0.6341785192489624,True,628.3410022612804,681.3801688412015,53.039166579921016,681.3801688412015,69.55975710211604,True
3000002,3,S,SL,short,fifo,20.0,1152,25.953125,5.881291263943399,4.309402050565816,0.6336212158203125,True,631.9532055060465,686.247804694726,54.29459918867951,686.247804694726,70.57549516732078,True
3,0,S,SL,short,fifo,20.0,1134,25.977294921875,5.7916673170135695,4.380163894708063,0.6342113018035889,True,681.0447695942729,727.3781081303813,46.333338536108386,727.3781081303813,69.50000780416283,True
5000003,5,L,LL,long,fifo,200.0,2054,272.241943359375,70.9473598639265,3.7473032586666837,6.646531820297241,False,681.3801688412015,1250.0113626166858,568.6311937754843,1250.0113626166858,851.368318367118,True
3000003,3,S,SL,short,fifo,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,686.247804694726,739.0336364212905,52.785831726564425,739.0336364212905,69.32075991030317,True
4,0,S,SL,short,fifo,20.0,1129,25.9840087890625,5.766771776199728,4.400210302719981,0.6343752145767212,True,727.3781081303813,780.0254427399175,52.64733460953619,780.0254427399175,69.20126131439675,True
3000004,3,S,SL,short,fifo,20.0,1151,25.9544677734375,5.87631215578063,4.313276637297783,0.633653998374939,True,739.0336364212905,786.0441336675354,47.010497246244995,786.0441336675354,70.51574586936756,True
4000004,4,S,SL,short,fifo,20.0,1129,25.9840087890625,5.766771776199728,4.400210302719981,0.6343752145767212,True,743.5837068554163,795.2243136372106,51.640606781794304,795.2243136372106,69.20126131439675,True
6000004,6,S,SL,short,fifo,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,748.3822987145165,803.1481575661597,54.7658588516432,803.1481575661597,69.32075991030317,True
