request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
3000008,3,S,SL,short,once,20.0,1127,25.9866943359375,5.756813559874192,4.408277413103085,0.6344407796859741,True,926.5002259160208,972.5547343950145,46.05450847899374,972.5547343950145,69.0817627184903,True
4000008,4,S,SL,short,once,20.0,1173,25.9249267578125,5.985852535361533,4.229524723063889,0.6329327821731567,True,929.0678479419964,976.954668224889,47.886820282892586,976.954668224889,71.8302304243384,True
3000009,3,L,LL,long,once,200.0,2044,272.25537109375,70.6026566423159,3.7657844403887153,6.646859645843506,False,972.5547343950145,1539.9177832527744,567.3630488577598,1539.9177832527744,847.2318797077909,True
4000009,4,S,SL,short,once,20.0,1176,25.9208984375,6.000789859849838,4.2183409137084045,0.6328344345092773,True,976.954668224889,1024.960987103688,48.00631887879899,1024.960987103688,72.00947831819806,True
1000010,1,L,LL,long,once,200.0,2046,272.252685546875,70.671597241737,3.7620737836154694,6.646794080734253,False,1020.0491097119616,1585.4218876458567,565.3727779338951,1585.4218876458567,848.059166900844,True
4000010,4,L,LL,long,once,200.0,2048,272.25,70.74053784115809,3.7583703593261717,6.646728515625,False,1024.960987103688,1591.7192167699782,566.7582296662902,1591.7192167699782,848.886454093897,True
2000011,2,L,LL,long,once,200.0,2052,272.24462890625,70.87841918967037,3.7509851158616985,6.646597385406494,False,1072.5019867567946,1639.5293402741584,567.0273535173637,1639.5293402741584,850.5410302760445,True
5000004,5,S,SL,short,once,20.0,1149,25.9571533203125,5.866353939455093,4.32104554225418,0.6337195634841919,True,1243.6890131738503,1290.6198446894916,46.93083151564133,1290.6198446894916,70.39624727346113,True
5000005,5,S,SL,short,once,20.0,1148,25.95849609375,5.861374831292325,4.324939894001542,0.6337523460388184,True,1290.6198446894916,1337.5108433398302,46.89099865033859,1337.5108433398302,70.3364979755079,True
5000006,5,L,LL,long,once,200.0,2044,272.25537109375,70.6026566423159,3.7657844403887153,6.646859645843506,False,1337.5108433398302,1906.862190078665,569.3513467388348,1906.862190078665,847.2318797077909,True
6,0,S,SL,short,once,20.0,1154,25.950439453125,5.891249480268936,4.3016725252120045,0.6335556507110596,True,1349.1613617309365,1396.291357573088,47.1299958421514,1396.291357573088,70.69499376322723,True
7,0,S,SL,short,once,20.0,1170,25.928955078125,5.970915210873229,4.240764489063694,0.6330311298370361,True,1396.291357573088,1444.058679260074,47.76732168698618,1444.058679260074,71.65098253047874,True
7000007,7,S,SL,short,once,20.0,1139,25.9705810546875,5.81656285782741,4.360289088441379,0.6340473890304565,True,1401.447887833069,1447.9803906956884,46.53250286261937,1447.9803906956884,69.79875429392891,True
6000007,6,S,SL,short,once,20.0,1126,25.988037109375,5.751834451711423,4.412321443304523,0.6344735622406006,True,1418.6296723040182,1464.6443479177092,46.014675613691,1464.6443479177092,69.02201342053706,True
8,0,S,SL,short,once,20.0,1150,25.955810546875,5.8713330476178625,4.317157795616224,0.6336867809295654,True,1444.058679260074,1491.0293436410163,46.97066438094225,1491.0293436410163,70.45599657141435,True
7000008,7,S,SL,short,once,20.0,1167,25.9329833984375,5.955977886384923,4.252060632718056,0.6331294775009155,True,1447.9803906956884,1495.6282137867681,47.64782309107977,1495.6282137867681,71.47173463661908,True
6000008,6,S,SL,short,once,20.0,1174,25.923583984375,5.990831643524301,4.2257905898768096,0.6328999996185303,True,1464.6443479177092,1512.5710010659027,47.92665314819351,1512.5710010659027,71.88997972229161,True
9,0,S,SL,short,once,20.0,1132,25.97998046875,5.781709100688032,4.388161741567813,0.6342768669128418,True,1491.0293436410163,1537.2830164465202,46.25367280550381,1537.2830164465202,69.3805092082564,True
7000009,7,S,SL,short,once,20.0,1136,25.974609375,5.801625533339106,4.372193503701405,0.6341457366943359,True,1495.6282137867681,1542.041218053481,46.41300426671296,1542.041218053481,69.61950640006927,True
6000009,6,S,SL,short,once,20.0,1161,25.9410400390625,5.926103237408314,4.274823758255344,0.6333261728286743,True,1512.5710010659027,1559.9798269651697,47.40882589926696,1559.9798269651697,71.11323884889975,True
10,0,L,LL,long,once,200.0,2052,272.24462890625,70.87841918967037,3.7509851158616985,6.646597385406494,False,1537.2830164465202,2106.561890259084,569.2788738125639,2106.561890259084,850.5410302760445,True
3000010,3,S,SL,short,once,20.0,1134,25.977294921875,5.7916673170135695,4.380163894708063,0.6342113018035889,True,1539.9177832527744,1586.2511217888837,46.333338536109295,1586.2511217888837,69.50000780416283,True
