condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,5000010,2373.1985652839408,2605.434831314252,58.92951067026337,232.23626603031107,3.9409162470358106,3.9409162470358106,False
full,asu_baseline,7,5000011,2605.434831314252,2893.269902411377,229.85653940820262,287.83507109712536,1.2522379038603664,1.2522379038603664,True
full,asu_baseline,7,5000012,2893.269902411377,3189.2311276566957,283.5436075005082,295.9612252453185,1.043794384413297,1.043794384413297,True
full,asu_baseline,7,5000013,3189.2311276566957,3647.7813093709606,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
full,asu_baseline,7,5000014,3647.7813093709606,3896.6337764655814,48.19209238871334,248.8524670946208,5.163761413125578,5.163761413125578,False
full,asu_baseline,7,5000015,3896.6337764655814,4184.664663436208,15.979837567787547,288.0308869706264,18.024644227375905,18.024644227375905,False
full,asu_baseline,7,6000004,2042.9742327736174,2529.415059557633,486.44082678401566,486.4408267840156,0.9999999999999999,1.0,True
full,asu_baseline,7,6000005,2529.415059557633,2773.0580491915903,200.85214333740902,243.6429896339573,1.2130465007020836,1.2130465007020836,True
full,asu_baseline,7,6000006,2773.0580491915903,3033.4356152704863,58.057852632638046,260.37756607889605,4.484794980731359,4.484794980731359,False
full,asu_baseline,7,6000007,3033.4356152704863,3624.895731464617,565.9243027292647,591.4601161941305,1.0451223128989426,1.0451223128989426,True
full,asu_baseline,7,6000008,3624.895731464617,3868.896516494916,58.92951067026337,244.00078503029908,4.140553387513961,4.140553387513961,False
full,asu_baseline,7,6000009,3868.896516494916,4182.940846625244,229.85653940820262,314.0443301303285,1.3662623257919002,1.3662623257919002,True
full,asu_baseline,7,7000007,2008.1570028225733,2238.5881244572756,229.85653940820262,230.43112163470232,1.0024997427873013,1.0024997427873013,True
full,asu_baseline,7,7000008,2238.5881244572756,2459.634324082086,114.952820977,221.04619962481047,1.9229297527986533,1.9229297527986533,False
full,asu_baseline,7,7000009,2459.634324082086,2932.9619791019604,458.55018171426593,473.3276550198743,1.0322265128112338,1.0322265128112338,True
full,asu_baseline,7,7000010,2932.9619791019604,3163.480373819998,32.085964974046185,230.5183947180376,7.184399624711308,7.184399624711308,False
full,asu_baseline,7,7000011,3163.480373819998,3678.095055812336,486.44082678401566,514.6146819923379,1.0579183605837255,1.0579183605837255,True
full,asu_baseline,7,7000012,3678.095055812336,3941.7797409822206,58.92951067026337,263.6846851698847,4.474577884165998,4.474577884165998,False
full,asu_baseline,7,7000013,3941.7797409822206,4262.889557172978,283.5436075005082,321.10981619075756,1.1324882934988476,1.1324882934988476,True
full,asu_baseline,7,8000007,2184.1746314134743,2395.0114336563997,26.717256165257165,210.8368022429254,7.89140924273112,7.89140924273112,False
full,asu_baseline,7,8000008,2395.0114336563997,2620.416637858084,32.085964974046185,225.40520420168423,7.025040524229545,7.025040524229545,False
full,asu_baseline,7,8000009,2620.416637858084,2941.30883462897,283.5436075005082,320.89219677088613,1.1317207945529544,1.1317207945529544,True
full,asu_baseline,7,8000010,2941.30883462897,3230.0913301811734,283.5436075005082,288.7824955522033,1.0184764809119728,1.0184764809119728,True
full,asu_baseline,7,8000011,3230.0913301811734,3476.209005477224,15.979837567787547,246.1176752960505,15.401763268994616,15.401763268994616,False
full,asu_baseline,7,8000012,3476.209005477224,3701.785954530423,26.717256165257165,225.57694905319931,8.443118097828368,8.443118097828368,False
full,asu_baseline,7,8000013,3701.785954530423,4005.121477881597,48.19209238871334,303.33552335117383,6.294300751760168,6.294300751760168,False
full,asu_baseline,7,9000006,2044.2703213297636,2252.9911365015137,122.48236916054397,208.72081517175002,1.7040886504911483,1.7040886504911483,False
full,asu_baseline,7,9000007,2252.9911365015137,2478.618272476361,58.92951067026337,225.62713597484753,3.828763100330681,3.828763100330681,False
full,asu_baseline,7,9000008,2478.618272476361,2902.6898208915654,400.5413596855101,424.07154841520423,1.0587459650812818,1.0587459650812818,True
full,asu_baseline,7,9000009,2902.6898208915654,3818.627195322274,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
full,asu_baseline,7,9000010,3818.627195322274,4099.992784450732,122.48236916054397,281.36558912845794,2.297192576016043,2.297192576016043,False
full,asu_baseline,7,10000005,2563.731145005063,2799.120762244241,72.35128428205302,235.38961723917828,3.2534269374063824,3.2534269374063824,False
full,asu_baseline,7,10000006,2799.120762244241,3114.4930916066364,283.5436075005082,315.37232936239525,1.1122533572259428,1.1122533572259428,True
full,asu_baseline,7,10000007,3114.4930916066364,3354.2204463874564,48.19209238871334,239.72735478081995,4.974412666028265,4.974412666028265,False
full,asu_baseline,7,10000008,3354.2204463874564,4125.665190876646,744.1386016188327,771.4447444891898,1.0366949689358327,1.0366949689358327,True
full,asu_baseline,7,11000009,2086.373313634744,2321.955760151399,186.90687789087698,235.58244651665473,1.2604268455770595,1.2604268455770595,True
full,asu_baseline,7,11000010,2321.955760151399,2532.397839029959,32.085964974046185,210.4420788785601,6.558695649290375,6.558695649290375,False
full,asu_baseline,7,11000011,2532.397839029959,3470.915578068404,915.9373744307104,938.5177390384451,1.024652738536594,1.024652738536594,True
full,asu_baseline,7,11000012,3470.915578068404,3665.1895367792754,58.057852632638046,194.27395871087128,3.3462133010695854,3.3462133010695854,False
full,asu_baseline,7,11000013,3665.1895367792754,4061.676772086902,372.6508694745985,396.48723530762663,1.0639643370928802,1.0639643370928802,True
full,asu_baseline,7,12000008,2128.2510602167754,2355.8189358317168,32.085964974046185,227.56787561494139,7.092442935689088,7.092442935689088,False
full,asu_baseline,7,12000009,2355.8189358317168,2665.891501079611,283.5436075005082,310.0725652478941,1.0935621789580932,1.0935621789580932,True
full,asu_baseline,7,12000010,2665.891501079611,2938.764744940674,229.85653940820262,272.8732438610632,1.1871458804853368,1.1871458804853368,True
full,asu_baseline,7,12000011,2938.764744940674,3184.4298563086486,114.952820977,245.66511136797453,2.137095108062878,2.137095108062878,False
full,asu_baseline,7,12000012,3184.4298563086486,3463.0781966748364,186.90687789087698,278.64834036618777,1.4908404843660852,1.4908404843660852,True
full,asu_baseline,7,12000013,3463.0781966748364,3669.332799012845,26.717256165257165,206.25460233800868,7.719902113534396,7.719902113534396,False
full,asu_baseline,7,12000014,3669.332799012845,4444.011595905943,744.1386016188327,774.678796893098,1.041041003931024,1.041041003931024,True
full,asu_baseline,7,13000005,2197.18237227313,2401.2676205240996,32.085964974046185,204.08524825096947,6.360576919411671,6.360576919411671,False
full,asu_baseline,7,13000006,2401.2676205240996,2664.258082539094,186.90687789087698,262.9904620149946,1.4070667970203747,1.4070667970203747,True
full,asu_baseline,7,13000007,2664.258082539094,2930.7629131231474,72.35128428205302,266.50483058405325,3.6834844499112878,3.6834844499112878,False
full,asu_baseline,7,13000008,2930.7629131231474,3188.533707627008,114.952820977,257.77079450386054,2.242405121623208,2.242405121623208,False
