policy,SLO_multiple,CDF_percent
流量分配 Random,1.0233610520600238,93.91200012337873
流量分配 Random,1.0236408415088998,94.12431434843181
流量分配 Random,1.0252184244438387,94.31263826556928
流量分配 Random,1.0266129431451638,94.52495249062235
流量分配 Random,1.0287459574098616,94.73726671567545
流量分配 Random,1.030425738110177,94.92559063281293
流量分配 Random,1.0307421494876265,95.1160668232891
流量分配 Random,1.0307983101883957,95.3065430137653
流量分配 Random,1.033037310690456,95.51885723881838
流量分配 Random,1.0339334432375158,95.70718115595585
流量分配 Random,1.0424838817237643,95.91949538100893
流量分配 Random,1.0441804021200525,96.131809606062
流量分配 Random,1.044898230080236,96.34412383111508
流量分配 Random,1.047440090811738,96.55643805616818
流量分配 Random,1.049363610159905,96.74476197330564
流量分配 Random,1.0554221006988895,96.95707619835872
流量分配 Random,1.0564201224436152,97.1693904234118
流量分配 Random,1.0591081258156072,97.38170464846489
流量分配 Random,1.067812667735074,97.59401887351797
流量分配 Random,1.073975543872687,97.80633309857105
流量分配 Random,1.0841706056857925,97.99465701570851
流量分配 Random,1.1,97.99465701570851
流量分配 Random,1.1048740835598587,98.182980932846
流量分配 Random,1.1133724715861049,98.37345712332217
流量分配 Random,1.1357008541615035,98.58577134837526
流量分配 Random,1.1485952566589785,98.77409526551273
流量分配 Random,1.1499377035651046,98.98640949056579
流量分配 Random,1.2193767795378585,99.19872371561888
流量分配 Random,1.2286058298406706,99.38704763275638
流量分配 Random,1.25,99.38704763275638
流量分配 Random,1.2905455180868322,99.59936185780946
流量分配 Random,1.3109985946725546,99.81167608286253
流量分配 Random,1.401391981185808,100.0
流量分配 Random,1.5,100.0
流量分配 Random,1.75,100.0
流量分配 Random,2.0,100.0
流量分配 Random,4.25,100.0
