start_s,end_s,supply_GiB_s
2.8,2.81,38.99987920691274
2.81,2.8200000000000003,22.450946014825604
2.8200000000000003,2.83,34.67415228616301
2.83,2.84,25.146404354461993
2.84,2.85,23.196562100900337
2.85,2.86,25.14595634989746
2.86,2.87,36.852429284332175
2.87,2.88,40.0
2.88,2.89,40.0
2.89,2.9,40.0
2.9,2.91,38.165724944714384
2.91,2.92,40.0
2.92,2.93,40.0
2.93,2.94,40.0
2.94,2.95,40.0
2.95,2.96,40.0
2.96,2.9699999999999998,40.0
2.9699999999999998,2.98,40.0
2.98,2.99,40.0
2.99,3.0,31.64372641663249
3.0,3.01,30.67624569085274
3.01,3.02,27.91164898310126
3.02,3.0300000000000002,29.4778431075938
3.0300000000000002,3.04,19.983488559053512
3.04,3.05,25.854150441828097
3.05,3.06,34.685858087766974
3.06,3.0700000000000003,40.0
3.0700000000000003,3.08,40.0
3.08,3.09,30.214676732444786
3.09,3.1,40.0
3.1,3.1100000000000003,24.93594497520644
3.1100000000000003,3.12,27.561317262021475
3.12,3.13,21.253936340997825
3.13,3.14,29.00390625
3.14,3.1500000000000004,22.4578857421875
3.1500000000000004,3.16,37.99161125325918
3.16,3.17,31.580165513647444
3.17,3.1799999999999997,24.214115456410582
3.1799999999999997,3.19,19.544185901682795
3.19,3.2,33.70980170641997
3.2,3.21,38.563679089113066
3.21,3.2199999999999998,40.0
3.2199999999999998,3.23,20.308611489623217
3.23,3.24,35.52333422641641
3.24,3.25,13.21934155483359
3.25,3.26,21.654246822316054
3.26,3.27,39.8783749700051
3.27,3.2800000000000002,34.98665441592311
3.2800000000000002,3.29,22.769359045661986
3.29,3.3,35.67020902181321
3.3,3.31,11.159014610999293
3.31,3.3200000000000003,21.74341193921282
3.3200000000000003,3.33,38.82208831376556
3.33,3.34,39.21935082124037
3.34,3.35,28.197627773299246
3.35,3.3600000000000003,22.318292002792077
3.3600000000000003,3.37,30.0084398902236
3.37,3.38,40.0
3.38,3.39,40.0
3.39,3.4000000000000004,40.0
3.4000000000000004,3.41,40.0
3.41,3.42,40.0
3.42,3.4299999999999997,40.0
3.4299999999999997,3.44,37.58281098832049
3.44,3.45,40.0
3.45,3.46,20.43530981411459
3.46,3.4699999999999998,24.533977922736085
3.4699999999999998,3.48,40.0
3.48,3.49,26.002988624393765
3.49,3.5,39.46040284630544
3.5,3.51,40.0
3.51,3.52,40.0
3.52,3.5300000000000002,40.0
3.5300000000000002,3.54,40.0
3.54,3.55,40.0
3.55,3.56,40.0
3.56,3.5700000000000003,40.0
3.5700000000000003,3.58,40.0
3.58,3.59,40.0
3.59,3.6,37.57831420031471
3.6,3.6100000000000003,25.928264406498784
3.6100000000000003,3.62,40.0
3.62,3.63,40.0
3.63,3.64,40.0
3.64,3.6500000000000004,25.973542368985363
3.6500000000000004,3.66,40.0
3.66,3.67,40.0
3.67,3.6799999999999997,40.0
3.6799999999999997,3.69,31.138281094348713
3.69,3.7,34.54047853641714
3.7,3.71,21.4508056640625
3.71,3.7199999999999998,28.035769130816334
3.7199999999999998,3.73,40.0
3.73,3.74,40.0
3.74,3.75,38.14525151612543
3.75,3.76,40.0
3.76,3.77,40.0
3.77,3.7800000000000002,40.0
3.7800000000000002,3.79,40.0
3.79,3.8,40.0
3.8,3.81,22.975782086197796
3.81,3.8200000000000003,36.98167770133114
