start_s,end_s,supply_GiB_s
3.84,3.85,22.57537841796875
3.85,3.8600000000000003,37.616252284906295
3.8600000000000003,3.87,40.0
3.87,3.88,40.0
3.88,3.89,35.98806435546794
3.89,3.9000000000000004,11.758232187750764
3.9000000000000004,3.91,18.2952880859375
3.91,3.92,33.3853642934464
3.92,3.9299999999999997,40.0
3.9299999999999997,3.94,40.0
3.94,3.95,15.16840767920985
3.95,3.96,32.11484732345889
3.96,3.9699999999999998,40.0
3.9699999999999998,3.98,40.0
3.98,3.99,40.0
3.99,4.0,40.0
