case,num_ssu,block,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,rolling_window_ms,npu_id,raw_5ms_compute_utilization_pct,rolling_100ms_compute_utilization_pct,cumulative_compute_utilization_pct
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,12,100.0,100.0,86.83093425984895
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,13,66.65713400230743,92.09060412414692,93.10964319628951
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,14,100.0,99.99999999999909,79.35049699428086
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,15,100.0,100.0,86.8716965826822
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,16,100.0,68.26704773228266,64.90793683562264
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,17,15.610121125082514,12.108562207205978,44.993502935922095
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,18,100.0,100.0,88.26406610979545
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,19,100.0,100.0,99.99999999999979
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,20,100.0,100.0,100.00000000000028
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,21,100.0,100.0,38.01527886049868
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,22,100.0,99.36267421281627,99.96172217494393
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,23,27.014753155162907,20.161625956738135,89.00079628874708
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,24,100.0,100.0,100.00000000000028
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,25,100.0,100.0,79.70197694923748
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,26,100.0,100.0,100.00000000000048
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,27,100.0,100.0,100.0
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,28,100.0,100.0,100.00000000000054
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,29,100.0,100.0,85.15048953426957
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,30,100.0,100.0,87.83216643897912
baseline,4,332,1660.0,1665.0,11796.618340562687,11801.618340562687,5.0,100.0,31,62.790120180361555,26.568891025084667,37.597966587851566
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,0,100.0,99.99999999999818,84.96918798494629
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,1,100.0,100.0,65.70633027694379
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,2,8.46163839683868,15.563685246772366,42.58983761696574
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,3,100.0,100.0,99.99999999999956
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,4,100.0,100.0,81.87547898667825
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,5,100.0,92.52946465430796,66.13157499323088
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,6,100.0,100.0,51.21371158502229
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,7,100.0,100.0,87.37650570840671
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,8,100.0,100.0,99.9999999999999
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,9,100.0,100.0,100.0000000000001
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,10,0.0,32.085964974045055,64.980533903558
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,11,48.91268820152618,45.53286692484107,88.06655505007186
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,12,100.0,100.0,86.87036260038832
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,13,27.367693870291987,88.45898881766152,92.91281101267874
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,14,100.0,99.99999999999909,79.41232185357941
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,15,100.0,100.0,86.91100288033884
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,16,100.0,69.78167291310638,65.01300289300102
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,17,0.0,12.108562207205978,44.8587918492876
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,18,100.0,100.0,88.29920363641283
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,19,100.0,100.0,99.99999999999979
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,20,100.0,100.0,100.00000000000028
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,21,100.0,100.0,38.200861857922334
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,22,100.0,99.36267421281627,99.96183677921056
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,23,0.0,20.161625956738135,88.73432683878077
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,24,100.0,100.0,100.00000000000028
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,25,100.0,100.0,79.76274947334156
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,26,100.0,100.0,100.00000000000048
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,27,100.0,100.0,100.0
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,28,100.0,100.0,100.00000000000054
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,29,100.0,100.0,85.19494914644241
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,30,100.0,100.0,87.86859707838337
baseline,4,333,1665.0,1670.0,11801.618340562687,11806.618340562687,5.0,100.0,31,0.0,26.568891025084667,37.485397825612495
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,0,100.0,99.99999999999818,85.01405608051361
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,1,100.0,100.0,65.8086994402962
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,2,100.0,19.135767951807793,42.76121123601957
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,3,100.0,100.0,99.99999999999956
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,4,100.0,100.0,81.9295820344792
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,5,100.0,93.13558805673165,66.23267476937049
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,6,100.0,100.0,51.35934229670879
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,7,100.0,100.0,87.41418778091894
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,8,100.0,100.0,99.9999999999999
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,9,100.0,100.0,100.0000000000001
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,10,80.21491243511264,32.085964974045055,65.02600966036862
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,11,71.56754277024447,48.19209238870826,88.017304267147
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,12,100.0,100.0,86.90955554784985
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,13,0.0,83.45898881766152,92.63545933801403
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,14,100.0,99.99999999999909,79.47377760924037
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,15,100.0,100.0,86.95007451353186
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,16,100.0,74.78167291310638,65.11744169033534
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,17,30.271405518014944,12.108562207205978,44.81524741247783
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,18,100.0,100.0,88.33413138675189
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,19,100.0,100.0,99.99999999999979
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,20,100.0,100.0,100.00000000000028
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,21,100.0,100.0,38.38533689715242
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,22,100.0,99.36267421281627,99.96195069927262
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,23,50.40406489184534,20.161625956738135,88.61990814640187
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,24,100.0,100.0,100.00000000000028
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,25,100.0,100.0,79.82315917640621
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,26,100.0,100.0,100.00000000000048
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,27,100.0,100.0,100.0
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,28,100.0,100.0,100.00000000000054
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,29,100.0,100.0,85.23914332809483
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,30,100.0,100.0,87.90481022143297
baseline,4,334,1670.0,1675.0,11806.618340562687,11811.618340562687,5.0,100.0,31,59.70217794761993,27.480603671569042,37.55171657224535
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,0,100.0,99.99999999999909,85.05865710408351
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,1,100.0,100.0,65.91045926339055
