case,request_id,batch_id,npu_id,layer,io_submit_time_ms,io_submit_relative_ms,ssd_first_start_ms,ssd_last_end_ms,max_link_end_ms,io_ready_reported_ms,previous_compute_end_ms,compute_start_ms,compute_end_ms,reported_barrier_ms,reconstructed_barrier_ms,io_ready_minus_max_link_end_ms,compute_start_minus_max_ready_previous_ms,barrier_accounting_error_ms,ssd_interval_count,link_interval_count,complete_inside_trace
baseline,501,622,21,15,10160.72040512722,24.102064564533066,10163.001294350066,10175.401954199486,10175.40489151638,10175.40489151638,10162.679360274644,10175.40489151638,10177.363846663804,12.725531241736462,12.725531241736462,0.0,0.0,0.0,1152,1152,True
baseline,566,593,22,4,,,,,,9951.875495459251,,10072.147055670983,10208.114136626626,0.0,,,,,0,0,False
baseline,631,524,23,13,,,,,,10006.880950476341,,10112.539761084336,10237.769309978197,0.0,,,,,0,0,False
baseline,696,601,24,14,,,,,,10089.551734472923,,10113.430253892104,10144.846672947122,0.0,,,,,0,0,False
baseline,696,601,24,15,,,,,,10127.10323288601,10144.846672947122,10144.846672947122,10176.26309200214,0.0,0.0,,,0.0,0,0,False
baseline,728,630,24,0,10144.846672947122,8.228332384434907,10148.004193519988,10159.511069800072,10159.514426733665,10159.514426733665,10176.26309200214,10176.26309200214,10244.319278154973,0.0,0.0,0.0,0.0,0.0,1520,1520,False
baseline,537,571,25,9,,,,,,9969.100760962181,,10048.936559941585,10141.95388514394,0.0,,,,,0,0,False
baseline,537,571,25,10,,,,,,10059.761046911888,10141.95388514394,10141.95388514394,10234.971210346293,0.0,0.0,,,0.0,0,0,False
baseline,922,553,26,8,,,,,,9892.990684057884,,10015.686343931106,10157.022132210546,0.0,,,,,0,0,False
baseline,922,553,26,9,,,,,,10029.114341284447,10157.022132210546,10157.022132210546,10298.357920489987,0.0,0.0,,,0.0,0,0,False
baseline,315,614,27,14,,,,,,10118.037414099388,,10124.678772674051,10139.047875296177,0.0,,,,,0,0,False
baseline,315,614,27,15,,,,,,10136.114501501732,10139.047875296177,10139.047875296177,10153.416977918303,0.0,0.0,,,0.0,0,0,False
baseline,347,628,27,0,10139.047875296177,2.4295347334900725,10139.87621805612,10150.79982712429,10150.803184057884,10150.803184057884,10153.416977918303,10153.416977918303,10278.646526812165,0.0,0.0,0.0,0.0,0.0,1376,1376,False
baseline,732,565,28,9,,,,,,9986.1707682864,,10083.943454169384,10198.435625973223,0.0,,,,,0,0,False
