case,resource,request_id,batch_id,npu_id,ssu_id,layer,block_idx,start_time_ms,end_time_ms,duration_ms,relative_start_ms,relative_end_ms,trace_overlap_start_ms,trace_overlap_end_ms,trace_overlap_ms,actual_rate_gbps_or_compute_units,trace_served_gb,size_gb,path_id,enqueue_time_ms,queue_wait_ms,installed_path_cir_gbps_at_dispatch
adaptive_t0_i100ms,ssd,710,,6,2,10,453,10918.68802919611,10918.692225363102,0.0041961669921875,12.62571738405677,12.629913551048958,10918.68802919611,10918.692225363102,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.12480107077,1.5632281253401743,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,500,10918.688129196109,10918.692325363101,0.0041961669921875,12.625817384056063,12.63001355104825,10918.688129196109,10918.692325363101,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.121201070795,1.566928125314007,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,451,10918.690446896306,10918.6938038299,0.00335693359375,12.62813508425279,12.63149201784654,10918.690446896306,10918.6938038299,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.683833029118,0.006613867188207223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,3,10,482,10918.6938038299,10918.697160763493,0.00335693359375,12.63149201784654,12.63484895144029,10918.6938038299,10918.697160763493,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.683933029117,0.009870800782664446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,454,10918.696421530094,10918.700617697086,0.0041961669921875,12.634109718041145,12.638305885033333,10918.696421530094,10918.700617697086,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.125001070768,1.5714204593259637,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,504,10918.696521530093,10918.700717697086,0.0041961669921875,12.634209718040438,12.638405885032626,10918.696521530093,10918.700717697086,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.121601070792,1.574920459301211,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,1,10,463,10918.697160763493,10918.700517697087,0.00335693359375,12.63484895144029,12.63820588503404,10918.697160763493,10918.700517697087,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.692125363103,0.005035400390625,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,453,10918.700517697087,10918.70387463068,0.00335693359375,12.63820588503404,12.64156281862779,10918.700517697087,10918.70387463068,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.692225363102,0.008292333985082223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,3,10,500,10918.70387463068,10918.707231564274,0.00335693359375,12.64156281862779,12.64491975222154,10918.70387463068,10918.707231564274,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.692325363101,0.011549267579539446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,1,10,464,10918.70471386408,10918.708910031071,0.0041961669921875,12.642402052026227,12.646598219018415,10918.70471386408,10918.708910031071,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.119401070808,1.5853127932714415,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,2,10,456,10918.704813864078,10918.70901003107,0.0041961669921875,12.64250205202552,12.646698219017708,10918.704813864078,10918.70901003107,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.125201070767,1.5796127933117532,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,505,10918.704913864078,10918.70911003107,0.0041961669921875,12.642602052024813,12.646798219017,10918.704913864078,10918.70911003107,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.12200107079,1.5829127932884148,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,454,10918.707231564274,10918.710588497868,0.00335693359375,12.64491975222154,12.64827668581529,10918.707231564274,10918.710588497868,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.700617697086,0.006613867188207223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,3,10,504,10918.710588497868,10918.713945431462,0.00335693359375,12.64827668581529,12.65163361940904,10918.710588497868,10918.713945431462,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.700717697086,0.009870800782664446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,458,10918.713206198063,10918.717402365055,0.0041961669921875,12.650894386009895,12.655090553002083,10918.713206198063,10918.717402365055,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.125401070765,1.5878051272975426,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,506,10918.713306198062,10918.717502365054,0.0041961669921875,12.650994386009188,12.655190553001376,10918.713306198062,10918.717502365054,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.122401070787,1.5909051272756187,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,1,10,464,10918.713945431462,10918.717302365056,0.00335693359375,12.65163361940904,12.65499055300279,10918.713945431462,10918.717302365056,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.708910031071,0.005035400390625,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,456,10918.717302365056,10918.72065929865,0.00335693359375,12.65499055300279,12.65834748659654,10918.717302365056,10918.72065929865,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.70901003107,0.008292333985082223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,467,10918.717302365056,10918.721498532048,0.0041961669921875,12.65499055300279,12.659186719994977,10918.717302365056,10918.721498532048,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.119801070805,1.5975012942508329,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,505,10918.72065929865,10918.724016232243,0.00335693359375,12.65834748659654,12.66170442019029,10918.72065929865,10918.724016232243,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.70911003107,0.011549267579539446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,466,10918.721598532047,10918.72579469904,0.0041961669921875,12.65928671999427,12.663482886986458,10918.721598532047,10918.72579469904,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.125601070764,1.595997461283332,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,508,10918.721698532047,10918.725894699039,0.0041961669921875,12.659386719993563,12.66358288698575,10918.721698532047,10918.725894699039,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.122801070784,1.5988974612628226,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,458,10918.724016232243,10918.727373165837,0.00335693359375,12.66170442019029,12.66506135378404,10918.724016232243,10918.727373165837,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.717402365055,0.006613867188207223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,470,10918.72569469904,10918.729890866032,0.0041961669921875,12.663382886987165,12.667579053979352,10918.72569469904,10918.729890866032,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.120201070802,1.6054936282380368,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,506,10918.727373165837,10918.73073009943,0.00335693359375,12.66506135378404,12.66841828737779,10918.727373165837,10918.73073009943,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.717502365054,0.009870800782664446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,476,10918.729990866032,10918.734187033024,0.0041961669921875,12.667679053978645,12.671875220970833,10918.729990866032,10918.734187033024,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.125801070762,1.6041897952691215,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,467,10918.73073009943,10918.734087033024,0.00335693359375,12.66841828737779,12.67177522097154,10918.73073009943,10918.734087033024,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.721498532048,0.0092315673828125,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,466,10918.734087033024,10918.737443966618,0.00335693359375,12.67177522097154,12.67513215456529,10918.734087033024,10918.737443966618,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.72579469904,0.008292333985082223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,477,10918.734087033024,10918.738283200017,0.0041961669921875,12.67177522097154,12.675971387963727,10918.734087033024,10918.738283200017,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.1206010708,1.6134859622252407,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,508,10918.737443966618,10918.740800900212,0.00335693359375,12.67513215456529,12.67848908815904,10918.737443966618,10918.740800900212,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.725894699039,0.011549267579539446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,485,10918.738383200016,10918.742579367008,0.0041961669921875,12.67607138796302,12.680267554955208,10918.738383200016,10918.742579367008,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.126001070761,1.612382129254911,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,470,10918.740800900212,10918.744157833806,0.00335693359375,12.67848908815904,12.68184602175279,10918.740800900212,10918.744157833806,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.729890866032,0.0109100341796875,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,1,10,479,10918.742479367009,10918.746675534001,0.0041961669921875,12.680167554955915,12.684363721948102,10918.742479367009,10918.746675534001,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.121001070796,1.6214782962124445,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,476,10918.744157833806,10918.7475147674,0.00335693359375,12.68184602175279,12.68520295534654,10918.744157833806,10918.7475147674,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.734187033024,0.009970800781957223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,2,10,486,10918.746775534,10918.750971700993,0.0041961669921875,12.684463721947395,12.688659888939583,10918.746775534,10918.750971700993,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.12620107076,1.6205744632407004,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,477,10918.7475147674,10918.750871700993,0.00335693359375,12.68520295534654,12.68855988894029,10918.7475147674,10918.750871700993,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.738283200017,0.0092315673828125,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,485,10918.750871700993,10918.754228634587,0.00335693359375,12.68855988894029,12.69191682253404,10918.750871700993,10918.754228634587,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.742579367008,0.008292333985082223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,483,10918.750871700993,10918.755067867985,0.0041961669921875,12.68855988894029,12.692756055932477,10918.750871700993,10918.755067867985,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.121401070794,1.6294706301996484,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,1,10,479,10918.754228634587,10918.75758556818,0.00335693359375,12.69191682253404,12.69527375612779,10918.754228634587,10918.75758556818,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.746675534001,0.0075531005859375,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,2,10,490,10918.755167867985,10918.759364034977,0.0041961669921875,12.69285605593177,12.697052222923958,10918.755167867985,10918.759364034977,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.126401070758,1.6287667972264899,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,2,10,486,10918.75758556818,10918.760942501774,0.00335693359375,12.69527375612779,12.69863068972154,10918.75758556818,10918.760942501774,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.750971700993,0.006613867188207223,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,487,10918.759264034978,10918.76346020197,0.0041961669921875,12.696952222924665,12.701148389916852,10918.759264034978,10918.76346020197,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.12180107079,1.6374629641868523,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,1,10,483,10918.760942501774,10918.764299435368,0.00335693359375,12.69863068972154,12.70198762331529,10918.760942501774,10918.764299435368,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.755067867985,0.0058746337890625,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,2,10,492,10918.763560201969,10918.767756368961,0.0041961669921875,12.701248389916145,12.705444556908333,10918.763560201969,10918.767756368961,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.126601070757,1.6369591312122793,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,2,10,490,10918.764299435368,10918.767656368962,0.00335693359375,12.70198762331529,12.70534455690904,10918.764299435368,10918.767656368962,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.759364034977,0.004935400391332223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,487,10918.767656368962,10918.771013302556,0.00335693359375,12.70534455690904,12.70870149050279,10918.767656368962,10918.771013302556,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10918.76346020197,0.0041961669921875,0.9727600480281872
