policy,seed,request_id,npu_id,category,total_K,miss,admission_ms,completion_ms,ideal_ms,elapsed_ms,noncompute_ms,ratio,raw_ratio,passed
fixed256_od,19,10000009,10,SS,64,256,3031.3156627569365,3166.4766351700714,26.717256165257165,135.1609724131349,108.44371624787775,5.058939120735639,5.058939120735639,False
fixed256_od,19,10000010,10,SL,32,1024,3166.4766351700714,3235.2229524403865,58.057852632638046,68.7463172703151,10.688464637677058,1.1841002405877545,1.1841002405877545,True
fixed256_od,19,10000011,10,LL,128,1024,3235.2229524403865,3533.540232807649,186.90687789087698,298.31728036726236,111.41040247638537,1.5960743859914603,1.5960743859914603,False
fixed256_od,19,10000012,10,SL,80,1024,3533.540232807649,3691.936525295459,122.48236916054397,158.39629248781011,35.91392332726615,1.293217085637786,1.293217085637786,True
fixed256_od,19,10000013,10,LL,160,1024,3691.936525295459,4064.923649969971,229.85653940820262,372.98712467451196,143.13058526630934,1.6226952934853138,1.6226952934853138,False
fixed256_od,19,11000007,11,SL,64,1024,2255.7267703376515,2406.211169544604,101.00752608339441,150.48439920695273,49.47687312355832,1.489833530649082,1.489833530649082,True
fixed256_od,19,11000008,11,SL,80,1024,2406.211169544604,2591.5671626001463,122.48236916054397,185.35599305554206,62.87362389499809,1.5133279534508872,1.5133279534508872,False
fixed256_od,19,11000009,11,SS,32,256,2591.5671626001463,2659.135464925466,15.979837567787547,67.56830232531956,51.588464757532016,4.228347255639507,4.228347255639507,False
fixed256_od,19,11000010,11,LL,200,1024,2659.135464925466,3133.077762338931,283.5436075005082,473.942297413465,190.3986899129568,1.6714970285923851,1.6714970285923851,False
fixed256_od,19,11000011,11,LS,200,256,3133.077762338931,3585.5621837530302,72.35128428205302,452.4844214140994,380.1331371320464,6.253992944342796,6.253992944342796,False
fixed256_od,19,11000012,11,LS,200,256,3585.5621837530302,4050.0149272833037,72.35128428205302,464.45274353027344,392.1014592482204,6.419412566605712,6.419412566605712,False
fixed256_od,19,12000005,12,SS,64,256,2289.958713266665,2408.9091387345247,26.717256165257165,118.95042546785953,92.23316930260236,4.452194668947382,4.452194668947382,False
fixed256_od,19,12000006,12,SL,64,4096,2408.9091387345247,2823.029786711878,400.5413596855101,414.1206479773532,13.579288291843113,1.0339023373329164,1.0339023373329164,True
fixed256_od,19,12000007,12,LS,200,256,2823.029786711878,3205.242488416116,72.35128428205302,382.21270170423804,309.861417422185,5.282735551925057,5.282735551925057,False
fixed256_od,19,12000008,12,LS,128,256,3205.242488416116,3511.9963252937064,48.19209238871334,306.7538368775904,258.5617444888771,6.365231756349981,6.365231756349981,False
fixed256_od,19,12000009,12,LS,160,256,3511.9963252937064,3872.744401626752,58.92951067026337,360.74807633304545,301.8185656627821,6.121687966350004,6.121687966350004,False
fixed256_od,19,12000010,12,LL,160,2048,3872.744401626752,4358.92862338907,458.55018171426593,486.184221762318,27.634040048052043,1.0602639387138473,1.0602639387138473,True
fixed256_od,19,13000008,13,SL,80,2048,2056.8550904430413,2310.2581065910517,243.80186035081854,253.40301614801047,9.601155797191922,1.0393809784034311,1.0393809784034311,True
fixed256_od,19,13000009,13,LL,160,1024,2310.2581065910517,2651.818157513916,229.85653940820262,341.5600509228643,111.7035115146617,1.485970561473943,1.485970561473943,True
fixed256_od,19,13000010,13,LS,160,256,2651.818157513916,2983.0394066072204,58.92951067026337,331.2212490933043,272.29173842304095,5.62063464172702,5.62063464172702,False
