seed,long_npu_count,short_npu_count,order,strategy,label,status,input_fingerprint,path,audit_passed,main_window_valid,full_run_nominal_capacity_satisfied,all_study_conditions_met,device_utilization_percent,short_card_utilization_percent,long_card_utilization_percent,window_request_equal_utilization_percent,makespan_ms,full_run_device_utilization_percent,full_population_binding_U_upper_bound_percent,warm_count,warm_completion_after_4000_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,full_count,full_completion_after_4000_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,short_l0_exposed_stall_ms,short_l1_7_exposed_stall_ms,long_l0_exposed_stall_ms,long_l1_7_exposed_stall_ms,max_fourth_completion_ms,full_run_max_ssu_gib_s,full_run_any_ssu_over_capacity_ms,static_max_ssu_gib_s
7,11,21,random,once,role_l11_s21_seed7_random,complete,7b1a280727fe15dc356e3aed5123a4803bdee0a71283c9be0a9d75d1cf397d44,runs/role_l11_s21_seed7_random/once/role_l11_s21_seed7_random_7b1a280727fe_once_dc98615fa8.json.gz,True,True,True,True,99.30712379910157,98.94418864625001,100.0,99.23166005639065,5225.242186916307,96.42738994720168,97.19366563309791,7452,32,7404,99.35587761674718,0,0.0,7342,7294,99.34622718605284,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4529,19384,99.62993421052632,32,0.1644736842105263,19200,19128,99.625,256,256,100.0,56.10805714878779,387.3327114262115,0.0,0.0,833.3827728049582,26.132480144344466,0.0,31.735895372256252
7,11,21,round_robin,once,role_l11_s21_seed7_round_robin,complete,e6bd9ec18d3aca6e5ed222dcd2e97289e52189a18639f8e353d0268e3ce0d5e3,runs/role_l11_s21_seed7_round_robin/once/role_l11_s21_seed7_round_robin_e6bd9ec18d3a_once_dc98615fa8.json.gz,True,True,True,True,99.07145436354617,98.58507331587987,100.0,99.03308443210554,5269.784974149115,95.61233871932376,97.19366563309791,7418,32,7327,98.77325424642761,0,0.0,7308,7217,98.75478927203065,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4658,19240,98.88980263157895,32,0.1644736842105263,19200,18984,98.875,256,256,100.0,95.6793867218571,498.5898206086031,0.0,0.0,834.7465270774192,31.735895372256252,0.0,31.735895372256252
7,6,26,random,once,role_l6_s26_seed7_random,complete,dda2ce97e351418a02b5d92a6cbc031561aaa882ba56916e19ff16fbfebab6cd,runs/role_l6_s26_seed7_random/once/role_l6_s26_seed7_random_dda2ce97e351_once_dc98615fa8.json.gz,True,True,True,True,98.79225638178232,98.51354631603978,100.0,98.86703057018819,8818.53448320876,57.13607707558908,57.18723089549972,9094,32,9004,99.01033648559489,0,0.0,9034,8944,99.00376355988489,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,1255,19270,99.04399671052632,31,0.15933388157894737,19200,19014,99.03125,256,256,100.0,135.91263042392052,637.0432852353943,0.0,0.0,827.4873581809348,19.003698029800287,0.0,26.559836162438295
7,6,26,round_robin,once,role_l6_s26_seed7_round_robin,complete,09f113d104944f2a9eb649a2d0cdcc737013cb5265a0b4ec19b47254a31f4509,runs/role_l6_s26_seed7_round_robin/once/role_l6_s26_seed7_round_robin_09f113d10494_once_dc98615fa8.json.gz,True,True,True,True,98.80915905187855,98.53434960231206,100.0,98.81660603475929,8819.856075811298,57.1275156414622,57.18723089549972,9105,32,9035,99.23119165293795,0,0.0,9045,8975,99.2260917634052,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,1450,19127,98.30900493421053,22,0.11307565789473685,19200,18871,98.28645833333334,256,256,100.0,124.72758995316326,637.4106168445599,0.0,0.0,828.8047546164817,26.559836162438295,0.0,26.559836162438295
19,11,21,random,once,role_l11_s21_seed19_random,complete,bf32126deb82855019e56cdee17ff142b6cb8061f71ab2cbede9096896a6c715,runs/role_l11_s21_seed19_random/once/role_l11_s21_seed19_random_bf32126deb82_once_dc98615fa8.json.gz,True,True,True,True,99.02033308512803,98.507174224957,100.0,98.92220079040285,5268.311206499899,95.63908550138486,97.19366563309791,7443,32,7370,99.01921268305792,0,0.0,7333,7260,99.00450020455476,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4685,19228,98.828125,31,0.15933388157894737,19200,18972,98.8125,256,256,100.0,92.72687815233621,534.2599473657292,0.0,0.0,833.8443511740988,25.979197449553034,0.0,31.735895372256252
19,11,21,round_robin,once,role_l11_s21_seed19_round_robin,complete,4d303959921e2474c45f647156b4e4bb26cd6ee4ea38a02466477c6f5ac68f00,runs/role_l11_s21_seed19_round_robin/once/role_l11_s21_seed19_round_robin_4d303959921e_once_dc98615fa8.json.gz,True,True,True,True,99.12806667602796,98.67133969680451,100.0,99.0870681832173,5289.04844309086,95.26410494207916,97.19366563309791,7424,32,7341,98.88200431034483,0,0.0,7314,7231,98.86519004648619,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4719,19138,98.3655427631579,31,0.15933388157894737,19200,18882,98.34375,256,256,100.0,81.55671179334513,476.48061554876176,0.0,0.0,834.788488747341,31.735895372256252,0.0,31.735895372256252
19,6,26,random,once,role_l6_s26_seed19_random,complete,7afbae9ed13e6436b861a77d2b79255eda2fbfcab118aae8ee604b73aa10085d,runs/role_l6_s26_seed19_random/once/role_l6_s26_seed19_random_7afbae9ed13e_once_dc98615fa8.json.gz,True,True,True,True,97.50976710515617,96.93509797557684,100.0,97.9023322137465,8819.083981084736,57.13251705132099,57.18723089549972,8967,32,8732,97.37927958068472,0,0.0,8907,8672,97.36162568766139,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,1582,18964,97.47121710526315,30,0.15419407894736842,19200,18708,97.4375,256,256,100.0,211.9928807363956,1381.7561719636526,0.0,0.0,828.0368560569113,19.13618849774964,0.0,26.559836162438295
19,6,26,round_robin,once,role_l6_s26_seed19_round_robin,complete,8c2283b4af0013e06c6353749ffcadbf72c0033cb7efad87fd0ac71efe72cae6,runs/role_l6_s26_seed19_round_robin/once/role_l6_s26_seed19_round_robin_8c2283b4af00_once_dc98615fa8.json.gz,True,True,True,True,98.38509521843996,98.0124248842338,100.0,98.55547596326019,8819.776348638447,57.128032050851075,57.18723089549972,9055,32,8904,98.33241303147432,0,0.0,8995,8844,98.32128960533629,60,60,100.0,0,0,0,,0,,0,0,,0,0,,19456,1493,19038,97.8515625,23,0.11821546052631579,19200,18782,97.82291666666667,256,256,100.0,139.79910250889952,893.7399576895225,0.0,0.0,828.7292236106223,26.559836162438295,0.0,26.559836162438295
43,11,21,random,once,role_l11_s21_seed43_random,complete,f45c39e72d8d7c36249f896b4b8e9c3e000bea46eab18de9d9c104644526fa0b,runs/role_l11_s21_seed43_random/once/role_l11_s21_seed43_random_f45c39e72d8d_once_dc98615fa8.json.gz,True,True,True,True,98.86012823498977,98.26305254855583,100.0,98.84957631688218,5281.918298051504,95.3927034638571,97.19366563309791,7398,32,7287,98.49959448499594,0,0.0,7288,7177,98.47694840834248,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4698,19164,98.49917763157895,32,0.1644736842105263,19200,18908,98.47916666666666,256,256,100.0,77.102313884056,652.4156157224911,0.0,0.0,833.4586038108176,25.923925074319065,0.0,31.735895372256252
43,11,21,round_robin,once,role_l11_s21_seed43_round_robin,complete,30cae94cdb79d55a417b77b4dc75661b437a879b4f3f21c8cffceb00a4ae084c,runs/role_l11_s21_seed43_round_robin/once/role_l11_s21_seed43_round_robin_30cae94cdb79_once_dc98615fa8.json.gz,True,True,True,True,98.38116436571967,97.5332028430014,100.0,98.26864129130655,5294.502020684351,95.16597858644712,97.19366563309791,7337,32,7164,97.64208804688565,0,0.0,7227,7054,97.60619897606199,110,110,100.0,0,0,0,,0,,0,0,,0,0,,19456,4759,19149,98.42208059210526,32,0.1644736842105263,19200,18893,98.40104166666667,256,256,100.0,130.9948522285431,905.0599537108603,0.0,0.0,834.6626037375754,31.735895372256252,0.0,31.735895372256252
