time_ms,event,npu,request,layer,role
3579.3054584557,admission,24,28,0,0
3579.3054584557,compute_start,24,28,0,0
3594.4731485496,admission,24,29,0,0
3594.4731485496,compute_start,24,29,0,0
3609.6408386435,admission,24,30,0,0
3609.6408386435,compute_start,24,30,0,0
3634.0756877274,admission,24,31,0,0
3635.9394920906,compute_start,24,31,0,0
3664.1538127274,admission,24,32,0,0
3666.0176170906,compute_start,24,32,0,0
3682.4086512877,admission,24,33,0,0
3682.4086512877,compute_start,24,33,0,0
3697.5763413817,admission,24,34,0,0
3697.5763413817,compute_start,24,34,0,0
3715.5316987959,admission,24,35,0,0
3716.4555617529,compute_start,24,35,0,0
3738.0902925459,admission,24,36,0,0
3739.0141555029,compute_start,24,36,0,0
3757.2368874216,admission,24,37,0,0
3757.2368874216,compute_start,24,37,0,0
3772.4045775156,admission,24,38,0,0
3772.4045775156,compute_start,24,38,0,0
3787.5722676095,admission,24,39,0,1
3799.7418581056,compute_start,24,39,0,1
3800.1063131393,admission,0,39,0,1
3800.1063131393,compute_start,0,39,0,1
3800.470768173,admission,16,39,0,1
3800.470768173,compute_start,16,39,0,1
3800.8352232066,admission,8,39,0,0
3800.8352232066,compute_start,8,39,0,0
3829.0495438434,admission,8,40,0,0
3830.9133482066,compute_start,8,40,0,0
3857.9335957345,admission,8,41,0,0
3857.9335957345,compute_start,8,41,0,0
3873.1012858285,admission,8,42,0,0
3873.1012858285,compute_start,8,42,0,0
3888.2689759224,admission,8,43,0,0
3888.2689759224,compute_start,8,43,0,0
3910.8461017208,admission,8,44,0,0
3912.7099060841,compute_start,8,44,0,0
3940.9242267208,admission,8,45,0,0
3942.7880310841,compute_start,8,45,0,0
3961.0246264109,admission,8,46,0,0
3961.0246264109,compute_start,8,46,0,0
3976.1923165048,admission,8,47,0,0
3976.1923165048,compute_start,8,47,0,0
3993.1739584093,admission,8,48,0,0
3995.0377627725,compute_start,8,48,0,0
4023.2520834093,admission,8,49,0,0
4025.1158877725,compute_start,8,49,0,0
4048.9561086017,admission,8,50,0,0
4048.9561086017,compute_start,8,50,0,0
4064.1237986956,admission,8,51,0,0
4064.1237986956,compute_start,8,51,0,0
4079.2914887896,admission,8,52,0,0
4079.2914887896,compute_start,8,52,0,0
4105.5907955756,admission,8,53,0,0
4107.4545999389,compute_start,8,53,0,0
4135.6689205756,admission,8,54,0,0
4136.890304662,compute_start,8,54,0,0
4152.0579947559,admission,8,55,0,0
4152.0579947559,compute_start,8,55,0,0
4167.2256848498,admission,8,56,0,0
4167.2256848498,compute_start,8,56,0,0
4187.9331262345,admission,8,57,0,0
4189.7969305978,compute_start,8,57,0,0
4218.0112512345,admission,8,58,0,0
4219.8750555978,compute_start,8,58,0,0
4239.9930954393,admission,8,59,0,0
4239.9930954393,compute_start,8,59,0,0
4255.1607855332,admission,8,60,0,0
4255.1607855332,compute_start,8,60,0,0
4270.3284756272,admission,8,61,0,0
4272.1404674209,compute_start,8,61,0,0
4300.3547880576,admission,8,62,0,0
4302.2185924209,compute_start,8,62,0,0
4327.9284976638,admission,8,63,0,0
4327.9284976638,compute_start,8,63,0,0
4343.0961877577,admission,8,64,0,0
4343.0961877577,compute_start,8,64,0,0
4358.2638778517,admission,8,65,0,0
4358.2638778517,compute_start,8,65,0,0
4382.6987269355,admission,8,66,0,0
4384.5625312987,compute_start,8,66,0,0
4412.7768519355,admission,8,67,0,0
4414.6406562987,compute_start,8,67,0,0
4431.0316904959,admission,8,68,0,0
4431.0316904959,compute_start,8,68,0,0
4446.1993805898,admission,8,69,0,0
4446.1993805898,compute_start,8,69,0,0
4464.154738004,admission,8,70,0,0
4465.078600961,compute_start,8,70,0,0
4486.713331754,admission,8,71,0,0
4487.637194711,compute_start,8,71,0,0
4505.8599266298,admission,8,72,0,0
4505.8599266298,compute_start,8,72,0,0
4521.0276167237,admission,8,73,0,0
4521.0276167237,compute_start,8,73,0,0
4536.1953068176,admission,8,74,0,1
4548.3648973137,compute_start,8,74,0,1
4548.7293523474,admission,24,40,0,1
4548.7293523474,compute_start,24,40,0,1
4549.0938073811,admission,0,40,0,1
4549.0938073811,compute_start,0,40,0,1
4549.4582624148,admission,16,40,0,0
4549.4582624148,compute_start,16,40,0,0
4577.6725830515,admission,16,41,0,0
4579.5363874148,compute_start,16,41,0,0
4606.5566349426,admission,16,42,0,0
4606.5566349426,compute_start,16,42,0,0
4621.7243250366,admission,16,43,0,0
4621.7243250366,compute_start,16,43,0,0
4636.8920151305,admission,16,44,0,0
4636.8920151305,compute_start,16,44,0,0
4659.469140929,admission,16,45,0,0
4661.3329452922,compute_start,16,45,0,0
4689.547265929,admission,16,46,0,0
4691.4110702922,compute_start,16,46,0,0
4709.647665619,admission,16,47,0,0
4709.647665619,compute_start,16,47,0,0
4724.8153557129,admission,16,48,0,0
4724.8153557129,compute_start,16,48,0,0
4741.7969976174,admission,16,49,0,0
4743.6608019807,compute_start,16,49,0,0
4771.8751226174,admission,16,50,0,0
4773.7389269807,compute_start,16,50,0,0
4797.5791478098,admission,16,51,0,0
4797.5791478098,compute_start,16,51,0,0
4812.7468379037,admission,16,52,0,0
4812.7468379037,compute_start,16,52,0,0
4827.9145279977,admission,16,53,0,0
4827.9145279977,compute_start,16,53,0,0
4854.2138347837,admission,16,54,0,0
4856.0776391469,compute_start,16,54,0,0
4884.2919597837,admission,16,55,0,0
4885.5133438701,compute_start,16,55,0,0
4900.681033964,admission,16,56,0,0
4900.681033964,compute_start,16,56,0,0
4915.8487240579,admission,16,57,0,0
4915.8487240579,compute_start,16,57,0,0
4936.5561654426,admission,16,58,0,0
4938.4199698059,compute_start,16,58,0,0
4966.6342904426,admission,16,59,0,0
4968.4980948059,compute_start,16,59,0,0
4988.6161346474,admission,16,60,0,0
4988.6161346474,compute_start,16,60,0,0
5003.7838247414,admission,16,61,0,0
5003.7838247414,compute_start,16,61,0,0
5018.9515148353,admission,16,62,0,0
5020.763506629,compute_start,16,62,0,0
5048.9778272657,admission,16,63,0,0
5050.841631629,compute_start,16,63,0,0
5076.5515368719,admission,16,64,0,0
5076.5515368719,compute_start,16,64,0,0
5091.7192269658,admission,16,65,0,0
5091.7192269658,compute_start,16,65,0,0
5106.8869170598,admission,16,66,0,0
5106.8869170598,compute_start,16,66,0,0
5131.3217661436,admission,16,67,0,0
5133.1855705068,compute_start,16,67,0,0
5161.3998911436,admission,16,68,0,0
5163.2636955068,compute_start,16,68,0,0
5179.654729704,admission,16,69,0,0
5179.654729704,compute_start,16,69,0,0
5194.8224197979,admission,16,70,0,0
5194.8224197979,compute_start,16,70,0,0
5212.7777772121,admission,16,71,0,0
5213.7016401691,compute_start,16,71,0,0
5235.3363709621,admission,16,72,0,0
5236.2602339191,compute_start,16,72,0,0
5254.4829658379,admission,16,73,0,0
5254.4829658379,compute_start,16,73,0,0
5269.6506559318,admission,16,74,0,0
5269.6506559318,compute_start,16,74,0,0
5284.8183460258,admission,16,75,0,1
5296.9879365218,compute_start,16,75,0,1
5297.3523915555,admission,8,75,0,1
5297.3523915555,compute_start,8,75,0,1
5297.7168465892,admission,24,41,0,1
5297.7168465892,compute_start,24,41,0,1
5298.0813016229,admission,0,41,0,0
5298.0813016229,compute_start,0,41,0,0
5326.2956222596,admission,0,42,0,0
5328.1594266229,compute_start,0,42,0,0
5355.1796741508,admission,0,43,0,0
5355.1796741508,compute_start,0,43,0,0
5370.3473642447,admission,0,44,0,0
5370.3473642447,compute_start,0,44,0,0
5385.5150543386,admission,0,45,0,0
5385.5150543386,compute_start,0,45,0,0
5408.0921801371,admission,0,46,0,0
5409.9559845003,compute_start,0,46,0,0
5438.1703051371,admission,0,47,0,0
5440.0341095003,compute_start,0,47,0,0
5458.2707048271,admission,0,48,0,0
5458.2707048271,compute_start,0,48,0,0
5473.4383949211,admission,0,49,0,0
5473.4383949211,compute_start,0,49,0,0
5490.4200368255,admission,0,50,0,0
5492.2838411888,compute_start,0,50,0,0
5520.4981618255,admission,0,51,0,0
5522.3619661888,compute_start,0,51,0,0
5546.2021870179,admission,0,52,0,0
5546.2021870179,compute_start,0,52,0,0
5561.3698771119,admission,0,53,0,0
5561.3698771119,compute_start,0,53,0,0
5576.5375672058,admission,0,54,0,0
5576.5375672058,compute_start,0,54,0,0
5602.8368739918,admission,0,55,0,0
5604.7006783551,compute_start,0,55,0,0
5632.9149989918,admission,0,56,0,0
5634.1363830782,compute_start,0,56,0,0
5649.3040731721,admission,0,57,0,0
5649.3040731721,compute_start,0,57,0,0
5664.4717632661,admission,0,58,0,0
5664.4717632661,compute_start,0,58,0,0
5685.1792046507,admission,0,59,0,0
5687.043009014,compute_start,0,59,0,0
5715.2573296507,admission,0,60,0,0
5717.121134014,compute_start,0,60,0,0
5737.2391738556,admission,0,61,0,0
5737.2391738556,compute_start,0,61,0,0
5752.4068639495,admission,0,62,0,0
5752.4068639495,compute_start,0,62,0,0
5767.5745540434,admission,0,63,0,0
5769.3865458371,compute_start,0,63,0,0
5797.6008664739,admission,0,64,0,0
5799.4646708371,compute_start,0,64,0,0
5825.17457608,admission,0,65,0,0
5825.17457608,compute_start,0,65,0,0
5840.342266174,admission,0,66,0,0
5840.342266174,compute_start,0,66,0,0
5855.5099562679,admission,0,67,0,0
5855.5099562679,compute_start,0,67,0,0
5879.9448053517,admission,0,68,0,0
5881.808609715,compute_start,0,68,0,0
5910.0229303517,admission,0,69,0,0
5911.886734715,compute_start,0,69,0,0
5928.2777689121,admission,0,70,0,0
5928.2777689121,compute_start,0,70,0,0
5943.4454590061,admission,0,71,0,0
5943.4454590061,compute_start,0,71,0,0
5961.4008164203,admission,0,72,0,0
5962.3246793773,compute_start,0,72,0,0
5983.9594101703,admission,0,73,0,0
5984.8832731273,compute_start,0,73,0,0
6003.106005046,admission,0,74,0,0
6003.106005046,compute_start,0,74,0,0
6018.27369514,admission,0,75,0,0
6018.27369514,compute_start,0,75,0,0
6033.4413852339,admission,0,76,0,1
6045.61097573,compute_start,0,76,0,1
6045.9754307637,admission,16,76,0,1
6045.9754307637,compute_start,16,76,0,1
6046.3398857973,admission,8,76,0,1
6046.3398857973,compute_start,8,76,0,1
6046.704340831,admission,24,42,0,0
6046.704340831,compute_start,24,42,0,0
6074.9186614678,admission,24,43,0,0
6076.782465831,compute_start,24,43,0,0
6103.8027133589,admission,24,44,0,0
6103.8027133589,compute_start,24,44,0,0
6118.9704034528,admission,24,45,0,0
6118.9704034528,compute_start,24,45,0,0
6134.1380935468,admission,24,46,0,0
6134.1380935468,compute_start,24,46,0,0
6156.7152193452,admission,24,47,0,0
6158.5790237085,compute_start,24,47,0,0
6186.7933443452,admission,24,48,0,0
6188.6571487085,compute_start,24,48,0,0
6206.8937440352,admission,24,49,0,0
6206.8937440352,compute_start,24,49,0,0
6222.0614341292,admission,24,50,0,0
6222.0614341292,compute_start,24,50,0,0
6239.0430760336,admission,24,51,0,0
6240.9068803969,compute_start,24,51,0,0
6269.1212010336,admission,24,52,0,0
6270.9850053969,compute_start,24,52,0,0
6294.825226226,admission,24,53,0,0
6294.825226226,compute_start,24,53,0,0
6309.99291632,admission,24,54,0,0
6309.99291632,compute_start,24,54,0,0
6325.1606064139,admission,24,55,0,0
6325.1606064139,compute_start,24,55,0,0
6351.4599131999,admission,24,56,0,0
6353.3237175632,compute_start,24,56,0,0
6381.5380382,admission,24,57,0,0
6382.7594222863,compute_start,24,57,0,0
6397.9271123803,admission,24,58,0,0
6397.9271123803,compute_start,24,58,0,0
6413.0948024742,admission,24,59,0,0
6413.0948024742,compute_start,24,59,0,0
6433.8022438589,admission,24,60,0,0
6435.6660482221,compute_start,24,60,0,0
6463.8803688589,admission,24,61,0,0
6465.7441732221,compute_start,24,61,0,0
6485.8622130637,admission,24,62,0,0
6485.8622130637,compute_start,24,62,0,0
6501.0299031576,admission,24,63,0,0
6501.0299031576,compute_start,24,63,0,0
6516.1975932516,admission,24,64,0,0
6518.0095850453,compute_start,24,64,0,0
6546.223905682,admission,24,65,0,0
6548.0877100453,compute_start,24,65,0,0
6573.7976152882,admission,24,66,0,0
6573.7976152882,compute_start,24,66,0,0
6588.9653053821,admission,24,67,0,0
6588.9653053821,compute_start,24,67,0,0
6604.132995476,admission,24,68,0,0
6604.132995476,compute_start,24,68,0,0
6628.5678445599,admission,24,69,0,0
6630.4316489231,compute_start,24,69,0,0
6658.6459695599,admission,24,70,0,0
6660.5097739231,compute_start,24,70,0,0
6676.9008081202,admission,24,71,0,0
6676.9008081202,compute_start,24,71,0,0
6692.0684982142,admission,24,72,0,0
6692.0684982142,compute_start,24,72,0,0
6710.0238556284,admission,24,73,0,0
6710.9477185854,compute_start,24,73,0,0
6732.5824493784,admission,24,74,0,0
6733.5063123354,compute_start,24,74,0,0
6751.7290442541,admission,24,75,0,0
6751.7290442541,compute_start,24,75,0,0
6766.8967343481,admission,24,76,0,0
6766.8967343481,compute_start,24,76,0,0
6782.064424442,admission,24,77,0,1
6794.2340149381,compute_start,24,77,0,1
6794.5984699718,admission,0,77,0,1
6794.5984699718,compute_start,0,77,0,1
6794.9629250055,admission,16,77,0,1
6794.9629250055,compute_start,16,77,0,1
6795.3273800392,admission,8,77,0,0
6795.3273800392,compute_start,8,77,0,0
6823.5417006759,admission,8,78,0,0
6825.4055050392,compute_start,8,78,0,0
6852.425752567,admission,8,79,0,0
6852.425752567,compute_start,8,79,0,0
6867.593442661,admission,8,80,0,0
6867.593442661,compute_start,8,80,0,0
6882.7611327549,admission,8,81,0,0
6882.7611327549,compute_start,8,81,0,0
6905.3382585533,admission,8,82,0,0
6907.2020629166,compute_start,8,82,0,0
6935.4163835533,admission,8,83,0,0
6937.2801879166,compute_start,8,83,0,0
6955.5167832434,admission,8,84,0,0
6955.5167832434,compute_start,8,84,0,0
6970.6844733373,admission,8,85,0,0
6970.6844733373,compute_start,8,85,0,0
6987.6661152418,admission,8,86,0,0
6989.529919605,compute_start,8,86,0,0
7017.7442402418,admission,8,87,0,0
7019.608044605,compute_start,8,87,0,0
7043.4482654342,admission,8,88,0,0
7043.4482654342,compute_start,8,88,0,0
7058.6159555281,admission,8,89,0,0
7058.6159555281,compute_start,8,89,0,0
7073.783645622,admission,8,90,0,0
7073.783645622,compute_start,8,90,0,0
7100.0829524081,admission,8,91,0,0
7101.9467567713,compute_start,8,91,0,0
7130.1610774081,admission,8,92,0,0
7131.3824614944,compute_start,8,92,0,0
7146.5501515884,admission,8,93,0,0
7146.5501515884,compute_start,8,93,0,0
7161.7178416823,admission,8,94,0,0
7161.7178416823,compute_start,8,94,0,0
7182.425283067,admission,8,95,0,0
7184.2890874302,compute_start,8,95,0,0
7212.503408067,admission,8,96,0,0
7214.3672124302,compute_start,8,96,0,0
7234.4852522718,admission,8,97,0,0
7234.4852522718,compute_start,8,97,0,0
7249.6529423657,admission,8,98,0,0
