time_ms,event,npu,request,layer,role
2568.0520807572,admission,0,20,0,0
2568.0520807572,compute_start,0,20,0,0
2587.9979637025,admission,0,21,0,0
2589.7379537801,compute_start,0,21,0,0
2616.6437970358,admission,0,22,0,0
2618.3837871134,compute_start,0,22,0,0
2637.826486143,admission,0,23,0,0
2637.826486143,compute_start,0,23,0,0
2652.5523988555,admission,0,24,0,0
2652.5523988555,compute_start,0,24,0,0
2667.2783115681,admission,0,25,0,0
2669.0183016457,compute_start,0,25,0,0
2695.9241449014,admission,0,26,0,0
2697.664134979,compute_start,0,26,0,0
2722.3268042414,admission,0,27,0,0
2722.3268042414,compute_start,0,27,0,0
2737.0527169539,admission,0,28,0,0
2737.0527169539,compute_start,0,28,0,0
2751.7786296665,admission,0,29,0,0
2751.7786296665,compute_start,0,29,0,0
2775.204492767,admission,0,30,0,0
2776.9444828446,compute_start,0,30,0,0
2803.8503261004,admission,0,31,0,0
2805.590316178,compute_start,0,31,0,0
2821.5530350523,admission,0,32,0,0
2821.5530350523,compute_start,0,32,0,0
2836.2789477649,admission,0,33,0,0
2836.2789477649,compute_start,0,33,0,0
2853.3811522641,admission,0,34,0,0
2854.22596005,compute_start,0,34,0,0
2874.8655272641,admission,0,35,0,0
2875.71033505,compute_start,0,35,0,0
2893.4089032809,admission,0,36,0,0
2893.4089032809,compute_start,0,36,0,0
2908.1348159935,admission,0,37,0,0
2908.1348159935,compute_start,0,37,0,0
2922.8607287061,admission,0,38,0,1
2934.5596217784,compute_start,0,38,0,1
2934.6663013007,admission,16,38,0,1
2934.6663013007,compute_start,16,38,0,1
2934.7729808229,admission,8,38,0,1
2934.7729808229,compute_start,8,38,0,1
2934.8796603451,admission,24,4,0,0
2934.8796603451,compute_start,24,4,0,0
2961.7855036009,admission,24,5,0,0
2963.5254936785,compute_start,24,5,0,0
2990.3476555966,admission,24,6,0,0
2990.3476555966,compute_start,24,6,0,0
3005.0735683091,admission,24,7,0,0
3005.0735683091,compute_start,24,7,0,0
3019.7994810217,admission,24,8,0,0
3019.7994810217,compute_start,24,8,0,0
3041.4853540446,admission,24,9,0,0
3043.2253441222,compute_start,24,9,0,0
3070.131187378,admission,24,10,0,0
3071.8711774556,compute_start,24,10,0,0
3089.6732225378,admission,24,11,0,0
3089.6732225378,compute_start,24,11,0,0
3104.3991352504,admission,24,12,0,0
3104.3991352504,compute_start,24,12,0,0
3120.8650380406,admission,24,13,0,0
3122.6050281182,compute_start,24,13,0,0
3149.5108713739,admission,24,14,0,0
3151.2508614515,compute_start,24,14,0,0
3174.1735406362,admission,24,15,0,0
3174.1735406362,compute_start,24,15,0,0
3188.8994533488,admission,24,16,0,0
3188.8994533488,compute_start,24,16,0,0
3203.6253660614,admission,24,17,0,0
3203.6253660614,compute_start,24,17,0,0
3228.7912192395,admission,24,18,0,0
3230.5312093171,compute_start,24,18,0,0
3257.4370525728,admission,24,19,0,0
3258.6738587346,compute_start,24,19,0,0
