label,strategy,submit_seed,status,input_fingerprint,result_path,audit_passed,warmup_passed,start_ms,end_ms,all_npus_active,each_npu_short_and_long_positive_compute,main_window_valid,device_utilization,request_equal_utilization,pooled_utilization,l0_exposed_stall_ms,l1_7_exposed_stall_ms,short_device_compute_contribution,short_request_equal_utilization,short_pooled_utilization,long_device_compute_contribution,long_request_equal_utilization,long_pooled_utilization,nominal_max_ssu_gib_s,nominal_max_npu_link_gib_s,nominal_any_ssu_over_capacity_ms,full_run_nominal_max_ssu_gib_s,static_max_proof_gib_s,makespan_ms,full_run_device_utilization,SS_request_count,SS_request_equal_utilization,SS_pooled_utilization,SL_request_count,SL_request_equal_utilization,SL_pooled_utilization,LS_request_count,LS_request_equal_utilization,LS_pooled_utilization,LL_request_count,LL_request_equal_utilization,LL_pooled_utilization,random_reference_label,order_mode,pair_input_content_valid,paired_random_device_utilization,paired_device_delta_pp,paired_device_relative_reduction,paired_request_equal_delta_pp,paired_request_equal_relative_reduction
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,2250.0,2500.0,True,False,True,0.9144311268444737,0.8993039654816394,0.9144311268444737,120.07888902154355,564.472096222667,0.6409662356392364,0.8988429617448835,0.8891505503145065,0.2734648912052373,0.919653987575576,0.9797212963477492,26.05941681131526,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,927,0.8988429617448835,0.8891505503145065,0,,,0,,,21,0.919653987575576,0.9797212963477492,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,2500.0,2750.0,True,False,True,0.9269475646748956,0.9232851892439958,0.9269475646748956,110.79617082730601,473.6233117735296,0.6907183549243002,0.9235091778372898,0.9105428991604531,0.23622920975059525,0.9107791594517463,0.9784932354124014,24.707412130136987,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,1005,0.9235091778372898,0.9105428991604531,0,,,0,,,18,0.9107791594517463,0.9784932354124014,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,2750.0,3000.0,True,False,True,0.8512288812094791,0.8185298983030028,0.8512288812094791,199.97353412658413,990.1954161975823,0.5108562588724468,0.8148461354984827,0.7843179987841246,0.34037262233703247,0.9394242957967971,0.9762256836313128,28.47995999220968,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,722,0.8148461354984827,0.7843179987841246,0,,,0,,,22,0.9394242957967971,0.9762256836313128,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,3000.0,3250.0,True,False,True,0.8967465241031266,0.8814722835315317,0.8967465241031266,130.7553155956225,695.2724915793647,0.5709947554991154,0.8797634379456092,0.8534116019329151,0.3257517686040112,0.9409970714411687,0.9843617411187067,31.572366799421797,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,836,0.8797634379456092,0.8534116019329151,0,,,0,,,24,0.9409970714411687,0.9843617411187067,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,3250.0,3500.0,True,False,True,0.9252060692166396,0.9103553844755772,0.9252060692166396,109.92703046892893,488.4244157979533,0.640237087225821,0.9092272907513723,0.9032603345037514,0.2849689819908189,0.9719360301262919,0.9786252000920311,25.904980625884495,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,928,0.9092272907513723,0.9032603345037514,0,,,0,,,17,0.9719360301262919,0.9786252000920311,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,3500.0,3750.0,True,False,True,0.937605813727802,0.9329228833605013,0.937605813727802,116.32109502318644,382.83239515439755,0.6861808676948062,0.9332781370775952,0.9270996111941614,0.2514249460329958,0.9167749871289608,0.9675294098166645,28.897070132260485,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,1000,0.9332781370775952,0.9270996111941614,0,,,0,,,22,0.9167749871289608,0.9675294098166645,,,,,,,,
concurrency_l768_seed43,baseline,43,complete,6bc80f6ed00c4df6e6b7a979f54802b322da8fe0ce4b84535d09037fffea4ef1,runs/concurrency_l768_seed43/baseline/concurrency_l768_seed43_6bc80f6ed00c_baseline_104671470b.json.gz,True,True,3750.0,4000.0,True,False,True,0.910804721022872,0.8834306256828253,0.910804721022872,139.01016102449375,574.5520707925298,0.5440315221703367,0.880667143100639,0.868471617026666,0.3667731988525354,0.9673979810646389,0.9817902230319554,30.62229351852674,10.026627010029689,0.0,34.20146505034162,53.47534405349167,5537.038801175634,0.9099745983708276,790,0.880667143100639,0.868471617026666,0,,,0,,,26,0.9673979810646389,0.9817902230319554,,,,,,,,
concurrency_l768_seed43__exact_cohort4_p1,baseline,43,complete,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,runs/concurrency_l768_seed43__exact_cohort4_p1/baseline/concurrency_l768_seed43__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,True,True,2000.0,4000.0,True,True,True,0.8551168053550062,0.848787979321576,0.8551168053550062,1484.949119954737,7787.575337324863,0.5775698897121269,0.8469258098307357,0.8064125632835816,0.2775469156428794,0.9758422518737064,0.9780401364046325,32.874018304672404,10.026627010029689,0.0,34.105709988622074,53.47534405349167,5992.60887030334,0.8407965158934932,6550,0.8469258098307357,0.8064125632835816,0,,,0,,,96,0.9758422518737064,0.9780401364046325,concurrency_l768_seed43,exact_cohort4,True,0.9129698473632208,-5.785304200821462,0.06336796573873929,-5.234710267342512,0.05809018394615727
concurrency_l768_seed43__exact_cohort4_p1,baseline,43,complete,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,runs/concurrency_l768_seed43__exact_cohort4_p1/baseline/concurrency_l768_seed43__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,True,True,2000.0,2250.0,True,False,True,0.8799763852305125,0.8592378661066032,0.8799763852305125,167.08183119577598,793.1070869601238,0.6043695773727835,0.8618429364255076,0.8410165233949155,0.275606807857729,0.7510654223882888,0.9794754729131387,32.874018304672404,10.026627010029689,0.0,34.105709988622074,53.47534405349167,5992.60887030334,0.8407965158934932,872,0.8618429364255076,0.8410165233949155,0,,,0,,,21,0.7510654223882888,0.9794754729131387,concurrency_l768_seed43,exact_cohort4,True,0.9407880781064782,-6.081169287596577,0.06463909810417805,-7.050015074620719,0.07582797462112198
concurrency_l768_seed43__exact_cohort4_p1,baseline,43,complete,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,runs/concurrency_l768_seed43__exact_cohort4_p1/baseline/concurrency_l768_seed43__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,True,True,2250.0,2500.0,True,False,True,0.8433713271895152,0.832421412133452,0.8433713271895152,222.13856195964627,1030.890820524232,0.5576854296131483,0.8286345397924155,0.7890591495792998,0.28568589757636703,0.9597549946008028,0.9742812252894798,31.811941545921094,10.026627010029689,0.0,34.105709988622074,53.47534405349167,5992.60887030334,0.8407965158934932,807,0.8286345397924155,0.7890591495792998,0,,,0,,,24,0.9597549946008028,0.9742812252894798,concurrency_l768_seed43,exact_cohort4,True,0.9144311268444737,-7.1059799654958455,0.07770929659861009,-6.688255334818738,0.07437146494997067
