order,policy,seed,window,dimension,value,active_U_percent,compute_ms,active_ms,cohort_count,admission_latency_mean_ms,admission_latency_p50_ms,admission_latency_p95_ms,admission_latency_minimum_ms,admission_latency_maximum_ms,admission_normalized_mean,admission_normalized_p50,admission_normalized_p95,admission_normalized_minimum,admission_normalized_maximum,admission_slo1_count,admission_slo1_passed,admission_slo1_percent,admission_slo1p5_count,admission_slo1p5_passed,admission_slo1p5_percent,arrival_latency_mean_ms,arrival_latency_p50_ms,arrival_latency_p95_ms,arrival_latency_minimum_ms,arrival_latency_maximum_ms,arrival_normalized_mean,arrival_normalized_p50,arrival_normalized_p95,arrival_normalized_minimum,arrival_normalized_maximum,arrival_slo1_count,arrival_slo1_passed,arrival_slo1_percent,arrival_slo1p5_count,arrival_slo1p5_passed,arrival_slo1p5_percent
ordered,asu_baseline,19,full_population,profile,32:4096,100.0,14639.53510189097,14639.53510189097,64,228.7427359670464,228.7427359670464,228.74273596704643,228.74273596704637,228.74273596704643,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000004,1.0000000000000007,64,64,100.0,64,64,100.0,584.0738304870893,469.93532789663243,698.6654753627023,469.3352760167496,698.6780638636789,2.553409305077271,2.054427328194297,3.0543722947484344,2.051804067274793,3.054427328194298,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,full_population,profile,64:2048,100.0,12854.537173594184,12854.537173594184,64,200.85214333740913,200.85214333740896,200.8521433374093,200.85214333740896,200.8521433374093,1.0000000000000004,0.9999999999999997,1.0000000000000013,0.9999999999999997,1.0000000000000013,64,64,100.0,64,64,100.0,999.723413476726,899.5302072010878,1100.3697620375206,898.930155321205,1100.3823505384971,4.977409734668866,4.478569121814041,5.478506446351549,4.475581591435166,5.478569121814043,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,full_population,profile,64:4096,100.0,25634.647019872675,25634.647019872675,64,400.54135968551054,400.54135968551054,400.54135968551054,400.54135968551054,400.54135968551054,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,64,64,100.0,64,64,100.0,1700.9615246736964,1500.9237102240077,1901.4524814085416,1500.3236583441249,1901.4650699095182,4.246656390264484,3.747237766912451,4.747206338195611,3.7457396647430423,4.747237766912452,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,full_population,profile,80:2048,100.0,15603.319062452329,15603.319062452329,64,243.80186035081763,243.80186035081715,243.8018603508183,243.80186035081715,243.8018603508183,0.9999999999999962,0.9999999999999943,0.999999999999999,0.9999999999999943,0.999999999999999,64,64,100.0,64,64,100.0,2266.9349950426786,2145.2669302603363,2389.056202110177,2144.6668783804535,2389.0687906111534,9.298267830198972,8.799222972184895,9.79917133803838,8.796761744534624,9.79922297218489,64,0,0.0,64,0,0.0
ordered,asu_baseline,19,full_population,profile,80:4096,100.0,31132.212914176984,31132.212914176984,64,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,64,64,100.0,64,64,100.0,3118.49716539411,2875.509617395169,3361.9378556782076,2874.909565515286,3361.950444179184,6.410845870013194,5.911324582695692,6.911298703903691,5.910091026943701,6.911324582695691,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,warm_2_4s,length,128,99.97058049537222,20418.9110758879,20424.91998616845,64,372.74475869773073,372.65086947459713,372.6508694745976,372.65086947459713,376.1308903493641,1.0002519495614344,0.9999999999999963,0.9999999999999976,0.9999999999999963,1.0093385556289514,64,61,95.3125,64,64,100.0,3920.885333090399,3738.0813345285483,4107.239594627402,3733.9929694399143,4110.732204003146,10.52160521889689,10.03105491152853,11.021682574947995,10.020083878254415,11.031054911528527,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,warm_2_4s,length,160,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,length,32,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,length,64,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,length,80,100.0,43575.08001383155,43575.08001383155,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2804236482207,2875.2830243775907,3361.9336595112154,2388.4604463972864,3361.950444179184,7.5399965753822515,6.910858764439695,9.79915412665621,5.9100739799905515,9.79922297218489,96,0,0.0,96,0,0.0
