order,policy,window,npu_id,seed_count,seeds,complete_seed_set,seed_interpretation,mean_U_percent,min_U_percent,max_U_percent,mean_active_ms,min_active_ms,max_active_ms,mean_compute_ms,min_compute_ms,max_compute_ms
ordered,asu_baseline,full_population,21,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8352.787497215835,8344.926372974805,8360.366676536058,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,22,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8350.37889736232,8344.968334644727,8356.657164914963,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,23,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078332,99.63340908593405,99.63375779924104,8343.994065005276,8343.988470115954,8344.005254783922,8333.217548680406,8333.217548680406,8333.217548680406
ordered,asu_baseline,full_population,24,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8356.639048191331,8353.04436513469,8361.990593162034,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,25,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8353.721313409429,8347.736213889573,8358.520263059494,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,26,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078332,99.63340908593405,99.63375779924104,8344.00105861693,8343.992666282946,8344.017843284899,8333.217548680406,8333.217548680406,8333.217548680406
ordered,asu_baseline,full_population,27,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078332,99.63340908593405,99.63375779924104,8343.893356997463,8343.875173607164,8343.908742943102,8333.217548680406,8333.217548680406,8333.217548680406
ordered,asu_baseline,full_population,28,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8351.083853417007,8345.358578175,8362.019866330978,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,29,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8350.715459120693,8346.066039426682,8356.615303245042,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,full_population,30,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078332,99.63340908593405,99.63375779924104,8343.996862449938,8343.98007778197,8344.013647117907,8333.217548680406,8333.217548680406,8333.217548680406
ordered,asu_baseline,full_population,31,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.63355825078334,99.63340908593405,99.63375779924105,8357.39133858873,8344.445752318103,8363.878768308517,8333.217548680406,8333.217548680406,8333.217548680408
ordered,asu_baseline,long_2_6s,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,3,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.99729709790837,99.99189129372512,100.0,4000.0,4000.0,4000.0,3999.891883916335,3999.675651749005,4000.0
ordered,asu_baseline,long_2_6s,4,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,5,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.97722543246242,99.93167629738724,100.0,4000.0,4000.0,4000.0,3999.0890172984964,3997.2670518954897,4000.0
ordered,asu_baseline,long_2_6s,6,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,7,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.95401387843064,99.86204163529189,100.0,4000.0,4000.0,4000.0,3998.160555137225,3994.4816654116753,4000.0
ordered,asu_baseline,long_2_6s,8,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,9,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,10,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,11,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,12,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,13,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.99173717664372,99.97521152993117,100.0,4000.0,4000.0,4000.0,3999.669487065749,3999.008461197247,4000.0
ordered,asu_baseline,long_2_6s,14,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.94561201617462,99.90830437638076,100.0,4000.0,4000.0,4000.0,3997.8244806469847,3996.33217505523,4000.0
ordered,asu_baseline,long_2_6s,15,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,16,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.99079303907048,99.97237911721145,100.0,4000.0,4000.0,4000.0,3999.631721562819,3998.8951646884575,4000.0
ordered,asu_baseline,long_2_6s,17,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,18,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,19,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,20,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,21,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.9762463268309,99.92873898049271,100.0,4000.0,4000.0,4000.0,3999.049853073236,3997.1495592197084,4000.0
ordered,asu_baseline,long_2_6s,22,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.99705315483384,99.9911594645015,100.0,4000.0,4000.0,4000.0,3999.882126193353,3999.6463785800597,4000.0
ordered,asu_baseline,long_2_6s,23,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,24,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.9680964776411,99.90830437638076,100.0,4000.0,4000.0,4000.0,3998.7238591056434,3996.33217505523,4000.0
ordered,asu_baseline,long_2_6s,25,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.99149323356919,99.97447970070755,100.0,4000.0,4000.0,4000.0,3999.659729342767,3998.979188028302,4000.0
ordered,asu_baseline,long_2_6s,26,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,27,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,28,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.96919084905237,99.90757254715712,100.0,4000.0,4000.0,4000.0,3998.7676339620953,3996.302901886285,4000.0
ordered,asu_baseline,long_2_6s,29,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,30,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
ordered,asu_baseline,long_2_6s,31,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,99.9081334943694,99.86183432694227,100.0,4000.0,4000.0,4000.0,3996.325339774776,3994.4733730776907,4000.0
ordered,asu_baseline,warm_2_4s,0,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
ordered,asu_baseline,warm_2_4s,1,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
ordered,asu_baseline,warm_2_4s,2,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
ordered,asu_baseline,warm_2_4s,3,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
ordered,asu_baseline,warm_2_4s,4,3,"[7, 19, 43]",True,fixed_queue_varying_simulator_submission_seed,100.0,100.0,100.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
