policy,seed,window,start_ms,end_ms,U_percent,slo_passed,slo_count,slo_percent,A_passed,A_count,A_percent,B_passed,B_count,B_percent,B_admission_fraction_percent,completed_after_window_count,admission_cohort_passed_per_window_second,completion_window_count,completion_window_timely_count,completion_window_timely_per_second,full_run_U_percent,makespan_ms,all_npus_active_whole_window,manifest_sha256,result_sha256,origin,case
mild,43,warm_2_4s,2000.0,4000.0,90.17457763118983,271,337,80.41543026706232,44,110,40.0,227,227,100.0,67.35905044510386,32,135.5,337,277,138.5,87.49130128377665,23118.987003411858,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,8b099ad00054a795485ce8a9009bff45697805209df40842f40f07137a2a4f70,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed43_local_v2
mild,43,long_2_20s,2000.0,20000.0,89.35819565170829,2465,3047,80.89924515917296,425,1007,42.20456802383317,2040,2040,100.0,66.95109944207417,32,136.94444444444446,3047,2469,137.16666666666666,87.49130128377665,23118.987003411858,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,8b099ad00054a795485ce8a9009bff45697805209df40842f40f07137a2a4f70,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed43_local_v2
mild,43,full_population,0.0,23118.987003411858,87.49130128377553,3110,3840,80.98958333333333,550,1280,42.96875,2560,2560,100.0,66.66666666666667,0,134.52146495610003,3840,3110,134.52146495610003,87.49130128377665,23118.987003411858,False,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,8b099ad00054a795485ce8a9009bff45697805209df40842f40f07137a2a4f70,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/mild_seed43_local_v2
once,7,warm_2_4s,2000.0,4000.0,91.24281038614288,273,343,79.59183673469387,36,106,33.9622641509434,237,237,100.0,69.09620991253644,32,136.5,343,264,132.0,88.65839533235807,22814.649979943697,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,1db266eea0ff897cc45b976ad2a673113164f96cb97604691d483349e11d868d,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/once_seed7_remote_v2
once,7,long_2_20s,2000.0,20000.0,90.86429247488897,2394,3093,77.40058195926285,321,1020,31.470588235294116,2073,2073,100.0,67.02230843840931,32,133.0,3093,2390,132.77777777777777,88.65839533235807,22814.649979943697,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,1db266eea0ff897cc45b976ad2a673113164f96cb97604691d483349e11d868d,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/once_seed7_remote_v2
once,7,full_population,0.0,22814.649979943697,88.65839533235693,2961,3840,77.109375,401,1280,31.328125,2560,2560,100.0,66.66666666666667,0,129.7850285936014,3840,2961,129.7850285936014,88.65839533235807,22814.649979943697,False,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,1db266eea0ff897cc45b976ad2a673113164f96cb97604691d483349e11d868d,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/once_seed7_remote_v2
static_aggressive,7,warm_2_4s,2000.0,4000.0,85.38093776680198,295,324,91.04938271604938,83,107,77.57009345794393,212,217,97.6958525345622,66.9753086419753,32,147.5,324,288,144.0,84.4591454617066,23948.978482245137,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,97f41c5927e1a8c1e3dae9c246c840dd5d00aace9e4c748e4f408c7c99dd1f16,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed7_remote
static_aggressive,7,long_2_20s,2000.0,20000.0,85.86338563228543,2703,2943,91.84505606523955,807,981,82.26299694189602,1896,1962,96.63608562691131,66.66666666666667,32,150.16666666666666,2943,2695,149.72222222222223,84.4591454617066,23948.978482245137,True,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,97f41c5927e1a8c1e3dae9c246c840dd5d00aace9e4c748e4f408c7c99dd1f16,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed7_remote
static_aggressive,7,full_population,0.0,23948.978482245137,84.45914546170552,3452,3840,89.89583333333333,1004,1280,78.4375,2448,2560,95.625,66.66666666666667,0,144.1397595542199,3840,3452,144.1397595542199,84.4591454617066,23948.978482245137,False,ec6337cc9939bcfa56279166502db06df11cc7471707fa33a28076cd8f36355b,97f41c5927e1a8c1e3dae9c246c840dd5d00aace9e4c748e4f408c7c99dd1f16,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed7_remote
static_aggressive,19,warm_2_4s,2000.0,4000.0,85.10563256794018,283,321,88.1619937694704,70,106,66.0377358490566,213,215,99.06976744186046,66.97819314641744,32,141.5,321,283,141.5,83.37117075089452,24261.50717416333,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,265952f5fd396e7026c51dee5e7aa3f3a99eda881117736d77c47ce7033b886a,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed19_remote
static_aggressive,19,long_2_20s,2000.0,20000.0,84.31295445497071,2527,2889,87.46971270335756,730,972,75.10288065843622,1797,1917,93.74021909233177,66.35514018691589,32,140.38888888888889,2889,2527,140.38888888888889,83.37117075089452,24261.50717416333,True,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,265952f5fd396e7026c51dee5e7aa3f3a99eda881117736d77c47ce7033b886a,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed19_remote
static_aggressive,19,full_population,0.0,24261.50717416333,83.37117075089351,3396,3840,88.4375,962,1280,75.15625,2434,2560,95.078125,66.66666666666667,0,139.97481589340347,3840,3396,139.97481589340347,83.37117075089452,24261.50717416333,False,f909de258a5f7e4e384e8ded51052f95534a79e3437713cabc8b3336d8b964c3,265952f5fd396e7026c51dee5e7aa3f3a99eda881117736d77c47ce7033b886a,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed19_remote
static_aggressive,43,warm_2_4s,2000.0,4000.0,87.68947358465589,315,327,96.3302752293578,94,103,91.2621359223301,221,224,98.66071428571429,68.50152905198777,32,157.5,327,316,158.0,85.41493769425172,23680.98967105315,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,e338e003b494688d6564e9098e5c93cc28c4114d35cfcdf1811435a2d3648180,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed43_local
static_aggressive,43,long_2_20s,2000.0,20000.0,87.26320999045114,2756,2963,93.01383732703341,823,972,84.67078189300412,1933,1991,97.08689100954294,67.19541005737429,32,153.11111111111111,2963,2760,153.33333333333334,85.41493769425172,23680.98967105315,True,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,e338e003b494688d6564e9098e5c93cc28c4114d35cfcdf1811435a2d3648180,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed43_local
static_aggressive,43,full_population,0.0,23680.98967105315,85.41493769425065,3561,3840,92.734375,1087,1280,84.921875,2474,2560,96.640625,66.66666666666667,0,150.3737829146916,3840,3561,150.3737829146916,85.41493769425172,23680.98967105315,False,c34354dcaf9030d111d599ad79339791c08d02878c257ec1107c183afe016029,e338e003b494688d6564e9098e5c93cc28c4114d35cfcdf1811435a2d3648180,new_full_run,results/baseline_ab128_32_ratio12_20260912/slo_routing_ssu3_20260915/runs/static_aggressive_seed43_local
