scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,7000010,7,80,256,SS,2964.9199869144604,3136.364842716482,171.44485580202172,32.085964974046185,5.343297480399941
full,od_baseline,7,7000011,7,80,4096,SL,3136.364842716482,3641.7983113299138,505.4334686134316,486.44082678401566,1.0390440949518591
full,od_baseline,7,7000012,7,160,256,LS,3641.7983113299138,3988.9573464753844,347.1590351454706,58.92951067026337,5.891089730711981
full,od_baseline,7,7000013,7,200,1024,LL,3988.9573464753844,4456.255199985415,467.29785351003056,283.5436075005082,1.6480634412087496
full,od_baseline,7,8000007,8,64,256,SS,2176.625726994529,2305.0791826798372,128.4534556853082,26.717256165257165,4.807883522573238
full,od_baseline,7,8000008,8,80,256,SS,2305.0791826798372,2476.630879703787,171.5516970239496,32.085964974046185,5.34662732327717
full,od_baseline,7,8000009,8,200,1024,LL,2476.630879703787,2976.3427328467433,499.71185314295644,283.5436075005082,1.7623809527854046
full,od_baseline,7,8000010,8,200,1024,LL,2976.3427328467433,3466.9292044043605,490.5864715576172,283.5436075005082,1.7301976083405017
full,od_baseline,7,8000011,8,32,256,SS,3466.9292044043605,3534.9260701989033,67.99686579454283,15.979837567787547,4.25516626849901
full,od_baseline,7,8000012,8,64,256,SS,3534.9260701989033,3691.4634837296417,156.53741353073838,26.717256165257165,5.859037790501031
full,od_baseline,7,8000013,8,128,256,LS,3691.4634837296417,4010.7360493171436,319.27256558750196,48.19209238871334,6.624999035366144
full,od_baseline,7,9000005,9,80,256,SS,2076.5215904127786,2212.3855557047636,135.8639652919851,32.085964974046185,4.234373670914471
full,od_baseline,7,9000006,9,80,1024,SL,2212.3855557047636,2390.8645953638184,178.4790396590547,122.48236916054397,1.4571814774836125
full,od_baseline,7,9000007,9,160,256,LS,2390.8645953638184,2721.6687569978453,330.80416163402697,58.92951067026337,5.61355690674274
full,od_baseline,7,9000008,9,64,4096,SL,2721.6687569978453,3134.69179772262,413.02304072477455,400.5413596855101,1.0311620279340556
full,od_baseline,7,9000009,9,160,4096,LL,3134.69179772262,4050.629172153329,915.937374430709,915.9373744307104,1.0
full,od_baseline,7,10000005,10,200,256,LS,2328.2044879005707,2736.707074402444,408.50258650187334,72.35128428205302,5.646100004381039
full,od_baseline,7,10000006,10,200,1024,LL,2736.707074402444,3245.875127255923,509.1680528534789,283.5436075005082,1.795731024733352
full,od_baseline,7,10000007,10,128,256,LS,3245.875127255923,3520.388759278081,274.51363202215816,48.19209238871334,5.696238084205899
full,od_baseline,7,10000008,10,128,4096,LL,3520.388759278081,4296.982200666685,776.5934413886034,744.1386016188327,1.0436139715090267
full,od_baseline,7,11000012,11,32,1024,SL,2908.024953068404,2979.4688115839626,71.44385851555853,58.057852632638046,1.2305632274693423
full,od_baseline,7,11000013,11,128,2048,LL,2979.4688115839626,3383.2993391279174,403.83052754395476,372.6508694745985,1.0836698921790162
full,od_baseline,7,11000014,11,200,1024,LL,3383.2993391279174,3836.0114645361964,452.712125408279,283.5436075005082,1.5966225773842129
full,od_baseline,7,11000015,11,32,2048,SL,3836.0114645361964,3950.964285513196,114.95282097699965,114.952820977,1.0
full,od_baseline,7,11000016,11,160,256,LS,3950.964285513196,4297.631486587689,346.6672010744933,58.92951067026337,5.882743588594335
full,od_baseline,7,12000009,12,200,1024,LL,2024.1413082682402,2477.263119296939,453.12181102869863,283.5436075005082,1.598067454325827
full,od_baseline,7,12000010,12,160,1024,LL,2477.263119296939,2847.590528534424,370.32740923748497,229.85653940820262,1.611124095885825
full,od_baseline,7,12000011,12,32,2048,SL,2847.590528534424,2962.5433495114235,114.95282097699965,114.952820977,1.0
full,od_baseline,7,12000012,12,128,1024,LL,2962.5433495114235,3287.1790725293286,324.6357230179051,186.90687789087698,1.7368848416987588
full,od_baseline,7,12000013,12,64,256,SS,3287.1790725293286,3424.5117320206573,137.33265949132874,26.717256165257165,5.140223181672176
full,od_baseline,7,12000014,12,128,4096,LL,3424.5117320206573,4203.2397300612165,778.7279980405592,744.1386016188327,1.0464824648882334
full,od_baseline,7,13000005,13,80,256,SS,2246.143248737974,2408.640285929373,162.49703719139916,32.085964974046185,5.064427307168114
full,od_baseline,7,13000006,13,128,1024,LL,2408.640285929373,2725.069034589875,316.42874866050215,186.90687789087698,1.692975412307966
full,od_baseline,7,13000007,13,200,256,LS,2725.069034589875,3200.8744785772487,475.80544398737356,72.35128428205302,6.576323401980008
full,od_baseline,7,13000008,13,32,2048,SL,3200.8744785772487,3315.8272995542484,114.95282097699965,114.952820977,1.0
full,od_baseline,7,13000009,13,80,4096,SL,3315.8272995542484,3808.7931691179997,492.9658695637513,486.44082678401566,1.0134138469068774
full,od_baseline,7,13000010,13,160,2048,LL,3808.7931691179997,4267.343350832265,458.55018171426536,458.55018171426593,1.0
full,od_baseline,7,14000008,14,200,4096,LL,2188.0780602359737,3319.9937335060413,1131.9156732700676,1130.6863062355314,1.0010872750715707
full,od_baseline,7,14000009,14,160,1024,LL,3319.9937335060413,3687.1554241643066,367.16169065826534,229.85653940820262,1.5973515115279024
full,od_baseline,7,14000010,14,128,256,LS,3687.1554241643066,3979.8732410896046,292.71781692529794,48.19209238871334,6.073980240663983
full,od_baseline,7,14000011,14,32,4096,SL,3979.8732410896046,4211.143753838141,231.27051274853602,228.74273596704626,1.0110507412215877
full,od_baseline,7,15000006,15,32,256,SS,2109.1258079420754,2166.471990706716,57.346182764640616,15.979837567787547,3.588658678248402
full,od_baseline,7,15000007,15,160,2048,LL,2166.471990706716,2668.049564551179,501.57757384446313,458.55018171426593,1.093833551585001
full,od_baseline,7,15000008,15,64,256,SS,2668.049564551179,2800.902570643704,132.853006092525,26.717256165257165,4.972554264958002
full,od_baseline,7,15000009,15,200,2048,LL,2800.902570643704,3411.159869550554,610.2572989068499,565.9243027292647,1.0783373252637887
full,od_baseline,7,15000010,15,128,256,LS,3411.159869550554,3670.8297382819874,259.6698687314333,48.19209238871334,5.388225658204631
full,od_baseline,7,15000011,15,200,256,LS,3670.8297382819874,4151.843311682718,481.0135734007308,72.35128428205302,6.648307326868666
full,od_baseline,7,16000011,16,200,1024,LL,2407.952853559343,2853.6677908301417,445.7149372707986,283.5436075005082,1.5719449336201303
full,od_baseline,7,16000012,16,64,1024,SL,2853.6677908301417,2999.76748292351,146.0996920933685,101.00752608339441,1.4464238236341402
full,od_baseline,7,16000013,16,160,256,LS,2999.76748292351,3387.1934304597594,387.42594753624917,58.92951067026337,6.574396140909236
full,od_baseline,7,16000014,16,32,2048,SL,3387.1934304597594,3503.8554325736795,116.66200211392015,114.952820977,1.0148685445245587
full,od_baseline,7,16000015,16,32,256,SS,3503.8554325736795,3574.575652108083,70.72021953440344,15.979837567787547,4.4255906378524505
full,od_baseline,7,16000016,16,64,1024,SL,3574.575652108083,3738.871944593432,164.2962924853491,101.00752608339441,1.6265747598817724
full,od_baseline,7,16000017,16,160,256,LS,3738.871944593432,4117.578257119916,378.706312526484,58.92951067026337,6.4264289355042
full,od_baseline,7,17000009,17,200,1024,LL,2192.9382823858427,2644.493062436587,451.5547800507443,283.5436075005082,1.592540858287327
full,od_baseline,7,17000010,17,32,1024,SL,2644.493062436587,2707.2466741327908,62.753611696203734,58.057852632638046,1.080880687979939
full,od_baseline,7,17000011,17,64,2048,SL,2707.2466741327908,2920.693651931158,213.44697779836724,200.85214333740902,1.062706995562404
full,od_baseline,7,17000012,17,64,1024,SL,2920.693651931158,3052.823818372729,132.13016644157096,101.00752608339441,1.3081219941223083
full,od_baseline,7,17000013,17,200,256,LS,3052.823818372729,3475.5975315557644,422.7737131830354,72.35128428205302,5.84334773567946
full,od_baseline,7,17000014,17,200,256,LS,3475.5975315557644,3927.9611179815456,452.36358642578125,72.35128428205302,6.252322829022561
full,od_baseline,7,17000015,17,64,256,SS,3927.9611179815456,4067.2344340470245,139.27331606547887,26.717256165257165,5.2128600034380925
full,od_baseline,7,18000011,18,128,256,LS,2550.3443748366067,2826.842082642339,276.49770780573226,48.19209238871334,5.737408236511607
full,od_baseline,7,18000012,18,64,256,SS,2826.842082642339,2974.74557296304,147.90349032070117,26.717256165257165,5.535878737167377
full,od_baseline,7,18000013,18,128,2048,LL,2974.74557296304,3383.689582658191,408.9440096951507,372.6508694745985,1.0973918034103127
full,od_baseline,7,18000014,18,160,1024,LL,3383.689582658191,3750.8616314396972,367.1720487815064,229.85653940820262,1.5973965749542802
full,od_baseline,7,18000015,18,128,256,LS,3750.8616314396972,4023.769343994878,272.90771255518075,48.19209238871334,5.662914785976302
full,od_baseline,7,19000006,19,80,1024,SL,2015.7744494034696,2169.1559161645996,153.38146676113,122.48236916054397,1.2522738400012903
full,od_baseline,7,19000007,19,32,2048,SL,2169.1559161645996,2284.1087371415992,114.95282097699965,114.952820977,1.0
full,od_baseline,7,19000008,19,128,2048,LL,2284.1087371415992,2677.390654533191,393.28191739159183,372.6508694745985,1.0553629405080447
full,od_baseline,7,19000009,19,200,1024,LL,2677.390654533191,3115.2778219580714,437.8871674248803,283.5436075005082,1.544337998958751
full,od_baseline,7,19000010,19,80,2048,SL,3115.2778219580714,3359.0796823088886,243.80186035081715,243.80186035081854,1.0
full,od_baseline,7,19000011,19,160,1024,LL,3359.0796823088886,3722.096906708252,363.0172243993634,229.85653940820262,1.5793208465332391
full,od_baseline,7,19000012,19,64,2048,SL,3722.096906708252,3922.94905004566,200.85214333740805,200.85214333740902,1.0
full,od_baseline,7,19000013,19,80,256,SS,3922.94905004566,4089.05840045574,166.10935041007997,32.085964974046185,5.1770096534245775
full,od_baseline,7,20000008,20,80,256,SS,2100.7943927678225,2260.7338917887478,159.93949902092527,32.085964974046185,4.984718369863513
full,od_baseline,7,20000009,20,32,4096,SL,2260.7338917887478,2493.023178886969,232.2892870982214,228.74273596704626,1.0155045410127737
full,od_baseline,7,20000010,20,32,1024,SL,2493.023178886969,2562.676132750955,69.65295386398566,58.057852632638046,1.1997163295844886
full,od_baseline,7,20000011,20,32,256,SS,2562.676132750955,2634.495772347341,71.81963959638597,15.979837567787547,4.494391090755599
full,od_baseline,7,20000012,20,32,256,SS,2634.495772347341,2709.1959371422627,74.70016479492188,15.979837567787547,4.6746510706406585
full,od_baseline,7,20000013,20,80,256,SS,2709.1959371422627,2897.657491031912,188.46155388964917,32.085964974046185,5.873644568336737
full,od_baseline,7,20000014,20,64,1024,SL,2897.657491031912,3059.533489393237,161.87599836132495,101.00752608339441,1.6026132372322035
full,od_baseline,7,20000015,20,80,1024,SL,3059.533489393237,3259.0222728784665,199.48878348522976,122.48236916054397,1.628714278246443
full,od_baseline,7,20000016,20,128,256,LS,3259.0222728784665,3556.3121448981983,297.2898720197318,48.19209238871334,6.1688517199422845
full,od_baseline,7,20000017,20,32,2048,SL,3556.3121448981983,3674.573229717234,118.26108481903566,114.952820977,1.0287793184535905
full,od_baseline,7,20000018,20,200,4096,LL,3674.573229717234,4850.424055063658,1175.8508253464238,1130.6863062355314,1.0399443407617286
full,od_baseline,7,21000006,21,32,1024,SL,2136.1849189150707,2202.8001629999785,66.61524408490777,58.057852632638046,1.1473942122251188
full,od_baseline,7,21000007,21,128,256,LS,2202.8001629999785,2488.433703223394,285.63354022341537,48.19209238871334,5.92697942889716
full,od_baseline,7,21000008,21,64,1024,SL,2488.433703223394,2644.884951893237,156.45124866984315,101.00752608339441,1.5489068462153304
full,od_baseline,7,21000009,21,200,256,LS,2644.884951893237,3125.1126835333034,480.2277316400664,72.35128428205302,6.637445850552629
full,od_baseline,7,21000010,21,32,256,SS,3125.1126835333034,3197.9066220543723,72.79393852106887,15.979837567787547,4.555361605665394
full,od_baseline,7,21000011,21,160,4096,LL,3197.9066220543723,4156.917646452193,959.0110243978211,915.9373744307104,1.047026850491697
full,od_baseline,7,22000007,22,80,256,SS,2182.8625503837525,2331.254574259451,148.39202387569867,32.085964974046185,4.6248265868185845
full,od_baseline,7,22000008,22,80,4096,SL,2331.254574259451,2835.6935512957343,504.4389770362832,486.44082678401566,1.0369996703838735
full,od_baseline,7,22000009,22,128,1024,LL,2835.6935512957343,3119.3199043408517,283.6263530451174,186.90687789087698,1.5174741360278285
full,od_baseline,7,22000010,22,160,1024,LL,3119.3199043408517,3497.925077484619,378.6051731437674,229.85653940820262,1.6471368363873338
full,od_baseline,7,22000011,22,160,256,LS,3497.925077484619,3870.180643594525,372.2555661099059,58.92951067026337,6.316963468317939
full,od_baseline,7,22000012,22,160,2048,LL,3870.180643594525,4368.181271606843,498.00062801231843,458.55018171426593,1.0860329967607232
full,od_baseline,7,23000009,23,32,1024,SL,2529.624911664812,2593.274582457986,63.64967079317421,58.057852632638046,1.0963145880699117
full,od_baseline,7,23000010,23,160,256,LS,2593.274582457986,2941.0401711824156,347.76558872442956,58.92951067026337,5.901382597088436
full,od_baseline,7,23000011,23,128,4096,LL,2941.0401711824156,3713.2659988844584,772.2258277020428,744.1386016188327,1.0377446164224082
full,od_baseline,7,23000012,23,80,2048,SL,3713.2659988844584,3957.0678592352756,243.80186035081715,243.80186035081854,1.0
full,od_baseline,7,23000013,23,128,2048,LL,3957.0678592352756,4339.8659590009665,382.79809976569095,372.6508694745985,1.027229858085127
