scenario,policy,SLO_multiple,CDF_percent
full,od_baseline,1.5920939509164018,45.90277143292219
full,od_baseline,1.592540858287327,46.06943809958886
full,od_baseline,1.5930613811342114,46.24769121901844
full,od_baseline,1.5931262413363918,46.415195406623134
full,od_baseline,1.5960743859914603,46.582699594227826
full,od_baseline,1.5966225773842129,46.74936626089449
full,od_baseline,1.5973515115279024,46.91603292756116
full,od_baseline,1.5973965749542802,47.082699594227826
full,od_baseline,1.598067454325827,47.24936626089449
full,od_baseline,1.6026132372322035,47.41603292756116
full,od_baseline,1.6028333321049204,47.594286046990746
full,od_baseline,1.6028846276932918,47.76095271365742
full,od_baseline,1.6087508020102501,47.92845690126211
full,od_baseline,1.6098761905637191,48.095961088866794
full,od_baseline,1.6109228497034986,48.262627755533465
full,od_baseline,1.611124095885825,48.42929442220012
full,od_baseline,1.6132889155032053,48.595961088866794
full,od_baseline,1.6164256606323775,48.763465276471486
full,od_baseline,1.6188436554381087,48.93096946407618
full,od_baseline,1.6226952934853138,49.09847365168087
full,od_baseline,1.6257200607291566,49.27672677111046
full,od_baseline,1.6265747598817724,49.443393437777125
full,od_baseline,1.6279330756253518,49.62164655720671
full,od_baseline,1.628714278246443,49.788313223873374
full,od_baseline,1.6311476321587528,49.966566343302965
full,od_baseline,1.633658861541527,50.133233009969636
full,od_baseline,1.6340998542888054,50.30073719757432
full,od_baseline,1.6382706329932857,50.46824138517901
full,od_baseline,1.638590562448879,50.63490805184567
full,od_baseline,1.6395624737859813,50.80157471851234
full,od_baseline,1.6471368363873338,50.96824138517901
full,od_baseline,1.6480634412087496,51.13490805184567
full,od_baseline,1.6508731579986244,51.30241223945037
full,od_baseline,1.6510380511396539,51.46907890611704
full,od_baseline,1.6552596566627549,51.63574557278371
full,od_baseline,1.6557628232796715,51.81399869221329
full,od_baseline,1.656088581571919,51.99225181164289
full,od_baseline,1.6569489118184384,52.15975599924757
full,od_baseline,1.657701494656615,52.327260186852264
full,od_baseline,1.661236166581161,52.493926853518936
full,od_baseline,1.667036135149573,52.66143104112363
full,od_baseline,1.6714970285923851,52.82893522872831
full,od_baseline,1.6722529960036818,53.00718834815791
full,od_baseline,1.672353821553352,53.18544146758749
full,od_baseline,1.6789232866759807,53.363694587017086
full,od_baseline,1.68454396035212,53.54194770644668
full,od_baseline,1.692975412307966,53.70861437311334
full,od_baseline,1.70034346872321,53.88686749254292
full,od_baseline,1.705078315435423,54.05353415920958
full,od_baseline,1.7066274013221259,54.22103834681429
full,od_baseline,1.7141043583701014,54.39929146624388
full,od_baseline,1.7147504447666213,54.56595813291054
full,od_baseline,1.716540668279771,54.73346232051522
full,od_baseline,1.7173527968412403,54.91171543994482
full,od_baseline,1.7301812066199582,55.079219627549506
full,od_baseline,1.7301976083405017,55.245886294216184
full,od_baseline,1.7368848416987588,55.41255296088284
full,od_baseline,1.7397437112940315,55.59080608031244
full,od_baseline,1.7518937051907544,55.7574727469791
full,od_baseline,1.752582764996171,55.92497693458379
full,od_baseline,1.7600875987348392,56.10323005401337
full,od_baseline,1.7618238509663293,56.27073424161807
full,od_baseline,1.7623809527854046,56.437400908284744
full,od_baseline,1.7699579631607996,56.61565402771432
full,od_baseline,1.7719498425610332,56.78315821531902
full,od_baseline,1.7909610105859184,56.96141133474861
full,od_baseline,1.7910151636210705,57.128078001415275
full,od_baseline,1.795731024733352,57.29474466808194
full,od_baseline,1.8142302265732846,57.461411334748604
full,od_baseline,2.0,57.461411334748604
full,od_baseline,3.588658678248402,57.628078001415275
full,od_baseline,3.6475299030646493,57.80633112084487
full,od_baseline,3.784529142971267,57.98458424027445
full,od_baseline,3.9324110086428465,58.15208842787914
full,od_baseline,3.9716244688407336,58.318755094545814
full,od_baseline,3.9770578984558584,58.4862592821505
full,od_baseline,4.043224658759007,58.66451240158009
full,od_baseline,4.045678068690378,58.842765521009675
full,od_baseline,4.062693620815816,59.01026970861437
full,od_baseline,4.069125149043613,59.177773896219065
full,od_baseline,4.109652770445076,59.34444056288574
full,od_baseline,4.148782079007436,59.511107229552394
full,od_baseline,4.157262212722439,59.68936034898199
full,od_baseline,4.169414867891357,59.85602701564865
full,od_baseline,4.219340661660441,60.023531203253334
full,od_baseline,4.228347255639507,60.19103539085804
full,od_baseline,4.234373670914471,60.3577020575247
full,od_baseline,4.25516626849901,60.52436872419137
full,od_baseline,4.291162236960939,60.70262184362095
full,od_baseline,4.315375562126676,60.870126031225645
full,od_baseline,4.325253914190719,61.037630218830344
full,od_baseline,4.391131626695471,61.20429688549701
full,od_baseline,4.4255906378524505,61.37096355216367
full,od_baseline,4.441648636130137,61.53846773976836
full,od_baseline,4.445811692481892,61.71672085919795
full,od_baseline,4.452194668947382,61.884225046802634
full,od_baseline,4.467399763974554,62.062478166232225
full,od_baseline,4.494391090755599,62.22914483289891
full,od_baseline,4.50015053480576,62.39664902050359
full,od_baseline,4.501470689427903,62.56415320810827
full,od_baseline,4.555361605665394,62.730819874774944
full,od_baseline,4.602901551466234,62.89832406237964
full,od_baseline,4.614400598853436,63.065828249984335
full,od_baseline,4.6248265868185845,63.23249491665099
full,od_baseline,4.645559391598695,63.39916158331766
