regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio,category,seq_len_k,miss_tokens
full,baseline,19,2000012,2,3454.6217361747686,3724.429377039721,101.00752608339441,2.6711637372663946,False,False,2.6711637372663946,SL,64,1024
full,baseline,19,2000013,2,3724.429377039721,3985.4845087052277,26.717256165257165,9.771030754459725,False,False,9.771030754459725,SS,64,256
full,baseline,19,2000014,2,3985.4845087052277,4209.932445716946,26.717256165257165,8.400860313776832,False,True,8.400860313776832,SS,64,256
full,baseline,19,3000008,3,2227.3231899676093,2479.4706691105957,229.85653940820262,1.0969776182664843,True,False,1.0969776182664843,LL,160,1024
full,baseline,19,3000009,3,2479.4706691105957,2773.468428506114,283.5436075005082,1.0368696440987168,True,False,1.0368696440987168,LL,200,1024
full,baseline,19,3000010,3,2773.468428506114,3041.0287787878733,228.74273596704626,1.1696998776840082,True,False,1.1696998776840082,SL,32,4096
full,baseline,19,3000011,3,3041.0287787878733,3228.4801378800325,26.717256165257165,7.016115649477471,False,False,7.016115649477471,SS,64,256
full,baseline,19,3000012,3,3228.4801378800325,3624.4705800703005,372.6508694745985,1.0626312042383692,True,False,1.0626312042383692,LL,128,2048
full,baseline,19,3000013,3,3624.4705800703005,3905.3165637883303,229.85653940820262,1.2218316017508424,True,False,1.2218316017508424,LL,160,1024
full,baseline,19,3000014,3,3905.3165637883303,4827.089055241256,915.9373744307104,1.0063706506417447,True,True,1.0063706506417447,LL,160,4096
full,baseline,19,4000007,4,2017.125615174954,2237.590790756891,114.952820977,1.9178752962143308,False,False,1.9178752962143308,SL,32,2048
full,baseline,19,4000008,4,2237.590790756891,2474.2653450572993,101.00752608339441,2.3431378183146863,False,False,2.3431378183146863,SL,64,1024
full,baseline,19,4000009,4,2474.2653450572993,3414.9939997969195,915.9373744307104,1.0270665669957169,True,False,1.0270665669957169,LL,160,4096
full,baseline,19,4000010,4,3414.9939997969195,3665.8709942988066,58.057852632638046,4.321155246462785,False,False,4.321155246462785,SL,32,1024
full,baseline,19,4000011,4,3665.8709942988066,3946.3029209147244,32.085964974046185,8.74001847358353,False,False,8.74001847358353,SS,80,256
full,baseline,19,4000012,4,3946.3029209147244,4201.8194664216735,58.92951067026337,4.335969238514078,False,True,4.335969238514078,LS,160,256
full,baseline,19,5000008,5,2728.097508610397,2977.33846104363,15.979837567787547,15.597214388189867,False,False,15.597214388189867,SS,32,256
full,baseline,19,5000009,5,2977.33846104363,3206.624987903979,101.00752608339441,2.2699944821046727,False,False,2.2699944821046727,SL,64,1024
full,baseline,19,5000010,5,3206.624987903979,3455.3908718024954,48.19209238871334,5.161964786504633,False,False,5.161964786504633,LS,128,256
full,baseline,19,5000011,5,3455.3908718024954,3756.492952041791,58.92951067026337,5.109529619617827,False,False,5.109529619617827,LS,160,256
full,baseline,19,5000012,5,3756.492952041791,4078.216593901558,283.5436075005082,1.1346531304155414,True,True,1.1346531304155414,LL,200,1024
full,baseline,19,6000009,6,2212.0783586398325,2498.0397859917202,283.5436075005082,1.008527153451609,True,False,1.008527153451609,LL,200,1024
full,baseline,19,6000010,6,2498.0397859917202,2729.59941261308,58.92951067026337,3.929434064318607,False,False,3.929434064318607,LS,160,256
full,baseline,19,6000011,6,2729.59941261308,3035.751669213774,243.80186035081854,1.2557420856434676,True,False,1.2557420856434676,SL,80,2048
full,baseline,19,6000012,6,3035.751669213774,3216.2760388544707,58.057852632638046,3.1093876444753685,False,False,3.1093876444753685,SL,32,1024
full,baseline,19,6000013,6,3216.2760388544707,3496.5958904180693,72.35128428205302,3.874428136904999,False,False,3.874428136904999,LS,200,256
full,baseline,19,6000014,6,3496.5958904180693,3771.817704209039,114.952820977,2.394215395949586,False,False,2.394215395949586,SL,32,2048
full,baseline,19,6000015,6,3771.817704209039,4023.23544654949,32.085964974046185,7.835754434807197,False,True,7.835754434807197,SS,80,256
full,baseline,19,7000005,7,2125.092693766287,2374.757088747607,122.48236916054397,2.038370066585437,False,False,2.038370066585437,SL,80,1024
full,baseline,19,7000006,7,2374.757088747607,2793.6892478691043,400.5413596855101,1.0459148574579833,True,False,1.0459148574579833,SL,64,4096
full,baseline,19,7000007,7,2793.6892478691043,3046.267360878079,26.717256165257165,9.453744480596207,False,False,9.453744480596207,SS,64,256
full,baseline,19,7000008,7,3046.267360878079,3534.0142251957104,458.55018171426593,1.0636717283465356,True,False,1.0636717283465356,LL,160,2048
full,baseline,19,7000009,7,3534.0142251957104,3785.953997412847,48.19209238871334,5.2278238966055195,False,False,5.2278238966055195,LS,128,256
full,baseline,19,7000010,7,3785.953997412847,4062.6049125886657,58.92951067026337,4.69460737123379,False,True,4.69460737123379,LS,160,256
full,baseline,19,8000005,8,2408.5019314226874,2668.6724818547364,229.85653940820262,1.131882308425481,True,False,1.131882308425481,LL,160,1024
full,baseline,19,8000006,8,2668.6724818547364,2924.7771633064017,48.19209238871334,5.314246980312592,False,False,5.314246980312592,LS,128,256
full,baseline,19,8000007,8,2924.7771633064017,3174.9578418237793,122.48236916054397,2.042585232732173,False,False,2.042585232732173,SL,80,1024
full,baseline,19,8000008,8,3174.9578418237793,3404.5318164331543,122.48236916054397,1.8743430273500061,False,False,1.8743430273500061,SL,80,1024
full,baseline,19,8000009,8,3404.5318164331543,3692.340548817065,101.00752608339441,2.849379086329553,False,False,2.849379086329553,SL,64,1024
full,baseline,19,8000010,8,3692.340548817065,3974.187477896283,58.92951067026337,4.782780747260498,False,False,4.782780747260498,LS,160,256
full,baseline,19,8000011,8,3974.187477896283,4196.223325032887,15.979837567787547,13.894749943152638,False,True,13.894749943152638,SS,32,256
full,baseline,19,9000008,9,2156.986135604177,2410.353173342334,122.48236916054397,2.068600072603556,False,False,2.068600072603556,SL,80,1024
full,baseline,19,9000009,9,2410.353173342334,2657.827090064214,48.19209238871334,5.135156090044332,False,False,5.135156090044332,LS,128,256
full,baseline,19,9000010,9,2657.827090064214,2954.488490253938,186.90687789087698,1.587214999990131,False,False,1.587214999990131,LL,128,1024
full,baseline,19,9000011,9,2954.488490253938,3709.86532515399,744.1386016188327,1.0151023388072749,True,False,1.0151023388072749,LL,128,4096
full,baseline,19,9000012,9,3709.86532515399,4005.105884287173,283.5436075005082,1.0412527432227647,True,True,1.0412527432227647,LL,200,1024
full,baseline,19,10000007,10,2097.928575210736,2308.628841837576,32.085964974046185,6.56674239959035,False,False,6.56674239959035,SS,80,256
full,baseline,19,10000008,10,2308.628841837576,2584.7149920782254,72.35128428205302,3.8159122257506812,False,False,3.8159122257506812,LS,200,256
full,baseline,19,10000009,10,2584.7149920782254,2832.8487291886263,26.717256165257165,9.28739596519913,False,False,9.28739596519913,SS,64,256
full,baseline,19,10000010,10,2832.8487291886263,3102.093299596658,58.057852632638046,4.637522026721881,False,False,4.637522026721881,SL,32,1024
full,baseline,19,10000011,10,3102.093299596658,3335.379603535188,186.90687789087698,1.24814189060892,True,False,1.24814189060892,LL,128,1024
full,baseline,19,10000012,10,3335.379603535188,3611.7032947046387,122.48236916054397,2.2560283007528947,False,False,2.2560283007528947,SL,80,1024
full,baseline,19,10000013,10,3611.7032947046387,3914.9291431340334,229.85653940820262,1.3191960916582646,True,False,1.3191960916582646,LL,160,1024
full,baseline,19,10000014,10,3914.9291431340334,4164.658973587678,228.74273596704626,1.0917497746884588,True,True,1.0917497746884588,SL,32,4096
full,baseline,19,11000007,11,2125.576037207769,2358.8598427379634,101.00752608339441,2.3095685497493466,False,False,2.3095685497493466,SL,64,1024
full,baseline,19,11000008,11,2358.8598427379634,2609.5259180933103,122.48236916054397,2.046548226273987,False,False,2.046548226273987,SL,80,1024
full,baseline,19,11000009,11,2609.5259180933103,2851.6724911949973,15.979837567787547,15.153256225195337,False,False,15.153256225195337,SS,32,256
full,baseline,19,11000010,11,2851.6724911949973,3175.6140668361923,283.5436075005082,1.1424753268000034,True,False,1.1424753268000034,LL,200,1024
full,baseline,19,11000011,11,3175.6140668361923,3404.843342200296,72.35128428205302,3.168282051089516,False,False,3.168282051089516,LS,200,256
full,baseline,19,11000012,11,3404.843342200296,3702.4699138555693,72.35128428205302,4.113632185090331,False,False,4.113632185090331,LS,200,256
full,baseline,19,11000013,11,3702.4699138555693,4010.426250775635,229.85653940820262,1.3397762696373205,True,True,1.3397762696373205,LL,160,1024
