group,strategy,seed,npu,U_percent,active_ms,A_compute_ms,B_compute_ms
R32_A200_B10,asu_baseline,19,19,97.05837956546343,2000.0,1762.9302607389463,178.23733057032223
R32_A200_B10,asu_baseline,19,20,96.9530463627169,2000.0,1716.2642640414351,222.79666321290279
R32_A200_B10,asu_baseline,19,21,98.18483328338708,2000.0,1813.3885876666145,150.3080780011269
R32_A200_B10,asu_baseline,19,22,97.47548806862405,2000.0,1711.859987278718,237.64977409376297
R32_A200_B10,asu_baseline,19,23,98.4079611622487,2000.0,1893.893668840673,74.26555440430093
R32_A200_B10,asu_baseline,19,24,99.77005045203454,2000.0,1965.6947872789706,29.70622176172037
R32_A200_B10,asu_baseline,19,25,98.24709978522769,2000.0,1860.9702195385325,103.9717761660213
R32_A200_B10,asu_baseline,19,26,98.3556985014718,2000.0,1818.5828612208343,148.53110880860186
R32_A200_B10,asu_baseline,19,27,96.88740933783639,2000.0,1640.6859691395239,297.0622176172037
R32_A200_B10,asu_baseline,19,28,99.18129308609164,2000.0,1909.3603073175318,74.26555440430093
R32_A200_B10,asu_baseline,19,29,99.74066863305734,2000.0,1945.8057133463935,49.007659314753255
R32_A200_B10,asu_baseline,19,30,96.18472701657093,2000.0,1745.4572097610962,178.23733057032223
R32_A200_B10,asu_baseline,19,31,97.80169943743216,2000.0,1822.3559908209018,133.67799792774167
R32_A200_B10,od_baseline,19,0,98.52541223285985,2000.0,1718.0053596825737,252.50288497462316
R32_A200_B10,od_baseline,19,1,99.62003086202303,2000.0,1754.7508431466977,237.64977409376297
R32_A200_B10,od_baseline,19,2,99.59565262131905,2000.0,1887.9412762603597,103.9717761660213
R32_A200_B10,od_baseline,19,3,97.80295179257988,2000.0,1777.8217052812752,178.23733057032223
R32_A200_B10,od_baseline,19,4,98.86404812097076,2000.0,1695.0718556830716,282.20910673634353
R32_A200_B10,od_baseline,19,5,98.65820728850217,2000.0,1809.7799260805814,163.38421968946204
R32_A200_B10,od_baseline,19,6,99.58465127935855,2000.0,1917.4274711828702,74.26555440430093
R32_A200_B10,od_baseline,19,7,99.62003086202303,2000.0,1680.4852887423967,311.9153284980639
R32_A200_B10,od_baseline,19,8,98.31110337633231,2000.0,1847.3971804797648,118.82488704688149
R32_A200_B10,od_baseline,19,9,98.78480212879508,2000.0,1738.0462684821387,237.64977409376297
R32_A200_B10,od_baseline,19,10,99.36875298336076,2000.0,1823.9908399777532,163.38421968946204
R32_A200_B10,od_baseline,19,11,97.08715713635888,2000.0,1822.9182556802962,118.82488704688149
R32_A200_B10,od_baseline,19,12,98.16905932098584,2000.0,1681.1720796833733,282.20910673634353
R32_A200_B10,od_baseline,19,13,99.81001543101151,2000.0,1650.1772954700064,346.02301315022396
R32_A200_B10,od_baseline,19,14,99.33231013601448,2000.0,1942.0868700777091,44.55933264258056
R32_A200_B10,od_baseline,19,15,99.26002278442998,2000.0,1836.6693468799976,148.53110880860186
R32_A200_B10,od_baseline,19,16,99.79528211901184,2000.0,1845.6752794657623,150.23036291447443
R32_A200_B10,od_baseline,19,17,99.23855360789827,2000.0,1969.917961277105,14.853110880860186
R32_A200_B10,od_baseline,19,18,97.98611944128547,2000.0,1603.247727685065,356.47466114064446
R32_A200_B10,od_baseline,19,19,97.33684747259,2000.0,1768.4996188814775,178.23733057032223
R32_A200_B10,od_baseline,19,20,98.03493762475223,2000.0,1737.9020892821418,222.79666321290279
R32_A200_B10,od_baseline,19,21,99.35320860819142,2000.0,1868.0636058652763,119.00056629855226
R32_A200_B10,od_baseline,19,22,99.32231745303439,2000.0,1748.7965749669247,237.64977409376297
R32_A200_B10,od_baseline,19,23,99.57068391935886,2000.0,1917.1481239828763,74.26555440430093
R32_A200_B10,od_baseline,19,24,99.73760575387264,2000.0,1965.0458933157324,29.70622176172037
R32_A200_B10,od_baseline,19,25,98.81290480451862,2000.0,1872.2863199243511,103.9717761660213
R32_A200_B10,od_baseline,19,26,99.59736908019372,2000.0,1843.4162727952726,148.53110880860186
R32_A200_B10,od_baseline,19,27,98.9815489092783,2000.0,1682.5687605683624,297.0622176172037
R32_A200_B10,od_baseline,19,28,99.61775053360921,2000.0,1918.0894562678832,74.26555440430093
R32_A200_B10,od_baseline,19,29,98.80245157602599,2000.0,1931.4896988779392,44.55933264258056
R32_A200_B10,od_baseline,19,30,99.55174290329765,2000.0,1812.7975274956307,178.23733057032223
R32_A200_B10,od_baseline,19,31,99.57469858849922,2000.0,1857.8159738422428,133.67799792774167
R32_A200_B10,once,19,0,99.12090593562529,2000.0,1720.2829852896111,262.1351334228948
R32_A200_B10,once,19,1,99.47157574466186,2000.0,1751.7817407994744,237.64977409376297
R32_A200_B10,once,19,2,99.59030962714893,2000.0,1887.834416376957,103.9717761660213
R32_A200_B10,once,19,3,97.29555556948785,2000.0,1767.6737808194348,178.23733057032223
R32_A200_B10,once,19,4,99.34896366776066,2000.0,1624.3851695287367,362.5941038264764
