group,scenario_kind,strategy,seed,npu,ssu,warm_U_percent,warm_SLO_1p5_percent,warm_slo_passed,warm_slo_count,full_U_percent,full_SLO_1p5_percent,full_slo_passed,full_slo_count,warm_all32_active,warm_mixed_active_npu_count,warm_mixed_compute_npu_count,makespan_ms,input_fingerprint,manifest_sha256,full_ratio_max,warm_missing_compute_A_npu_ids,warm_missing_compute_B_npu_ids,warm_not_continuously_active_npu_ids,warm_nominal_strict_under40,warm_nominal_max_disk_GB_s,warm_nominal_any_disk_over40_percent,warm_internal_pending_strict_under40,warm_internal_pending_max_disk_GB_s,warm_internal_pending_any_disk_over40_percent,warm_A_SLO_1p5_percent,warm_A_slo_passed,warm_A_slo_count,warm_B_SLO_1p5_percent,warm_B_slo_passed,warm_B_slo_count,full_nominal_strict_under40,full_nominal_max_disk_GB_s,full_nominal_any_disk_over40_percent,full_internal_pending_strict_under40,full_internal_pending_max_disk_GB_s,full_internal_pending_any_disk_over40_percent,full_A_SLO_1p5_percent,full_A_slo_passed,full_A_slo_count,full_B_SLO_1p5_percent,full_B_slo_passed,full_B_slo_count
XY12_24,original_five,asu_baseline,19,32,6,100.0,100.0,489,489,99.82366735742104,100.0,2080,2080,True,32,32,7318.972772362465,5fa00811f28b0d2a72bf5b59ca97bc1777a38f4b668ce353f8b4d60e0c057576,ea313cc65dc861bf880122961812cba169ec6b28e4bb271996392a6f3d8af4fa,1.172188774209049,,,,True,23.20522665469794,0.0,True,14.17754867397354,0.0,100.0,54,54,100.0,435,435,True,25.506942370627023,0.0,True,24.183856502442517,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,asu_baseline,43,32,6,99.97132559401946,100.0,605,605,99.86397423027063,100.0,2080,2080,True,31,31,7316.018705020373,4fb4fc4198918f39466a2b851c389208796592d3d45bbe7927741bdc06d91345,396c55b81ec19303f6f6bfc32daaf7c0d6c27eda1b80a0c4545132f27746c877,1.0792299921933457,23,,,True,24.268292608636006,0.0,True,19.180465796664006,0.0,100.0,41,41,100.0,564,564,True,26.02342668469767,0.0,True,24.947474511009727,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,od_baseline,7,32,6,99.99711347450034,100.0,511,511,99.74512102338441,100.0,2080,2080,True,32,32,7324.7362470495955,cbea8ce6aba6562361bd3d52a4070e31988b1df6f2f3466c03379d89f73b76b8,d2891694d3cff18358b76d78bb5598f0bebb8f8cb34bf36628c5837f1a617851,1.1121590486231914,,,,True,22.934524321248578,0.0,True,16.167705646281572,0.0,100.0,47,47,100.0,464,464,True,27.068099538950452,0.0,True,23.683251530540893,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,od_baseline,19,32,6,99.99917889620858,100.0,489,489,99.66219158771177,100.0,2080,2080,True,32,32,7330.831198743329,5fa00811f28b0d2a72bf5b59ca97bc1777a38f4b668ce353f8b4d60e0c057576,ea313cc65dc861bf880122961812cba169ec6b28e4bb271996392a6f3d8af4fa,1.1119630698638914,,,,True,23.13259037870232,0.0,True,12.896837182668857,0.0,100.0,54,54,100.0,435,435,True,25.757071051654748,0.0,True,22.392552831598675,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,od_baseline,43,32,6,99.98027130103456,100.0,605,605,99.78113598672557,100.0,2080,2080,True,31,31,7322.092459676236,4fb4fc4198918f39466a2b851c389208796592d3d45bbe7927741bdc06d91345,396c55b81ec19303f6f6bfc32daaf7c0d6c27eda1b80a0c4545132f27746c877,1.1139349977340145,23,,,True,24.26580075826371,0.0,True,19.26651390104301,0.0,100.0,41,41,100.0,564,564,True,26.033174045660374,0.0,True,23.87319592224057,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,once,7,32,6,100.0,100.0,511,511,99.79179221653412,100.0,2080,2080,True,32,32,7321.310572727452,cbea8ce6aba6562361bd3d52a4070e31988b1df6f2f3466c03379d89f73b76b8,d2891694d3cff18358b76d78bb5598f0bebb8f8cb34bf36628c5837f1a617851,1.177985943627419,,,,True,22.949288049241833,0.0,True,11.404138997868186,0.0,100.0,47,47,100.0,464,464,True,25.980145713872215,0.0,True,23.95075386535864,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,once,19,32,6,99.99513950602812,100.0,489,489,99.65791925946127,100.0,2080,2080,True,32,32,7331.145470980426,5fa00811f28b0d2a72bf5b59ca97bc1777a38f4b668ce353f8b4d60e0c057576,ea313cc65dc861bf880122961812cba169ec6b28e4bb271996392a6f3d8af4fa,1.314552261039646,,,,True,23.348111734718323,0.0,True,8.056275330339114,0.0,100.0,54,54,100.0,435,435,True,25.689119330862198,0.0,True,22.573662641962834,0.0,100.0,160,160,100.0,1920,1920
XY12_24,original_five,once,43,32,6,99.97358986656856,100.0,605,605,99.7150313331985,100.0,2080,2080,True,31,31,7326.946536124577,4fb4fc4198918f39466a2b851c389208796592d3d45bbe7927741bdc06d91345,396c55b81ec19303f6f6bfc32daaf7c0d6c27eda1b80a0c4545132f27746c877,1.1718836412139513,23,,,True,24.408641391372683,0.0,True,18.487234161390667,0.0,100.0,41,41,100.0,564,564,True,25.272718195976797,0.0,True,24.2607741881581,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,asu_baseline,7,32,6,99.98404624445676,100.0,650,650,99.70225944225007,100.0,2080,2080,True,32,32,6065.87222465835,c968b13487acf6a3876cf307cd9d1d53c4cf9a5eb41e9d4095b73cc448a4f74a,56fd95058e9315f31eaefc0cf276991507b8a7b5b7034b90434627d5637d6388,1.08052047713431,,,,True,24.729460373688447,0.0,True,15.02575215029375,0.0,100.0,57,57,100.0,593,593,True,26.92043605532397,0.0,True,26.166765350607825,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,asu_baseline,19,32,6,99.99351145235757,100.0,636,636,99.54771796253384,100.0,2080,2080,True,32,32,6075.2891042067195,5d2d6efb138527c43ebe2de7bfbf7e71344bfb2a74890523302213761148aa70,dd805aedd240bbfab5506c93a2a12d7fbaeebcc3ba17faa5be118f2c84217dd2,1.2235449713187527,,,,True,25.099237600683033,0.0,True,13.502126797409948,0.0,100.0,53,53,100.0,583,583,True,26.144822895980635,0.0,True,25.272006355985432,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,asu_baseline,43,32,6,99.96508242360599,100.0,722,722,99.82170377619138,100.0,2080,2080,True,32,32,6058.613942739314,ad5c03b51663e71cbeec1e3a30d7d1e34911b62b33fe163f448fa058417cde8d,9a1d6a83ca83f53d0f0454a2fb12a00dcfb2edf3666901f859e10110a79df699,1.0799730221464172,,,,True,25.640643447390666,0.0,True,20.645521871929063,0.0,100.0,52,52,100.0,670,670,True,26.62839022219684,0.0,True,25.384551980337502,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,od_baseline,7,32,6,99.98811301986873,100.0,649,649,99.68109658437709,100.0,2080,2080,True,32,32,6067.160043474203,c968b13487acf6a3876cf307cd9d1d53c4cf9a5eb41e9d4095b73cc448a4f74a,56fd95058e9315f31eaefc0cf276991507b8a7b5b7034b90434627d5637d6388,1.1250630707207556,,,,True,25.072769449146335,0.0,True,15.568166842907528,0.0,100.0,57,57,100.0,592,592,True,27.120699682674406,0.0,True,24.335783614832426,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,od_baseline,19,32,6,99.97551290173574,100.0,639,639,99.62267750621609,100.0,2080,2080,True,32,32,6070.717846834515,5d2d6efb138527c43ebe2de7bfbf7e71344bfb2a74890523302213761148aa70,dd805aedd240bbfab5506c93a2a12d7fbaeebcc3ba17faa5be118f2c84217dd2,1.125001605879772,,,,True,25.10526214674399,0.0,True,12.578354601393848,0.0,100.0,52,52,100.0,587,587,True,26.23536207080277,0.0,True,23.297979172102583,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,od_baseline,43,32,6,99.96726884467677,100.0,722,722,99.71173622028492,100.0,2080,2080,True,32,32,6065.295713539012,ad5c03b51663e71cbeec1e3a30d7d1e34911b62b33fe163f448fa058417cde8d,9a1d6a83ca83f53d0f0454a2fb12a00dcfb2edf3666901f859e10110a79df699,1.1259263723509354,,,,True,25.939193883573235,0.0,True,16.101381240575993,0.0,100.0,52,52,100.0,670,670,True,26.81697249964767,0.0,True,24.080807154839025,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,once,7,32,6,99.97959533530515,100.0,646,646,99.62693795780226,100.0,2080,2080,True,32,32,6070.4582383389625,c968b13487acf6a3876cf307cd9d1d53c4cf9a5eb41e9d4095b73cc448a4f74a,56fd95058e9315f31eaefc0cf276991507b8a7b5b7034b90434627d5637d6388,1.1663674438617817,,,,True,25.248777935187587,0.0,True,10.783779845789107,0.0,100.0,56,56,100.0,590,590,True,26.92043605532397,0.0,True,24.564656331804347,0.0,100.0,160,160,100.0,1920,1920
XY12_20,original_five,once,19,32,6,99.97797192737025,100.0,637,637,99.56604864138595,100.0,2080,2080,True,32,32,6074.17060874544,5d2d6efb138527c43ebe2de7bfbf7e71344bfb2a74890523302213761148aa70,dd805aedd240bbfab5506c93a2a12d7fbaeebcc3ba17faa5be118f2c84217dd2,1.3731001752917387,,,,True,24.966263782466555,0.0,True,10.712321494596544,0.0,100.0,53,53,100.0,584,584,True,25.920662084966374,0.0,True,25.27200635598544,0.0,100.0,160,160,100.0,1920,1920
