group,strategy,seed,window,demand_kind,ssu,peak_GB_s,mean_GB_s,over40_percent,strictly_under40
R32_A200_B10,od_baseline,19,full,ordinary_pending_demand,0,63.580873230870644,6.87843111101988,1.8142453699912846,False
R32_A200_B10,od_baseline,19,full,ordinary_pending_demand,1,68.33730496875256,7.64837482463731,3.0637046723508496,False
R32_A200_B10,od_baseline,19,full,ordinary_pending_demand,2,67.26953457861579,7.439173076115497,2.784650092373956,False
R32_A200_B10,once,19,warm,ordinary_demand,0,40.23298356420304,25.49637529353462,0.07005207999845879,False
R32_A200_B10,once,19,warm,ordinary_demand,1,43.07543258873224,27.846128575740533,3.0674318659777784,False
R32_A200_B10,once,19,warm,ordinary_demand,2,42.807815035331764,27.293731496219085,1.7006401691847257,False
R32_A200_B10,once,19,warm,ordinary_pending_demand,0,26.755952565640435,3.4575604443665915,0.0,True
R32_A200_B10,once,19,warm,ordinary_pending_demand,1,27.767457645498418,3.76643238182517,0.0,True
R32_A200_B10,once,19,warm,ordinary_pending_demand,2,26.854134293122474,3.649779405329362,0.0,True
R32_A200_B10,once,19,full,ordinary_demand,0,68.3843451891147,28.334672037915194,9.179899570013337,False
R32_A200_B10,once,19,full,ordinary_demand,1,72.13532995915931,30.95451932743534,14.921683489347382,False
R32_A200_B10,once,19,full,ordinary_demand,2,70.60659601041314,30.333492541930003,13.220289010345612,False
R32_A200_B10,once,19,full,ordinary_pending_demand,0,66.83122462164305,6.1686908445725,1.3192307951493787,False
R32_A200_B10,once,19,full,ordinary_pending_demand,1,71.74704981729137,6.818111053461007,1.6181455720458777,False
R32_A200_B10,once,19,full,ordinary_pending_demand,2,70.60659601041317,6.633151131741115,1.6612610489567894,False
R32_A200_B10,asu_baseline,43,warm,ordinary_demand,0,47.73317830468468,28.491091563898895,9.824409365297287,False
R32_A200_B10,asu_baseline,43,warm,ordinary_demand,1,50.63317242965685,31.51043782289188,15.80398123114501,False
R32_A200_B10,asu_baseline,43,warm,ordinary_demand,2,48.930383146280796,30.472619388708203,14.019943564998538,False
R32_A200_B10,asu_baseline,43,warm,ordinary_pending_demand,0,35.7947787373815,6.872322858288144,0.0,True
R32_A200_B10,asu_baseline,43,warm,ordinary_pending_demand,1,35.97617197419621,7.74517806749079,0.0,True
R32_A200_B10,asu_baseline,43,warm,ordinary_pending_demand,2,34.75107269717814,7.5310097308551365,0.0,True
R32_A200_B10,asu_baseline,43,full,ordinary_demand,0,71.53217582996706,28.926312045183412,9.916506479119622,False
R32_A200_B10,asu_baseline,43,full,ordinary_demand,1,77.60008997459784,31.716658617055337,18.96805264335849,False
