num_ssu,seed,strategy,npu_id,npu_utilizations,compute_ms_by_npu,active_ms_by_npu,io_stall_ms_by_npu,idle_ms_by_npu,whole_compute_ms_by_npu,whole_stall_ms_by_npu,nonterminal_idle_ms_by_npu,terminal_tail_ms_by_npu,last_completion_ms_by_npu
5,20260907,strategy3,22,0.8957757600587614,895.7757600587613,1000.0,104.2242399412387,0.0,4394.29714353901,662.1708111269182,0.0,395.51847794931837,5056.467954665928
5,20260907,strategy3,23,0.9114878616077665,911.4878616077665,1000.0,88.51213839223351,0.0,4482.100919706564,492.9521866795886,0.0,476.93332622909384,4975.053106386153
5,20260907,strategy3,24,0.8150082453245082,815.0082453245083,1000.0,184.99175467549173,0.0,3893.336521688317,797.9551842713751,0.0,760.6947266555544,4691.291705959692
5,20260907,strategy3,25,0.9247180208408146,924.7180208408146,1000.0,75.28197915918543,0.0,4423.34946833672,472.37966775403163,0.0,556.2572965244954,4895.729136090751
5,20260907,strategy3,26,0.59906329562768,599.06329562768,1000.0,400.93670437232004,0.0,4407.457930035199,934.984813375456,0.0,109.54368920459183,5342.442743410655
5,20260907,strategy3,27,0.9460995264644128,946.0995264644127,1000.0,53.90047353558725,0.0,4815.405830434347,636.5806021808991,0.0,0.0,5451.9864326152465
5,20260907,strategy3,28,0.9079436548994931,907.9436548994931,1000.0,92.05634510050686,0.0,4272.6377545466585,813.8272955595237,0.0,365.5213825090641,5086.465050106182
5,20260907,strategy3,29,0.9124168399488902,912.4168399488902,1000.0,87.58316005110976,0.0,3936.751422797874,1145.493348111206,0.0,369.74166170616627,5082.24477090908
5,20260907,strategy3,30,0.8991307117584277,899.1307117584278,1000.0,100.86928824157224,0.0,4224.484450154091,1054.847071026852,0.0,172.65491143430336,5279.331521180943
5,20260907,strategy3,31,0.8780733857005544,878.0733857005544,1000.0,121.92661429944565,0.0,4080.5404592870004,992.5565217758334,0.0,378.88945155241254,5073.096981062834
