case,strategy,seed,order_mode,npu,ssu,complete_native_run,has_extended_windows,request_count,makespan_ms,input_fingerprint,manifest_sha256,source_unchanged_during_run,current_source_files_match,window,full_2s_bin,start_ms,end_ms,available,first_npu_finishes_ms,ends_before_first_npu_finishes,duration_ms,U_percent,SLO_1p5_percent,admitted_count,passed_count,completed_after_window_count,all_npus_active,mixed_npu_count,all_npus_compute_AB,missing_A_npu_ids,missing_B_npu_ids,inactive_npu_ids,nominal_strict_under40,nominal_peak_GB_s,any_ssu_over40_percent,any_ssu_at_or_above40_percent,internal_stall_card_ms,layer0_stall_card_ms,per_npu_U_percent,valid_all_active_mixed_underload_window,A_admitted_count,A_passed_count,A_SLO_1p5_percent,B_admitted_count,B_passed_count,B_SLO_1p5_percent,SSU0_nominal_peak_GB_s,SSU0_nominal_mean_GB_s,SSU0_over40_percent,SSU1_nominal_peak_GB_s,SSU1_nominal_mean_GB_s,SSU1_over40_percent,SSU2_nominal_peak_GB_s,SSU2_nominal_mean_GB_s,SSU2_over40_percent,SSU3_nominal_peak_GB_s,SSU3_nominal_mean_GB_s,SSU3_over40_percent
I4_A4096_B2500_s1_r15_random_seed7,asu_baseline,7,random,16,1,True,True,768,15023.911624302662,a74d1c1c85eaf6621e555cdba5f51e6864b92db786477275f6eba289b649b06b,1c92941492895a97c720b6df811472a8fc6ca069c18d5e4adcc4cdc8fce4cbfa,True,True,consecutive_2s,True,8000.0,10000.0,True,14819.641268374255,True,2000.0,99.06383599182439,100.0,90,90,16,True,14,False,,"0,14",,True,35.03371447734066,0.0,0.0,268.0901945613259,31.48228805486724,"[100.0, 99.4351914314212, 98.07094682574635, 98.91115168742198, 100.0, 97.9590188720952, 98.99796002682888, 99.7032687991943, 97.463989833078, 99.33197654137821, 99.19411837415336, 98.95688966483503, 97.4291338678352, 100.0, 100.0, 99.5677299452026]",False,22,22,100.0,68,68,100.0,35.03371447734066,34.17370587732344,0.0,,,,,,,,,
I4_A4096_B2500_s1_r15_random_seed7,asu_baseline,7,random,16,1,True,True,768,15023.911624302662,a74d1c1c85eaf6621e555cdba5f51e6864b92db786477275f6eba289b649b06b,1c92941492895a97c720b6df811472a8fc6ca069c18d5e4adcc4cdc8fce4cbfa,True,True,consecutive_2s,True,10000.0,12000.0,True,14819.641268374255,True,2000.0,99.26584517200494,100.0,107,107,16,True,16,True,,,,True,36.772463008650995,0.0,0.0,204.81163891216238,30.117906046254575,"[99.07076477751434, 98.66261226780807, 99.43640096335949, 99.96866723152934, 99.4554228222567, 98.503020513295, 99.8402619212764, 99.30919135610557, 100.0, 99.79466705340784, 98.27788147699857, 98.8624940906614, 99.74196521727855, 99.02951795618101, 98.86425414104743, 99.43640096335949]",True,15,15,100.0,92,92,100.0,36.772463008650995,34.7766596252513,0.0,,,,,,,,,
I4_A4096_B2500_s1_r15_random_seed7,asu_baseline,7,random,16,1,True,True,768,15023.911624302662,a74d1c1c85eaf6621e555cdba5f51e6864b92db786477275f6eba289b649b06b,1c92941492895a97c720b6df811472a8fc6ca069c18d5e4adcc4cdc8fce4cbfa,True,True,consecutive_2s,True,12000.0,14000.0,True,14819.641268374255,True,2000.0,98.88528596132022,100.0,96,96,16,True,16,True,,,,True,35.46840161016824,0.0,0.0,304.2468734854119,52.46161889211908,"[99.50042378860198, 99.42482840710936, 98.89458163525214, 98.50509261637316, 97.89283019429114, 97.71245899672076, 99.88355053702516, 97.50227722702103, 98.80729948282215, 99.5272830582554, 100.0, 99.21599921746028, 97.24275492868054, 99.84257847740692, 99.37130685885013, 98.8413099552533]",True,18,18,100.0,78,78,100.0,35.46840161016824,34.44792154458838,0.0,,,,,,,,,
I4_A4096_B2500_s1_r15_random_seed7,asu_baseline,7,random,16,1,True,True,768,15023.911624302662,a74d1c1c85eaf6621e555cdba5f51e6864b92db786477275f6eba289b649b06b,1c92941492895a97c720b6df811472a8fc6ca069c18d5e4adcc4cdc8fce4cbfa,True,True,consecutive_2s,False,14000.0,15023.911624302662,True,14819.641268374255,False,1023.911624302662,87.4636420555544,100.0,53,53,0,False,9,False,"3,7,10,12","4,5,15","0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",True,37.64183727430616,0.0,0.0,0.5492593746239436,0.0,"[97.47798906100337, 80.34867292196348, 92.41842524486957, 82.70620041531909, 86.09364017618478, 94.7366235402554, 100.0, 86.0220353268861, 92.21031478402728, 82.2091383935355, 91.65699803194, 84.60293677666402, 80.02975067127095, 81.16374129461067, 85.6871066618563, 82.05469958848397]",False,0,0,,53,53,100.0,37.64183727430616,31.24535480801912,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,0.0,2000.0,True,15887.545858261115,True,2000.0,92.46561629766909,99.13793103448276,116,115,16,True,15,False,6,,,True,36.77246300865099,0.0,0.0,1550.7932718334216,860.2095129124714,"[90.19566008546727, 94.4957967644393, 90.91126136302164, 97.64853721599944, 94.06220459913534, 94.84903580443164, 86.90564258846186, 94.10953844492202, 93.6477711596056, 90.80471800302125, 90.0891167254669, 94.77780587669375, 90.5916646733761, 87.74454499572184, 90.9682505269419, 97.64831193599944]",False,22,22,100.0,94,93,98.93617021276596,36.77246300865099,35.25041430858988,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,2000.0,4000.0,True,15887.545858261115,True,2000.0,99.34667278911827,100.0,104,104,16,True,15,False,,1,,True,35.90308874299582,0.0,0.0,190.41101276496056,18.653694717194412,"[99.22763835135909, 100.0, 100.0, 99.23249106952902, 99.21061505617584, 98.83941776844468, 97.83684567474985, 99.72381374473382, 98.65241224995324, 99.95158103821962, 99.27552693963368, 99.43302520797118, 99.18171156090968, 99.72101782763481, 99.57355247878553, 99.68711565779223]",False,15,15,100.0,89,89,100.0,35.90308874299582,34.75090633498016,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,4000.0,6000.0,True,15887.545858261115,True,2000.0,99.23811334128342,100.0,124,124,16,True,16,True,,,,True,36.77246300865099,0.0,0.0,229.22426179553258,14.579468993773844,"[99.2210526468023, 99.44671259150087, 98.35442570617953, 99.90100440872384, 99.90100440872384, 100.0, 98.45393935482994, 98.45971146047381, 98.45513432545627, 98.45611634796137, 100.0, 99.79446104872582, 99.13553115945602, 98.3517306556239, 100.0, 99.8789893460772]",True,13,13,100.0,111,111,100.0,36.77246300865099,35.33416551405785,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,6000.0,8000.0,True,15887.545858261115,True,2000.0,99.28358551134826,100.0,138,138,16,True,16,True,,,,True,36.77246300865099,0.0,0.0,219.75957037336684,9.493065995187862,"[98.91588531772732, 99.62436495797284, 99.78618155823024, 99.6808335003363, 99.39480537105892, 99.67387497975595, 99.00476751798624, 99.06857872041101, 98.90876368041444, 99.49414880154409, 98.60187679521741, 98.89409615226363, 99.91652453111956, 99.32082360541726, 99.32640804540732, 98.9254346467097]",True,13,13,100.0,125,125,100.0,36.77246300865099,35.83612254975384,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,8000.0,10000.0,True,15887.545858261115,True,2000.0,99.44926406829313,100.0,122,122,16,True,15,False,15,,,True,36.77246300865099,0.0,0.0,169.6582672061577,6.577230940039954,"[99.96359251118865, 99.94104151579086, 98.71934869155675, 98.76249997125487, 99.05112223691266, 98.81577165125381, 99.05154836832116, 99.77376883846027, 100.0, 99.45848816289855, 99.9934131337337, 99.18041281375135, 99.80131233065158, 99.90030792192775, 99.68650136387623, 99.0890955811119]",False,15,15,100.0,107,107,100.0,36.77246300865099,35.3118056703377,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,10000.0,12000.0,True,15887.545858261115,True,2000.0,99.53132249246721,100.0,153,153,16,True,13,False,"5,12,15",,,True,37.641837274306155,0.0,0.0,147.74612886225805,2.2306735482361546,"[100.0, 99.15468244656441, 99.6055007529807, 99.48950337131855, 100.0, 99.12648509237852, 100.0, 99.4284984838927, 99.14383921165673, 100.0, 99.15042607792303, 100.0, 99.04455808472149, 99.65877243297955, 99.70760752033702, 98.99128640472263]",False,9,9,100.0,144,144,100.0,37.641837274306155,36.34036525702949,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,12000.0,14000.0,True,15887.545858261115,True,2000.0,98.21888561535391,100.0,115,115,16,True,14,False,"1,14",,,True,36.77246300865099,0.0,0.0,506.2836734333796,63.672929653368556,"[99.33651849324734, 94.96434417982718, 97.46907772353298, 99.61679461915637, 98.0192253884935, 97.192172407028, 99.0378224648228, 98.0449924407535, 99.24003883830156, 99.46727319417705, 99.88371408612765, 97.7499049105846, 99.64654955829273, 97.88517740075694, 95.1774308998226, 98.77113324073781]",False,15,15,100.0,100,100,100.0,36.77246300865099,35.175842713821424,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,True,14000.0,16000.0,True,15887.545858261115,False,2000.0,98.49008146557094,100.0,135,135,12,False,13,False,"1,7,12",,"3,4,11,15",True,37.641837274306155,0.0,0.0,218.74963754886448,38.860855427543356,"[100.0, 98.50351761989133, 98.71075843167645, 93.59505329072636, 98.28774038654474, 99.05786602779945, 100.0, 98.70606481746081, 99.59653665940696, 99.34984097941233, 99.39220519545115, 98.09701143705489, 98.29955409746964, 99.71326721293836, 99.59653665940696, 94.93535063389564]",False,10,10,100.0,125,125,100.0,37.641837274306155,35.67750723130013,0.0,,,,,,,,,
I4_A4096_B2500_s1_r18_random_seed7,asu_baseline,7,random,16,1,True,True,1008,16152.723029557415,f7ff812d19e13b4ae89cfe10937df29488eb0bfa5f2aa2beba6821300168a223,31bf554b4bac658007ede9f9b725bf427fb3b06e9bf81f6d66b24d84ebd03308,True,True,consecutive_2s,False,16000.0,16152.723029557415,True,15887.545858261115,False,152.72302955741543,24.923233535326858,100.0,1,1,0,False,0,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","3,4,11,15","0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",True,29.209424004591686,0.0,0.0,0.0,0.0,"[13.964757565924469, 23.523071487851425, 57.229917878547525, 0.0, 0.0, 4.872791183253154, 100.0, 8.011240972770866, 3.69585809119899, 12.369462844574171, 20.17296930208813, 0.0, 30.241823485840143, 73.74232177508965, 50.94752197809122, 0.0]",False,0,0,,1,1,100.0,29.209424004591686,9.706577278650936,0.0,,,,,,,,,
P1_q10_prefix5_cohort8_seed7,asu_baseline,7,cyclic,16,1,True,True,1232,17445.10618810292,3bb9ed43b695e546e6c081efdcbf6eb089b430a03a83bca2a82eec82b9987fd9,eeb33c2b1662b2c5c525db5ee5683ee9725a6fa796eb9325dc95664df2d9f911,True,True,consecutive_2s,True,0.0,2000.0,True,16768.38892146092,True,2000.0,85.83921013975724,74.16666666666667,120,89,16,True,16,True,,,,True,39.83448536228156,0.0,0.0,3436.4986446834673,1094.954110594216,"[82.83584471721765, 84.25439063721613, 83.89975415721487, 81.69966615724232, 83.19048119721238, 84.4165997289571, 83.54511767721363, 82.48120823722533, 88.08328895336699, 88.67383178930086, 87.9765625533693, 88.21246890931087, 88.78055818929855, 88.62046858930202, 88.02992575336815, 88.7271949892997]",True,16,16,100.0,104,73,70.1923076923077,39.83448536228156,39.83263027847756,0.0,,,,,,,,,
P1_q10_prefix5_cohort8_seed7,asu_baseline,7,cyclic,16,1,True,True,1232,17445.10618810292,3bb9ed43b695e546e6c081efdcbf6eb089b430a03a83bca2a82eec82b9987fd9,eeb33c2b1662b2c5c525db5ee5683ee9725a6fa796eb9325dc95664df2d9f911,True,True,consecutive_2s,True,2000.0,4000.0,True,16768.38892146092,True,2000.0,91.98469823578921,88.88888888888889,144,128,16,True,16,True,,,,True,39.83448536228156,0.0,0.0,2208.882895902539,356.01366864491183,"[88.83163064218405, 90.79243572221907, 90.53589848212683, 87.71435800220827, 89.29299352217163, 90.86613298641961, 90.07453560214579, 88.3169045621952, 94.11661987186942, 94.87570839590634, 93.51391561588252, 94.24209449586674, 95.0048883518502, 94.63809045180483, 93.93407671592672, 95.0048883518502]",True,16,16,100.0,128,112,87.5,39.83448536228156,39.83309519134496,0.0,,,,,,,,,
P1_q10_prefix5_cohort8_seed7,asu_baseline,7,cyclic,16,1,True,True,1232,17445.10618810292,3bb9ed43b695e546e6c081efdcbf6eb089b430a03a83bca2a82eec82b9987fd9,eeb33c2b1662b2c5c525db5ee5683ee9725a6fa796eb9325dc95664df2d9f911,True,True,consecutive_2s,True,4000.0,6000.0,True,16768.38892146092,True,2000.0,95.07007045430584,95.48387096774194,155,148,16,True,16,True,,,,True,39.83448536228156,0.0,0.0,1224.6701030006125,352.90735162152214,"[92.7841321960534, 94.10436316803984, 94.20081080814452, 92.37345667004074, 92.74967491605408, 94.15772636803872, 93.58458019603572, 92.0025901160705, 96.02390782260277, 97.75686607648015, 95.87597964265927, 96.62661207858964, 97.91695567647669, 97.53733411451658, 95.50496876868904, 97.9211686504016]",True,15,15,100.0,140,133,95.0,39.83448536228156,39.83309571877928,0.0,,,,,,,,,
P1_q10_prefix5_cohort8_seed7,asu_baseline,7,cyclic,16,1,True,True,1232,17445.10618810292,3bb9ed43b695e546e6c081efdcbf6eb089b430a03a83bca2a82eec82b9987fd9,eeb33c2b1662b2c5c525db5ee5683ee9725a6fa796eb9325dc95664df2d9f911,True,True,consecutive_2s,True,6000.0,8000.0,True,16768.38892146092,True,2000.0,94.47090851560992,97.84172661870504,139,136,16,True,16,True,,,,True,39.83448536228156,0.0,0.0,1540.73971331767,228.56956168715806,"[92.86207533579326, 93.09379304131438, 92.85728722340482, 91.34613428211442, 92.88452889173955, 92.85728722340482, 93.32603142153816, 92.85162550390005, 95.01864848246564, 97.17449470850337, 94.73982875841843, 95.45755780650934, 97.58641793872107, 96.86900845458504, 95.36549421232976, 97.24432296501645]",True,9,9,100.0,130,127,97.6923076923077,39.83448536228156,39.833008620622685,0.0,,,,,,,,,
P1_q10_prefix5_cohort8_seed7,asu_baseline,7,cyclic,16,1,True,True,1232,17445.10618810292,3bb9ed43b695e546e6c081efdcbf6eb089b430a03a83bca2a82eec82b9987fd9,eeb33c2b1662b2c5c525db5ee5683ee9725a6fa796eb9325dc95664df2d9f911,True,True,consecutive_2s,True,8000.0,10000.0,True,16768.38892146092,True,2000.0,93.21721412358667,100.0,155,155,16,True,16,True,,,,True,39.83448536228156,0.0,0.0,1808.4269081939228,362.0645722583431,"[94.01945763457415, 95.32557616447093, 95.37953882643787, 92.4216924779209, 94.2014733145703, 95.326175626439, 93.82431129261035, 92.59400951865837, 90.90924523086751, 93.36059787081722, 90.90924523086714, 92.26734605494622, 93.44856045636516, 92.84587179082818, 90.90924523086741, 93.733079256146]",True,16,16,100.0,139,139,100.0,39.83448536228156,39.833122047291965,0.0,,,,,,,,,
