label,input_fingerprint,seq_len_k,nql,role,sim_category,requests,request_share,compute_ms,compute_share,per_request_compute_ms,per_request_read_gib,construction
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,32,512,short,SL,1344,0.31343283582089554,39805.33043220092,0.20314825667720757,29.617061333482155,0.33837890625,direct_data_row
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,192,1024,long,LL,64,0.014925373134328358,17459.60020720997,0.0891058384860543,272.80625323765605,2.0517578125,direct_data_row
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,192,2048,long,LL,192,0.04477611940298507,104534.30193075236,0.533495413042022,544.44948922267,2.041015625,direct_data_row
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,32,128,short,SS,416,0.09558823529411764,3920.4703912691125,0.020899119965859813,9.424207671320028,0.3424072265625,direct_data_row
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,32,256,short,SS,416,0.09558823529411764,6647.612428199582,0.03543688276102765,15.979837567787547,0.341064453125,direct_data_row
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,32,512,short,SL,3328,0.7647058823529411,98565.58011783205,0.5254302871345774,29.617061333482155,0.33837890625,direct_data_row
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,192,1024,long,LL,96,0.022058823529411766,26189.400310814995,0.13960962953541617,272.80625323765605,2.0517578125,direct_data_row
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,192,2048,long,LL,96,0.022058823529411766,52267.15096537636,0.27862408060311883,544.44948922267,2.041015625,direct_data_row
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,32,128,short,SS,416,0.09558823529411764,3920.4703912691125,0.020899119965859813,9.424207671320028,0.3424072265625,direct_data_row
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,32,256,short,SS,416,0.09558823529411764,6647.612428199582,0.03543688276102765,15.979837567787547,0.341064453125,direct_data_row
