label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,utilization,all_active,fully_active_npu_count,minimum_npu_utilization,maximum_npu_utilization,fleet_idle_ms
raw_equal_rho090_seed123,raw,123,new_once,new_once,fixed,bfaa9f5d4b0b204d934bd13b7d4a6ee6ace6903ff5ae872fe6d1342e24410d90,2000,3000,0.9895123047250964,True,32,0.9691046775082359,0.9980270308214244,0.0
raw_equal_rho097_seed7,raw,7,baseline,baseline,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,1000,2000,0.9635451444120133,True,32,0.9206282414635789,0.9984701983761369,0.0
raw_equal_rho097_seed7,raw,7,baseline,baseline,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,2000,3000,0.9746674122983506,True,32,0.9367460347997183,0.99419948284576,0.0
raw_equal_rho097_seed7,raw,7,once,once,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,1000,2000,0.972374157724258,True,32,0.9405911562979314,0.9971586281353905,0.0
raw_equal_rho097_seed7,raw,7,once,once,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,2000,3000,0.9795432205937161,True,32,0.9578429066246579,0.9968907444664815,0.0
raw_equal_rho097_seed7,raw,7,new_once,new_once,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,1000,2000,0.9806576046294895,True,32,0.9476735905783227,0.9957511469769745,0.0
raw_equal_rho097_seed7,raw,7,new_once,new_once,fixed,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,2000,3000,0.9891419176361091,True,32,0.9754064338262519,0.9985808063772388,0.0
raw_equal_rho097_seed123,raw,123,baseline,baseline,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,1000,2000,0.9411154537162575,True,32,0.8623781815358866,0.9920112761344023,0.0
raw_equal_rho097_seed123,raw,123,baseline,baseline,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,2000,3000,0.9439070383707776,True,32,0.8895498170271603,0.9917602352789563,0.0
raw_equal_rho097_seed123,raw,123,once,once,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,1000,2000,0.9428826512259738,True,32,0.8718201953539189,0.9973218314314807,0.0
raw_equal_rho097_seed123,raw,123,once,once,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,2000,3000,0.9489663171725271,True,32,0.8977165033511678,0.9954616277842834,0.0
raw_equal_rho097_seed123,raw,123,new_once,new_once,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,1000,2000,0.959587192476751,True,32,0.9144123107668402,0.9976511486226614,0.0
raw_equal_rho097_seed123,raw,123,new_once,new_once,fixed,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,2000,3000,0.950785576323637,True,32,0.8925699008081988,0.9910342850791205,0.0
raw_skew_rho096_seed7,raw,7,baseline,baseline,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,1000,2000,0.9684819341957366,True,32,0.9382539415598669,0.9874143965736459,0.0
raw_skew_rho096_seed7,raw,7,baseline,baseline,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,2000,3000,0.9837881057136093,True,32,0.9552425422687859,0.9992181050674467,0.0
raw_skew_rho096_seed7,raw,7,once,once,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,1000,2000,0.9561274963927751,True,32,0.91720235299845,0.9958123811820622,0.0
raw_skew_rho096_seed7,raw,7,once,once,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,2000,3000,0.9643961053238514,True,32,0.929143567833979,0.9927853895011176,0.0
raw_skew_rho096_seed7,raw,7,new_once,new_once,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,1000,2000,0.9705827638849778,True,32,0.9509471587644324,0.9956674300080712,0.0
raw_skew_rho096_seed7,raw,7,new_once,new_once,fixed,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,2000,3000,0.9787436815928686,True,32,0.9607666615809692,0.9937344305902097,0.0
raw_skew_rho096_seed123,raw,123,baseline,baseline,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,1000,2000,0.9780999386288631,True,32,0.9523830834064302,0.9974163430668823,0.0
raw_skew_rho096_seed123,raw,123,baseline,baseline,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,2000,3000,0.9756384502637839,True,32,0.9454961510288472,0.9959077994895392,0.0
raw_skew_rho096_seed123,raw,123,once,once,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,1000,2000,0.9581815802581215,True,32,0.9288354432233163,0.9964737341481998,0.0
raw_skew_rho096_seed123,raw,123,once,once,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,2000,3000,0.9773543828631368,True,32,0.9589607088254998,0.9968498147792703,0.0
raw_skew_rho096_seed123,raw,123,new_once,new_once,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,1000,2000,0.9717785293865739,True,32,0.9489024176085388,0.9985943414089288,0.0
