label,input_fingerprint,strategy,seq_len_k,nql,role,request_count,delta_compute_fraction_pp,delta_admission_slo_pp,delta_mean_io_stall_ms
raw_equal_rho097_seed7,f5ac0cc2e732060474bdefe4dcc12d07fa812d035b41815f807e06c2a5696037,new_once,192,2048,long,192,-0.9531303569087712,0.0,5.309431830948888
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,once,32,128,short,1344,9.534641777527654,14.50892857142857,-2.1295231527433316
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,once,32,256,short,1344,2.8996770918594206,5.059523809523814,-0.6475385878729973
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,once,32,512,short,1344,-7.134648508677877,-3.9434523809523836,2.3886537420271523
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,once,192,1024,long,64,-0.05667942178958496,0.0,0.15868423946258714
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,once,192,2048,long,192,-0.08240123559538626,0.0,0.45469024600541763
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,new_once,32,128,short,1344,29.355333100445037,42.113095238095234,-5.1079866956213795
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,new_once,32,256,short,1344,14.364038001267044,13.318452380952383,-2.8305918825786964
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,new_once,32,512,short,1344,-14.55839475102586,-16.145833333333336,5.309360268575545
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,new_once,192,1024,long,64,-2.3709789681400584,0.0,6.797391492802028
