regime,policy,seed,npu_id,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,source_cycle_count
under,od_baseline,7,27,100.0,1.9887101099191196,1.9591064453125,28
under,od_baseline,7,28,100.0,3.0256266456438827,3.0145263671875,53
under,od_baseline,7,29,100.0,2.6970203432475057,2.68017578125,39
under,od_baseline,7,30,100.0,2.2066912023784613,2.2236328125,49
under,od_baseline,7,31,100.0,2.3419030846630773,2.344482421875,33
under,once,7,0,100.0,1.7412891481192783,1.69189453125,27
under,once,7,1,100.0,3.079041493486638,3.0494384765625,42
under,once,7,2,100.0,2.260570803672534,2.290771484375,36
under,once,7,3,100.0,2.8897218283584656,2.886962890625,38
under,once,7,4,100.0,2.5112774490681247,2.478759765625,51
under,once,7,5,100.0,2.7236546207324555,2.709716796875,47
under,once,7,6,100.0,2.6946635304463173,2.779541015625,34
under,once,7,7,100.0,2.1138749418425893,2.126953125,29
under,once,7,8,100.0,2.2831638815729653,2.3310546875,37
under,once,7,9,100.0,2.5574401968763283,2.5552978515625,48
under,once,7,10,100.0,2.3341780069071563,2.341796875,61
under,once,7,11,100.0,2.621395354338371,2.698845492353594,57
under,once,7,12,100.0,2.2137647951900616,2.1417236328125,27
under,once,7,13,100.0,2.258736153301358,2.210205078125,22
under,once,7,14,100.0,1.775818509472362,1.614013671875,36
under,once,7,15,100.0,2.148874548544662,1.9873046875,33
under,once,7,16,100.0,2.688817052331176,2.63720703125,39
under,once,7,17,100.0,2.738008009787317,2.7459716796875,43
under,once,7,18,100.0,2.5174681301813324,2.44384765625,37
under,once,7,19,100.0,2.4840264774622103,2.3726806640625,46
under,once,7,20,100.0,2.1293814313176624,2.2249755859375,24
under,once,7,21,100.0,2.4116591724096548,2.419677734375,39
under,once,7,22,100.0,2.1041305499119134,2.081298828125,30
under,once,7,23,100.0,1.954036058486232,1.85302734375,27
under,once,7,24,100.0,2.4501906964824367,2.5284423828125,38
under,once,7,25,100.0,2.5214380089929724,2.61572265625,35
under,once,7,26,100.0,2.380480632623674,2.328369140625,30
under,once,7,27,100.0,1.9887101099191196,1.9591064453125,28
under,once,7,28,100.0,3.025939700348237,3.0145263671875,53
under,once,7,29,100.0,2.6966343886499,2.68017578125,39
under,once,7,30,100.0,2.2066912023784613,2.1464029900487502,48
under,once,7,31,100.0,2.348198351649639,2.344482421875,33
semi,od_baseline,7,0,99.99231044774817,1.904162419731883,1.7200927734375,34
semi,od_baseline,7,1,99.79128972661911,3.1231413765674927,3.0494384765625,43
semi,od_baseline,7,2,99.8994870525668,2.369724246496744,2.36126708984375,34
semi,od_baseline,7,3,100.0,2.1983543447400247,2.2236328125,39
semi,od_baseline,7,4,98.04298736087196,4.312947571291517,3.8603897094726607,45
semi,od_baseline,7,5,100.0,1.854586775591723,1.809228491398553,16
semi,od_baseline,7,6,98.41281780847915,4.683158899316554,4.369804382324223,46
semi,od_baseline,7,7,100.0,2.791804248148531,2.838623046875,30
semi,od_baseline,7,8,99.45424212463739,3.18942060889346,2.9044189453125,53
semi,od_baseline,7,9,96.75950833959295,5.346357050038389,4.511041300076776,46
semi,od_baseline,7,10,100.0,2.1393124218088615,2.04638671875,25
semi,od_baseline,7,11,98.59450642446474,2.2903424650036546,2.1606903076171875,33
semi,od_baseline,7,12,96.77861463704225,4.663409511119085,4.1142578125,63
semi,od_baseline,7,13,100.0,2.613881491363488,2.7030029296875,38
semi,od_baseline,7,14,100.0,2.0733317794295676,2.1442413330078125,34
semi,od_baseline,7,15,99.52652602497592,2.7422126265268627,2.8251953125,35
semi,od_baseline,7,16,95.93201352007702,4.206473886546932,3.0225830078125,45
semi,od_baseline,7,17,96.99181173380013,4.20562205005313,3.595947265625,45
semi,od_baseline,7,18,100.0,2.5579337947917407,2.578125,49
semi,od_baseline,7,19,93.40879572249473,6.2896771705920385,4.53118896484375,62
semi,od_baseline,7,20,97.78179241415577,4.763752532442025,4.2283935546875,70
semi,od_baseline,7,21,97.1939008464251,4.3426258630456225,3.6134033203125,29
semi,od_baseline,7,22,97.75347308507722,5.7006057760976905,5.0152587890625,70
semi,od_baseline,7,23,99.27661103989199,1.8316608819969955,1.9195879381059422,34
semi,od_baseline,7,24,98.38227330081273,4.439481009066514,3.9893798828125,42
semi,od_baseline,7,25,97.69567761681442,4.124005553946564,3.708740234375,49
semi,od_baseline,7,26,96.73899964795018,5.660798794741345,4.9776611328125,78
semi,od_baseline,7,27,99.74392454349372,2.918043182617189,2.9098739624023438,47
semi,od_baseline,7,28,99.72791215639923,2.558638576188371,2.558319091796875,48
semi,od_baseline,7,29,99.42756786876687,2.792967254625716,2.919189453125,50
semi,od_baseline,7,30,95.76818845092473,5.397388043004659,4.354199334043205,74
semi,od_baseline,7,31,97.01963227060955,3.8995709271234436,2.9500732421875,46
semi,once,7,0,99.99754481953629,1.9123053852394483,1.8114013671875,34
semi,once,7,1,98.20686171089316,2.358444469167743,2.2825469970703125,34
semi,once,7,2,99.30278445200196,2.482794381938892,2.468017578125,35
semi,once,7,3,99.66590030818209,2.0427208620818416,2.0074462890625,37
semi,once,7,4,93.22308801971722,4.113492526819003,3.5524282828367904,42
