order,strategy,request_id,npu_id,role,admission_ms,completion_ms,ttft_ms,ideal_ms,ratio,slo_1p5_pass
ordered,od_baseline,14000013,14,B,3552.675942560015,3784.86521587984,232.18927331982513,228.74273596704626,1.0150673084249346,True
ordered,od_baseline,14000014,14,B,3784.86521587984,4013.6079518468873,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,15000008,15,B,2212.0974197936644,2440.8401557607117,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,15000009,15,A,2440.8401557607117,2778.0205708212325,337.1804150605208,48.19209238871334,6.996592145052596,False
ordered,od_baseline,15000010,15,B,2778.0205708212325,3009.1526100590268,231.1320392377943,228.74273596704626,1.0104453733170886,True
ordered,od_baseline,15000011,15,B,3009.1526100590268,3237.895346026074,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,15000012,15,A,3237.895346026074,3566.9679873354053,329.0726413093312,48.19209238871334,6.828353470421228,False
ordered,od_baseline,15000013,15,B,3566.9679873354053,3797.961453062457,230.9934657270519,228.74273596704626,1.0098395682402344,True
ordered,od_baseline,15000014,15,B,3797.961453062457,4026.7041890295045,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,16000008,16,B,2212.2400894713987,2440.982825438446,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,16000009,16,A,2440.982825438446,2779.577348775334,338.59452333688796,48.19209238871334,7.025935305025007,False
ordered,od_baseline,16000010,16,B,2779.577348775334,3010.9611580326596,231.38380925732554,228.74273596704626,1.0115460422343632,True
ordered,od_baseline,16000011,16,B,3010.9611580326596,3239.703893999707,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,16000012,16,A,3239.703893999707,3576.833175934038,337.1292819343312,48.19209238871334,6.995531117741784,False
ordered,od_baseline,16000013,16,B,3576.833175934038,3808.023961509723,231.1907855756849,228.74273596704626,1.0107021960644527,True
ordered,od_baseline,16000014,16,B,3808.023961509723,4036.7666974767703,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,17000008,17,B,2201.778945159875,2430.5216811269224,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,17000009,17,A,2430.5216811269224,2755.982401778264,325.4607206513415,48.19209238871334,6.753405061274427,False
ordered,od_baseline,17000010,17,B,2755.982401778264,2988.658430469183,232.67602869091888,228.74273596704626,1.0171952683316652,True
ordered,od_baseline,17000011,17,B,2988.658430469183,3217.40116643623,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,17000012,17,A,3217.40116643623,3542.0638362367727,324.6626698005425,48.19209238871334,6.736845272909939,False
ordered,od_baseline,17000013,17,B,3542.0638362367727,3774.3789945663634,232.31515832959076,228.74273596704626,1.015617642883572,True
ordered,od_baseline,17000014,17,B,3774.3789945663634,4003.1217305334108,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,18000008,18,B,2210.9770432067503,2439.7197791737976,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,18000009,18,A,2439.7197791737976,2766.036317891545,326.31653871774733,48.19209238871334,6.771163536243783,False
ordered,od_baseline,18000010,18,B,2766.036317891545,2998.2298873783625,232.19356948681752,228.74273596704626,1.0150860900792427,True
ordered,od_baseline,18000011,18,B,2998.2298873783625,3226.97262334541,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,18000012,18,A,3226.97262334541,3552.239441192827,325.2668178474173,48.19209238871334,6.749381521429754,False
ordered,od_baseline,18000013,18,B,3552.239441192827,3784.4455991806212,232.20615798779409,228.74273596704626,1.0151411235251062,True
ordered,od_baseline,18000014,18,B,3784.4455991806212,4013.1883351476686,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,19000008,19,B,2212.3282089782347,2441.070944945282,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,19000009,19,A,2441.070944945282,2778.952119893498,337.8811749482161,48.19209238871334,7.011133117501832,False
ordered,od_baseline,19000010,19,B,2778.952119893498,3010.008628125433,231.0565082319349,228.74273596704626,1.0101151726419062,True
ordered,od_baseline,19000011,19,B,3010.008628125433,3238.7513640924803,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,19000012,19,A,3238.7513640924803,3573.740600860796,334.98923676831555,48.19209238871334,6.951124555172261,False
ordered,od_baseline,19000013,19,B,3573.740600860796,3804.511769737262,230.77116887646616,228.74273596704626,1.0088677478689951,True
ordered,od_baseline,19000014,19,B,3804.511769737262,4033.2545057043094,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,20000008,20,B,2208.2622231628047,2437.004959129852,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,20000009,20,A,2437.004959129852,2763.006785323186,326.0018261933337,48.19209238871334,6.764633159395333,False
ordered,od_baseline,20000010,20,B,2763.006785323186,2995.3808899906676,232.3741046674818,228.74273596704626,1.0158753399756426,True
ordered,od_baseline,20000011,20,B,2995.3808899906676,3224.123625957715,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,20000012,20,A,3224.123625957715,3549.260262628374,325.1366366706593,48.19209238871334,6.746680223969831,False
ordered,od_baseline,20000013,20,B,3549.260262628374,3781.4914976181212,232.231234989747,228.74273596704626,1.0152507532444803,True
ordered,od_baseline,20000014,20,B,3781.4914976181212,4010.2342335851686,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,21000008,21,B,2205.488456780969,2434.2311927480164,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,21000009,21,A,2434.2311927480164,2760.3001576132247,326.0689648652083,48.19209238871334,6.766026306456329,False
ordered,od_baseline,21000010,21,B,2760.3001576132247,2992.829420459417,232.52926284619252,228.74273596704626,1.0165536486356086,True
ordered,od_baseline,21000011,21,B,2992.829420459417,3221.5721564264645,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,21000012,21,A,3221.5721564264645,3546.620773590288,325.04861716382356,48.19209238871334,6.7448537934814885,False
ordered,od_baseline,21000013,21,B,3546.620773590288,3778.9234434189025,232.3026698286144,228.74273596704626,1.0155630466100616,True
ordered,od_baseline,21000014,21,B,3778.9234434189025,4007.66617938595,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,22000008,22,B,2212.3953476501097,2441.138083617157,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,22000009,22,A,2441.138083617157,2780.114458150334,338.976374533177,48.19209238871334,7.03385882893447,False
ordered,od_baseline,22000010,22,B,2780.114458150334,3011.305243726019,231.1907855756849,228.74273596704626,1.0107021960644527,True
ordered,od_baseline,22000011,22,B,3011.305243726019,3240.0479796930663,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,22000012,22,A,3240.0479796930663,3576.270889557085,336.2229098640187,48.19209238871334,6.976723632418222,False
ordered,od_baseline,22000013,22,B,3576.270889557085,3807.02107759859,230.75018804150523,228.74273596704626,1.0087760254592224,True
ordered,od_baseline,22000014,22,B,3807.02107759859,4035.7638135656375,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,23000008,23,B,2193.8901512145626,2422.63288718161,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,23000009,23,A,2422.63288718161,2747.321513106389,324.688625924779,48.19209238871334,6.737383870072874,False
ordered,od_baseline,23000010,23,B,2747.321513106389,2980.0008987309016,232.67938562451263,228.74273596704626,1.0172099439172289,True
ordered,od_baseline,23000011,23,B,2980.0008987309016,3208.743634697949,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,23000012,23,A,3208.743634697949,3505.5571834047414,296.8135487067925,48.19209238871334,6.158967872005215,False
ordered,od_baseline,23000013,23,B,3505.5571834047414,3738.2281766952697,232.67099329052826,228.74273596704626,1.01717325495332,True
ordered,od_baseline,23000014,23,B,3738.2281766952697,3966.970912662317,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,23000015,23,A,3966.970912662317,4078.2306360968614,111.25972343454441,48.19209238871334,2.308671774139477,False
ordered,od_baseline,24000008,24,B,2213.003791863977,2441.746527831024,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,24000009,24,A,2441.746527831024,2781.255715572209,339.50918774118463,48.19209238871334,7.044914858701968,False
ordered,od_baseline,24000010,24,B,2781.255715572209,3012.606055493597,231.35033992138824,228.74273596704626,1.0113997235510799,True
ordered,od_baseline,24000011,24,B,3012.606055493597,3241.3487914606444,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,24000012,24,A,3241.3487914606444,3579.182929449663,337.8341379890185,48.19209238871334,7.0101570868531065,False
ordered,od_baseline,24000013,24,B,3579.182929449663,3810.373815025348,231.19088557568512,228.74273596704626,1.010702633236806,True
ordered,od_baseline,24000014,24,B,3810.373815025348,4039.1165509923953,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,25000008,25,B,2212.9744186950315,2441.717154662079,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,25000009,25,A,2441.717154662079,2780.3704243368575,338.6532696747786,48.19209238871334,7.027154308703386,False
ordered,od_baseline,25000010,25,B,2780.3704243368575,3011.351401562933,230.98097722607554,228.74273596704626,1.009784971966724,True
ordered,od_baseline,25000011,25,B,3011.351401562933,3240.0941375299803,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,25000012,25,A,3240.0941375299803,3576.9088069398977,336.8146694099173,48.19209238871334,6.989002815922552,False
ordered,od_baseline,25000013,25,B,3576.9088069398977,3807.9274496689027,231.01864272900502,228.74273596704626,1.0099496351319617,True
ordered,od_baseline,25000014,25,B,3807.9274496689027,4036.67018563595,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,26000008,26,B,2212.5085441588985,2441.251280125946,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,26000009,26,A,2441.251280125946,2779.9926693075604,338.7413891816145,48.19209238871334,7.028982814220954,False
ordered,od_baseline,26000010,26,B,2779.9926693075604,3011.128904712347,231.13623540478648,228.74273596704626,1.0104637177990432,True
ordered,od_baseline,26000011,26,B,3011.128904712347,3239.871640679394,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,26000012,26,A,3239.871640679394,3576.010627203569,336.1389865241749,48.19209238871334,6.974982198591966,False
ordered,od_baseline,26000013,26,B,3576.010627203569,3806.7526229110904,230.74199570752126,228.74273596704626,1.0087402108400199,True
ordered,od_baseline,26000014,26,B,3806.7526229110904,4035.4953588781377,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,27000008,27,B,2212.4121323180784,2441.1548682851258,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,27000009,27,A,2441.1548682851258,2779.4555599325604,338.30069164743463,48.19209238871334,7.019838211603885,False
ordered,od_baseline,27000010,27,B,2779.4555599325604,3010.5121681644955,231.05660823193512,228.74273596704626,1.0101156098142596,True
ordered,od_baseline,27000011,27,B,3010.5121681644955,3239.254904131543,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,27000012,27,A,3239.254904131543,3575.7294840150926,336.4745798835497,48.19209238871334,6.981945858867762,False
ordered,od_baseline,27000013,27,B,3575.7294840150926,3806.4754758896056,230.74599187451304,228.74273596704626,1.0087576809772678,True
ordered,od_baseline,27000014,27,B,3806.4754758896056,4035.218211856653,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,28000008,28,B,2212.9492416930784,2441.6919776601258,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,28000009,28,A,2441.6919776601258,2780.341051167912,338.6490735077864,48.19209238871334,7.027067237012073,False
ordered,od_baseline,28000010,28,B,2780.341051167912,3011.3807747318783,231.03972356396616,228.74273596704626,1.010041794714088,True
ordered,od_baseline,28000011,28,B,3011.3807747318783,3240.1235106989257,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,28000012,28,A,3240.1235106989257,3576.9129031068896,336.789392407964,48.19209238871334,6.988478310745449,False
ordered,od_baseline,28000013,28,B,3576.9129031068896,3807.6546988144105,230.74179570752085,228.74273596704626,1.0087393364953132,True
ordered,od_baseline,28000014,28,B,3807.6546988144105,4036.397434781458,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,29000008,29,B,2212.6681985046016,2441.410934471649,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,29000009,29,A,2441.410934471649,2779.6989376181073,338.2880031464583,48.19209238871334,7.019574921500729,False
ordered,od_baseline,29000010,29,B,2779.6989376181073,3010.6381531742613,230.93921555615407,228.74273596704626,1.009602401491885,True
ordered,od_baseline,29000011,29,B,3010.6381531742613,3239.3808891413087,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,29000012,29,A,3239.3808891413087,3575.4275599916555,336.0466708503468,48.19209238871334,6.973066621383085,False
ordered,od_baseline,29000013,29,B,3575.4275599916555,3806.1985288681212,230.77096887646576,228.74273596704626,1.0088668735242885,True
ordered,od_baseline,29000014,29,B,3806.1985288681212,4034.9412648351686,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,30000008,30,B,2212.7939835143675,2441.536719481415,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,30000009,30,A,2441.536719481415,2781.012437886662,339.47571840524733,48.19209238871334,7.0442203602006925,False
ordered,od_baseline,30000010,30,B,2781.012437886662,3012.089926953558,231.07748906689585,228.74273596704626,1.0102068950516792,True
ordered,od_baseline,30000011,30,B,3012.089926953558,3240.8326629206053,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,30000012,30,A,3240.8326629206053,3577.7436441713426,336.9109812507372,48.19209238871334,6.991001314764293,False
ordered,od_baseline,30000013,30,B,3577.7436441713426,3808.5023245468324,230.7586803754898,228.74273596704626,1.0088131515954848,True
ordered,od_baseline,30000014,30,B,3808.5023245468324,4037.2450605138797,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,31000008,31,B,2212.2610703063597,2441.003806273407,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,31000009,31,A,2441.003806273407,2779.312990254826,338.3091839814192,48.19209238871334,7.0200144300157366,False
ordered,od_baseline,31000010,31,B,2779.312990254826,3010.411460156683,231.0984699018568,228.74273596704626,1.010298617461452,True
ordered,od_baseline,31000011,31,B,3010.411460156683,3239.1541961237303,228.74273596704734,228.74273596704626,1.0,True
ordered,od_baseline,31000012,31,A,3239.1541961237303,3575.6624453432178,336.5082492194874,48.19209238871334,6.982644507427492,False
ordered,od_baseline,31000013,31,B,3575.6624453432178,3806.6476187362855,230.98517339306773,228.74273596704626,1.0098033164486786,True
ordered,od_baseline,31000014,31,B,3806.6476187362855,4035.390354703333,228.74273596704734,228.74273596704626,1.0,True
ordered,once,9,0,A,2158.146300933369,2214.964902351597,56.818601418228354,48.19209238871334,1.1790025832440376,True
ordered,once,10,0,B,2214.964902351597,2443.7076383186445,228.74273596704734,228.74273596704626,1.0,True
ordered,once,11,0,B,2443.7076383186445,2672.450374285692,228.74273596704734,228.74273596704626,1.0,True
ordered,once,12,0,A,2672.450374285692,2720.6424666744037,48.1920923887119,48.19209238871334,1.0,True
ordered,once,13,0,B,2720.6424666744037,2949.385202641451,228.74273596704734,228.74273596704626,1.0,True
ordered,once,14,0,B,2949.385202641451,3178.1279386084984,228.74273596704734,228.74273596704626,1.0,True
ordered,once,15,0,A,3178.1279386084984,3337.2185904063545,159.09065179785603,48.19209238871334,3.3011775150712337,False
ordered,once,16,0,B,3337.2185904063545,3565.961326373402,228.74273596704734,228.74273596704626,1.0,True
ordered,once,17,0,B,3565.961326373402,3794.704062340449,228.74273596704734,228.74273596704626,1.0,True
ordered,once,18,0,A,3794.704062340449,4008.0236043777713,213.3195420373222,48.19209238871334,4.426442834577607,False
ordered,once,1000008,1,B,2107.4905763669526,2336.233312334,228.74273596704734,228.74273596704626,1.0,True
ordered,once,1000009,1,A,2336.233312334,2589.86078656013,253.62747422612983,48.19209238871334,5.262844206480849,False
ordered,once,1000010,1,B,2589.86078656013,2818.8150151289788,228.95422856884898,228.74273596704626,1.0009245871826644,True
ordered,once,1000011,1,B,2818.8150151289788,3047.557751096026,228.74273596704734,228.74273596704626,1.0,True
ordered,once,1000012,1,A,3047.557751096026,3252.460213331159,204.90246223513304,48.19209238871334,4.251785969001037,False
ordered,once,1000013,1,B,3252.460213331159,3483.0045891900468,230.54437585888763,228.74273596704626,1.0078762714987415,True
ordered,once,1000014,1,B,3483.0045891900468,3711.747325157094,228.74273596704734,228.74273596704626,1.0,True
ordered,once,1000015,1,A,3711.747325157094,3866.7639387527715,155.01661359567743,48.19209238871334,3.2166400318402144,False
