regime,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,latency_ms,raw_ratio,plot_ratio,slo_1p5_pass
under,asu_baseline,43,25,2472.883682760446,2845.534552235043,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,43,26,2845.534552235043,3246.0759119205536,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,43,27,3246.0759119205536,3489.8777722713708,243.80186035081854,243.80186035081715,0.9999999999999943,1.0,True
under,asu_baseline,43,28,3489.8777722713708,3976.318599055386,486.44082678401566,486.44082678401537,0.9999999999999994,1.0,True
under,asu_baseline,43,29,3976.318599055386,4091.271420032386,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,43,44,2126.4791565181085,2585.0293382323734,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,43,45,2585.0293382323734,2828.8311985831906,243.80186035081854,243.80186035081715,0.9999999999999943,1.0,True
under,asu_baseline,43,46,2828.8311985831906,3229.372558268701,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,43,47,3229.372558268701,3973.5111598875346,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,43,48,3973.5111598875346,4459.951986671553,486.44082678401566,486.4408267840181,1.000000000000005,1.0,True
under,asu_baseline,43,64,2295.705368747046,3039.8439703658796,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,43,65,3039.8439703658796,3498.3941520801445,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,43,66,3498.3941520801445,3898.935511765655,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,43,67,3898.935511765655,4385.376338549672,486.44082678401566,486.4408267840172,1.000000000000003,1.0,True
under,asu_baseline,43,86,2423.135434092736,2823.6767937782465,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,43,87,2823.6767937782465,3567.81539539708,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,43,88,3567.81539539708,4483.752769827789,915.9373744307104,915.937374430709,0.9999999999999986,1.0,True
under,asu_baseline,43,106,2800.1977590656998,3258.7479407799647,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,43,107,3258.7479407799647,3487.490676747012,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,43,108,3487.490676747012,3888.0320364325225,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
under,asu_baseline,43,109,3888.0320364325225,4002.984857409522,114.952820977,114.95282097699965,0.9999999999999969,1.0,True
under,asu_baseline,43,126,2138.7198472175814,2597.2700289318464,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,43,127,2597.2700289318464,3513.207403362555,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,43,128,3513.207403362555,3714.059546699963,200.85214333740902,200.85214333740805,0.9999999999999952,1.0,True
under,asu_baseline,43,129,3714.059546699963,4629.996921130672,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,43,147,2159.511377570948,2903.6499791897813,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,43,148,2903.6499791897813,3362.2001609040462,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
under,asu_baseline,43,149,3362.2001609040462,3590.9428968710936,228.74273596704626,228.74273596704734,1.0000000000000047,1.0,True
under,asu_baseline,43,150,3590.9428968710936,3963.5937663456907,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,43,151,3963.5937663456907,4879.531140776399,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,43,167,2465.3813597720955,3381.318734202804,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,43,168,3381.318734202804,4125.457335821638,744.1386016188327,744.1386016188335,1.000000000000001,1.0,True
under,asu_baseline,43,185,2101.123346436405,2473.774215911002,372.6508694745985,372.65086947459713,0.9999999999999963,1.0,True
under,asu_baseline,43,186,2473.774215911002,3389.7115903417107,915.9373744307104,915.9373744307086,0.999999999999998,1.0,True
under,asu_baseline,43,187,3389.7115903417107,3790.2529500272212,400.5413596855101,400.54135968551054,1.000000000000001,1.0,True
