npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
16,1991.7349325311955,2000.0,8.265067468804546,0.0,"{""B"":1903.9184008677362,""A"":87.81653166345927}","{""B"":1911.381073987517,""A"":88.61892601248292}","{""A"":6,""B"":3}",99.58674662655977,0.0,True
17,1987.2206846506167,2000.0,12.779315349383296,0.0,"{""B"":1899.020634754455,""A"":88.20004989616177}","{""B"":1910.666256872923,""A"":89.33374312707701}","{""A"":6,""B"":3}",99.36103423253083,0.0,True
18,1995.4907002996945,2000.0,4.509299700305519,0.0,"{""B"":1908.8279162485956,""A"":86.66278405109892}","{""B"":1912.3913001787619,""A"":87.60869982123813}","{""A"":6,""B"":3}",99.77453501498472,0.0,True
19,1997.24648665011,2000.0,2.7535133498899995,0.0,"{""B"":1910.660801990783,""A"":86.58568465932694}","{""B"":1912.811966931853,""A"":87.18803306814698}","{""A"":6,""B"":3}",99.8623243325055,0.0,True
20,1992.5080648016476,2000.0,7.491935198352394,0.0,"{""B"":1905.5431567271112,""A"":86.96490807453642}","{""B"":1911.6664133429858,""A"":88.33358665701417}","{""A"":6,""B"":3}",99.62540324008238,0.0,True
21,1987.834175695258,2000.0,12.165824304742046,0.0,"{""B"":1900.67224608258,""A"":87.16192961267802}","{""B"":1910.8555030596212,""A"":89.14449694037876}","{""A"":6,""B"":3}",99.3917087847629,0.0,True
22,1989.348991439638,2000.0,10.651008560362015,0.0,"{""B"":1902.2869311411737,""A"":87.0620602984643}","{""B"":1911.1251078009936,""A"":88.87489219900635}","{""A"":6,""B"":3}",99.4674495719819,0.0,True
23,1994.6605001581486,2000.0,5.339499841851421,0.0,"{""B"":1907.1670733530877,""A"":87.49342680506084}","{""B"":1912.0356760382983,""A"":87.96432396170167}","{""A"":6,""B"":3}",99.73302500790743,0.0,True
24,1975.6994880170664,2000.0,24.300511982933585,0.0,"{""B"":1439.521643196344,""A"":536.1778448207224}","{""B"":1457.364574939439,""A"":542.6354250605609}","{""B"":3,""A"":35}",98.78497440085332,0.0,True
25,1983.8418304487072,2000.0,16.158169551292758,0.0,"{""B"":1447.6639856279849,""A"":536.1778448207224}","{""B"":1458.2667508427594,""A"":541.7332491572406}","{""B"":3,""A"":35}",99.19209152243536,0.0,True
26,1992.9852783246838,2000.0,7.014721675316196,0.0,"{""B"":1456.8074335039614,""A"":536.1778448207224}","{""B"":1460.110336878252,""A"":539.8896631217481}","{""B"":3,""A"":35}",99.64926391623419,0.0,True
27,1976.6268409223399,2000.0,23.373159077660148,0.0,"{""B"":1440.4489961016175,""A"":536.1778448207224}","{""B"":1457.2470822636578,""A"":542.7529177363422}","{""B"":3,""A"":35}",98.83134204611699,0.0,True
28,1988.1789886518322,2000.0,11.821011348167758,0.0,"{""B"":1452.0011438311099,""A"":536.1778448207224}","{""B"":1458.124081165025,""A"":541.875918834975}","{""B"":3,""A"":35}",99.40894943259161,0.0,True
29,1977.818552348121,2000.0,22.181447651878898,0.0,"{""B"":1441.6407075273987,""A"":536.1778448207224}","{""B"":1458.1912198369,""A"":541.8087801631}","{""B"":3,""A"":35}",98.89092761740605,0.0,True
30,1990.5078613324963,2000.0,9.492138667503696,0.0,"{""B"":1454.330016511774,""A"":536.1778448207224}","{""B"":1459.0067449593066,""A"":540.9932550406934}","{""B"":3,""A"":35}",99.52539306662482,0.0,True
31,1985.0696289106213,2000.0,14.930371089378696,0.0,"{""B"":1448.891784089899,""A"":536.1778448207224}","{""B"":1458.145061999986,""A"":541.854938000014}","{""B"":3,""A"":35}",99.25348144553107,0.0,True
